"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7s0lDK7y3XLmI7tcsRAbW0","My Songs Know What You Did In The Dark (Light Em Up)","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","spotify:album:0EVJX4RlYKuApsAN5CaDa3","Save Rock And Roll","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","2013-01-01","https://i.scdn.co/image/ab67616d0000b27360c84f44c080824ce336e1a1","1","2","186826","https://p.scdn.co/mp3-preview/2b4d7091d84134f3e2fc7b51203bf405294e64cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USUM71300299","spotify:user:nicoleconary","2021-08-18T15:37:30Z"
"spotify:track:6c1Bdvp208X0jbLmFnWbkC","Re-Education (Through Labor)","spotify:artist:6Wr3hh341P84m3EI8qdn9O","Rise Against","spotify:album:4ebodSLpRqbuQjpGlDZglH","Appeal To Reason","spotify:artist:6Wr3hh341P84m3EI8qdn9O","Rise Against","2008-01-01","https://i.scdn.co/image/ab67616d0000b273eaa10fffa60de320846c28be","1","3","222453","https://p.scdn.co/mp3-preview/4615bb3e431c40acaeafcc20d834578760f5dbbb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USUM70828859","spotify:user:nicoleconary","2021-08-18T15:37:39Z"
"spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0","Run the World (Girls)","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:1gIC63gC3B7o7FfpPACZQJ","4","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2011-06-24","https://i.scdn.co/image/ab67616d0000b273ff5429125128b43572dbdccd","1","11","236093","https://p.scdn.co/mp3-preview/826cc7c3bbadf9003ddb7218a69a2f2897a58a60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USSM11102447","spotify:user:nicoleconary","2021-08-18T15:37:47Z"
"spotify:track:0QeI79sp1vS8L3JgpEO7mD","Let's Go Crazy","spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","spotify:album:7nXJ5k4XgRj5OLg9m8V3zc","Purple Rain","spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","1984-06-25","https://i.scdn.co/image/ab67616d0000b273d52bfb90ee8dfeda8378b99b","1","1","280000","https://p.scdn.co/mp3-preview/afefc417c6bcf50c90df311d21569d6cb1e05d06?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","USWB19903188","spotify:user:nicoleconary","2021-08-18T15:37:55Z"
"spotify:track:24NwBd5vZ2CK8VOQVnqdxr","Sweet Emotion","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","spotify:album:36IxIOGEBAXVozDSiVs09B","Toys In The Attic","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","1975-04-08","https://i.scdn.co/image/ab67616d0000b2739662c6535fb4bf5767e50f32","1","6","274133","","false","74","USSM19906482","spotify:user:nicoleconary","2021-08-18T15:38:04Z"
"spotify:track:4w3R0GZ2rScJMKlgPJzHRq","Sonne","spotify:artist:6wWVKhxIU2cEi0K81v7HvP","Rammstein","spotify:album:7ikuEzL6xeAgu6yT6YVLy7","Mutter","spotify:artist:6wWVKhxIU2cEi0K81v7HvP","Rammstein","2001-04-02","https://i.scdn.co/image/ab67616d0000b27325d8b7c6feee0c8d6593d606","1","3","272440","https://p.scdn.co/mp3-preview/db84cb0e49b5dbfd7d94f498d165a63cebda36b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","DEN120003766","spotify:user:nicoleconary","2021-08-18T15:38:15Z"
"spotify:track:53yBfGozCZOAqaM16PwMKP","Reise, Reise","spotify:artist:6wWVKhxIU2cEi0K81v7HvP","Rammstein","spotify:album:09qHS2BgOLqi3SMkbauxdJ","Reise, Reise","spotify:artist:6wWVKhxIU2cEi0K81v7HvP","Rammstein","2004-09-27","https://i.scdn.co/image/ab67616d0000b273136f94926d47c4986e50c877","1","1","251146","https://p.scdn.co/mp3-preview/3ce96d91475d5749800dbc38a76c1167baa3907c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","DEN120405586","spotify:user:nicoleconary","2021-08-18T15:38:20Z"
"spotify:track:0X6ph2SjyOCqfnN7rMDtXq","A Conversation with Death","spotify:artist:5Dejhd4zYKEUm6q1FLr1ik","Khemmis","spotify:album:6VTtYJ1gXCbSqAa730Gw7O","Doomed Heavy Metal","spotify:artist:5Dejhd4zYKEUm6q1FLr1ik","Khemmis","2020-04-17","https://i.scdn.co/image/ab67616d0000b2737e4f1b7495fe62d48445d44b","1","3","290459","https://p.scdn.co/mp3-preview/e95c0f5643c8510b283bdca46fbea7b061f9ab11?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USJE71900401","spotify:user:nicoleconary","2021-08-18T15:38:31Z"
"spotify:track:3W997VV8do0YjESI6KCH4Y","Krystallya Havok","spotify:artist:6gTW797sd60PukOnRxVj2V","Psyborg Corp","spotify:album:0YwWDnnV7tqOcBkDdb8UvD","The Frozen Shrines of Obsÿdÿana (Deluxe Edition)","spotify:artist:6gTW797sd60PukOnRxVj2V","Psyborg Corp","2015-11-13","https://i.scdn.co/image/ab67616d0000b273ef24fccd3fb846457f3c9b12","1","7","264200","https://p.scdn.co/mp3-preview/74f9b2639bbfec6137ee8d28be30931c4e9369e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","RUC001500057","spotify:user:nicoleconary","2021-08-18T15:38:48Z"
"spotify:track:124d6omieJXZziNZQxBOuL","Vive La Mort!","spotify:artist:3V4IvzRQYP5mzuVtkcHgVa","KMFDM","spotify:album:7Iv1eI4lCMTAzazmUbLOmt","WTF?!","spotify:artist:3V4IvzRQYP5mzuVtkcHgVa","KMFDM","2011-04-26","https://i.scdn.co/image/ab67616d0000b2733999074de8e3dde52b97f897","1","6","245386","https://p.scdn.co/mp3-preview/69e5fadfcbd687c8d4c7c1f0f0ce72162dc55069?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","US57M1170806","spotify:user:nicoleconary","2021-08-18T15:39:12Z"
