"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2OPmmqhPLBbHoHwtzOsUnl","Poor Relations","spotify:artist:5ltJZgIW3OkY5WvuzX5MYz","Mr Twin Sister","spotify:album:52XthHFl0TIgAikopVpv1g","Poor Relations","spotify:artist:5ltJZgIW3OkY5WvuzX5MYz","Mr Twin Sister","2016-11-30","https://i.scdn.co/image/ab67616d0000b27386fb9e476204bd0e15e6dd34","1","1","261362","","false","0","USA2B1617565","spotify:user:sandycanvas","2021-04-08T15:20:20Z"
"spotify:track:0mdClK3fQSA1cxAVLFdjnK","No Chill - Original Mix","spotify:artist:5JCyLOcEZsUiTLCUqqcIFz","Elliot Adamson","spotify:album:6szil0rq0i3mhowLq8hh33","Self (Entitled)","spotify:artist:5JCyLOcEZsUiTLCUqqcIFz","Elliot Adamson","2018-06-11","https://i.scdn.co/image/ab67616d0000b2738cd16c59ac15efa95c88b778","1","4","354720","","false","0","GBJX35016050","spotify:user:sandycanvas","2021-05-04T20:16:27Z"
"spotify:track:23OzFoiQ575KUH7TYQ2SB1","Ezekiel","spotify:artist:5rZVjGkZZI4TnpMHQwrxfG","Nathan Fake","spotify:album:0AG0R1Ig9RcoqVFLJIvoSz","Blizzards","spotify:artist:5rZVjGkZZI4TnpMHQwrxfG","Nathan Fake","2020-04-03","https://i.scdn.co/image/ab67616d0000b27319124432f1d3ab7424057eb4","1","5","396653","https://p.scdn.co/mp3-preview/d3ea4057b1484a6c85ab65464d9a1593665c047b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","UKSWH2000005","spotify:user:sandycanvas","2021-10-08T13:14:43Z"
"spotify:track:1bL3lI3ykZjw9Zul1Ir51y","Future Waves","spotify:artist:4eI1RBLgsiAz0odXIwpRnM","Uther Moads","spotify:album:4puI8ybDhTJC4Pdx2x2onW","Uther Moads","spotify:artist:4eI1RBLgsiAz0odXIwpRnM","Uther Moads","2011","https://i.scdn.co/image/ab67616d0000b2731202e663fc6dfce429b8bd70","1","1","240807","https://p.scdn.co/mp3-preview/e810007cf874ce7e05a73bc64bb576e19bf754dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","FR6V80499351","spotify:user:sandycanvas","2021-10-08T13:15:06Z"
"spotify:track:2FkJ8X6a1prYSYIdaEUItJ","Right Start - Unfinished Outtake","spotify:artist:2x9SpqnPi8rlE9pjHBwmSC","Talking Heads","spotify:album:3AQgdwMNCiN7awXch5fAaG","Remain in Light (Deluxe Version)","spotify:artist:2x9SpqnPi8rlE9pjHBwmSC","Talking Heads","1980-10-08","https://i.scdn.co/image/ab67616d0000b273e56fa8c916dc6ce419dcf557","1","12","247160","https://p.scdn.co/mp3-preview/b3b40c109824a64e9386706279e130a175b6e741?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USWB10502877","spotify:user:sandycanvas","2021-10-18T21:12:19Z"
"spotify:track:0t0F3Qyt3kKFU7rGxKa02t","Take Five","spotify:artist:1AMMMSq3rJdZtFGnBXEkz7","King Tubby","spotify:album:5c1GnEPAEjvyqqhV7mSkjS","Dub Reggae","spotify:artist:1AMMMSq3rJdZtFGnBXEkz7","King Tubby","2011-11-29","https://i.scdn.co/image/ab67616d0000b273dd5730589891502ec30efcf5","1","5","218693","https://p.scdn.co/mp3-preview/42a646957ce4a4c783da8dea80e13d37e69aab38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBSWE0809841","spotify:user:sandycanvas","2021-11-15T15:42:37Z"
"spotify:track:1vBRiaOSTr7IJlAeky4JX3","Vacation (feat. Train)","spotify:artist:6GkJh85o22LfD2vgL9DP6f, spotify:artist:3FUY2gzHeIiaesXtOAdB7A","Dirty Heads, Train","spotify:album:7FXwebLa343kucZmU9WVW0","Vacation (feat. Train)","spotify:artist:6GkJh85o22LfD2vgL9DP6f, spotify:artist:3FUY2gzHeIiaesXtOAdB7A","Dirty Heads, Train","2021-05-28","https://i.scdn.co/image/ab67616d0000b273fef85c40a2c75f88451bd54b","1","1","212937","https://p.scdn.co/mp3-preview/42fc02a9bc03d6a6e288d2afbe1819762c2052ac?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","USDPK2100049","spotify:user:sandycanvas","2021-11-24T18:49:59Z"
"spotify:track:2MLHyLy5z5l5YRp7momlgw","Island In The Sun","spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Weezer","spotify:album:2OBSz5Nlto0Q5CtYPzPY7c","Weezer (Green Album)","spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Weezer","2001-05-15","https://i.scdn.co/image/ab67616d0000b2731e0dc5baaabda304b0ad1815","1","4","200306","https://p.scdn.co/mp3-preview/dc828637778b393276fa304322aff01a4a1445ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USIR10110358","spotify:user:sandycanvas","2021-11-24T18:51:10Z"
"spotify:track:6FxbwB6o1MKOy0dHvxNr2W","Undone - The Sweater Song","spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Weezer","spotify:album:33CmI2lR8PnQwz6133Mc7l","Weezer (Deluxe Edition)","spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Weezer","1994-05-10","https://i.scdn.co/image/ab67616d0000b273252c0cdd739400c558a753b2","1","5","304986","","false","0","USGF19962905","spotify:user:sandycanvas","2021-11-24T18:51:18Z"
"spotify:track:22DrSmvpD0G3oYPUcH4pGP","Tequila Sunrise","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","spotify:album:0BCg4N448pwE7SyFRWopQM","Hell Freezes Over","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","1994-01-01","https://i.scdn.co/image/ab67616d0000b2732d1eaba068fdfe2a09e7ff9e","1","5","207973","","false","0","USWWW0202465","spotify:user:sandycanvas","2021-11-24T18:51:53Z"
