"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:77QlsVFMeX2jtPB8MMdfSL","Italian Concerto 3rd Movement","spotify:artist:1CPI3fhrCbSZgCaKyewdw1","North Shore Accordion Orchestra","spotify:album:5CCuhmQ8n831VTvnlmGG2Z","3rd International Concert Tour 1984","spotify:artist:1CPI3fhrCbSZgCaKyewdw1","North Shore Accordion Orchestra","2011-06-27","https://i.scdn.co/image/ab67616d0000b27311e2d3795c13d6e3899296e2","1","5","244960","","false","0","NZVC11000373","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:3SYQyLQ9D9T8yJrXgU3GeR","Symphony No. 4 In A Major ""Italian""","spotify:artist:6zgmFz2EG2CzCtrPtuEXwu","Air New Zealand Accordion Orchestra","spotify:album:2YyWkm1vfsLWI3aUIVlBu1","According To The Ambassadors","spotify:artist:6zgmFz2EG2CzCtrPtuEXwu","Air New Zealand Accordion Orchestra","2011-06-27","https://i.scdn.co/image/ab67616d0000b273aabb6f51f2e31f519200b2cb","1","2","358573","","false","0","NZVC11000386","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:3VCLoOzz8ZTCe6JfJzjW87","Italian Waltz","spotify:artist:0Qu32GvgUP382DArvQObYA","Don Grzanna","spotify:album:4HhA4oeIIoeIgPR9xBnguC","Accordion Around The World","spotify:artist:0Qu32GvgUP382DArvQObYA","Don Grzanna","2008-08-19","https://i.scdn.co/image/ab67616d0000b273e4d82b1038bd3f8d8f293835","1","19","170853","https://p.scdn.co/mp3-preview/c451722d93424338fadd1bab154314ce01101b08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ushm80811648","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:6Lljn1Ss5IEcA8j9YkiLxL","New Italian Waltz","spotify:artist:0Qu32GvgUP382DArvQObYA","Don Grzanna","spotify:album:7fJfpDx4DXavWnanCZiz7Z","Accordion European Tour Originals","spotify:artist:0Qu32GvgUP382DArvQObYA","Don Grzanna","2009-11-18","https://i.scdn.co/image/ab67616d0000b27384a2d83925c1e53c3f96fd09","1","9","234893","https://p.scdn.co/mp3-preview/ef1daeef5f18a102fc6e52126e289664d73e3367?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","usx9p0900374","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:5WOm14d4xSQAcXA58l9bZf","Italian Traditions","spotify:artist:0qr2GbzNPilgHgRkHA4DCp","Marco Lo Russo","spotify:album:74TWsW9DV4Ya3gkvU05s5E","Accordion Tour","spotify:artist:0qr2GbzNPilgHgRkHA4DCp","Marco Lo Russo","2010","https://i.scdn.co/image/ab67616d0000b27340f57ac76741c17c1d55364e","1","21","196846","https://p.scdn.co/mp3-preview/d26f1a4ba7b0380f1ea10fb8080adb0d4e3abd7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","ITR551000423","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:3H3ZlX8a0hDMLlNDWWXqhe","Italian Siren Rhumba","spotify:artist:0Qu32GvgUP382DArvQObYA","Don Grzanna","spotify:album:2rY9s3m2iRxfn8zCbaGC9q","Accordion Variety Originals","spotify:artist:0Qu32GvgUP382DArvQObYA","Don Grzanna","2009-12-03","https://i.scdn.co/image/ab67616d0000b27345f02aa38b6592a934d0839e","1","9","149893","https://p.scdn.co/mp3-preview/9f82f90c0ae70c5948d7356ec31ed170f8fd2631?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","usx9p0928975","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:6Qx7PzbtGrtjzNrVBWXQlU","Italian Tarentella","spotify:artist:0Qu32GvgUP382DArvQObYA","Don Grzanna","spotify:album:2rY9s3m2iRxfn8zCbaGC9q","Accordion Variety Originals","spotify:artist:0Qu32GvgUP382DArvQObYA","Don Grzanna","2009-12-03","https://i.scdn.co/image/ab67616d0000b27345f02aa38b6592a934d0839e","1","11","267586","https://p.scdn.co/mp3-preview/a4788dad0fa73fe73436c719be4c26eff27bd525?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","usx9p0928977","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:4yHHIo0HPx5WFCjOwp7C3u","Italian Song - 1 Accordion","spotify:artist:0BiPWTuRSneWIrAnue7BVZ","Ronald Stein","spotify:album:63Hc4vWC2cjXQJznRHt81G","The Bashful Elephant","spotify:artist:0BiPWTuRSneWIrAnue7BVZ","Ronald Stein","2010-12-07","https://i.scdn.co/image/ab67616d0000b273e324ebdc211a1ca5ab8a90a8","1","25","111653","","false","0","USFDB0615159","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:3OhAX8TbagNe4Uq3PX5RA0","Italian Song - 2 Accordion","spotify:artist:0BiPWTuRSneWIrAnue7BVZ","Ronald Stein","spotify:album:63Hc4vWC2cjXQJznRHt81G","The Bashful Elephant","spotify:artist:0BiPWTuRSneWIrAnue7BVZ","Ronald Stein","2010-12-07","https://i.scdn.co/image/ab67616d0000b273e324ebdc211a1ca5ab8a90a8","1","26","70706","","false","0","USFDB0615160","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:5IXqkMK3lNk4M5METCqroI","Italian Polka (International Competition for Piano Accordion)","spotify:artist:0K6rDQZHuhqMfnJyMOfy0Q","Coupe Mondiale 2009","spotify:album:64f2t63deAY4QsLptCTJAG","Coupe Mondiale 2009 World Accordion Championships","spotify:artist:0K6rDQZHuhqMfnJyMOfy0Q","Coupe Mondiale 2009","2011-05-09","https://i.scdn.co/image/ab67616d0000b273b23c7629c9e6dd726d9a00f9","1","8","234373","","false","0","NZVC11000233","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:0xCn1UjYTzmsELZS4DfXIF","La cumparsita","spotify:artist:2KabwQviQ3lq1W2Fr9xVgC","Massimo Castellina","spotify:album:1UBuGPoWJYq6lW9jDpsFUl","Festa Della Fisarmonica 2013, Fête De La Accordeon, Accordion Day (The best of Italian Accordion Music)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-07-18","https://i.scdn.co/image/ab67616d0000b2739726cbdc820a5dfccaaf21b7","1","1","166731","https://p.scdn.co/mp3-preview/a392ff02bfca243403c60f426270867af298ccaa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR6V81839975","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:1mm0Xg9klD7qRrK2J18jaL","Espana Cani","spotify:artist:1VCeBoOV4yyVHhxCw5Qiy5","I Balera Folk","spotify:album:1UBuGPoWJYq6lW9jDpsFUl","Festa Della Fisarmonica 2013, Fête De La Accordeon, Accordion Day (The best of Italian Accordion Music)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-07-18","https://i.scdn.co/image/ab67616d0000b2739726cbdc820a5dfccaaf21b7","1","2","158700","https://p.scdn.co/mp3-preview/ac2e0607a2731b5f1f300a4cdc452480fc542111?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR6V81839976","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:5rbAyBHO5FYXM9woaGMbIG","Il carnevale di Venezia","spotify:artist:72UT6UkEXeKUlcYt9wxvty","La Stella di Ponente","spotify:album:1UBuGPoWJYq6lW9jDpsFUl","Festa Della Fisarmonica 2013, Fête De La Accordeon, Accordion Day (The best of Italian Accordion Music)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-07-18","https://i.scdn.co/image/ab67616d0000b2739726cbdc820a5dfccaaf21b7","1","3","231437","https://p.scdn.co/mp3-preview/397048b7c16b12b05f202d1396a9e4b212661048?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR6V81839977","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:4biAaKqHFY974eabwrWTKi","La disperata","spotify:artist:1VCeBoOV4yyVHhxCw5Qiy5","I Balera Folk","spotify:album:1UBuGPoWJYq6lW9jDpsFUl","Festa Della Fisarmonica 2013, Fête De La Accordeon, Accordion Day (The best of Italian Accordion Music)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-07-18","https://i.scdn.co/image/ab67616d0000b2739726cbdc820a5dfccaaf21b7","1","4","169181","https://p.scdn.co/mp3-preview/6de0296f2879eb120523eb2f697f18c9af34504a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR6V81839978","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:6vOamylikECD5TOZAl3HPw","Porta fortuna","spotify:artist:57wN85gCWhvGIDWAxL8AEj","Eva Band","spotify:album:1UBuGPoWJYq6lW9jDpsFUl","Festa Della Fisarmonica 2013, Fête De La Accordeon, Accordion Day (The best of Italian Accordion Music)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-07-18","https://i.scdn.co/image/ab67616d0000b2739726cbdc820a5dfccaaf21b7","1","5","191790","https://p.scdn.co/mp3-preview/3898b8341f4862db973d2370e1cf40ebd35c14a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR6V81839979","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
"spotify:track:3nNQh5D3GInGQQmEya4C5h","La mazurka della nonna","spotify:artist:2KabwQviQ3lq1W2Fr9xVgC","Massimo Castellina","spotify:album:1UBuGPoWJYq6lW9jDpsFUl","Festa Della Fisarmonica 2013, Fête De La Accordeon, Accordion Day (The best of Italian Accordion Music)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-07-18","https://i.scdn.co/image/ab67616d0000b2739726cbdc820a5dfccaaf21b7","1","6","145963","https://p.scdn.co/mp3-preview/561650de59f3f4dee84a1af50cd50b23eabc59ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR6V81839980","spotify:user:rob.bednark","2013-07-28T16:49:45Z"
