"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2LOfUgkrtNG7i1Acebbrjl","It's A Wonderful World","spotify:artist:2X1JyN0aHn7RYS4AR0b8b9, spotify:artist:2qPFN5RLMaZPmEGk47lPIy, spotify:artist:65GQJcCnXFnQKWD0q3cDBa","Jan Garber, Fritz Heilbron, Tommy Traynor","spotify:album:5vFUiN7gyJpm5hCDpDe2j0","The Great Jan Garber","spotify:artist:2X1JyN0aHn7RYS4AR0b8b9","Jan Garber","1994-01-01","https://i.scdn.co/image/ab67616d0000b2732a9ea981080207ea505a419d","1","6","188826","https://p.scdn.co/mp3-preview/e42ed01f26470ab019a87d1a4a18eea4f4565d97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","USL5W0733106","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3130r7jHB1CgGIaN38oYHL","Desafinado-Bright Bossa Nova","spotify:artist:6RIn8rSrlkN2vGPw49Qb2j","Lester Lanin","spotify:album:6O8TmZOJihMYd2izgjzdu1","Best Of The Big Bands","spotify:artist:6RIn8rSrlkN2vGPw49Qb2j","Lester Lanin","1964","https://i.scdn.co/image/ab67616d0000b273620a8698239b2ca60a8b612a","1","4","116800","https://p.scdn.co/mp3-preview/ddf27a37e77ace8725d5b86b415ef9b47b0f49da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USSM10027957","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1tqhyHt1LLqS2wIzudkBQ0","Little Brown Jug","spotify:artist:2aw1GjnuDSI2rPxaghLPb1","Les & Larry Elgart","spotify:album:2BmrLdNNJro3EbhPjUlICZ","The New Elgart Touch","spotify:artist:2aw1GjnuDSI2rPxaghLPb1","Les & Larry Elgart","1965","https://i.scdn.co/image/ab67616d0000b2736a7c15e0012f79bb34014ff9","1","5","125546","https://p.scdn.co/mp3-preview/d87bec67c897b658d3835441b95c35a40e209522?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USSM10026324","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Q3xetEDjBuDEwEROatvYF","Shadow Waltz","spotify:artist:0rEBOEWe1XZ9M1tKAOjvbj","Rudy Vallee and His Connecticut Yankees","spotify:album:6PiZzTyHDSS6GlI2NGao1I","Old Man Harlem (1931 - 1933)","spotify:artist:0rEBOEWe1XZ9M1tKAOjvbj","Rudy Vallee and His Connecticut Yankees","2012","https://i.scdn.co/image/ab67616d0000b273072f534eba92564e61b40ffe","1","13","195026","https://p.scdn.co/mp3-preview/6ec968710e7caa411fa591b459e4ae116762bcd5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","DEBL61298726","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2H6Z9CLDpRNpCzqNDISG23","You Can't Pull The Wool Over My Eyes","spotify:artist:7IFehwNMIwBSIf40iX0gm9","Carroll Gibbons","spotify:album:26QXfDvBqLzISEdKXpEwNk","Pete Smith Specialties, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1998","https://i.scdn.co/image/ab67616d0000b27378855dab3ac09374c10aee20","1","4","193693","https://p.scdn.co/mp3-preview/7623106da86b895c8fb39224bddfc5f4c07147ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","AUOM01902142","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4LaWGvzm6a2bbS0fswpn2e","Sugar","spotify:artist:5d1TErL619HO0t14nHxHuy","Adrian Rollini","spotify:album:0jUwkg1H4cHZDXCCNLWfzU","1934-1938","spotify:artist:5d1TErL619HO0t14nHxHuy","Adrian Rollini","2007-05-30","https://i.scdn.co/image/ab67616d0000b2733d602e046145e070486cb304","1","2","174386","https://p.scdn.co/mp3-preview/26fa910c5e0349a19dfa521ad36845a28a26261d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","NLB150400119","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:31V5UXOg6oDnE5QBqX5GUa","You Do Something to Me","spotify:artist:1IRFfdGI95F5UTMST4udG3","Lee Wiley","spotify:album:12h9mMJlUqT7OIK7RdeRlX","Sings the Songs of George & Ira Gershwin & Cole Porter","spotify:artist:1IRFfdGI95F5UTMST4udG3","Lee Wiley","1989","https://i.scdn.co/image/ab67616d0000b2735088996d3939ab3616ba1ff6","1","13","185270","https://p.scdn.co/mp3-preview/7ced871534abca3ed87b929a988bd2c5ed6eb1e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","US1A18900113","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2yvBJTZWGtZg5DvSG9B4w5","Fascination - Slow Waltz","spotify:artist:6RIn8rSrlkN2vGPw49Qb2j","Lester Lanin","spotify:album:6O8TmZOJihMYd2izgjzdu1","Best Of The Big Bands","spotify:artist:6RIn8rSrlkN2vGPw49Qb2j","Lester Lanin","1964","https://i.scdn.co/image/ab67616d0000b273620a8698239b2ca60a8b612a","1","13","118240","https://p.scdn.co/mp3-preview/a9e559a7b8d613bcafa6defc5607649f90b9977b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USSM10026125","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:35STQd1LwEyPXi2ZksuHlk","Twilight Time","spotify:artist:6SOQrmfK6SFNQgl1krQrNc","The Three Suns","spotify:album:0Cpm0BzMXMSZqhkLj89yUb","1949 - 1956","spotify:artist:6SOQrmfK6SFNQgl1krQrNc","The Three Suns","1985","https://i.scdn.co/image/ab67616d0000b273ef795fd1120747cac40e4f63","1","1","155800","https://p.scdn.co/mp3-preview/a33ad72a77c53fa7455bd698471061bbb3b17dca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USC9R8507501","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0Y7AUvFk3piSuX0HMvRvmg","I Married An Angel","spotify:artist:0cylxW7HGdK9xMdubw2oYW","The O'Neill Brothers Group","spotify:album:43hTDxjgTdgwCvAx9GJsCz","Vocal Hits of the 1940s - Green Eyes - 1940s Music","spotify:artist:0cylxW7HGdK9xMdubw2oYW","The O'Neill Brothers Group","2011-02-09","https://i.scdn.co/image/ab67616d0000b2732b6926410f18f89a670e85e2","1","10","146703","https://p.scdn.co/mp3-preview/1b97d74668c7de988b16804ac760e31fad081ce2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USA371208000","spotify:user:","1970-01-01T00:00:00Z"
