"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5MdHvAvlmQJ3JHIvIK9uXz","Java","spotify:artist:0TGsWvnbtExsbGUSWtXENE","Al Hirt","spotify:album:4A3EY5T6tEGBScSu5LzK70","King Of Bourbon Street","spotify:artist:0TGsWvnbtExsbGUSWtXENE","Al Hirt","2005-11-08","https://i.scdn.co/image/ab67616d0000b2739834d6f240807a7ec9ec72f5","1","2","119133","https://p.scdn.co/mp3-preview/ff875f5038d513c11a642d9b18982f766beb2e95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USA370511039","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4WTK69PCuBRqlEli63aNLq","Buckycubes Swing (Baker Cat)","spotify:artist:5jZYH0Gj6RjPFwprpVTHu4","Drew Skinner","spotify:album:3x55aOCJsC7A8ma0Fwzi1c","Buckycubes Swing (Baker Cat)","spotify:artist:5jZYH0Gj6RjPFwprpVTHu4","Drew Skinner","2012-11-09","https://i.scdn.co/image/ab67616d0000b27334f8b25a1efebefd8f1456ff","1","1","119000","https://p.scdn.co/mp3-preview/df7778afddc826726baaeca97e2d72f955cad24e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","TCABK1243728","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7vvB9xuUJVXEpMHawVD3ge","A Closer Walk","spotify:artist:60dYNEvXzIl38BKZoW8HYd","Pete Fountain","spotify:album:0vbYK8TD7QWNCBRYmWt3ud","Pete Fountain's New Orleans","spotify:artist:60dYNEvXzIl38BKZoW8HYd","Pete Fountain","1959","https://i.scdn.co/image/ab67616d0000b273c4a425134f3b6899c24067eb","1","2","130693","https://p.scdn.co/mp3-preview/3954a89143c4b275c68ff73e4f2bcc8a746c35b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USWWW0130582","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5TjO0GOOon3R6YOnRFPwzk","Chicago","spotify:artist:1pBuKaLHJlIlqYxQQaflve","Benny Goodman","spotify:album:1I1E1ZUYFDK0Dn4DK5YmrH","The Best Of Benny Goodman","spotify:artist:1pBuKaLHJlIlqYxQQaflve","Benny Goodman","1997-01-01","https://i.scdn.co/image/ab67616d0000b273786965f18ad7960240020a43","1","8","179840","https://p.scdn.co/mp3-preview/2b620db2608e39833961c968a4c9dc35b1b9b303?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USCA29701307","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7BIj2EumM3JA6NmxPcF6C5","上を向いて歩こう","spotify:artist:3WKkjW8B7x5UZmfC9pnDmN","Kyu Sakamoto","spotify:album:51VPN0fGRllJBCpi449czB","ベスト9!","spotify:artist:3WKkjW8B7x5UZmfC9pnDmN","Kyu Sakamoto","2009-09-09","https://i.scdn.co/image/ab67616d0000b2735ca640a51c19062c680cd829","1","1","188960","https://p.scdn.co/mp3-preview/ca0b9d439fdd76464b00ee63d4abd5d72a31a6d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","JPTO07614700","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1SJcsMgecJWfRAuL1En5Vo","Spanish Eyes","spotify:artist:0TGsWvnbtExsbGUSWtXENE","Al Hirt","spotify:album:7j4FDnGUG1YV0Rw0Lj3HRh","Plays Bert Kaempfert","spotify:artist:0TGsWvnbtExsbGUSWtXENE","Al Hirt","1968","https://i.scdn.co/image/ab67616d0000b273ef99da9767acff9bc67cb5a6","1","3","158106","https://p.scdn.co/mp3-preview/c2ef79058670b274b20448f9e34edd73e8aff072?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USRC16703220","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4uFABlW8ueTNcFGPFjHX0l","The Odd Couple Theme - Instrumental Demo","spotify:artist:3IjVHk8Mo8GBMKyHnwmth8","Neal Hefti","spotify:album:2gxIewLS7nz4Hp5K6h4ZcU","Barefoot In The Park / The Odd Couple (Music From The Motion Pictures)","spotify:artist:3IjVHk8Mo8GBMKyHnwmth8","Neal Hefti","2017-04-07","https://i.scdn.co/image/ab67616d0000b273b05f4a2c4f044c5425e44c1e","1","29","72333","https://p.scdn.co/mp3-preview/9c3473b5bfe0b6a04ea633c35aca0e017c557456?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","US3M51620729","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5KoYGd11C4KmmikVsp4G4I","Manhattan Spiritual","spotify:artist:4VWBkqFNNC306ULM9kyMod, spotify:artist:7CMO7nR8rRU5mqJWmSX2qD","Billy Maxted, Reg Owen","spotify:album:1TT6Ha4vXMLtWX2GPVlQUR","Panamá Patrol","spotify:artist:7CMO7nR8rRU5mqJWmSX2qD","Reg Owen","2019-11-08","https://i.scdn.co/image/ab67616d0000b27377dd7614d0d4ebf6a6020027","1","15","165000","https://p.scdn.co/mp3-preview/614c50b0fdfe884f0b5fd148d2506840e2725739?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","CA5KR1963163","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1b39F2Q4sNP8R9PwGK8G5D","Woodpecker Song","spotify:artist:5qByAjccmQRznP524QB0wy","Tony Mottola y Su Orquesta","spotify:album:5XPpYqZJ3zdJv4qAI0NBYl","Tony Mottola y Su Orquesta","spotify:artist:5qByAjccmQRznP524QB0wy","Tony Mottola y Su Orquesta","2016-07-13","https://i.scdn.co/image/ab67616d0000b2738b9ee4743fa45532483196b8","1","11","113880","https://p.scdn.co/mp3-preview/4ee954c6b413512b250676d0bd5bf74ddc33e8ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QM4TW1648136","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:62eAoNfrrS84177LOzJMQx","Papa Loves Mambo","spotify:artist:5v8jlSmAQfrkTjAlpUfWtu","Perry Como","spotify:album:3Eg4Laj6Pm6GwV6VF2I1Q8","Pure Gold","spotify:artist:5v8jlSmAQfrkTjAlpUfWtu","Perry Como","1975-09-30","https://i.scdn.co/image/ab67616d0000b273f59578709fd742ab6a48dccb","1","9","162106","https://p.scdn.co/mp3-preview/be084c29e6b55bc8156b912c6b70ae9f31193a2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USRC15404658","spotify:user:","1970-01-01T00:00:00Z"
