"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4a1J9yup472zZW604BHbha","Forever Promises","spotify:artist:4TOpL8dUMkZ1oydrBsfuWf","Magpie Jazz Trio","spotify:album:3N6pPJE8XPhs4CtJTa2YYx","Forever Promises","spotify:artist:4TOpL8dUMkZ1oydrBsfuWf","Magpie Jazz Trio","2022-11-13","https://i.scdn.co/image/ab67616d0000b2738968c422559f8fcf9ea34ce6","1","1","193237","https://p.scdn.co/mp3-preview/2815a202ce11e52e9a05a1dfd88ef9ca7b0faa02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","QZAKB2203293","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:2EhrFpsVC4rkiCf86AeVdv","Ludlow","spotify:artist:2VQmB7dgKLHJve0htcYfiQ","James Jackson Jazz Trio","spotify:album:4JkR0RYW5wCohQPke2Kwl2","Easy Dreamin'","spotify:artist:2VQmB7dgKLHJve0htcYfiQ","James Jackson Jazz Trio","2022-12-18","https://i.scdn.co/image/ab67616d0000b273ff759e43750ecb0f6bde3cfa","1","2","183946","https://p.scdn.co/mp3-preview/94a4545157f3d9dfb750518cb6ac8816eb174a48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","QZAKB2290346","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:7xi4NE5HjjIU4sjk2OP466","Muddy Trail","spotify:artist:0Rk4ZISv9eXs3Thg7rco7h","The Three Queens","spotify:album:0mQjoCyVFtEqpTbNjahd8J","Muddy Trail","spotify:artist:0Rk4ZISv9eXs3Thg7rco7h","The Three Queens","2023-01-06","https://i.scdn.co/image/ab67616d0000b2739c86a1429e9265b389bc2ccf","1","1","220879","https://p.scdn.co/mp3-preview/e6cf11ddcd7e6450a6aa5539b3e529f0373ab99f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","SEXGF2203869","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:4sNhuHtjf2TYXIzOMUQgWX","For a While","spotify:artist:2CBiYt7JDgmt7EYJEVmDdL","Dries Riesen","spotify:album:53p46AYlwyeYi7MRgf5GM6","For a While","spotify:artist:2CBiYt7JDgmt7EYJEVmDdL","Dries Riesen","2023-01-12","https://i.scdn.co/image/ab67616d0000b273dea444260147ac7b987a54a1","1","1","174113","https://p.scdn.co/mp3-preview/79375a17fe6aca73f06d6e9822ce5591b8d55246?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","SE5IB2300123","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:1EXAQhTMCX9HCIcwYEvdxX","Ripples of a Stream","spotify:artist:2BLWgfWw6pN9dHB5XoJPKC","Turning Trio","spotify:album:6syN509qNmAdMDqL9X6mm3","Ripples of a Stream","spotify:artist:2BLWgfWw6pN9dHB5XoJPKC","Turning Trio","2022-08-05","https://i.scdn.co/image/ab67616d0000b273248ef5eec5ae7c726725bb14","1","1","240480","https://p.scdn.co/mp3-preview/250b0a385ae7ce7ea9e0eb7a98f23ef55ddfb5cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","SE5IB2272913","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:3MDq3Y1Me06yoYQOfjNWcH","Lonely as a Cloud","spotify:artist:7z19cN47vHnay3CoShIp1b","South North","spotify:album:1i3rYnZMbkYnJ986bISo11","Lonely as a Cloud","spotify:artist:7z19cN47vHnay3CoShIp1b","South North","2022-12-02","https://i.scdn.co/image/ab67616d0000b273bc64d5913c8949fa193f3d8c","1","1","167071","https://p.scdn.co/mp3-preview/39dd4cb6676a8e971581960ae85f802a3ef45498?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","SE5W32204649","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:5PQXmu4gJHZDY5ORO4xoc8","Put Out The Lights","spotify:artist:7LMuoHwZv9P0PPSO1DWaLZ","Soft Brush Touches","spotify:album:3WpJUKYRgLNpnG4nPtuFbN","Put Out The Lights","spotify:artist:7LMuoHwZv9P0PPSO1DWaLZ","Soft Brush Touches","2022-12-30","https://i.scdn.co/image/ab67616d0000b273fd8cd60d802ad93b3c1ac9e1","1","1","174574","https://p.scdn.co/mp3-preview/a45478fa61452aacb2a20d9ad37f95cb978fb50b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","SEXGF2203866","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:06henIQqvVk2vAKj1yQtTp","Maze of Tranquility","spotify:artist:4S6bYPPOxQPs9hSnUBbGBN","Martin Landström","spotify:album:3xOT2GRM03MGNTRMQFSPZS","Maze of Tranquility","spotify:artist:4S6bYPPOxQPs9hSnUBbGBN","Martin Landström","2022-08-19","https://i.scdn.co/image/ab67616d0000b2732f7c1140c2b2d66444cc1e0f","1","1","262707","https://p.scdn.co/mp3-preview/85d78580798402dba87b405d1ce1129b334ee2a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","SE5Q52201133","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:7r5XG6Ko5PsiSext5v0vyO","Molly's theme","spotify:artist:4KU3igTxJsnJrxcOF2oC6f","Bernhard Cohen","spotify:album:28OqRj89nMCysbF2EANXej","Molly's theme","spotify:artist:4KU3igTxJsnJrxcOF2oC6f","Bernhard Cohen","2022-12-16","https://i.scdn.co/image/ab67616d0000b273ca0747ecddae247a0ab1fde5","1","1","232510","https://p.scdn.co/mp3-preview/bbcc9743003eab5939520d8b890ecd1acf6fb0ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","SEXGF2203860","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:05fdpG9n1YmQU1wOTCLaj8","You Know Its Me","spotify:artist:4WW6fT5v4jH5eHqCn9myM3","The Ebbing Tides","spotify:album:2ET8mBknnRZFO1gea0toYN","You Know Its Me","spotify:artist:4WW6fT5v4jH5eHqCn9myM3","The Ebbing Tides","2023-01-12","https://i.scdn.co/image/ab67616d0000b2736423cdc1e5e45f6a257b13a5","1","1","148754","https://p.scdn.co/mp3-preview/77646b27a381c49c165d45eaefab822ac37158f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","SE5IB2300126","spotify:user:","2023-01-12T23:01:00Z"
