"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2kF9Ijd7I2Kk2P4bYqUmzG","Midnight Blue - Remastered","spotify:artist:1sdyFmN4bVOcuFDpTVsxBB","Kenny Burrell","spotify:album:0hMuKAciHKinu4L3R4Ojjl","Midnight Blue (The Rudy Van Gelder Edition)","spotify:artist:1sdyFmN4bVOcuFDpTVsxBB","Kenny Burrell","1963","https://i.scdn.co/image/ab67616d0000b273337b64d3c252d562a33e4d35","1","4","242346","https://p.scdn.co/mp3-preview/c190083a16982b749aa3635eb0c5ba08751c49df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USBN29800864","spotify:user:4jaytraylor","2020-05-30T20:16:21Z"
"spotify:track:3UrxgGboM1N5xsdOcz4o0K","Gee Baby, Ain't I Good To You - Remastered","spotify:artist:1sdyFmN4bVOcuFDpTVsxBB","Kenny Burrell","spotify:album:0hMuKAciHKinu4L3R4Ojjl","Midnight Blue (The Rudy Van Gelder Edition)","spotify:artist:1sdyFmN4bVOcuFDpTVsxBB","Kenny Burrell","1963","https://i.scdn.co/image/ab67616d0000b273337b64d3c252d562a33e4d35","1","6","265226","https://p.scdn.co/mp3-preview/70415d9096e924984090713bffae249af1d4d353?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USBN29800866","spotify:user:4jaytraylor","2020-05-30T20:20:25Z"
"spotify:track:3ZLu2sI75K3GRZJixWXRa2","Mule - Remastered","spotify:artist:1sdyFmN4bVOcuFDpTVsxBB","Kenny Burrell","spotify:album:0hMuKAciHKinu4L3R4Ojjl","Midnight Blue (The Rudy Van Gelder Edition)","spotify:artist:1sdyFmN4bVOcuFDpTVsxBB","Kenny Burrell","1963","https://i.scdn.co/image/ab67616d0000b273337b64d3c252d562a33e4d35","1","2","416986","https://p.scdn.co/mp3-preview/1c32bf5b11a4bdf01afbec11c8e3aaf51d7e3291?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USBN29800862","spotify:user:4jaytraylor","2020-05-30T20:23:18Z"
"spotify:track:3AjtDt3cqyCbukH2Kk8SQO","K Twist (Take 35)","spotify:artist:1sdyFmN4bVOcuFDpTVsxBB","Kenny Burrell","spotify:album:0hMuKAciHKinu4L3R4Ojjl","Midnight Blue (The Rudy Van Gelder Edition)","spotify:artist:1sdyFmN4bVOcuFDpTVsxBB","Kenny Burrell","1963","https://i.scdn.co/image/ab67616d0000b273337b64d3c252d562a33e4d35","1","9","217986","https://p.scdn.co/mp3-preview/1245f20eabdf60edd4f7fdec8c7ea404b33748f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USBN29800869","spotify:user:4jaytraylor","2020-05-30T20:23:23Z"
"spotify:track:6NUKPG9HMBVVgO5MtUyhbS","On Green Dolphin Street","spotify:artist:6pVkGhtBvjj1P52yn0tNLG, spotify:artist:0SvD7DL5CQTbcrMtns1US8, spotify:artist:6M7ScGp8p2GspFJaIMh1Yo","Barney Kessel, Ray Brown, Shelly Manne","spotify:album:0ykZYSfKwooTJGC9Gl5arD","The Poll Winners","spotify:artist:6pVkGhtBvjj1P52yn0tNLG, spotify:artist:6M7ScGp8p2GspFJaIMh1Yo, spotify:artist:0SvD7DL5CQTbcrMtns1US8","Barney Kessel, Shelly Manne, Ray Brown","1957-01-01","https://i.scdn.co/image/ab67616d0000b27325cd9c39dd7294a54d9bd25c","1","6","241760","https://p.scdn.co/mp3-preview/2695a2aff0be2a9def0e015d3d2f735ba560c1bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USFI85700046","spotify:user:4jaytraylor","2020-05-30T20:25:09Z"
"spotify:track:6zvRtiO5RHFVHjhOcfdJMM","Jordu","spotify:artist:6pVkGhtBvjj1P52yn0tNLG, spotify:artist:0SvD7DL5CQTbcrMtns1US8, spotify:artist:6M7ScGp8p2GspFJaIMh1Yo","Barney Kessel, Ray Brown, Shelly Manne","spotify:album:0ykZYSfKwooTJGC9Gl5arD","The Poll Winners","spotify:artist:6pVkGhtBvjj1P52yn0tNLG, spotify:artist:6M7ScGp8p2GspFJaIMh1Yo, spotify:artist:0SvD7DL5CQTbcrMtns1US8","Barney Kessel, Shelly Manne, Ray Brown","1957-01-01","https://i.scdn.co/image/ab67616d0000b27325cd9c39dd7294a54d9bd25c","1","1","207200","https://p.scdn.co/mp3-preview/2756342e5ff5038c0d63815e9efe49666cadb50c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USFI85700041","spotify:user:4jaytraylor","2020-05-30T20:28:51Z"
"spotify:track:5Ark3kvwdTBrtlY4opRoNx","Satin Doll","spotify:artist:6pVkGhtBvjj1P52yn0tNLG, spotify:artist:0SvD7DL5CQTbcrMtns1US8, spotify:artist:6M7ScGp8p2GspFJaIMh1Yo","Barney Kessel, Ray Brown, Shelly Manne","spotify:album:0ykZYSfKwooTJGC9Gl5arD","The Poll Winners","spotify:artist:6pVkGhtBvjj1P52yn0tNLG, spotify:artist:6M7ScGp8p2GspFJaIMh1Yo, spotify:artist:0SvD7DL5CQTbcrMtns1US8","Barney Kessel, Shelly Manne, Ray Brown","1957-01-01","https://i.scdn.co/image/ab67616d0000b27325cd9c39dd7294a54d9bd25c","1","2","389733","https://p.scdn.co/mp3-preview/dd35c29055422119e8d455a401e6d8bb936ab65d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USFI85700042","spotify:user:4jaytraylor","2020-05-30T20:29:43Z"
"spotify:track:2UBf5Sfc8XzJyy5oNKQ3KA","Mean To Me","spotify:artist:6pVkGhtBvjj1P52yn0tNLG, spotify:artist:0SvD7DL5CQTbcrMtns1US8, spotify:artist:6M7ScGp8p2GspFJaIMh1Yo","Barney Kessel, Ray Brown, Shelly Manne","spotify:album:0ykZYSfKwooTJGC9Gl5arD","The Poll Winners","spotify:artist:6pVkGhtBvjj1P52yn0tNLG, spotify:artist:6M7ScGp8p2GspFJaIMh1Yo, spotify:artist:0SvD7DL5CQTbcrMtns1US8","Barney Kessel, Shelly Manne, Ray Brown","1957-01-01","https://i.scdn.co/image/ab67616d0000b27325cd9c39dd7294a54d9bd25c","1","4","388426","https://p.scdn.co/mp3-preview/4498e6186e10d91168e7c110bfef08eec2e71b7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USFI85700044","spotify:user:4jaytraylor","2020-05-30T20:31:02Z"
"spotify:track:6syzakkI2K7KOdgL8ubC9h","Yesterdays","spotify:artist:6WbUlW1uuChmQumXueDmgp","Wes Montgomery Trio","spotify:album:1lzXKC7YtD8taNdv84K54L","The Wes Montgomery Trio","spotify:artist:6WbUlW1uuChmQumXueDmgp","Wes Montgomery Trio","1987-01-01","https://i.scdn.co/image/ab67616d0000b27316527ecf2808e6268f431422","1","2","195933","https://p.scdn.co/mp3-preview/21bf41339b4cbf56c80e92227a17e2a04c5a6cab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USFI85900015","spotify:user:4jaytraylor","2020-05-30T20:40:14Z"
"spotify:track:21JKNHHrYiQXCC9tSH9yh1","I Just Can't See for Lookin'","spotify:artist:6u83LnSsShAAixAassk1pB","Andy Brown","spotify:album:58QLMneECJ6aOqmiBZVOyY","Trio and Solo","spotify:artist:6u83LnSsShAAixAassk1pB","Andy Brown","2007-01-01","https://i.scdn.co/image/ab67616d0000b2730de0bff631ea44b995cde798","1","1","330653","https://p.scdn.co/mp3-preview/c0b50fdf9070eca51fc1acdcceb249a917ffb40f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","uscgj1340152","spotify:user:4jaytraylor","2020-05-30T21:02:24Z"
