"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2mWhsRPJT8r5BVY8GbOJsN","Kothbiro","spotify:artist:1f8646DgHta6Gl3eLxZTdk","Ayub Ogada","spotify:album:7kVFZYCVtpYHiuJ0kdua53","En Mana Kuoyo","spotify:artist:1f8646DgHta6Gl3eLxZTdk","Ayub Ogada","1993","https://i.scdn.co/image/ab67616d0000b273f6866a36cf5fce7c923cb5ee","1","9","337160","https://p.scdn.co/mp3-preview/124f6214e23d00c739aa68e097d99926e820546f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBCPA9300184","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0TOVfRtYXE7D2CZw0fx9NU","Daydream (feat. Ashwin Srinivasan)","spotify:artist:5NCKpzuowtihcIrIHFjKbJ","Nitin Sawhney","spotify:album:7y8rmswg8Pe40v100gtICN","Last Days of Meaning","spotify:artist:5NCKpzuowtihcIrIHFjKbJ","Nitin Sawhney","2011-06-06","https://i.scdn.co/image/ab67616d0000b273964c6155d1776f65e56a8efc","1","12","115453","https://p.scdn.co/mp3-preview/097b5b7a953822a9ddced33dc1138a2270e30bb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBW8E1100012","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3aPOQ6TdIuAW8m1KZid1Hv","Mogoya","spotify:artist:65CKKZilbcSKkAPC9a5Mvh","Oumou Sangaré","spotify:album:43euCDOikmefRS29Y55pLX","Mogoya","spotify:artist:65CKKZilbcSKkAPC9a5Mvh","Oumou Sangaré","2017-05-19","https://i.scdn.co/image/ab67616d0000b273c3eadc2ed20969324c007af2","1","9","210773","https://p.scdn.co/mp3-preview/dd15d29353f2568fa1b22bf8e4bb6b3207e81449?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","FR2W61700009","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1WmRNq13XPvbmIRcZljM3D","Diaraby (with Ry Cooder)","spotify:artist:3mNygoyrEKLgo6sx0MzwOL, spotify:artist:1CPwHx5lgVxv0rfcp7UXLx","Ali Farka Touré, Ry Cooder","spotify:album:2MSgPFGGgIn5EqLezjLpt9","Talking Timbuktu (with Ry Cooder)","spotify:artist:3mNygoyrEKLgo6sx0MzwOL","Ali Farka Touré","1994-03-28","https://i.scdn.co/image/ab67616d0000b2734209569110ce50ca88e1dc46","1","10","446826","https://p.scdn.co/mp3-preview/39b62983fcf2893f180835ecf3d5c957fea0757f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBBGU0640010","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2HuAJbG66A9GalaHhNmc0A","Poisson au fond de l'ocean","spotify:artist:3ORXfLCNfO785thdsmtM8X, spotify:artist:7F6474dJ7eusD2MkXm2Lwx","Constantinople, Ablaye Cissoko","spotify:album:2A7WDGpVdnX72z1i8tuHZQ","Jardins migrateurs","spotify:artist:3ORXfLCNfO785thdsmtM8X, spotify:artist:7F6474dJ7eusD2MkXm2Lwx","Constantinople, Ablaye Cissoko","2015-11-13","https://i.scdn.co/image/ab67616d0000b2738352df440861a5a220d8b199","1","3","304703","https://p.scdn.co/mp3-preview/d095c5b8d599b6c14aa9b256f11a312416e746c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","FR6GO1500030","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0aGGDhjoTricJpg7BBM3SN","Reflections","spotify:artist:7JksKqLDuYE8QYj2WjiNQr","Sona Jobarteh","spotify:album:7eioDyvozdq2H9B3WncHmC","Motherland - The Score","spotify:artist:7JksKqLDuYE8QYj2WjiNQr","Sona Jobarteh","2011-04-21","https://i.scdn.co/image/ab67616d0000b27367cca5fda28163cc38530629","1","7","116553","https://p.scdn.co/mp3-preview/50e54de2a6347642010da7a03a865572a18e2cbe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBVCY1000007","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2asPAWksXx15DNY3KmsgL0","Thum Nyatiti","spotify:artist:1f8646DgHta6Gl3eLxZTdk","Ayub Ogada","spotify:album:7kVFZYCVtpYHiuJ0kdua53","En Mana Kuoyo","spotify:artist:1f8646DgHta6Gl3eLxZTdk","Ayub Ogada","1993","https://i.scdn.co/image/ab67616d0000b273f6866a36cf5fce7c923cb5ee","1","4","163240","https://p.scdn.co/mp3-preview/e26eae814bf4aa32e261b0b61367ea8f538d59b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","GBCPA9300179","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0yVq58uQ2Bp2OVADYlLHNk","Yumeji's Theme - Theme from 'in the Mood for Love'","spotify:artist:2YF8oM4cDvaP7tCpe4KQvi","Shigeru Umebayashi","spotify:album:1QUQhlFZaNBoKMbDBbT36v","Yumeji's Theme (Original Motion Picture Soundtrack)","spotify:artist:2YF8oM4cDvaP7tCpe4KQvi","Shigeru Umebayashi","2013-05-20","https://i.scdn.co/image/ab67616d0000b273cd90e97ecc36dbf05d688c20","1","1","150586","https://p.scdn.co/mp3-preview/5da2b03c0e272892a27b25861e6f8e2401f460b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","JPAP00501001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5c0SnA0e8bWtNDBlreO2jx","M' Bife Balafon","spotify:artist:3KH7WsR2JZQ94Ik8SyabU6","Amadou & Mariam","spotify:album:6iGoXwENON2onjXpv9bO38","Dimanche à Bamako","spotify:artist:3KH7WsR2JZQ94Ik8SyabU6","Amadou & Mariam","2005","https://i.scdn.co/image/ab67616d0000b273327e9ad7b605baf87dbb03ba","1","2","118866","https://p.scdn.co/mp3-preview/155fa59c4b3da8ef8054a658691be0672176f3e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","FR91P0400020","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:75fomtP3etOOIJDBAXVawy","Homeless (with Ladysmith Black Mambazo)","spotify:artist:2CvCyf1gEVhI0mX6aFXmVI, spotify:artist:3FdLhnmXynPvZkbILPpB6d","Paul Simon, Ladysmith Black Mambazo","spotify:album:6WgGWYw6XXQyLTsWt7tXky","Graceland (25th Anniversary Deluxe Edition)","spotify:artist:2CvCyf1gEVhI0mX6aFXmVI","Paul Simon","1986-08-12","https://i.scdn.co/image/ab67616d0000b27309880a7b8636c5a0615dc0c8","1","8","228413","https://p.scdn.co/mp3-preview/2ee743a274e60206ff55e4c328780230104947f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USSM11002276","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4FrUmjKqx5lJFmpskAWdiJ","Djaliya","spotify:artist:7F6474dJ7eusD2MkXm2Lwx","Ablaye Cissoko","spotify:album:05tfcODau1bIZEJ7j2srBm","Djaliya","spotify:artist:7F6474dJ7eusD2MkXm2Lwx, spotify:artist:4Po5wr0Ul3royQBHA8oZdm","Ablaye Cissoko, Volker Goetze","2014-10-13","https://i.scdn.co/image/ab67616d0000b273f61ba14d03dbef06a7ddb6ea","1","7","220176","https://p.scdn.co/mp3-preview/295dd0813b40e92b92ee78a16fdb8b7746adb32b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","FR6GO1300540","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:52elbAeWKGQ7MA8TqYWbtF","My Soul, My Spirit","spotify:artist:2qW0CNnmvdEQwiabdareHi, spotify:artist:2zyVwasA2QkaVopBFZ2RfX, spotify:artist:0aVJmlOwIxTZeHzhFiFL5Y, spotify:artist:4XyoalV7oNJZUzM2cqyeDZ","Paolo Fresu, Omar Sosa, Natacha Atlas, Quartetto Alborada","spotify:album:33etMZVrNXc989ByzH0rlu","Eros","spotify:artist:2qW0CNnmvdEQwiabdareHi, spotify:artist:2zyVwasA2QkaVopBFZ2RfX","Paolo Fresu, Omar Sosa","2016-04-29","https://i.scdn.co/image/ab67616d0000b273881720bdb88786eec67e4bfa","1","5","155017","https://p.scdn.co/mp3-preview/beae9504b3fbcd9189f431405fe776a3a3df8925?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","ITZ681400308","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:43jRlMxWW82NjbAWK6Dgc9","Intention","spotify:artist:5UeZCWSQYhQZwLM4tZxyrf, spotify:artist:2Ddv1NqTE2U5QjbC1xODJj","EarthRise SoundSystem, Morley","spotify:album:5W4i7yMYnMT6Y0WnS0FdhC","The Yoga Sessions","spotify:artist:5UeZCWSQYhQZwLM4tZxyrf","EarthRise SoundSystem","2010-01-01","https://i.scdn.co/image/ab67616d0000b2738a0409ee64c7b895f516cb38","1","1","146000","https://p.scdn.co/mp3-preview/6fde644b337fd3ab7dad99ec751bd8daeb602d2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USS690977715","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:795HmjjJWGQUMfL3foScIr","Mama","spotify:artist:0QnqZZKkxzvl9bnSJnoV8E","Blick Bassy","spotify:album:3u7FAwHspJFXJMgAfrFsmx","Akö","spotify:artist:0QnqZZKkxzvl9bnSJnoV8E","Blick Bassy","2015-04-06","https://i.scdn.co/image/ab67616d0000b27388e892da23ca76ecdc4150db","1","8","124054","https://p.scdn.co/mp3-preview/8fc18937d400ce8f58bf1b0192e7bc61f07ac6fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","FR2W61400053","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3w6Q4UYdUbAkwT4Plhh3Tp","Astrakan Café - 1","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","spotify:album:11AANoNamBHA1GwL2naAQb","Astrakan Café","spotify:artist:1aO9NulHwrE9pxHXFfCIoM","Anouar Brahem","2000-09-18","https://i.scdn.co/image/ab67616d0000b2735d30b99d273db25351ddb5c4","1","2","195640","https://p.scdn.co/mp3-preview/41a2c6770c52e8f5258454380a893b9c690f54ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","DEB339971802","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1xJvn7nufiBc8A5isZxwGs","Tcheren Deya","spotify:artist:43aKbycIA40vHixe0yBZJx","Mathias Duplessy","spotify:album:5j6nhqFX2c3hpaAGBSmvQC","My Mongolia","spotify:artist:43aKbycIA40vHixe0yBZJx","Mathias Duplessy","2012","https://i.scdn.co/image/ab67616d0000b273a460895ebcc447499b2694f0","1","1","192429","https://p.scdn.co/mp3-preview/6240856c0baf2a97796475efd2126565f9f64662?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","FRP8I1183820","spotify:user:","1970-01-01T00:00:00Z"
