"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7fZkH2fvvbUKhj00jexDtz","Blessed Feet","spotify:artist:3aTJxwDLCqCNvjrG7USP1a","Tord Gustavsen Trio","spotify:album:5JuT4GGK3RKVtbqQTDwlkS","Being There","spotify:artist:3aTJxwDLCqCNvjrG7USP1a, spotify:artist:4KdX4Etzvh6jyp13NTJklt","Tord Gustavsen Trio, Tord Gustavsen","2007-04-20","https://i.scdn.co/image/ab67616d0000b273c6339bb3cc347b8753bee1fb","1","4","364360","https://p.scdn.co/mp3-preview/459d150267d812e4013dbb63f37ad5abb6db545b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","DEB330601704","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:46LFQQGf0KavPAaepNN8sB","Get Out of Town","spotify:artist:6l40OFJhuTbHQ9V12evc9K","Gerry Mulligan","spotify:album:2ujmzTWpBs0rKq6lelbuWP","Jeru","spotify:artist:6l40OFJhuTbHQ9V12evc9K","Gerry Mulligan","1962","https://i.scdn.co/image/ab67616d0000b2734d370365fffc95657ee5b1d6","1","5","252480","https://p.scdn.co/mp3-preview/9f1315fb3c991afdf1da8d49fd1461ea70609215?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USSM10414454","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:5gtIMCsxsCn9wxlfed5Doy","In The Wee Small Hours Of The Morning","spotify:artist:34W7ZCX0LZeJd8q6boKGOk, spotify:artist:6zkX5fhrSD4tdVOmimR9wB","Ben Webster, Oscar Peterson","spotify:album:52vxvueV32JO6tZHaSojRZ","Ben Webster Meets Oscar Peterson","spotify:artist:6zkX5fhrSD4tdVOmimR9wB, spotify:artist:34W7ZCX0LZeJd8q6boKGOk","Oscar Peterson, Ben Webster","1997-01-01","https://i.scdn.co/image/ab67616d0000b273862fdcb70266816e5262b403","1","5","190706","https://p.scdn.co/mp3-preview/d36c0eeb21f3ba7c38c44831cc4725504af45e52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USPR35912076","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:0ZciyueIR3Jl1gh4lbiLsk","Time After Time","spotify:artist:2hGh5VOeeqimQFxqXvfCUf","John Coltrane","spotify:album:4xqrPtNB1AmM2qFLOCZ1GW","Stardust","spotify:artist:2hGh5VOeeqimQFxqXvfCUf","John Coltrane","1963-09-01","https://i.scdn.co/image/ab67616d0000b2732102313b78e2c0039cd89733","1","2","463906","https://p.scdn.co/mp3-preview/84439560528434aff20272bb236d6b29c77808f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USFI86300341","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:3f9KhpRN6mMYoVnpuozgHD","Gary's Theme - Remastered","spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Bill Evans","spotify:album:2B583jxnkHmIyBU6Z8VlmI","You Must Believe In Spring (Remastered Version)","spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Bill Evans","1981-02-02","https://i.scdn.co/image/ab67616d0000b27361fce905c16306cab399212b","1","3","257693","https://p.scdn.co/mp3-preview/b2a6fd9cd0ce815e699af2f1e2aeb014a583a9fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USWB10301999","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:6oSm3mBWFxJHEnjE2IqhmA","There Will Never Be Another You","spotify:artist:05E3NBxNMdnrPtxF9oraJm, spotify:artist:0ldU0QJm31y0d6f57R1G2A","Lester Young, Oscar Peterson Trio","spotify:album:7JkisS9bjzaQCgJ9btGjfq","The President Plays With The Oscar Peterson Trio","spotify:artist:05E3NBxNMdnrPtxF9oraJm, spotify:artist:0ldU0QJm31y0d6f57R1G2A","Lester Young, Oscar Peterson Trio","1959-06-02","https://i.scdn.co/image/ab67616d0000b273560ea575b1d7f32eda29b0c9","1","11","205666","https://p.scdn.co/mp3-preview/81b32596c520927eb4be0cbb29766adedd8e82ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USPR35252010","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:6lpUeTYRtxreTFCUkUHYxr","Street Of Dreams","spotify:artist:5isSr1JUeHt5cgh8oWz1Ja","Bill Charlap Trio","spotify:album:61y1rgjqARtBJxEn4WEPPr","Street Of Dreams","spotify:artist:5isSr1JUeHt5cgh8oWz1Ja","Bill Charlap Trio","2021-11-12","https://i.scdn.co/image/ab67616d0000b2736bd0c871f04533a83ee2ffd2","1","8","320373","https://p.scdn.co/mp3-preview/013713da5178bd8867430cae0f0c5ae7da674c0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USUM72110168","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:7Gf896pRsrMkQpQTkqMI09","My One And Only Love","spotify:artist:0ldU0QJm31y0d6f57R1G2A","Oscar Peterson Trio","spotify:album:7qcSO0ylHCDZNFClhnbqHv","Oscar Peterson For Lovers (Deluxe Edition)","spotify:artist:6zkX5fhrSD4tdVOmimR9wB, spotify:artist:0ldU0QJm31y0d6f57R1G2A","Oscar Peterson, Oscar Peterson Trio","2021-08-06","https://i.scdn.co/image/ab67616d0000b2734c675bf2d6441eabe33b2791","1","1","308066","https://p.scdn.co/mp3-preview/1685efed014867353443743d5e06cc3f527063ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USF096500140","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:3hEBiMFNK3zMUTaIk0qYyU","End Music","spotify:artist:7c7414LKkYnuDPlkrwDg9a, spotify:artist:3dz5vxw8WxPgcbD2HIVN5D, spotify:artist:3j1aerNPNVeAjD4GgI3xJQ","Portraits in Jazz, Claus Waidtløw, Nikolaj Hess","spotify:album:6MLTVkvJZuAGeKp5ckAFGt","Monday","spotify:artist:7c7414LKkYnuDPlkrwDg9a, spotify:artist:3dz5vxw8WxPgcbD2HIVN5D, spotify:artist:3j1aerNPNVeAjD4GgI3xJQ","Portraits in Jazz, Claus Waidtløw, Nikolaj Hess","2022-11-04","https://i.scdn.co/image/ab67616d0000b273ae4c43102fe3fe7bd76ab046","1","7","273200","https://p.scdn.co/mp3-preview/204af92f40de0c2f1b5df5d0073ecff7232c4f50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","FR96X2218107","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:36Xd81l2gCMOIv3uLJYSJh","Links","spotify:artist:6Bnvdx2Rqxe2ewzFxObRdU","Armel Dupas Trio","spotify:album:44rq9Oqk7prhdYXyGALbvn","Links","spotify:artist:6Bnvdx2Rqxe2ewzFxObRdU","Armel Dupas Trio","2022-07-08","https://i.scdn.co/image/ab67616d0000b27364a7e0ec9edbdadcd1a154be","1","1","232559","https://p.scdn.co/mp3-preview/41927057acc7c9593ea799e8da475cd6422ad96e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","CH6542234395","spotify:user:","2023-01-12T23:00:00Z"
