"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:20WkauB9pYy5z8d9nxpg2G","The Sixth Village","spotify:artist:3zKr6MBCb98FpYKepYUXVd","Derrick Gardner & the Big Dig! Band","spotify:album:3ry4Xsqqf9jl2syXgWuCM0","Pan Africa","spotify:artist:3zKr6MBCb98FpYKepYUXVd","Derrick Gardner & the Big Dig! Band","2023-01-13","https://i.scdn.co/image/ab67616d0000b273d9a2d3ca8e4c3f35e1094579","1","4","457728","https://p.scdn.co/mp3-preview/6ea394e37eca00274af10070819a163a4a5a7600?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","QZTB72277806","spotify:user:jazzineu","2023-01-13T09:36:12Z"
"spotify:track:5Js68bMuvMVpUiP2gjPwAO","Melancia (feat. Otmaro Ruiz, John Peńa, Lorenzo Ferrero, Ramón Stagnaro & Diana Acuńa)","spotify:artist:1jRpqsaOBwxfaaHFIaSeek, spotify:artist:1FWrmABS5NEpmqdsHfXj2N, spotify:artist:2k5QqCda0oGKtE1IAI4XV3, spotify:artist:26FinVoE1rAyc6SYm4LcxQ, spotify:artist:6br0HOs1Qp9CKJngm28FyG, spotify:artist:68xCMWTRe0Nwb2aryC8L1T","Alex Acuña, Otmaro Ruiz, Ramón Stagnaro, Diana Acuńa, Lorenzo Ferrero, John Peńa","spotify:album:192HeBhoDbIK9F0rjsyqF3","Gifts","spotify:artist:1jRpqsaOBwxfaaHFIaSeek, spotify:artist:1FWrmABS5NEpmqdsHfXj2N, spotify:artist:2k5QqCda0oGKtE1IAI4XV3","Alex Acuña, Otmaro Ruiz, Ramón Stagnaro","2022-09-23","https://i.scdn.co/image/ab67616d0000b27386f45eea50faaf0ced4c62f7","1","9","278733","https://p.scdn.co/mp3-preview/b8a3a54db9599d9e65008354b3e0f4dffce09df1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USY252295834","spotify:user:jazzineu","2023-01-13T09:44:20Z"
"spotify:track:0IpqHXgIJdToscPW31qb2a","Você e Eu (You and I)","spotify:artist:4qKIiUdFND09cgGOc5kfoR","Eliane Elias","spotify:album:4Pf7oXS0mAHLJKP2ORJwIU","Você e Eu (You and I)","spotify:artist:4qKIiUdFND09cgGOc5kfoR","Eliane Elias","2022-09-20","https://i.scdn.co/image/ab67616d0000b273f215ae956b046ebb176aab51","1","1","294018","https://p.scdn.co/mp3-preview/cddfb6625d46ea0c26cc9b7cb2d9508f10fdbf46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","QZR8K2221001","spotify:user:jazzineu","2023-01-13T09:45:36Z"
"spotify:track:2vc3Yib4xxlNJJucPxqr8p","Escape to Mars","spotify:artist:23pPYFUQvWcJANg52Q2e6L, spotify:artist:7wNfIZCBLC3oT0b9a7qcir, spotify:artist:4AkrHBPJJyd3Hpl4119kkN, spotify:artist:2CKKVhnXg0a9sw0DOXmwLK","Aycan Teztel, Anıl Şallıel, Williams Richart Cardoso, Volkan Öktem","spotify:album:6OdMa4xdjMDPZzFekcRNPe","Escape to Mars","spotify:artist:23pPYFUQvWcJANg52Q2e6L","Aycan Teztel","2022-11-11","https://i.scdn.co/image/ab67616d0000b273e3f0d2975c600d8f7873ce1f","1","1","208367","https://p.scdn.co/mp3-preview/caae7ad4c8c64a2a93f7e42903586d4b4b48ced4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","TRAEV2200051","spotify:user:jazzineu","2023-01-13T09:43:34Z"
"spotify:track:6aFGf6p70QcBsOxHaP49ZP","It's Almost Like Being in Love","spotify:artist:0COC3rnynVNQ8ZkdiEB7qt","Tracye Eileen","spotify:album:74s3fH3Bx7OlL4QtCHYyBc","You Hit the Spot","spotify:artist:0COC3rnynVNQ8ZkdiEB7qt","Tracye Eileen","2022-08-26","https://i.scdn.co/image/ab67616d0000b273eea47aefb02b2e1c28f3f219","1","4","160119","https://p.scdn.co/mp3-preview/e1a70989ba559e5e725c651b0ca296c29edff4b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","QMLLE2207004","spotify:user:jazzineu","2023-01-13T09:44:58Z"
"spotify:track:6DeIfwCBzhaZKMAadEabHa","Dat Dere","spotify:artist:26S75fg3PuKuYDAOdAdQT0","Nueva Manteca","spotify:album:2DadSLcQWWfn0HhadekMce","ART","spotify:artist:26S75fg3PuKuYDAOdAdQT0","Nueva Manteca","2022-04-08","https://i.scdn.co/image/ab67616d0000b273ccfc7283d51e189b0e6de6cd","1","4","313133","https://p.scdn.co/mp3-preview/e83437a2e8a5eed186882c79915684bffaef2a69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","NLCR72100006","spotify:user:jazzineu","2023-01-06T16:48:51Z"
"spotify:track:6dkXA8KeKNtLEIIKrZStcE","I Faram Gami","spotify:artist:7HGFXtBhRq3g1Ma3nH4Rgv","Mulatu Astatke","spotify:album:3yWMHSF36ISuNWiMyeOusR","Timeless","spotify:artist:7HGFXtBhRq3g1Ma3nH4Rgv","Mulatu Astatke","2022-04-15","https://i.scdn.co/image/ab67616d0000b273cde619784e2613567cfe34d7","1","3","465200","https://p.scdn.co/mp3-preview/94868876b101b0b90d7192eb322a71832cd51322?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","US25X2200675","spotify:user:jazzineu","2023-01-13T09:43:55Z"
"spotify:track:4Oan3DQCBgpNzPUcwW8aRC","One","spotify:artist:3DChar7NBjHvdTSnIdrFNL","Nora Kamm","spotify:album:3XiVhNg9gnuemaOvthaoyP","One","spotify:artist:3DChar7NBjHvdTSnIdrFNL","Nora Kamm","2022-11-25","https://i.scdn.co/image/ab67616d0000b27386539e2b76380e5cc0f5c410","1","1","199500","https://p.scdn.co/mp3-preview/6916214d3efe33e899cf08bc5fbbf7661b6d3863?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","FR9W12151342","spotify:user:jazzineu","2023-01-06T16:48:11Z"
"spotify:track:1M5BI6mApapye3JOSrgKYd","Giant Steps","spotify:artist:30Mx3ZadPgGZTcs38FvYP8","Paquito D'Rivera","spotify:album:2VnkthlSPTIj829HUShZUQ","Funk Tango","spotify:artist:30Mx3ZadPgGZTcs38FvYP8","Paquito D'Rivera","2007-05-22","https://i.scdn.co/image/ab67616d0000b2732363fcb99e0027e29e1a344e","1","11","350520","https://p.scdn.co/mp3-preview/78e224548db9370511bfd577e5c7c57b28b996dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USY950700011","spotify:user:jazzineu","2023-01-06T16:49:54Z"
"spotify:track:1rxhAnn7mZAUwytVbBOLS3","Poinciana","spotify:artist:0BTfBwYC5Mw5ezDg91JBma","Aaron Goldberg","spotify:album:3tRwejXlLIbZB8o6PHTM1n","At the Edge of the World","spotify:artist:0BTfBwYC5Mw5ezDg91JBma","Aaron Goldberg","2018-11-16","https://i.scdn.co/image/ab67616d0000b2738be1ca0ae858c54d85324142","1","1","347803","https://p.scdn.co/mp3-preview/50b979bd680b7afa0f24a0b36b9afa0be6c5d28c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","US2W61852101","spotify:user:jazzineu","2023-01-06T16:49:36Z"
