"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3al4xzBnTjTpcnZsfRiE0y","Out of Wilma","spotify:artist:1R3a9JWK2lSTjSr2Dw9Qay","Annie Berenson","spotify:album:1xHX7TFDWntXbStEw02s5Y","Out of Wilma","spotify:artist:1R3a9JWK2lSTjSr2Dw9Qay","Annie Berenson","2022-12-16","https://i.scdn.co/image/ab67616d0000b273d8f19efb7e88549b60d6a4ec","1","1","169612","https://p.scdn.co/mp3-preview/9a53a163dc38a6fe249fc9f91e0ab39fd092e415?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","SEXGF2203858","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:1POSSxzIB7fLcHDDfbmjDZ","Fools Rush In","spotify:artist:7b5QwOkTlJ9LVWJfofwAWV","The Southern Belle","spotify:album:2L8LchgYAzo2n0vuR5kYk7","Fools Rush In","spotify:artist:7b5QwOkTlJ9LVWJfofwAWV","The Southern Belle","2022-12-02","https://i.scdn.co/image/ab67616d0000b273b2be365358bd0c890e967796","1","1","273123","https://p.scdn.co/mp3-preview/8bae91fc6c9e899b5caca2f033699b04da05ac66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","SE5W32204637","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:5sO9OlDHzrdh3yqT89Cpce","Juniper Leaves","spotify:artist:2VQmB7dgKLHJve0htcYfiQ","James Jackson Jazz Trio","spotify:album:6csQt0hu30OWJhPCJBMn7f","Purple Magnolia","spotify:artist:2VQmB7dgKLHJve0htcYfiQ","James Jackson Jazz Trio","2022-07-31","https://i.scdn.co/image/ab67616d0000b273595bc4808a6aa3d546eeda66","1","2","205631","https://p.scdn.co/mp3-preview/d70120e3faf777571d04758de3175928697e5a25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","QZAKB2170427","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:4W4PZdDzTUa06u4iXCKRxI","Vine Street","spotify:artist:7LMuoHwZv9P0PPSO1DWaLZ","Soft Brush Touches","spotify:album:01zZ8pxxgCzAG2ETwIojD1","Vine Street","spotify:artist:7LMuoHwZv9P0PPSO1DWaLZ","Soft Brush Touches","2022-12-02","https://i.scdn.co/image/ab67616d0000b2736a1bc423afcf8929b127f636","1","1","146020","https://p.scdn.co/mp3-preview/fb52df7a72b74eb5ad5ee8a6aa679a895564d752?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","SEXGF2203080","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:4eaogpCx2UNkKylwlDNGJ7","Twenty Somethings","spotify:artist:5puwAFDyA8ztu2yucgdWKY","The Central Park North","spotify:album:2U3BM2wzkqr0aKtZm4bNyP","Twenty Somethings","spotify:artist:5puwAFDyA8ztu2yucgdWKY","The Central Park North","2022-12-09","https://i.scdn.co/image/ab67616d0000b273eabc49b42f6681e70f25d6a7","1","1","152695","https://p.scdn.co/mp3-preview/8326315a17cab1826ebd09636bb2c52d99b797ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","SE5W32293602","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:7KwrcuwPG14xG8XZafQa4I","Margaret Dances","spotify:artist:2HaQQhL4YwnMEo6CHATOtx","Lachlan Wright Trio","spotify:album:7beQd9cOaKBuE8N4lVRhau","Margaret Dances","spotify:artist:2HaQQhL4YwnMEo6CHATOtx","Lachlan Wright Trio","2022-10-09","https://i.scdn.co/image/ab67616d0000b2730146ed1dc456857a40d54d33","1","1","210843","https://p.scdn.co/mp3-preview/0d5e4016d5b26e4fea983774bdc5e290a13366db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","QZAKB2200925","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:3FFYuymUtI8DihGhLMHggW","Autumn Once Again","spotify:artist:6GtEW3IyxraJqKi2h86JqC","CMC 3","spotify:album:3XWIqHBr7g3vkRKOx94SFk","Autumn Once Again","spotify:artist:6GtEW3IyxraJqKi2h86JqC","CMC 3","2022-10-21","https://i.scdn.co/image/ab67616d0000b2732bcc1ed593d35321e668669b","1","1","284438","https://p.scdn.co/mp3-preview/93453c52e2305f3d728a55e5317d7c914b239f79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","SE5W32203857","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:130PBtsuj1VyxWdn3fhN46","My lids closed down","spotify:artist:13RaAeTknGQIB6kBEDTyRY","Charlie Regan Three","spotify:album:6zxGisZi4shjN2KDc2MEll","My lids closed down","spotify:artist:13RaAeTknGQIB6kBEDTyRY","Charlie Regan Three","2022-12-23","https://i.scdn.co/image/ab67616d0000b273ed9cccfbfd66726d6b829b77","1","1","231689","https://p.scdn.co/mp3-preview/df03b149c8bf57dce4d19d161354ec45aae6055f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","SE5W32294006","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:7MTAzNGDR2oen6dmPKxI3C","The April Skies","spotify:artist:0lEDIqg3LH3JQ9YoFMJAIn","LaSalle Street Trio","spotify:album:4g98w5zi81287g6iuPt3bJ","The April Skies","spotify:artist:0lEDIqg3LH3JQ9YoFMJAIn","LaSalle Street Trio","2022-12-30","https://i.scdn.co/image/ab67616d0000b273e184be69ad917bc6bd73bd3a","1","1","213835","https://p.scdn.co/mp3-preview/b0b8389851b31305a76a98f746e303c69367d7a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","SE5W32294708","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:1Eh0sGvTxDYx13pE2PBpEn","Candy","spotify:artist:4SL7KeObcdWbpCRzEKlhCJ","Irvin Smith Group","spotify:album:0YBqRnGxHoCnuEcgdtNLs1","Candy","spotify:artist:4SL7KeObcdWbpCRzEKlhCJ","Irvin Smith Group","2023-01-13","https://i.scdn.co/image/ab67616d0000b273cde6e266a5b0d2569a25ca90","1","1","204083","https://p.scdn.co/mp3-preview/3d85d2aad5726c09d5951c2c814e8639088a0f0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","SE5W32300115","spotify:user:","2023-01-12T23:01:00Z"
