"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2PuUFT13yCzUOZun94WOXv","Suite: Judy Blue Eyes - 2005 Remaster","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","spotify:album:6vUWpE8qciYHOhf7mgaGny","Crosby, Stills & Nash","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","1969-05-29","https://i.scdn.co/image/ab67616d0000b273a32339b8818323380682a889","1","1","444053","https://p.scdn.co/mp3-preview/7caf425ad0f847b8e3ba33598d1d25ad06c3dd87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USAT20506555","spotify:user:rob.bednark","2019-09-02T21:24:00Z"
"spotify:track:0otlwsD3mSogk7VJCTp6Kg","Let My Love Open The Door","spotify:artist:24Wa5wIZIo1sPkzVGP0B5p","Pete Townshend","spotify:album:0X8rEKkL2TupftQRrOzX4h","Empty Glass","spotify:artist:24Wa5wIZIo1sPkzVGP0B5p","Pete Townshend","1980-04-21","https://i.scdn.co/image/ab67616d0000b2733e7111cc866efb341a2988f2","1","4","164653","https://p.scdn.co/mp3-preview/12f52c2789226a368f8f3815e75b729952388e3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBUM71500440","spotify:user:rob.bednark","2019-09-02T21:09:54Z"
"spotify:track:0sMImBteCIVUKNhcyx3Cyx","Today Is a Gift","spotify:artist:4owATw6JCMuUxeWdh3eiyg","Beowülf","spotify:album:7y6bgIinMh4JhhSMEPgNvj","Today Is a Gift","spotify:artist:4owATw6JCMuUxeWdh3eiyg","Beowülf","2018-01-03","https://i.scdn.co/image/ab67616d0000b2739813d924ae55768ae3c893ce","1","1","154775","","false","0","QZAPG1811412","spotify:user:rob.bednark","2019-07-13T04:50:22Z"
"spotify:track:1Q2g3OKXYANhkapk5VjYJi","The Song from ""Moulin Rouge"" (Where Is Your Heart) (with Percy Faith & His Orchestra)","spotify:artist:6ZjmF1Gx5FLslaon1yLnDH, spotify:artist:24DQLSng7bKZD4GXLIaQbv","Felicia Sanders, Percy Faith & His Orchestra","spotify:album:4AdlSv0lu4ybv2PXv7Moma","Percy Faith'S Greatest Hits","spotify:artist:24DQLSng7bKZD4GXLIaQbv","Percy Faith & His Orchestra","1953","https://i.scdn.co/image/ab67616d0000b273305d0d7ce3dbf3f54508af6d","1","7","197200","https://p.scdn.co/mp3-preview/a1575aa8e9bac25618e8c611830b7f0ffd2d4719?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USSM19915918","spotify:user:rob.bednark","2014-09-24T00:48:52Z"
"spotify:track:3XiFWZoHQtGUYIdtShPwPD","Moonlight Serenade","spotify:artist:2aAHdB5HweT3mFcRzm0swc","Glenn Miller","spotify:album:4B3jbISuOJnDpZj8iobFxu","Pure Gold","spotify:artist:2aAHdB5HweT3mFcRzm0swc","Glenn Miller","1980-04-09","https://i.scdn.co/image/ab67616d0000b273aff46654b5dd4a0f72d17cc0","1","10","201400","https://p.scdn.co/mp3-preview/2fcf71d2e8084efd20c9f7af76f67d94a3bbeb6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USRC19901217","spotify:user:rob.bednark","2014-09-24T00:52:43Z"
"spotify:track:1qWLqI629DQmVAcfxWV8ZZ","The Way You Look Tonight","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:2PinY54sX1Uty9C4oQSFdP","Sinatra: Best Of The Best","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","2011-11-15","https://i.scdn.co/image/ab67616d0000b273a794383da98ba44bf5932121","1","15","202253","","false","0","USRH11102493","spotify:user:rob.bednark","2014-09-24T00:56:28Z"
"spotify:track:1rIFZk9tTUtHP3vULR5wXe","Code Monkey","spotify:artist:292sg99iIOc93zcd30r4Oz","Jonathan Coulton","spotify:album:0eW4vkDVxqS4U60ExzsKhR","JoCo Looks Back","spotify:artist:292sg99iIOc93zcd30r4Oz","Jonathan Coulton","2008-01-01","https://i.scdn.co/image/ab67616d0000b273a422d871dbfd354dede7e0e4","1","1","190560","https://p.scdn.co/mp3-preview/ff478b2569aa2d711908fa1c0fc01a945bf37ff7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","usx9p0643176","spotify:user:rob.bednark","2014-10-12T19:08:49Z"
"spotify:track:7ufrB020HCPSXcyuK8o39W","(You've Got) The Magic Touch","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:48VpGQRP9z2Nhw2iq1uyaN","The Best Of The Platters","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1995-01-01","https://i.scdn.co/image/ab67616d0000b2738f596fd18c96d6f32513d854","1","6","145826","","false","0","USPR39982231","spotify:user:rob.bednark","2014-11-23T23:10:30Z"
"spotify:track:76eNJQoJmN4mfsUW0q8HPv","A Certain Smile - From the 20th Century Fox Film ""A Certain Smile""","spotify:artist:21LGsW7bziR4Ledx7WZ1Wf","Johnny Mathis","spotify:album:4KM9hhWCgasx9j7y3NogNv","The Essential Johnny Mathis","spotify:artist:21LGsW7bziR4Ledx7WZ1Wf","Johnny Mathis","2004-05-04","https://i.scdn.co/image/ab67616d0000b273481a134a673bcbc218daa324","1","10","168293","https://p.scdn.co/mp3-preview/2fff37c00dbd0790b8351bcc0cef2faecfbdbc34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USSM10008383","spotify:user:rob.bednark","2014-11-23T23:11:39Z"
"spotify:track:7qGkE4TlT0JEqTGW3OuFGR","Don't Let The Stars Get In Your Eyes","spotify:artist:5v8jlSmAQfrkTjAlpUfWtu","Perry Como","spotify:album:3Qa7NpszQDzbtAa5LiE7Lo","The Golden Voice Of Perry Como","spotify:artist:5v8jlSmAQfrkTjAlpUfWtu","Perry Como","2003","https://i.scdn.co/image/ab67616d0000b273af4bf56bb2ec77d10f5e061d","1","12","159760","","false","0","GBBPG0358012","spotify:user:rob.bednark","2014-11-23T23:14:32Z"
