"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3YaG0LrzjVLhWOfZ7b9noC","Cast Your Fate To The Wind","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","spotify:album:2Nlf3aKGsbJpGaL9rU6O6F","Linus & Lucy - The Music Of Vince Guaraldi","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","1996-08-21","https://i.scdn.co/image/ab67616d0000b273378a5fa91aa178a1e7e8527b","1","1","384293","","false","0","USDC39600001","spotify:user:rob.bednark","2013-05-19T03:39:44Z"
"spotify:track:1mD1D8Y4BM4uDfMSo28wO0","Skating","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","spotify:album:2Nlf3aKGsbJpGaL9rU6O6F","Linus & Lucy - The Music Of Vince Guaraldi","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","1996-08-21","https://i.scdn.co/image/ab67616d0000b273378a5fa91aa178a1e7e8527b","1","2","181800","","false","0","USDC39600032","spotify:user:rob.bednark","2013-05-19T03:39:44Z"
"spotify:track:0csnwGbZmRymXIvmEu8ec1","Linus & Lucy","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","spotify:album:2Nlf3aKGsbJpGaL9rU6O6F","Linus & Lucy - The Music Of Vince Guaraldi","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","1996-08-21","https://i.scdn.co/image/ab67616d0000b273378a5fa91aa178a1e7e8527b","1","3","195160","","false","0","USDC39600033","spotify:user:rob.bednark","2013-05-19T03:39:44Z"
"spotify:track:3zc6aJo0DvQvFpcuW6NKPl","The Great Pumpkin Waltz","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","spotify:album:2Nlf3aKGsbJpGaL9rU6O6F","Linus & Lucy - The Music Of Vince Guaraldi","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","1996-08-21","https://i.scdn.co/image/ab67616d0000b273378a5fa91aa178a1e7e8527b","1","4","235706","","false","0","USWH19601101","spotify:user:rob.bednark","2013-05-19T03:39:44Z"
"spotify:track:2FI41Hy9xvKwx8Z1ehh4fN","Monterey","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","spotify:album:2Nlf3aKGsbJpGaL9rU6O6F","Linus & Lucy - The Music Of Vince Guaraldi","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","1996-08-21","https://i.scdn.co/image/ab67616d0000b273378a5fa91aa178a1e7e8527b","1","5","274000","","false","0","USDC39600035","spotify:user:rob.bednark","2013-05-19T03:39:44Z"
"spotify:track:1FkFnfW9cMaMMlI2ts1GA5","A Charlie Brown Thanksgiving","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","spotify:album:2Nlf3aKGsbJpGaL9rU6O6F","Linus & Lucy - The Music Of Vince Guaraldi","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","1996-08-21","https://i.scdn.co/image/ab67616d0000b273378a5fa91aa178a1e7e8527b","1","6","149533","","false","0","USDC39600036","spotify:user:rob.bednark","2013-05-19T03:39:44Z"
"spotify:track:1Y79g4qO3h9oPZQq0X5ukc","Treat Street","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","spotify:album:2Nlf3aKGsbJpGaL9rU6O6F","Linus & Lucy - The Music Of Vince Guaraldi","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","1996-08-21","https://i.scdn.co/image/ab67616d0000b273378a5fa91aa178a1e7e8527b","1","7","291893","","false","0","USDC39600037","spotify:user:rob.bednark","2013-05-19T03:39:44Z"
"spotify:track:66s23x7v1rnrkRDDeXE4UV","Eight Five Five","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","spotify:album:2Nlf3aKGsbJpGaL9rU6O6F","Linus & Lucy - The Music Of Vince Guaraldi","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","1996-08-21","https://i.scdn.co/image/ab67616d0000b273378a5fa91aa178a1e7e8527b","1","8","82466","","false","0","USDC39600038","spotify:user:rob.bednark","2013-05-19T03:39:44Z"
"spotify:track:2jFl4uLb8ZetYu0jJsjE1r","The Masked Marvel","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","spotify:album:2Nlf3aKGsbJpGaL9rU6O6F","Linus & Lucy - The Music Of Vince Guaraldi","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","1996-08-21","https://i.scdn.co/image/ab67616d0000b273378a5fa91aa178a1e7e8527b","1","9","335106","","false","0","USDC39600039","spotify:user:rob.bednark","2013-05-19T03:39:44Z"
"spotify:track:23SdHjqVGHgFfAr0CsA1EC","Charlie Brown And His All-Stars","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","spotify:album:2Nlf3aKGsbJpGaL9rU6O6F","Linus & Lucy - The Music Of Vince Guaraldi","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","1996-08-21","https://i.scdn.co/image/ab67616d0000b273378a5fa91aa178a1e7e8527b","1","10","114173","","false","0","USDC39600040","spotify:user:rob.bednark","2013-05-19T03:39:44Z"
