"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:57j1v3ks11sygQuUWcSHaL","Take Five - Live","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","spotify:album:4My0KPjdtzCUfFjToOCiPh","At Carnegie Hall","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","1963","https://i.scdn.co/image/ab67616d0000b273679953036210fd3e3579738c","2","6","436533","https://p.scdn.co/mp3-preview/5f75a3c893bf4394faf4b6b627955f44e96f19f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USSM10014317","spotify:user:rob.bednark","2020-09-26T00:37:07Z"
"spotify:track:26wIlZWvA5ymbgBUhAsFBz","The World Is Waiting For The Sunrise","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","spotify:album:7JHX9w5tOLvxZQDqXIaBlq","Djangology 49","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","1990-02-13","https://i.scdn.co/image/ab67616d0000b27361fa1161bad5deaaf2d3096b","1","1","168800","https://p.scdn.co/mp3-preview/fc3003e3bdcb295af9121f692faeba701b59b518?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USBB19001021","spotify:user:rob.bednark","2020-09-26T00:40:24Z"
"spotify:track:0bi9WNiuAHg4Okx90xd7Gt","Hallelujah","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","spotify:album:7JHX9w5tOLvxZQDqXIaBlq","Djangology 49","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","1990-02-13","https://i.scdn.co/image/ab67616d0000b27361fa1161bad5deaaf2d3096b","1","2","189160","https://p.scdn.co/mp3-preview/8e8d16a7412c17400ee053130a6efbe841807a9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","USBB19001007","spotify:user:rob.bednark","2020-09-26T00:40:24Z"
"spotify:track:0P6nmgHPYVKO6Dmzz2kbbA","I'll Never Be The Same","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","spotify:album:7JHX9w5tOLvxZQDqXIaBlq","Djangology 49","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","1990-02-13","https://i.scdn.co/image/ab67616d0000b27361fa1161bad5deaaf2d3096b","1","3","241240","https://p.scdn.co/mp3-preview/0eb765ca94138adbf6bee549fc1af49fbdac89c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","USBB19001014","spotify:user:rob.bednark","2020-09-26T00:40:24Z"
"spotify:track:7Igt7HYRjyQoL6nhBMj88T","Honeysuckle Rose","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","spotify:album:7JHX9w5tOLvxZQDqXIaBlq","Djangology 49","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","1990-02-13","https://i.scdn.co/image/ab67616d0000b27361fa1161bad5deaaf2d3096b","1","4","241360","https://p.scdn.co/mp3-preview/ea1670ce08565a52a372d9f1aa28eabea578954b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","USBB19001009","spotify:user:rob.bednark","2020-09-26T00:40:24Z"
"spotify:track:3Jlc1TpJovaQEyeceBHnaz","All The Things You Are","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","spotify:album:7JHX9w5tOLvxZQDqXIaBlq","Djangology 49","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","1990-02-13","https://i.scdn.co/image/ab67616d0000b27361fa1161bad5deaaf2d3096b","1","5","173240","https://p.scdn.co/mp3-preview/2dbb8c695d974a2e76ef884406d10aadee068d8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USBB19001003","spotify:user:rob.bednark","2020-09-26T00:40:24Z"
"spotify:track:5NyLBZeJZ571YsJ8Sfkvyc","Djangology","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","spotify:album:7JHX9w5tOLvxZQDqXIaBlq","Djangology 49","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","1990-02-13","https://i.scdn.co/image/ab67616d0000b27361fa1161bad5deaaf2d3096b","1","6","165466","https://p.scdn.co/mp3-preview/84c510352b0490950dc86705457772b4a290fa50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","USBB19001006","spotify:user:rob.bednark","2020-09-26T00:40:24Z"
"spotify:track:5GZ3kNTgHxETO7MzfmeBue","Daphne","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","spotify:album:7JHX9w5tOLvxZQDqXIaBlq","Djangology 49","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","1990-02-13","https://i.scdn.co/image/ab67616d0000b27361fa1161bad5deaaf2d3096b","1","7","144560","https://p.scdn.co/mp3-preview/6f706379128e57581a1a0bc384dfbaa6eca1f7bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USBB19001005","spotify:user:rob.bednark","2020-09-26T00:40:24Z"
"spotify:track:1iqYqVkzPJAQ6Kgc0Kn2I5","Beyond The Sea (La Mer)","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","spotify:album:7JHX9w5tOLvxZQDqXIaBlq","Djangology 49","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","1990-02-13","https://i.scdn.co/image/ab67616d0000b27361fa1161bad5deaaf2d3096b","1","8","256000","https://p.scdn.co/mp3-preview/4201d5869aa0a77f0ece5a636f1a9eee00b11db0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USBB19001004","spotify:user:rob.bednark","2020-09-26T00:40:24Z"
"spotify:track:2rScvLldsDrEvplIJw7QFQ","Lover Man","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","spotify:album:7JHX9w5tOLvxZQDqXIaBlq","Djangology 49","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","1990-02-13","https://i.scdn.co/image/ab67616d0000b27361fa1161bad5deaaf2d3096b","1","9","191400","https://p.scdn.co/mp3-preview/1a60f7e8ca9b3a3e54140bed9f8c9a32ae470ab6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USBB19001017","spotify:user:rob.bednark","2020-09-26T00:40:24Z"
