"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2XpDv9Km92QwQdiWVgXMLa","Letter to The Editor","spotify:artist:25KNo5GDS6ZpLkjasaecA3, spotify:artist:3cKtACqghal3orX5jPdsbp","Thievery Corporation, Racquel Jones","spotify:album:3naxO4ZMrfJqEpEKjkVvlH","The Temple of I & I","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","2017-02-10","https://i.scdn.co/image/ab67616d0000b273a798bd88ad1288025014637c","1","2","233506","","true","1","USESL1222202","spotify:user:kala82","2017-09-04T02:37:48Z"
"spotify:track:2x9Lj2sF0HQuTFtgzIL27O","All That We Perceive","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","spotify:album:6p1BI7i1XIGzJCr0cfp0US","It Takes A Thief","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","2010-09-21","https://i.scdn.co/image/ab67616d0000b27389dea61b04acbd044a41787e","1","10","226159","","false","0","USESL1016410","spotify:user:kala82","2017-09-05T14:31:05Z"
"spotify:track:59irMF6BIyxXmjuPgVSCsj","Swollen","spotify:artist:59xljcfdN2Z9VX2U5RFKEa","Bent","spotify:album:6lqVWHv7vKDrMhTgrNFwkM","Best Of","spotify:artist:59xljcfdN2Z9VX2U5RFKEa","Bent","2009-06-29","https://i.scdn.co/image/ab67616d0000b2737ceb20f8ed9f7e645f119849","1","1","297840","https://p.scdn.co/mp3-preview/ba1a6dc8afbd85c25fd4d4d490a138104bb7f823?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBNMC0900041","spotify:user:kala82","2022-10-27T20:14:22Z"
"spotify:track:56L5Mw1KLFtqGHd8JpZX0f","Mandala","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","spotify:album:7JK0l9nae3EcV6C1lz4LlG","Radio Retaliation","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","2008-09-23","https://i.scdn.co/image/ab67616d0000b27380206152319ab371ab8f351c","1","2","240626","","false","1","USESL0814002","spotify:user:","2011-10-19T05:30:20Z"
"spotify:track:5CwTM5lZId82fTjkSDlbTS","Warning Shots","spotify:artist:25KNo5GDS6ZpLkjasaecA3, spotify:artist:4hS8zLlKfZcbJFZqH2D7km, spotify:artist:3p00mlIL7KcUqbdvNVGbzm","Thievery Corporation, Sleepy Wonder, Gunjan","spotify:album:3x31ejKrrjJWXGd6ftaSNu","The Cosmic Game","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","2005-02-22","https://i.scdn.co/image/ab67616d0000b273c5a8b0b9b21382b8c81663e8","1","2","302160","","false","1","USESL0508102","spotify:user:kala82","2017-09-04T00:41:37Z"
"spotify:track:3dw6v2tIWPL1kPSPVOOV8L","Amerimacka","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","spotify:album:3ipnf1nAoxprAGmm35jROW","Lounge Classics Digital Box Set - The Platinum Collection of Timeless Chilled Bar Grooves","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-05-11","https://i.scdn.co/image/ab67616d0000b273ea5fc02b67aeec5846feb25e","1","13","345506","","false","0","GBKTX0900487","spotify:user:kala82","2017-03-10T19:12:55Z"
"spotify:track:6vxkqv1JheZ13gppcxHRXO","The Richest Man In Babylon","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","spotify:album:7qJaVqhgiBtPLb9MOzwmZA","The Richest Man In Babylon","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","2002","https://i.scdn.co/image/ab67616d0000b27304e93d47237c8a89306ccc2f","1","11","230266","","false","5","USESL0306011","spotify:user:","2011-10-19T05:34:25Z"
"spotify:track:1OwEx3jhlrMrhAyQ3eHgka","Lebanese Blonde","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","spotify:album:1Drw3R28nBFluW0G4v5fj4","The Mirror Conspiracy","spotify:artist:25KNo5GDS6ZpLkjasaecA3","Thievery Corporation","2000-08-09","https://i.scdn.co/image/ab67616d0000b273d4771f009b9adee000068518","1","4","288826","","false","21","USESL0003304","spotify:user:kala82","2017-08-21T04:43:15Z"
"spotify:track:6eP8HqCUCHetvdWxEMFyBS","Take It Slow feat. Joe Dukie & U-Brown","spotify:artist:2I36EjIVz3vDfROgj1MfZ3","Boozoo Bajou","spotify:album:3wcpajF7FlQhlAIETPR0Hr","Dust My Broom","spotify:artist:2I36EjIVz3vDfROgj1MfZ3","Boozoo Bajou","2005-08-22","https://i.scdn.co/image/ab67616d0000b273f29223143a0606043247bf94","1","2","334173","","false","0","DEG930500282","spotify:user:","2012-03-28T19:44:58Z"
"spotify:track:6HUstspEb2y1F5NigLL31u","It's Personal","spotify:artist:0utS63XytOEVN1EtzWhJpG","The Radio Dept.","spotify:album:5h9EnMaX90ChRlZLQW2nqk","Pet Grief","spotify:artist:0utS63XytOEVN1EtzWhJpG","The Radio Dept.","2006","https://i.scdn.co/image/ab67616d0000b27387ea53cc1631f79456fc04bc","1","1","218320","","true","0","SEVMM0603001","spotify:user:","2012-10-02T16:12:50Z"
