"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7dSK5eDk7kkvRVEZVZbsrD","Love Is Blue","spotify:artist:4rbuIw9Fa3U8yCZuK2Ig1K","Ledward Kaapana","spotify:album:67VmVszGqynhJMBugwDeD1","""Kiho'alu"" Hawaiian Slack Key Guitar","spotify:artist:4rbuIw9Fa3U8yCZuK2Ig1K","Ledward Kaapana","2006-11-10","https://i.scdn.co/image/ab67616d0000b273e00c5518006c696f94e367ff","1","12","287133","https://p.scdn.co/mp3-preview/d6c33d2b502fef516c8d29925c7eb221677eb5ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","uscgj0670129","spotify:user:","2012-05-28T19:56:12Z"
"spotify:track:2Spa687CxXQP5Ll8dzeLZP","Love is blue","spotify:artist:5Oj26LEf8jdgR2woWEjlhi, spotify:artist:7FhixE55GL7MxjQpY4E4xD, spotify:artist:0BsbHRtvGE3HI4vdR4sobs","Paul Mauriat, A.Popp, P.Court","spotify:album:4rhcKC5XGn9sfJJ4xNgNE1","Love is Blue The very best of Paul Mauriat","spotify:artist:5Oj26LEf8jdgR2woWEjlhi","Paul Mauriat","2010-02-26","https://i.scdn.co/image/ab67616d0000b273d92a6e221210a1c83842354a","1","1","155866","","false","0","ES8071010854","spotify:user:","2012-05-28T19:56:23Z"
"spotify:track:5Lk6PhyEPcdqsq7RoOcsZa","Love Is Blue","spotify:artist:0HxQeBjzWt18F1em8G2flL","The Mystic Moods Orchestra","spotify:album:1pqhx49UjErxaGZWjs74ej","Stormy Weekend","spotify:artist:0HxQeBjzWt18F1em8G2flL","The Mystic Moods Orchestra","1972","https://i.scdn.co/image/ab67616d0000b273cda189feb2c5a6e93579656c","1","1","209906","https://p.scdn.co/mp3-preview/5af655a8131fbf2e58e00a269e92444333ad50da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","USZBY0702593","spotify:user:","2012-05-28T19:56:35Z"
"spotify:track:7CcpBaXCsJsaBeexoiRU1D","Love Is Blue","spotify:artist:38CPjAAqYV8lTYi6clzbjG, spotify:artist:1Gy2CxCb9Bvp6Wp0xQmSbq, spotify:artist:08MG1w8piIBNcK7H4TTazQ, spotify:artist:50appzhosvzQcqmeipXLtP, spotify:artist:7ynQZmXaxvWuYmrHkVxs9u","Gábor Szabó, Jim Stewart, Hal Gordon, Jimmy Keltner, Louis Kabok","spotify:album:21c7ulNJzCSDIelgGBA1QF","Bacchanal","spotify:artist:38CPjAAqYV8lTYi6clzbjG","Gábor Szabó","1968","https://i.scdn.co/image/ab67616d0000b273cf90c6b1bbd347e799edd6c4","1","2","258906","https://p.scdn.co/mp3-preview/a56db5a219a5449006165ae4ca05a5e7c57bbe33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USA560663431","spotify:user:","2012-05-28T19:57:02Z"
"spotify:track:5cO4g2Dk6gh63P6yxBJ96o","Love Is Blue","spotify:artist:6WtWmLPWn1imbcisSfmBvy","The Ray Conniff Singers","spotify:album:5feWtJuowblyuZ6lUdTkWR","Honey","spotify:artist:7LfRnzGM0wRSyS5mmAwJbv","Ray Conniff","1968-10-17","https://i.scdn.co/image/ab67616d0000b273d68e87c2e0d2673406c5882d","1","4","165933","https://p.scdn.co/mp3-preview/e4f38428a632df1b4ad53d08e838dd925bab7aef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USSM10305026","spotify:user:","2012-05-28T19:56:43Z"
"spotify:track:7j5gqUluYLTb4ITF7SitvR","Love Is Blue","spotify:artist:0h885xmyK9xHfhyXQr37L6","Richard Clayderman","spotify:album:2E2vW1Dk1y0LE7CCl9nOuc","The World's Most Popular Pianist Plays Classic Lounge Music","spotify:artist:0h885xmyK9xHfhyXQr37L6","Richard Clayderman","2012-07-16","https://i.scdn.co/image/ab67616d0000b273a09f4cca7a24369291a6b67e","1","5","104506","","false","0","FR08F7900190","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:3MWfzuVrN4jo5PgJAhtGiE","Love Is Blue","spotify:artist:1oq28drP020oihXGhDIzYr","Sonny Bradshaw Seven","spotify:album:1eXqTEPwxfZDSdG0dwMLm6","Trojan Sixties Box Set","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2004","https://i.scdn.co/image/ab67616d0000b27313673ba633eeef058e6712f3","1","9","197133","","false","0","GBAJE6800886","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:3f2fPtVl9Yr32kDVaeaeOM","Love Is Blue","spotify:artist:6BFFrrIqdMOl43DIMc82jv","Ronnie Aldrich","spotify:album:3LAWLROnarCnKZlKVpjx5R","Essential Lounge Classics","spotify:artist:6BFFrrIqdMOl43DIMc82jv","Ronnie Aldrich","2011-02-01","https://i.scdn.co/image/ab67616d0000b273bf5d20b86ccc889e56787aa5","1","10","197920","","false","0","USA371210028","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:2M2ZXEBRpitBKlCQduOjr2","Love Is Blue","spotify:artist:03Y6tzNLTxc2bq4odDncEI","Luc Montrose","spotify:album:7vzN5dzeA3MQY5TCFE1BzM","I Love Paris","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2002","https://i.scdn.co/image/ab67616d0000b273ca447713b5595aa03a76e9dd","1","15","167160","","false","0","GBHVK0500010","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:2YoEuPu55nY1TZOZ3xYpS4","Love Is Blue","spotify:artist:2GMH35k5oLCjzYpn5HbaD8","Lawrence Welk","spotify:album:0p5XXqKTXPqt0DTVZ9vVyq","Blue Tango - Essential Masters","spotify:artist:2GMH35k5oLCjzYpn5HbaD8","Lawrence Welk","2012-02-01","https://i.scdn.co/image/ab67616d0000b273b5cfe52c2e027e4dbdc236b0","1","12","146000","","false","3","USA371653575","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:1GqOcy2wP2ODjueudT1a1p","Love Is Blue","spotify:artist:0EeHVtSdrYibpGDVHjWEpe","Mannheim Steamroller","spotify:album:3XEMF2ODG73JSJcN3VAtJ6","Romantic Themes","spotify:artist:0EeHVtSdrYibpGDVHjWEpe","Mannheim Steamroller","2004","https://i.scdn.co/image/ab67616d0000b273c5e7fb197f7884a9b2533acd","1","1","195186","https://p.scdn.co/mp3-preview/9eeb8b5b5448f07cf3e494602750e53ba98c73af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USAG20521501","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:6rWI6VdIdhhQN6BXgUMy1M","Love Is Blue","spotify:artist:1sLpCr5xThZkGHLw4H0mNE","101 Strings Orchestra","spotify:album:5yB16xhQ0QXaUKNSf80zok","Easy Listening: Relax & Spa","spotify:artist:1sLpCr5xThZkGHLw4H0mNE","101 Strings Orchestra","2009-04-14","https://i.scdn.co/image/ab67616d0000b2733e8f2b014ee6bfe4261a6fa1","1","16","150591","","false","0","CAM460423546","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:7kTA5HIPjE0ohzm2srLJAA","Love Is Blue","spotify:artist:6Z9BYjPk5TLrwCup4utBD6","Mercy","spotify:album:4g2SB9KDxWcVTWkRQqPmbu","Love Can Make You Happy","spotify:artist:5laKh6PlOm91wCCyh8xLBL","Jack Sigler\, Jr.\, Brenda Mcnish\, Debbie Lewis\, Jamie Marvell","2009-06-02","https://i.scdn.co/image/ab67616d0000b273e382faf601035ea75106863f","1","10","181666","","false","0","USBEN0953910","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:6JbEbGta5xRjzqsQMcawL9","Love Is Blue (as made famous by Paul Mauriat)","spotify:artist:0JgsUjTawMFZj1PCkO5xkL","Soft Rock Piano Players","spotify:album:1x1Jena5MBTHVsiWEjQxni","Piano Soft Rock","spotify:artist:0JgsUjTawMFZj1PCkO5xkL","Soft Rock Piano Players","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733a98df851c6ec1a086aa526d","1","37","329693","https://p.scdn.co/mp3-preview/e35c3bc73a796b7d40513d73c574e311ef155a56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA560902038","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:4rYyHOBp50zEluztNe8fkS","Love Is Blue","spotify:artist:0Xi59sEw38vRvwleSAVqoo","Marty Robbins","spotify:album:0BUwybdSAULe982sAEKjfE","Marty Robbins' All-Time Greatest Hits","spotify:artist:0Xi59sEw38vRvwleSAVqoo","Marty Robbins","1972","https://i.scdn.co/image/ab67616d0000b2735f9a804845b7ab7ed9e43b80","1","4","144426","https://p.scdn.co/mp3-preview/c0fb83c759e4c3faf8246c8fbfdb26e5b88feaff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USSM19905575","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:4lnNov2ARPsuF7JYKxD3gG","Love Is Blue","spotify:artist:0AD4odMWVQ2wUSlgxOB5Rl","Jeff Beck","spotify:album:4izNGqL8JblkIZANvf38Gi","Truth","spotify:artist:0AD4odMWVQ2wUSlgxOB5Rl","Jeff Beck","1968-08","https://i.scdn.co/image/ab67616d0000b273a1fbfad13de69da3d234e749","1","17","175093","","false","0","USSM10603696","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:2bMH7MkYRyh7YoyCOBfcUy","Love Is Blue (L'amour Est Bleu)","spotify:artist:3eDgUymNqgBqcqyrsUMo3i","Orchestral Academy Of Los Angeles","spotify:album:5QtK4ehOCoEhE5ahVJocdt","100 Classical Strings - Then & Now","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-11-01","https://i.scdn.co/image/ab67616d0000b273e798360511085196b4a35412","1","25","155520","https://p.scdn.co/mp3-preview/37bcb8a0c886dc4a345435a4066fa8be205f9509?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","USA371124226","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:0XLXN9FPQIOl9v7J4TrrF5","Love Is Blue (L'amour Est Bleu) - Remastered","spotify:artist:7egNqIGRldMzifHoh8pib6","Al Martino","spotify:album:5WKxit4CEpmFmM8bErbCek","Capitol Collectors Series","spotify:artist:7egNqIGRldMzifHoh8pib6","Al Martino","1992-01-01","https://i.scdn.co/image/ab67616d0000b273f576a281c07c8c0f6da9fdff","1","19","162400","https://p.scdn.co/mp3-preview/a0ad05a7d25481b42f396b95d456e390a4e560a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USCA29101342","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:4lOoG7b7Ea42gBxBa3MIEf","Love Is Blue (L'Amour Est Bleu)","spotify:artist:4wbyH1WM1o8gzIyCWJke4J","Geoff Love","spotify:album:5Ce8ZZ2bSC3QFYaODJD9hv","The Very Best Of Geoff Love And Manuel And The Music Of The Mountains","spotify:artist:4wbyH1WM1o8gzIyCWJke4J, spotify:artist:63jNJ6txlnRE4leSfFoSu3","Geoff Love, Manuel & The Music Of The Mountains","2006-01-09","https://i.scdn.co/image/ab67616d0000b273f172fb872ad1125f3ca3e900","1","1","219466","https://p.scdn.co/mp3-preview/2bd840657f256ecf769f025f24b0deab36263005?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","GBAYE7400442","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:3WbTZL4TQgaXAOHmMsFPj3","Love Is Blue (Made Famous by Paul Mauriat)","spotify:artist:6xc4XfBR0V1Ot43AsDDptr","Piano Classic Players","spotify:album:0uoZz6DBypZPiVP4kN7YSb","Soft Rock Piano Instrumental Hits","spotify:artist:6xc4XfBR0V1Ot43AsDDptr","Piano Classic Players","2010-05-01","https://i.scdn.co/image/ab67616d0000b273d6ca5fecd941aa8ad7b32308","2","17","329693","https://p.scdn.co/mp3-preview/47a1f3574106021b9393b7a622027c2abd8b7a3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","USA371084397","spotify:user:","2012-10-23T09:06:01Z"
"spotify:track:3Wi99hBzoortggCY1LNlBu","Love Is Blue - Instrumental","spotify:artist:5Oj26LEf8jdgR2woWEjlhi","Paul Mauriat","spotify:album:3AxyL1M4jan14Nsb671Unp","Love Is Blue","spotify:artist:5Oj26LEf8jdgR2woWEjlhi","Paul Mauriat","1987-01-01","https://i.scdn.co/image/ab67616d0000b2731e23fb3719668b06e4289bed","1","1","160333","","false","0","FRZ038802060","spotify:user:","2012-10-23T09:06:01Z"
