"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4qpIk2rvkmxJEVvt38tepd","I Want to Take You Higher","spotify:artist:5m8H6zSadhu1j9Yi04VLqD","Sly & The Family Stone","spotify:album:7iwS1r6JHYJe9xpPjzmWqD","Stand","spotify:artist:5m8H6zSadhu1j9Yi04VLqD","Sly & The Family Stone","1969-05-03","https://i.scdn.co/image/ab67616d0000b273147e35fd67f22f92cb587c3b","1","3","322360","https://p.scdn.co/mp3-preview/9efb75b55cc6093b035b6683d9ee6faf9ac104d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USSM19913824","spotify:user:ikhebgeenspotify","2018-03-13T19:01:08Z"
"spotify:track:5KMnxsZQkdFXBBAt24FXx8","St. Martin de Porres","spotify:artist:6hrEc1XqVcGLK0Di6zVADR","Mary Lou Williams","spotify:album:35TchegKRAVtmhwSfDA8hy","Mary Lou Williams Presents Black Christ of the Andes","spotify:artist:6hrEc1XqVcGLK0Di6zVADR","Mary Lou Williams","1964","https://i.scdn.co/image/ab67616d0000b273aaf8bad59a31d778307fad0d","1","1","396480","https://p.scdn.co/mp3-preview/0f7193aaa22e7afba202e9afd3aa2e3878b28eb9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USSF10481601","spotify:user:ikhebgeenspotify","2017-12-20T07:41:18Z"
"spotify:track:3rZrK0m6FsVwNBS0SFpivX","Get into the Party Life","spotify:artist:6avpsZzjS5Yy9daHLBCYmn","Little Beaver","spotify:album:6MYUn0QRrkzOxUjQ3V8dkm","Party Down","spotify:artist:6avpsZzjS5Yy9daHLBCYmn","Little Beaver","1974","https://i.scdn.co/image/ab67616d0000b2730c32b949eb1e638df9dbf9ea","1","4","248933","https://p.scdn.co/mp3-preview/22bbf18cd632d641fc8a77a595700f2d6c4eb7c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USRH10551865","spotify:user:ikhebgeenspotify","2017-12-20T07:41:44Z"
"spotify:track:2RhviklTFqDoazFNFQ4hmo","Crystal Catcher (weed)","spotify:artist:1Ma3pJzPIrAyYPNRkp3SUF","Ross from Friends","spotify:album:3udNu6t54ELdTLGmTPivBj","Don't Sleep, There Are Snakes","spotify:artist:1Ma3pJzPIrAyYPNRkp3SUF","Ross from Friends","2017-04-14","https://i.scdn.co/image/ab67616d0000b27374bdf500069af2fe35724b69","1","3","251335","","false","0","UKA2G1703007","spotify:user:ikhebgeenspotify","2017-12-20T09:58:31Z"
"spotify:track:4enydxeyixJc5MQZvnX85e","Hydrant","spotify:artist:3qIRQKST5KCIIKWgmPTY2M","JIMMY EDGAR","spotify:album:3H2SZd5zG97Ldyrt16Gh8S","Dreamz Come True","spotify:artist:3qIRQKST5KCIIKWgmPTY2M","JIMMY EDGAR","2016-06-24","https://i.scdn.co/image/ab67616d0000b273ebfe9ed6799b5d47d04fd095","1","4","226655","","false","0","QMGMW1600126","spotify:user:ikhebgeenspotify","2017-12-27T08:28:07Z"
"spotify:track:7BoLalyJ47IYeGzo0OG7Uu","Beautiful Mother","spotify:artist:5VF0YkVLeVD4ytyiyVSIiF, spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Dirty Projectors, Björk","spotify:album:0zm40o2MnYmpxcKKProN8U","Mount Wittenberg Orca","spotify:artist:5VF0YkVLeVD4ytyiyVSIiF, spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Dirty Projectors, Björk","2011-10-31","https://i.scdn.co/image/ab67616d0000b27344c9a4f4b8e31efbe73ecc36","1","4","136360","https://p.scdn.co/mp3-preview/7b56e43144a40463f49455bf8b24765b92dcae06?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","GBCEL1100477","spotify:user:ikhebgeenspotify","2017-12-27T08:29:51Z"
"spotify:track:20FakhyrAqDOqnmN5CkCoy","Yer Blues - Remastered","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:03Qh833fEdVT30Pfs93ea6","The Beatles (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1968-11-22","https://i.scdn.co/image/ab67616d0000b2733ad9d35c8d2d1c975fadf90f","2","2","240453","","false","0","GBAYE0601662","spotify:user:ikhebgeenspotify","2017-12-27T08:32:26Z"
"spotify:track:0O9BqfU1Cdm7YqmD0TrT9i","Cementerio Club","spotify:artist:3q1NXsv9XypOUCJfEatXH9","Pescado Rabioso","spotify:album:5MJR9j21vjEi4ODxzhvoTA","Artaud","spotify:artist:3q1NXsv9XypOUCJfEatXH9","Pescado Rabioso","1973-05-07","https://i.scdn.co/image/ab67616d0000b27350db5a166ea23d5d6c4cd387","1","2","295826","https://p.scdn.co/mp3-preview/19fff40545520b3aa0258c7abf98e378f007754c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","ARF109902849","spotify:user:ikhebgeenspotify","2018-01-30T18:06:19Z"
"spotify:track:7udc4e7om5HGUT8Cguto31","Lump","spotify:artist:15e0X6NuMsVuHi7AZhcfyI","James Holden","spotify:album:2FGtOOKPZq94q8XcjbUYxS","The Idiots Are Winning","spotify:artist:15e0X6NuMsVuHi7AZhcfyI","James Holden","2006-10-30","https://i.scdn.co/image/ab67616d0000b2736e3e32dfabd4cc9059beb41b","1","1","370293","","false","0","GBLBR0500012","spotify:user:ikhebgeenspotify","2018-01-30T18:06:30Z"
"spotify:track:2ucFCqazVVhPKHDoaR73t8","I Lost Something in the Hills","spotify:artist:2ckfYpz65ZueWZa2dB6yXC","Sibylle Baier","spotify:album:1lf3rLmrO0ObMieg4YqEuB","Colour Green","spotify:artist:2ckfYpz65ZueWZa2dB6yXC","Sibylle Baier","2006-01-01","https://i.scdn.co/image/ab67616d0000b27300b9e955d2b2a0be08152a8c","1","2","208106","https://p.scdn.co/mp3-preview/4728fb380ba9c29f3b23b6c879a17383079c274c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","US54F0610017","spotify:user:ikhebgeenspotify","2018-01-30T18:06:41Z"
"spotify:track:5TmEcB1wi8I2xD0bOnzhnL","Symphony No. 8 in E flat - ""Symphony of a Thousand"" - Part Two: Final scene from Goethe's ""Faust"": ""Alles Vergängliche""","spotify:artist:2ANtgfhQkKpsW6EYSDqldz, spotify:artist:7rBsqYA5AGno8zn0sVVS6c, spotify:artist:3mRERvxAET9zPx7kL90Srv, spotify:artist:4EVzwPLCAaxmpFNbHlJ7W5, spotify:artist:7cnNj77AFfSryAQ3KcqgnW, spotify:artist:1OsJZxSshQD4BCg1VtwxsN, spotify:artist:3dMJsxDVl3FFouPCStt6o8, spotify:artist:18Bm1xs8qFr9pPiy6GONgu, spotify:artist:40uS8bQwZnLykIvMOwifxj, spotify:artist:6PFYKE0BqNEYlRhwyjkE6m, spotify:artist:6zhM9WlE1iJnsLAUXuDS47, spotify:artist:01SlHnIg02znfJu5Ai86aA, spotify:artist:0ekMPgBxydXFRtVEqI1wFQ, spotify:artist:2HqNckz4bPVT37fWkhugTZ, spotify:artist:4Kjr1MPMUfuH3QKXtAljNy","Gustav Mahler, Jane Eaglen, Anne Schwanewilms, Ruth Ziesak, Sara Fulgoni, Anna Larsson, Ben Heppner, Peter Mattei, Jan-Hendrik Rootering, Netherlands Chamber Choir, Prague Philharmonic Chorus, Jongens en meisjes van het Kathedrale Koor St.Bavo\, Haarlem, Sacramentskoor Breda, Royal Concertgebouw Orchestra, Riccardo Chailly","spotify:album:0KQbrGXEyi2s9cgwuD4daL","Mahler: Symphony No. 8 (Mahler 8)","spotify:artist:2ANtgfhQkKpsW6EYSDqldz, spotify:artist:7rBsqYA5AGno8zn0sVVS6c, spotify:artist:3mRERvxAET9zPx7kL90Srv, spotify:artist:4EVzwPLCAaxmpFNbHlJ7W5, spotify:artist:7cnNj77AFfSryAQ3KcqgnW, spotify:artist:1OsJZxSshQD4BCg1VtwxsN, spotify:artist:3dMJsxDVl3FFouPCStt6o8, spotify:artist:18Bm1xs8qFr9pPiy6GONgu, spotify:artist:40uS8bQwZnLykIvMOwifxj, spotify:artist:2HqNckz4bPVT37fWkhugTZ, spotify:artist:4Kjr1MPMUfuH3QKXtAljNy","Gustav Mahler, Jane Eaglen, Anne Schwanewilms, Ruth Ziesak, Sara Fulgoni, Anna Larsson, Ben Heppner, Peter Mattei, Jan-Hendrik Rootering, Royal Concertgebouw Orchestra, Riccardo Chailly","2001","https://i.scdn.co/image/ab67616d0000b2735603988453ab0b7f2091d78d","1","18","352438","https://p.scdn.co/mp3-preview/7f1eb5acaca026a29ab07fb930f1e07ce5ec1bd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","GBBBB0100018","spotify:user:ikhebgeenspotify","2018-03-01T23:34:08Z"
"spotify:track:5J409CCD03eO7CQ050fiGx","6 8","spotify:artist:1R4GxRuSVTPSb6oy56SPST","Gabriel Garzón-Montano","spotify:album:0Hh1SKJZum1bstHufoLYZG","Bishouné: Alma Del Huila (Deluxe)","spotify:artist:1R4GxRuSVTPSb6oy56SPST","Gabriel Garzón-Montano","2014-11-14","https://i.scdn.co/image/ab67616d0000b2734d63fdd13a1737051bf10c52","1","1","298780","","false","0","QMNZG1400001","spotify:user:ikhebgeenspotify","2018-03-01T23:35:49Z"
"spotify:track:05gotFlwHxuX9amKp3Yc5S","Play (""Shut Up!"")","spotify:artist:3CE8Ux0j4kdaWpqCssKnVA","TEK.LUN","spotify:album:2UgJNjW9Ji5S3n3BEh4deR","Play (""Shut Up!"")","spotify:artist:3CE8Ux0j4kdaWpqCssKnVA","TEK.LUN","2016-06-04","https://i.scdn.co/image/ab67616d0000b27384c3953ff30c5e03fbfac6e6","1","1","148793","https://p.scdn.co/mp3-preview/24290788a1ba91be82c4b3e1c9bc316c5b69959c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QM4DW1697192","spotify:user:ikhebgeenspotify","2018-03-13T16:14:08Z"
"spotify:track:1mZE01nEHDRL0clez0iRFj","Pork Belly","spotify:artist:3TVzK3Dw7UCXu2cEUEUj2x","Bastien Keb","spotify:album:6jnqzCJk8PpfEPSrjxxh6L","Dinking in the Shadows of Zizou","spotify:artist:3TVzK3Dw7UCXu2cEUEUj2x","Bastien Keb","2015-09-25","https://i.scdn.co/image/ab67616d0000b273ee41cc97f50fdda98e06903b","1","8","199337","https://p.scdn.co/mp3-preview/6194d93cfb9469fd71c15b889dc1ce2dfe76a6be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBTPQ1500015","spotify:user:ikhebgeenspotify","2018-03-13T16:15:43Z"
