"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5J0RAWF0vedrmsZo7sFY3U","Tide Of Hanjiang River","spotify:artist:1WBJRczV8sgr1J020JEXNd","Min Huifen","spotify:album:0UHjNqoK3NzbFaS2F0B699","Master of Traditional Chinese Music: Collection of Liu Beimaos Famous Pieces","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-01-01","https://i.scdn.co/image/ab67616d0000b273668874c68f58a9da51a37c2b","1","1","265813","https://p.scdn.co/mp3-preview/0199995242fdc62eb4576c2c34f4658adacecae4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","CNA010244501","spotify:user:rob.bednark","2021-01-20T01:51:46Z"
"spotify:track:4glQ1fNhNkNy7tpQBRarz5","The March Of Forging Ahead","spotify:artist:3GO8MI9k0zPaBGv0y9nEkX","Folk Music Band of Chinese Music Institute feat. An Ruli","spotify:album:0UHjNqoK3NzbFaS2F0B699","Master of Traditional Chinese Music: Collection of Liu Beimaos Famous Pieces","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-01-01","https://i.scdn.co/image/ab67616d0000b273668874c68f58a9da51a37c2b","1","2","299706","https://p.scdn.co/mp3-preview/a85b29000b8b0c9594e44b1cd225346286b202a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","CNA010244502","spotify:user:rob.bednark","2021-01-20T01:51:46Z"
"spotify:track:0QKVrzDQZX2lXnraiP9DLE","Song Of The Vagabond","spotify:artist:3yQuEG0AxOgb8WUPBddlQu","Gan Bolin","spotify:album:0UHjNqoK3NzbFaS2F0B699","Master of Traditional Chinese Music: Collection of Liu Beimaos Famous Pieces","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-01-01","https://i.scdn.co/image/ab67616d0000b273668874c68f58a9da51a37c2b","1","3","404200","https://p.scdn.co/mp3-preview/0850ee996304b15689c9bdc739ab9b79a0161faa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","CNA010244503","spotify:user:rob.bednark","2021-01-20T01:51:46Z"
"spotify:track:5RwkFK2s3621B0uzqb1znv","Riding The Wind And Waves","spotify:artist:5H5CVLSm9fOJnjBU24yxu5","Zhou Yaokun","spotify:album:0UHjNqoK3NzbFaS2F0B699","Master of Traditional Chinese Music: Collection of Liu Beimaos Famous Pieces","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-01-01","https://i.scdn.co/image/ab67616d0000b273668874c68f58a9da51a37c2b","1","4","219613","https://p.scdn.co/mp3-preview/a4c4290aaf457c4216062e768da79c8a528646b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","CNA010244504","spotify:user:rob.bednark","2021-01-20T01:51:46Z"
"spotify:track:2mLcOOB05FfTQDr3K0hR49","Little Flower Drum","spotify:artist:6j8aL3GolifnK0w0sTtYsF","Zhang Shao","spotify:album:0UHjNqoK3NzbFaS2F0B699","Master of Traditional Chinese Music: Collection of Liu Beimaos Famous Pieces","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-01-01","https://i.scdn.co/image/ab67616d0000b273668874c68f58a9da51a37c2b","1","5","138146","https://p.scdn.co/mp3-preview/8068bc236bc6975acade95de4cc3306f216b52c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","CNA010244505","spotify:user:rob.bednark","2021-01-20T01:51:46Z"
"spotify:track:2OhTHj6BXyjU55n688tolr","Dance Of Happiness","spotify:artist:3kD5NL5q2DJoHxKZbpjm2u","Central Ensemble Of Traditional Chinese Music","spotify:album:0UHjNqoK3NzbFaS2F0B699","Master of Traditional Chinese Music: Collection of Liu Beimaos Famous Pieces","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-01-01","https://i.scdn.co/image/ab67616d0000b273668874c68f58a9da51a37c2b","1","6","270653","https://p.scdn.co/mp3-preview/b6b2128d36c7d23165322127eb41ad08ef7847a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","CNA010244506","spotify:user:rob.bednark","2021-01-20T01:51:46Z"
"spotify:track:1ylnQXLZDm6IlzeHpFNNP0","Tune On A Single String","spotify:artist:5H5CVLSm9fOJnjBU24yxu5","Zhou Yaokun","spotify:album:0UHjNqoK3NzbFaS2F0B699","Master of Traditional Chinese Music: Collection of Liu Beimaos Famous Pieces","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-01-01","https://i.scdn.co/image/ab67616d0000b273668874c68f58a9da51a37c2b","1","7","162586","https://p.scdn.co/mp3-preview/ef6036df40600a83e5e10cd762a23b4b5b2587ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","CNA010244507","spotify:user:rob.bednark","2021-01-20T01:51:46Z"
"spotify:track:2iF3TYwpCszQvXplmr5nC9","Folk Tune","spotify:artist:0o10JWUvxgwFK8ia1U6AaD","Chen Chaoru","spotify:album:0UHjNqoK3NzbFaS2F0B699","Master of Traditional Chinese Music: Collection of Liu Beimaos Famous Pieces","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-01-01","https://i.scdn.co/image/ab67616d0000b273668874c68f58a9da51a37c2b","1","8","130133","https://p.scdn.co/mp3-preview/6fca3e24afd8e18d5339c8732908f1fc2c8aebf8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","CNA010244508","spotify:user:rob.bednark","2021-01-20T01:51:46Z"
"spotify:track:1plRTaeD6ZNetWqiz7Qv62","A Beautiful Day","spotify:artist:6GzRGMulb2X8LZmR5XQdhG","Jiang Xunfeng","spotify:album:0UHjNqoK3NzbFaS2F0B699","Master of Traditional Chinese Music: Collection of Liu Beimaos Famous Pieces","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-01-01","https://i.scdn.co/image/ab67616d0000b273668874c68f58a9da51a37c2b","1","9","222613","https://p.scdn.co/mp3-preview/51be976a8678ac1d049d0f0d25699c2fff83d2f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","CNA010244509","spotify:user:rob.bednark","2021-01-20T01:51:46Z"
"spotify:track:0DthAQJwj8tRJOgiQ63P0p","Farewell","spotify:artist:09y7TIQoWLTwaAKSXHQzyE","Wang Yiqin","spotify:album:0UHjNqoK3NzbFaS2F0B699","Master of Traditional Chinese Music: Collection of Liu Beimaos Famous Pieces","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-01-01","https://i.scdn.co/image/ab67616d0000b273668874c68f58a9da51a37c2b","1","10","132933","https://p.scdn.co/mp3-preview/129db3389d54033a421adab810052437cdca420b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","CNA010244510","spotify:user:rob.bednark","2021-01-20T01:51:46Z"
