"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:05yFxjeyEe6KMHj8JroaK4","Overview 1 of 2 - Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","spotify:album:2vLsmOuGgWONdcmNivecxV","Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","2009-10-14","https://i.scdn.co/image/ab67616d0000b273f51b42f2effb0dd4639060ed","1","1","476113","","false","0","USTCZ0987616","spotify:user:","2012-05-26T01:08:54Z"
"spotify:track:2RoeNcaseJtrWu0flLSE5b","Overview 2 of 2 - Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","spotify:album:2vLsmOuGgWONdcmNivecxV","Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","2009-10-14","https://i.scdn.co/image/ab67616d0000b273f51b42f2effb0dd4639060ed","1","2","317386","","false","0","USTCZ0987618","spotify:user:","2012-05-26T01:08:54Z"
"spotify:track:7xQkllDPmt3LKwcniUDbXS","Pre-Practice Warm Up - Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","spotify:album:2vLsmOuGgWONdcmNivecxV","Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","2009-10-14","https://i.scdn.co/image/ab67616d0000b273f51b42f2effb0dd4639060ed","1","3","422795","","false","0","USTCZ0987619","spotify:user:","2012-05-26T01:08:54Z"
"spotify:track:0LhrUUBILxCbaLmiIObKqb","Post-Practice Cool Down - Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","spotify:album:2vLsmOuGgWONdcmNivecxV","Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","2009-10-14","https://i.scdn.co/image/ab67616d0000b273f51b42f2effb0dd4639060ed","1","4","290250","","false","0","USTCZ0987622","spotify:user:","2012-05-26T01:08:54Z"
"spotify:track:0UEA23KyizE76aIK7Uhr9X","Beliefs for Athletes - Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","spotify:album:2vLsmOuGgWONdcmNivecxV","Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","2009-10-14","https://i.scdn.co/image/ab67616d0000b273f51b42f2effb0dd4639060ed","1","5","493022","","false","0","USTCY0906908","spotify:user:","2012-05-26T01:08:54Z"
"spotify:track:3oXhlANLTSkbKcoWAwyLnw","Your Identity as an Athlete - Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","spotify:album:2vLsmOuGgWONdcmNivecxV","Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","2009-10-14","https://i.scdn.co/image/ab67616d0000b273f51b42f2effb0dd4639060ed","1","6","570068","","false","0","USTCY0906915","spotify:user:","2012-05-26T01:08:54Z"
"spotify:track:1zkfCjr0vHF9nuegK0Gyoz","Re-Framing Negative Behaviors and Experiences - Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","spotify:album:2vLsmOuGgWONdcmNivecxV","Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","2009-10-14","https://i.scdn.co/image/ab67616d0000b273f51b42f2effb0dd4639060ed","1","7","567136","","false","0","USTCZ0987636","spotify:user:","2012-05-26T01:08:54Z"
"spotify:track:6owCZUWKWngQNNwqtENYOs","Pre-Competition Warm Up - Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","spotify:album:2vLsmOuGgWONdcmNivecxV","Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","2009-10-14","https://i.scdn.co/image/ab67616d0000b273f51b42f2effb0dd4639060ed","1","8","410181","","false","0","USTCZ0987672","spotify:user:","2012-05-26T01:08:54Z"
"spotify:track:7EfpZyQXJJshmUI0e1xbbO","Post-Competition Cool Down - Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","spotify:album:2vLsmOuGgWONdcmNivecxV","Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","2009-10-14","https://i.scdn.co/image/ab67616d0000b273f51b42f2effb0dd4639060ed","1","9","289977","","false","0","USTCY0906663","spotify:user:","2012-05-26T01:08:54Z"
"spotify:track:4zP6iZy1RzdZtENBirP77p","Anchors and Synesthesias - Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","spotify:album:2vLsmOuGgWONdcmNivecxV","Advanced Sports Imagery for Athletes I - Use Nlp and Guided Imagery to Harness Athletic Peak Performance","spotify:artist:0jRDTBWoRG0cmEjiZK0Mhp","Michael J. Emery\, M.A.\, C.Ht.\, M.NLP - Personal Development Coach","2009-10-14","https://i.scdn.co/image/ab67616d0000b273f51b42f2effb0dd4639060ed","1","10","479045","","false","0","USTCY0906667","spotify:user:","2012-05-26T01:08:54Z"
