"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:56DGbQ9aGhyLnkLcBiH0G3","Si Tu Vois Ma Mère","spotify:artist:30UIjoCGuL3Fa5BOc3ayNW","Manu Dibango","spotify:album:12hbmwH9SSS6ARgSIPZb0j","Midnight In Paris - Featuring the Music of Cole Porter, Sidney Bechet, Django Reinhardt and More","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-01-04","https://i.scdn.co/image/ab67616d0000b273c6c6c27beb0aaca16bc01510","1","1","290226","","false","0","FRY430600130","spotify:user:","2012-05-05T00:14:33Z"
"spotify:track:5C4xnBHuKDI4DXUaBqoEaD","Swing 42","spotify:artist:770iqFnZSU8y1Nqp6PcfbM","Babik Reinhardt","spotify:album:12hbmwH9SSS6ARgSIPZb0j","Midnight In Paris - Featuring the Music of Cole Porter, Sidney Bechet, Django Reinhardt and More","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-01-04","https://i.scdn.co/image/ab67616d0000b273c6c6c27beb0aaca16bc01510","1","2","185280","","false","0","FR45L7400140","spotify:user:","2012-05-05T00:14:33Z"
"spotify:track:0JTnwzilqavQmAqEjHBIwP","Courtoisie Musette","spotify:artist:4jqRYvRWfshu7XeKHz0TYX","Sandra J","spotify:album:12hbmwH9SSS6ARgSIPZb0j","Midnight In Paris - Featuring the Music of Cole Porter, Sidney Bechet, Django Reinhardt and More","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-01-04","https://i.scdn.co/image/ab67616d0000b273c6c6c27beb0aaca16bc01510","1","3","146466","","false","0","FRF429800440","spotify:user:","2012-05-05T00:14:33Z"
"spotify:track:6nRfhZ99JvJNrOwj07PeBh","Djangologie","spotify:artist:770iqFnZSU8y1Nqp6PcfbM","Babik Reinhardt","spotify:album:12hbmwH9SSS6ARgSIPZb0j","Midnight In Paris - Featuring the Music of Cole Porter, Sidney Bechet, Django Reinhardt and More","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-01-04","https://i.scdn.co/image/ab67616d0000b273c6c6c27beb0aaca16bc01510","1","4","156653","","false","0","FR45L7400100","spotify:user:","2012-05-05T00:14:33Z"
"spotify:track:0n57rbWA7QNE8VvWGLnDyj","I Got Rhythm","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","spotify:album:12hbmwH9SSS6ARgSIPZb0j","Midnight In Paris - Featuring the Music of Cole Porter, Sidney Bechet, Django Reinhardt and More","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-01-04","https://i.scdn.co/image/ab67616d0000b273c6c6c27beb0aaca16bc01510","1","5","175720","","false","0","FR8E70902290","spotify:user:","2012-05-05T00:14:33Z"
"spotify:track:0UoT1g2fOEdTZqetWEd8IU","April in Paris","spotify:artist:71Ek3rVXvYuvaRamNMs5k7, spotify:artist:1uEvzDlrbaSBa4faacCEoO","Yonathan Avishai, Bertrand Noel","spotify:album:12hbmwH9SSS6ARgSIPZb0j","Midnight In Paris - Featuring the Music of Cole Porter, Sidney Bechet, Django Reinhardt and More","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-01-04","https://i.scdn.co/image/ab67616d0000b273c6c6c27beb0aaca16bc01510","1","6","184666","","false","0","FR8E71003330","spotify:user:","2012-05-05T00:14:33Z"
"spotify:track:4CsDXWBjEg6A8VTYTaF5NH","Manoir De Mes Reves","spotify:artist:770iqFnZSU8y1Nqp6PcfbM","Babik Reinhardt","spotify:album:12hbmwH9SSS6ARgSIPZb0j","Midnight In Paris - Featuring the Music of Cole Porter, Sidney Bechet, Django Reinhardt and More","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-01-04","https://i.scdn.co/image/ab67616d0000b273c6c6c27beb0aaca16bc01510","1","7","209413","","false","0","FR45L7400090","spotify:user:","2012-05-05T00:14:33Z"
"spotify:track:5LaUEVvp9Ba16FzeL3Cfc8","Lady's Blues","spotify:artist:1phhRCN72hlL9LCYRa55is","Pierre Levy","spotify:album:12hbmwH9SSS6ARgSIPZb0j","Midnight In Paris - Featuring the Music of Cole Porter, Sidney Bechet, Django Reinhardt and More","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-01-04","https://i.scdn.co/image/ab67616d0000b273c6c6c27beb0aaca16bc01510","1","8","436493","","false","0","FRZQP9700080","spotify:user:","2012-05-05T00:14:33Z"
"spotify:track:5FHXqrkno1VqCHe4vK34ML","Get Out Of Town","spotify:artist:7LfT6Ih7vLJv4Q6e5K552b, spotify:artist:6yoY8kJ4MZOTpzpGOPm9DP, spotify:artist:5k0kINu6OdqY9Lz4eXImvM, spotify:artist:4H1GyvvGwwE5bK8haPpwMi, spotify:artist:3rM5fqbVhEDkkZrSBqKXVm","Jean Michel Proust, Fabien Mary, Pierre Christophe, Michel Rosciglione, Francois Laudet","spotify:album:12hbmwH9SSS6ARgSIPZb0j","Midnight In Paris - Featuring the Music of Cole Porter, Sidney Bechet, Django Reinhardt and More","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-01-04","https://i.scdn.co/image/ab67616d0000b273c6c6c27beb0aaca16bc01510","1","9","249440","","false","0","FR59E0800040","spotify:user:","2012-05-05T00:14:33Z"
"spotify:track:5iDeqWW07EJBVjMJERldyN","Charleston","spotify:artist:5Z1XZyEFY0dewG8faEIiEx","Django Reinhardt","spotify:album:12hbmwH9SSS6ARgSIPZb0j","Midnight In Paris - Featuring the Music of Cole Porter, Sidney Bechet, Django Reinhardt and More","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-01-04","https://i.scdn.co/image/ab67616d0000b273c6c6c27beb0aaca16bc01510","1","10","171826","","false","0","FR8E70902410","spotify:user:","2012-05-05T00:14:33Z"
