"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6kkwzB6hXLIONkEk9JciA6","Weightless","spotify:artist:3nZ3ed6p4CKc1McTLypr6H","Marconi Union","spotify:album:0JsrUHqVkWkXt0vQeNiVkW","The Ambient Zone Just Music Cafe Vol 4","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-10-29","https://i.scdn.co/image/ab67616d0000b273f399efa20097105e9db88560","1","1","480106","https://p.scdn.co/mp3-preview/345be90a1ff2f286aac948de9d968104cf79d054?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBDDN1200510","spotify:user:1286544262","2019-03-21T22:03:44Z"
"spotify:track:4g0u7phOPV26aizdX5vF98","electra","spotify:artist:64ujeKTqpc294czhOH2Dcq","Airstream","spotify:album:6q0ZdFdGC6ymCWqjxQtiMF","Lounge del Mare - Chillout Cafe Pearls","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-01-12","https://i.scdn.co/image/d3ba833bc234c37f9dc7315a20be44bd03da64d5","1","12","371600","","false","0","DEZ650510272","spotify:user:1286544262","2019-03-21T22:03:44Z"
"spotify:track:7gEky4JRrXUQdImEldIUlT","Mellomaniac - Chillout Mix","spotify:artist:4Q5snyb5ODh1VXbdvHtJgx","DJ Shah","spotify:album:51M9nlCBGA7xosxs1JBQnY","The Ultimate Chillout Collection","spotify:artist:4Q5snyb5ODh1VXbdvHtJgx","DJ Shah","2005-08-03","https://i.scdn.co/image/ab67616d0000b273d84ff45d35183d0be285515b","1","1","338678","https://p.scdn.co/mp3-preview/183650c21c7f180904e689231a104f279cc9fc5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","DEQ600490402","spotify:user:1286544262","2019-03-21T22:03:44Z"
"spotify:track:2qoKkOBw3dAd8AlITOQ2Ca","Indigo","spotify:artist:2rsw8pxtVfU3LiTIT0CYUb","LEFT.","spotify:album:6P0NiFmFvgH8JtM1n1enSN","Indigo","spotify:artist:2rsw8pxtVfU3LiTIT0CYUb","LEFT.","2019-03-08","https://i.scdn.co/image/ab67616d0000b273a51493ab4ec27fcedc1d6616","1","1","196589","https://p.scdn.co/mp3-preview/1166330b15b9465da3bd26a38dffbdf4a53a7415?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QZDA71975730","spotify:user:1286544262","2019-03-22T21:27:29Z"
"spotify:track:2m8MwTvNHBYIqieOoQeyuY","Watermark","spotify:artist:6uothxMWeLWIhsGeF7cyo4","Enya","spotify:album:2FZ2y8Z5sTRSnnSa8DIPHz","Watermark","spotify:artist:6uothxMWeLWIhsGeF7cyo4","Enya","1988","https://i.scdn.co/image/ab67616d0000b2737fb742e9b498a9a61583f15f","1","1","145640","https://p.scdn.co/mp3-preview/b6c959fca9c69570b769fc2f7a27e6dd40dac8a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBAHT0200072","spotify:user:1286544262","2019-03-21T22:03:44Z"
"spotify:track:2dphvmoLEXdk8hOYxmHlI3","Strawberry Swing","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:1CEODgTmTwLyabvwd7HBty","Viva La Vida or Death and All His Friends","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2008-05-26","https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e","1","9","249666","https://p.scdn.co/mp3-preview/10c4a2a2992b1a21e9288052160799d194417135?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBAYE0800264","spotify:user:1286544262","2019-03-21T22:03:44Z"
"spotify:track:0lRnbYaPtv0A5OezVahO8e","Please Don't Go","spotify:artist:3mKqIEF3Coa2rNT4ojEh8Q","Barcelona","spotify:album:19v5shyzKNk2m8qf49HTi1","Absolutes","spotify:artist:3mKqIEF3Coa2rNT4ojEh8Q","Barcelona","2007","https://i.scdn.co/image/ab67616d0000b2739efa654000d08818fe42c5f0","1","13","275520","https://p.scdn.co/mp3-preview/3151c93f95aa55b7410383b63f231b51f4b09c79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USUM70957808","spotify:user:1286544262","2019-03-21T22:03:44Z"
"spotify:track:5uHnDHx5J48FdT6FjwA7Z8","Pure Shores","spotify:artist:5TDVKqW9uhqGjwwwKGuma4","All Saints","spotify:album:5B6nt2q83Zxyz7FACDzRsU","The Beach (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2000-02-01","https://i.scdn.co/image/ab67616d0000b273bba594366b0874791f65aea9","1","2","268746","","false","0","GBAAP0000001","spotify:user:1286544262","2019-03-21T22:03:44Z"
"spotify:track:4kflIGfjdZJW4ot2ioixTB","Someone Like You","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:1azUkThwd2HfUDdeNeT147","21","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2011-01-19","https://i.scdn.co/image/ab67616d0000b2736d4056466fc11f6408be2566","1","11","285040","","false","2","GBBKS1000351","spotify:user:1286544262","2019-03-21T22:03:44Z"
"spotify:track:4ut26ZXnJJLZjrIj8JxN56","Che soave zeffiretto","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:75dN1x42c0LtoRuBOz2huI, spotify:artist:2mGv9aqkqCOWffOYin1RrB, spotify:artist:0TrG2LSot4KhaXqdf5K2zE, spotify:artist:74gWOpgM97HU3Mn8A8d0Vm","Wolfgang Amadeus Mozart, Julia Varady, Helen Donath, Sir Colin Davis, Bavarian Radio Symphony Orchestra","spotify:album:0zNqC5CwBiguTFIn8xUqwY","Top 10 Mozart","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Wolfgang Amadeus Mozart, Various Artists","2014-06-13","https://i.scdn.co/image/ab67616d0000b27374f0d0f643c20bd817904956","1","9","164293","https://p.scdn.co/mp3-preview/0edb52bd47673bbcfa7cd3097cf6ffda1d772a15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USBC19000247","spotify:user:1286544262","2019-03-21T22:03:44Z"
"spotify:track:2q7AEvIwBCaVOa1blpPJyt","We Can Fly","spotify:artist:4KFzi9cZqUga44uoOdOKGL","Rue Du Soleil","spotify:album:63HGg2el7g2LOWaeskvQSA","Café del Mar Music - 2 Decades (1994 - 2014)","spotify:artist:4L74W177Wc8s7WrQHbVaXt","Café del Mar","2013-12-20","https://i.scdn.co/image/ab67616d0000b27383091b5bba1cdb8b9d3151f2","1","32","370000","https://p.scdn.co/mp3-preview/502fb9f64cdcacd7dd99337f2d490bcb2e4af486?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","ES8741369132","spotify:user:1286544262","2019-03-21T22:03:44Z"
"spotify:track:1H47LILEj9nGb74EPcZKWw","Champagne & Sunshine (Ellusive Remix)","spotify:artist:4V2pR2iSd1g0RZCglrP3jn, spotify:artist:0SXgKLNtpIrH29F1vMRWzj, spotify:artist:6gwInscSxlouXzcmENDqk4","PLVTINUM, Tarro, Ellusive","spotify:album:5ezueJ6ySu32d6BaQcwDyC","Champagne & Sunshine (Ellusive Remix)","spotify:artist:4V2pR2iSd1g0RZCglrP3jn, spotify:artist:0SXgKLNtpIrH29F1vMRWzj, spotify:artist:6gwInscSxlouXzcmENDqk4","PLVTINUM, Tarro, Ellusive","2017-03-31","https://i.scdn.co/image/ab67616d0000b2731a7cc189a7e462cb82672b88","1","1","184000","","true","0","TCACZ1720355","spotify:user:1286544262","2019-03-21T22:03:44Z"
"spotify:track:6mt3L6ZNqTLGpuE1SbiZT9","Older Now","spotify:artist:5344K3N7rx7kw1HjO8psuq, spotify:artist:04Tq9kLCxG1auw8xfUD4Mp","James Carter, klei","spotify:album:2ajbZIrQYTwh9TNKcX4dWP","Older Now","spotify:artist:5344K3N7rx7kw1HjO8psuq","James Carter","2018-03-09","https://i.scdn.co/image/ab67616d0000b273e34f3093528e8187f1675f35","1","1","189968","","false","0","DEAX11800013","spotify:user:1286544262","2019-03-21T22:03:44Z"
"spotify:track:1ldCE6YOvnGKMocwO02DgI","About Life","spotify:artist:7l7IyxqOyGDSU6iF4FzisA","Adon","spotify:album:0hsexpb1wdAxKf2fEYDNGZ","About Life","spotify:artist:7l7IyxqOyGDSU6iF4FzisA","Adon","2019-03-22","https://i.scdn.co/image/ab67616d0000b27330e10325bf960723fe227486","1","1","188181","","false","0","GBSMU6183655","spotify:user:1286544262","2019-03-22T00:05:51Z"
