"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0DTrxfJwv0BnE2sRPv6uBP","You Are Special","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","spotify:album:5rorTQbNjzQGwlfmv1ecsK","You Are Special","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","1992-01-01","https://i.scdn.co/image/ab67616d0000b2735d2c393a3463088fedefa52f","1","2","65720","","false","0","QMWHB1914477","spotify:user:","2020-06-16T13:56:43Z"
"spotify:track:6RdNxEJOAUq5T01yRZEeSt","You've Got To Do It","spotify:artist:0WX0BiZcKVK7GjnB0KrfRc","Fred M. Rogers","spotify:album:6ivFRy56HgNNiwYeeTdIIa","A Beautiful Day in the Neighborhood (Original Motion Picture Soundtrack)","spotify:artist:1upi0p1RPmbUDRvbDjxNKn","Nate Heller","2019-11-15","https://i.scdn.co/image/ab67616d0000b273256a0a5c4e2db894b6747778","1","19","96160","https://p.scdn.co/mp3-preview/42aeaa7d3eddc662ab98184c056c1828dc268b95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","US4DG1900476","spotify:user:","2020-06-16T13:56:43Z"
"spotify:track:7rUDn1kP3LeqfRcgjZbzgG","It's You I Like","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","spotify:album:5rorTQbNjzQGwlfmv1ecsK","You Are Special","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","1992-01-01","https://i.scdn.co/image/ab67616d0000b2735d2c393a3463088fedefa52f","1","8","149146","","false","0","QMWHB1914483","spotify:user:","2020-06-16T13:56:43Z"
"spotify:track:1m0p1bQGOojlwAH4VH4Rsk","This Is Just The Day","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","spotify:album:4hbe0OtqiyS1xEjNVOiphd","This Is Just The Day","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","1997","https://i.scdn.co/image/ab67616d0000b273c3cccec23eff03a47bf88d4a","1","1","144973","","false","0","QMWHB1914460","spotify:user:","2020-06-16T13:56:43Z"
"spotify:track:1iEgIS12nXTNU5v5t73qee","I Think I'm Going To Like Today","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","spotify:album:3nio3A4xg6WLkyGx0lsa1D","It's Such A Good Feeling: The Best Of Mister Rogers","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","2019-10-04","https://i.scdn.co/image/ab67616d0000b2733650a754ad08ffb37e141f15","1","3","69310","","false","0","QMWHB1915009","spotify:user:","2020-06-16T13:56:43Z"
"spotify:track:6lDhuysXVRVRY6Mg57H8Xa","I Like To Take My Time","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","spotify:album:3nio3A4xg6WLkyGx0lsa1D","It's Such A Good Feeling: The Best Of Mister Rogers","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","2019-10-04","https://i.scdn.co/image/ab67616d0000b2733650a754ad08ffb37e141f15","1","9","132376","","false","0","QMWHB1915015","spotify:user:","2020-06-16T13:56:43Z"
"spotify:track:1hD3hUSCY1Xmvm0IW02Hhi","It's The Style To Wear A Smile","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","spotify:album:3nio3A4xg6WLkyGx0lsa1D","It's Such A Good Feeling: The Best Of Mister Rogers","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","2019-10-04","https://i.scdn.co/image/ab67616d0000b2733650a754ad08ffb37e141f15","1","15","123083","","false","0","QMWHB1915021","spotify:user:","2020-06-16T13:56:43Z"
"spotify:track:3bHzdtN9I6bN7YWDoXntFC","It's Such A Good Feeling","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","spotify:album:3nio3A4xg6WLkyGx0lsa1D","It's Such A Good Feeling: The Best Of Mister Rogers","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","2019-10-04","https://i.scdn.co/image/ab67616d0000b2733650a754ad08ffb37e141f15","1","22","90230","","false","0","QMWHB1915028","spotify:user:","2020-06-16T13:56:43Z"
"spotify:track:30T5lRceVlbzHFSehhv8xb","Tomorrow","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","spotify:album:3nio3A4xg6WLkyGx0lsa1D","It's Such A Good Feeling: The Best Of Mister Rogers","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","2019-10-04","https://i.scdn.co/image/ab67616d0000b2733650a754ad08ffb37e141f15","1","23","63763","","false","0","QMWHB1915029","spotify:user:","2020-06-16T13:56:43Z"
"spotify:track:3wlLVbXL4qvVx87CCDfCTb","Won't You Be My Neighbor?","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","spotify:album:10aOVM5h7M78bnhCZIXb7G","Won't You Be My Neighbor?","spotify:artist:6xC5Ps0Iv2UP4mYJv3nBq4","Mister Rogers","2019-08-23","https://i.scdn.co/image/ab67616d0000b273dd20428e66e7201c75787536","1","1","90136","","false","0","QMWHB1915008","spotify:user:","2020-06-16T13:56:43Z"
