"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:74jFSWsYejyu2kqFXVBNS1","Just The Same","spotify:artist:4uhvChO03V0DFbltw2UQLf, spotify:artist:2Wvz1w08ODKEmew4SfIQDM, spotify:artist:5L606oXOADvErzTqDaCn2l, spotify:artist:3TXBtynyfyelfhhdJXd9cM, spotify:artist:4QqjKgxaw6SHg4eRiSflDX","Jack Hylton, Jack Jackson, Phillippe Brun, Jack Hylton Orchestra, Leo Vauchant","spotify:album:6Sk0k2cIaFo1y9GKLBVPki","""Hot Hylton"" 1926-1930","spotify:artist:4uhvChO03V0DFbltw2UQLf","Jack Hylton","2000-01-01","https://i.scdn.co/image/ab67616d0000b273191ad2d28dce3a17352e7f08","1","5","193533","https://p.scdn.co/mp3-preview/821a9581557f7b6850e564f983039007e53e4054?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","NLB150000044","spotify:user:t10b3rcditz0zht8d0d4hs0j4","2021-10-30T09:20:06Z"
"spotify:track:1PrkLnmvyMBrtwpTzmFmS5","Marvellous","spotify:artist:4uhvChO03V0DFbltw2UQLf, spotify:artist:2Wvz1w08ODKEmew4SfIQDM, spotify:artist:5L606oXOADvErzTqDaCn2l, spotify:artist:3TXBtynyfyelfhhdJXd9cM, spotify:artist:4QqjKgxaw6SHg4eRiSflDX","Jack Hylton, Jack Jackson, Phillippe Brun, Jack Hylton Orchestra, Leo Vauchant","spotify:album:6Sk0k2cIaFo1y9GKLBVPki","""Hot Hylton"" 1926-1930","spotify:artist:4uhvChO03V0DFbltw2UQLf","Jack Hylton","2000-01-01","https://i.scdn.co/image/ab67616d0000b273191ad2d28dce3a17352e7f08","1","3","185000","https://p.scdn.co/mp3-preview/1011da29ba375e736da6d4bd7825c8eae0bdaf2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","NLB150000042","spotify:user:t10b3rcditz0zht8d0d4hs0j4","2021-10-30T18:15:42Z"
"spotify:track:4yxGmSyebArjrl5VY3Gkz3","Radio Times","spotify:artist:3zxTPKAnV4CgfZMfuah8Ic","Henry Hall & The BBC Dance Orchestra","spotify:album:29Y9Ghm6WvN82FYI4VJzOD","Pennies from Heaven - Original Soundtrack to the BBC Tv Series","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-10-01","https://i.scdn.co/image/ab67616d0000b273cb859eae659415a03d6dd7b9","1","22","160333","https://p.scdn.co/mp3-preview/c795a7cbac611e9bba268ddafe76aba19c8a11e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","QMDA61345774","spotify:user:t10b3rcditz0zht8d0d4hs0j4","2021-10-30T18:16:31Z"
"spotify:track:5WeGUGDh1vrIcjWAffev7i","The Music Goes 'Round and Around","spotify:artist:3zxTPKAnV4CgfZMfuah8Ic","Henry Hall & The BBC Dance Orchestra","spotify:album:4p9CWgppsqS3xo7PuOiy6q","Greatest Big Band Hits","spotify:artist:3zxTPKAnV4CgfZMfuah8Ic","Henry Hall & The BBC Dance Orchestra","2013-03-15","https://i.scdn.co/image/ab67616d0000b2739098437f764b24b9b6456ee4","1","11","193440","https://p.scdn.co/mp3-preview/44cf92f64a48dcf4c808da1dc340d6f830e83074?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","US6R21315244","spotify:user:t10b3rcditz0zht8d0d4hs0j4","2021-10-30T18:17:04Z"
"spotify:track:1fjSkODGHT0SzZkNgQZEa2","Because My Baby Don't Mean Maybe Now","spotify:artist:1mZm40boQmdGKicfbNkd0r","Paul Whiteman","spotify:album:7lHRKqFxc7RMZNLGi1MfMA","Paul Whiteman & His Orchestra 1920-1935 (Jazz Archives No. 37)","spotify:artist:1mZm40boQmdGKicfbNkd0r","Paul Whiteman","1991","https://i.scdn.co/image/ab67616d0000b2735c81686ebe9cfb3333f6b316","1","17","177533","https://p.scdn.co/mp3-preview/8153a9199d266a5405f3602bbd7a42fa5816f72a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","FR6V89100317","spotify:user:t10b3rcditz0zht8d0d4hs0j4","2021-10-30T18:22:31Z"
"spotify:track:57lwNL4Jtizi56nRmc5Yee","The Sun Has Got His Hat On","spotify:artist:46ifTQBZKor5EggRUIHQy1","Ambrose & His Orchestra","spotify:album:3F6vzT9BDcbTeChfplyz0S","The Very Best of Ambrose & His Orchestra","spotify:artist:46ifTQBZKor5EggRUIHQy1","Ambrose & His Orchestra","2011-03-15","https://i.scdn.co/image/ab67616d0000b273d76fa62eab54a746386d185e","1","1","171960","","false","3","USXTN1046653","spotify:user:t10b3rcditz0zht8d0d4hs0j4","2021-10-30T18:23:16Z"
"spotify:track:4vaGshMUv0abYl77E5qEMj","Hey Little Hen","spotify:artist:3OixquvLvKBdSUJlYDPbxU","Joe Loss & His Orchestra","spotify:album:4Cdh9V8qNHc1ncFwlddXfM","Memories Are Made Of This","spotify:artist:3OixquvLvKBdSUJlYDPbxU","Joe Loss & His Orchestra","2000-01-01","https://i.scdn.co/image/ab67616d0000b2733a9119891c6019f593f4ce81","1","2","178000","","false","12","GBLGL0018658","spotify:user:t10b3rcditz0zht8d0d4hs0j4","2021-10-30T18:24:48Z"
"spotify:track:0VMHZY44eyqHaUAh4ozAJN","Long Ago & Far Away","spotify:artist:0mJMksVwNEshxSHRKbtXTi","Geraldo & His Orchestra","spotify:album:0x7CnpJpwnmOw3dJdMVxSm","All Time Classics","spotify:artist:0mJMksVwNEshxSHRKbtXTi","Geraldo & His Orchestra","2019-07-14","https://i.scdn.co/image/ab67616d0000b2739cc1cf66f1ff940231dd1387","1","5","187594","https://p.scdn.co/mp3-preview/d90fd0b26e472819a534f43487897dead6b3f208?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","UKU6H1957183","spotify:user:t10b3rcditz0zht8d0d4hs0j4","2021-10-30T18:26:56Z"
"spotify:track:59K91lhBiveXbZ775POiHd","Make Yourself a Happiness Pie","spotify:artist:7yPRjz2N7RJupcMfAJpI1f, spotify:artist:1qGbQOy49iiZ31sr7jNvbW","Jack Payne, His BBC Dance Orchestra","spotify:album:3RE5XhVreXE5RjGDymekTT","Roamin' Thru' the Roses, Vol. 6","spotify:artist:7yPRjz2N7RJupcMfAJpI1f, spotify:artist:1qGbQOy49iiZ31sr7jNvbW","Jack Payne, His BBC Dance Orchestra","1931","https://i.scdn.co/image/ab67616d0000b273a54f577f9a145b0a75dc52b0","1","10","184733","","false","0","GBCTP1269510","spotify:user:t10b3rcditz0zht8d0d4hs0j4","2021-10-30T18:28:40Z"
"spotify:track:53xhZzDU5kwMgu7FrPr92I","Ten Cents a Dance","spotify:artist:7yPRjz2N7RJupcMfAJpI1f, spotify:artist:1qGbQOy49iiZ31sr7jNvbW","Jack Payne, His BBC Dance Orchestra","spotify:album:3RE5XhVreXE5RjGDymekTT","Roamin' Thru' the Roses, Vol. 6","spotify:artist:7yPRjz2N7RJupcMfAJpI1f, spotify:artist:1qGbQOy49iiZ31sr7jNvbW","Jack Payne, His BBC Dance Orchestra","1931","https://i.scdn.co/image/ab67616d0000b273a54f577f9a145b0a75dc52b0","1","22","182613","","false","0","GBCTP1269522","spotify:user:t10b3rcditz0zht8d0d4hs0j4","2021-10-30T18:29:35Z"
