"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4tZ2UchFmRixN6swPpLb1Z","Brazilian Jungle Wildlife Background","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","spotify:album:0M75PcOIxCvpTict6eX273","Greenpeace (Saving Our Nature)","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","2010-03-25","https://i.scdn.co/image/ab67616d0000b27356484abf3b487be9bcea312b","1","1","300094","","false","0","US4R31000181","spotify:user:","2012-05-11T17:04:15Z"
"spotify:track:7EWSTY09Mr69Nwt8XElcr1","Lakeside Forest Birds And Loons Background","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","spotify:album:0M75PcOIxCvpTict6eX273","Greenpeace (Saving Our Nature)","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","2010-03-25","https://i.scdn.co/image/ab67616d0000b27356484abf3b487be9bcea312b","1","2","300094","","false","0","US4R31000182","spotify:user:","2012-05-11T17:04:15Z"
"spotify:track:3zoAm4ZUQD3HIsF6xtPCMO","Evening Rhythmic Cricket Calls Background","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","spotify:album:0M75PcOIxCvpTict6eX273","Greenpeace (Saving Our Nature)","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","2010-03-25","https://i.scdn.co/image/ab67616d0000b27356484abf3b487be9bcea312b","1","3","300094","","false","0","US4R31000183","spotify:user:","2012-05-11T17:04:15Z"
"spotify:track:3vY2s4yfJIEMWpuijsaJey","Forest Birds Chatter And Call Background","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","spotify:album:0M75PcOIxCvpTict6eX273","Greenpeace (Saving Our Nature)","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","2010-03-25","https://i.scdn.co/image/ab67616d0000b27356484abf3b487be9bcea312b","1","4","300094","","false","0","US4R31000184","spotify:user:","2012-05-11T17:04:15Z"
"spotify:track:6ezJp8yzqlsb8qGUTz85pA","Open Meadow Birds Chatter And Call Background","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","spotify:album:0M75PcOIxCvpTict6eX273","Greenpeace (Saving Our Nature)","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","2010-03-25","https://i.scdn.co/image/ab67616d0000b27356484abf3b487be9bcea312b","1","5","300094","","false","0","US4R31000185","spotify:user:","2012-05-11T17:04:15Z"
"spotify:track:0IrbnlqF7yv6kNl4d6z0rA","Crisp And Clean Babbling Brook Background","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","spotify:album:0M75PcOIxCvpTict6eX273","Greenpeace (Saving Our Nature)","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","2010-03-25","https://i.scdn.co/image/ab67616d0000b27356484abf3b487be9bcea312b","1","8","300094","","false","0","US4R31000188","spotify:user:","2012-05-11T17:04:15Z"
"spotify:track:1hbMS7BHU9emMsWOvNxNtF","Pacific Island Shoreline","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","spotify:album:0M75PcOIxCvpTict6eX273","Greenpeace (Saving Our Nature)","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","2010-03-25","https://i.scdn.co/image/ab67616d0000b27356484abf3b487be9bcea312b","1","13","300094","","false","0","US4R31000193","spotify:user:","2012-05-11T17:04:15Z"
"spotify:track:2LydsuH17OWxzWNIoVQ7bo","Dolphins Playing","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","spotify:album:0M75PcOIxCvpTict6eX273","Greenpeace (Saving Our Nature)","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","2010-03-25","https://i.scdn.co/image/ab67616d0000b27356484abf3b487be9bcea312b","1","14","300094","","false","0","US4R31000194","spotify:user:","2012-05-11T17:09:22Z"
"spotify:track:7KuzFMhZMKmFqvWJtGQUsp","Sea Elephant Calling - The Greenpeace Podcast","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","spotify:album:0M75PcOIxCvpTict6eX273","Greenpeace (Saving Our Nature)","spotify:artist:1D2TFpgTHMIO9P8k5ZVspi","Nature Ambience","2010-03-25","https://i.scdn.co/image/ab67616d0000b27356484abf3b487be9bcea312b","1","15","300094","","false","0","US4R31000195","spotify:user:","2012-05-11T17:18:31Z"
"spotify:track:6Rg9CIjflf6eeEAUQbLNJc","A Secret Garden - Relaxing Forest Stream for Tai Chi and Reiki - Sounds of Nature for Deep Sleep","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:6fIwNpHmg2ksn052ZsuCcS","Nature Sounds Relaxation and Tibetan Chakra Meditation - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2010-09-15","https://i.scdn.co/image/ab67616d0000b273fe69503f8ad25d75f5d9a1a8","1","3","491865","https://p.scdn.co/mp3-preview/71b11cc8105d4ec1f2f809fcaf66abb3563fbb25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","ITO101054449","spotify:user:","2012-05-24T21:39:24Z"
"spotify:track:6URFjrTJAiCj3IA6uTarux","Calming Sounds Of Nature - Powerful Rain And Thunderstorm","spotify:artist:6ow78JLrWSmpuyIq1ynex4","Best Relaxation Music","spotify:album:6ucIVx3zfAPdEI27ejfv5D","Music For Sleeping And Dreaming - Healing Nature Sounds And Relaxing Music","spotify:artist:6ow78JLrWSmpuyIq1ynex4","Best Relaxation Music","2010-02-17","https://i.scdn.co/image/ab67616d0000b2738472ad671386af111b7d854d","1","3","541727","","false","0","FR6V81038923","spotify:user:","2012-05-24T21:40:13Z"
"spotify:track:4k2dyAYfr27XEPiMQ4XZKZ","Soft Mountain Stream for Stress Relief - Sounds of Nature White Noise for Deep Relaxation and Meditation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:6fIwNpHmg2ksn052ZsuCcS","Nature Sounds Relaxation and Tibetan Chakra Meditation - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2010-09-15","https://i.scdn.co/image/ab67616d0000b273fe69503f8ad25d75f5d9a1a8","1","1","483716","https://p.scdn.co/mp3-preview/4b06214c99514df127fe3d936dcc144edac1aa59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","ITO101054447","spotify:user:","2012-05-24T21:40:13Z"
"spotify:track:1QEuK3XhhXqUriMiMLRBEV","Tropical Storm for Deep Sleep - Thunderstorm Sound and Rain Sound - Music for Sleep and True Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:6fIwNpHmg2ksn052ZsuCcS","Nature Sounds Relaxation and Tibetan Chakra Meditation - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2010-09-15","https://i.scdn.co/image/ab67616d0000b273fe69503f8ad25d75f5d9a1a8","1","29","520019","https://p.scdn.co/mp3-preview/a06b41ef2f0c43d7ab57777f7a9c427113d6b8d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","ITO101054475","spotify:user:","2012-05-24T21:40:13Z"
"spotify:track:3WBYiyOFkf1FmrHJiBHNUQ","Ocean Rain, Soothing Rainstorm and Calming Sounds for Tinnitus. Natural Soundscape - Peaceful Nature Sounds and Soundscapes","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:6fIwNpHmg2ksn052ZsuCcS","Nature Sounds Relaxation and Tibetan Chakra Meditation - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2010-09-15","https://i.scdn.co/image/ab67616d0000b273fe69503f8ad25d75f5d9a1a8","1","10","655097","https://p.scdn.co/mp3-preview/efe00bc62e07faa3e0c660e79f2ced650273e99e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","ITO101054456","spotify:user:","2012-05-24T21:40:13Z"
"spotify:track:4cKjo7xq9TGOanFoRwLS1I","Rain Sounds","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","spotify:album:1k9RrSE3qrxa7LkbYr2ud2","Rain Sounds","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","2012-01-13","https://i.scdn.co/image/ab67616d0000b273f825108de95efded470b2cf7","1","1","303961","","false","0","TCABD1244854","spotify:user:","2012-07-08T04:45:56Z"
"spotify:track:2qQaBz5PKO6njVj1HGsKbf","Colorado Rain","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","spotify:album:1k9RrSE3qrxa7LkbYr2ud2","Rain Sounds","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","2012-01-13","https://i.scdn.co/image/ab67616d0000b273f825108de95efded470b2cf7","1","2","303805","","false","0","TCABD1244856","spotify:user:","2012-07-08T04:45:56Z"
"spotify:track:7JSOeX7Geee920XQOatuLO","Morning Rain in Sedona","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","spotify:album:1k9RrSE3qrxa7LkbYr2ud2","Rain Sounds","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","2012-01-13","https://i.scdn.co/image/ab67616d0000b273f825108de95efded470b2cf7","1","3","334263","","false","0","TCABD1244858","spotify:user:","2012-07-08T04:45:56Z"
"spotify:track:7gc0rhnTTYDb8nnW7H6IUH","Thunderstorm Sleep","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","spotify:album:1k9RrSE3qrxa7LkbYr2ud2","Rain Sounds","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","2012-01-13","https://i.scdn.co/image/ab67616d0000b273f825108de95efded470b2cf7","1","4","390766","","false","0","TCABD1244881","spotify:user:","2012-07-08T04:45:56Z"
"spotify:track:7CDcpBxi94ArnBoRVL8XQT","Island Rain","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","spotify:album:1k9RrSE3qrxa7LkbYr2ud2","Rain Sounds","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","2012-01-13","https://i.scdn.co/image/ab67616d0000b273f825108de95efded470b2cf7","1","5","306887","","false","0","TCABD1244859","spotify:user:","2012-07-08T04:45:56Z"
"spotify:track:6hrVvAZqnzzQb70dzwuxtu","Rain on the Window","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","spotify:album:1k9RrSE3qrxa7LkbYr2ud2","Rain Sounds","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","2012-01-13","https://i.scdn.co/image/ab67616d0000b273f825108de95efded470b2cf7","1","6","303961","","false","0","TCABD1244860","spotify:user:","2012-07-08T04:45:56Z"
"spotify:track:6Ook1i4Hg1G6XU51jtjFVB","Healing Rain","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","spotify:album:1k9RrSE3qrxa7LkbYr2ud2","Rain Sounds","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","2012-01-13","https://i.scdn.co/image/ab67616d0000b273f825108de95efded470b2cf7","1","7","309290","","false","0","TCABD1244862","spotify:user:","2012-07-08T04:45:56Z"
"spotify:track:12p9yDzddzSjfep11ef9WA","Rain for Sleep","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","spotify:album:1k9RrSE3qrxa7LkbYr2ud2","Rain Sounds","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","2012-01-13","https://i.scdn.co/image/ab67616d0000b273f825108de95efded470b2cf7","1","8","334263","","false","0","TCABD1244863","spotify:user:","2012-07-08T04:45:56Z"
"spotify:track:6Zr36FDd4eDA7XL7nLn0WK","Calming Sounds","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","spotify:album:1k9RrSE3qrxa7LkbYr2ud2","Rain Sounds","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","2012-01-13","https://i.scdn.co/image/ab67616d0000b273f825108de95efded470b2cf7","1","9","306887","","false","0","TCABD1244864","spotify:user:","2012-07-08T04:45:56Z"
"spotify:track:4pdkXqmPvZb6M4xkJfXesb","Nature Sounds for Sleep","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","spotify:album:1k9RrSE3qrxa7LkbYr2ud2","Rain Sounds","spotify:artist:5nSGBmlgUdqWNExnOX8VtV","Rain Sounds","2012-01-13","https://i.scdn.co/image/ab67616d0000b273f825108de95efded470b2cf7","1","10","251847","","false","0","TCABD1244882","spotify:user:","2012-07-08T04:45:56Z"
