"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7MKr5M8sD1RmaDlOTtLfRo","NEVER ON A SUNDAY","spotify:artist:09L3cUdx0hq6qn5bKuJJ4I","Herb Alpert & The Tijuana Brass","spotify:album:5evLlDX750pwOCWMkRRWzu","The Lonely Bull","spotify:artist:09L3cUdx0hq6qn5bKuJJ4I","Herb Alpert & The Tijuana Brass","1962","https://i.scdn.co/image/ab67616d0000b27306dd9fe7aab7e25980bb20cd","1","6","161160","","false","0","USSE90320938","spotify:user:","2012-05-28T20:19:19Z"
"spotify:track:6qsjgZmb7OH7lux8uqt3Sg","Pote Tin Kiriaki","spotify:artist:4iVvG04w9XBch3kxXWMuxb, spotify:artist:3pwlDl0l2GxLybJ2JV9ONZ","Bouzouki Kings, Anastasia","spotify:album:0AUimf9H8YL2ThZighzdrs","Tzatziki - The Best Greek Music For The Best Greek Food","spotify:artist:4iVvG04w9XBch3kxXWMuxb","Bouzouki Kings","2010-09-15","https://i.scdn.co/image/ab67616d0000b273d8231427404d6a2787dd636d","1","6","197200","","false","0","GRFM19500512","spotify:user:","2012-05-28T20:20:27Z"
"spotify:track:3XAKIYYvQ3Ig5kjIHpqjlm","Never On A Sunday","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:2tuet4U7zKRmCTrDyqotZX","The Chordettes Greatest Hits","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","2010-12-19","https://i.scdn.co/image/ab67616d0000b273fe8cdf3caa9d659f4e265bf8","1","8","162664","","false","0","GBGQH0410029","spotify:user:","2012-05-28T20:20:27Z"
"spotify:track:3OFcIxcKZ9UB4NZ5CPSRvn","Never On A Sunday","spotify:artist:3b7NTleAA5qQPPrxarszah","Connie Tilotson","spotify:album:4oouplh9XlwSc2P6EUa7J0","Golden Oldies Vol 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-02-23","https://i.scdn.co/image/ab67616d0000b27323cd107656f33008705f2cdd","1","9","158801","","false","0","USESK0608176","spotify:user:","2012-05-28T20:20:27Z"
"spotify:track:6Pw9GVdbiyaqeDY0L2tHOM","Never On A Sunday","spotify:artist:5x1It6yl3jsL86ud5WRLeV","The Baja Beach Players","spotify:album:2C8k0yZVf2QTUhUL0XlMSd","Mexican Fiesta","spotify:artist:5x1It6yl3jsL86ud5WRLeV","The Baja Beach Players","2008-07-01","https://i.scdn.co/image/ab67616d0000b273bc8a78491ae881ef81a9e308","1","9","243546","","false","0","USA560835585","spotify:user:","2012-05-28T20:20:27Z"
"spotify:track:2gohWPlm3harpIYBfNuQyX","Never On a Sunday","spotify:artist:6kL7splaPgXXPz7HYE0siD","Omega","spotify:album:4SrtbUmfLJZIsqVpYYoihY","Memories of Greece","spotify:artist:6kL7splaPgXXPz7HYE0siD","Omega","2012-03-03","https://i.scdn.co/image/ab67616d0000b2735a1c2f60d63156edb4180adf","1","4","230306","https://p.scdn.co/mp3-preview/f23c6676d550b365d4b42857dc920b018c4690e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA561076386","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:3NGRraOplOqCV4tL5xLFf4","Never On A Sunday","spotify:artist:695gNCDVviH3s5ZYVs2VNK","Liberace","spotify:album:7De3bqjffisKbydSKUMOdQ","The Best Of Liberace","spotify:artist:695gNCDVviH3s5ZYVs2VNK","Liberace","1972-01-01","https://i.scdn.co/image/ab67616d0000b27331caf09c6d4b2805510e9611","1","8","140906","https://p.scdn.co/mp3-preview/44ba081ad20093d8872ae4cab3b4ff5d3e9dd0ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USMC16313254","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:5sGkWAa4vhKySa93z5cWUu","Never On a Sunday","spotify:artist:7LfRnzGM0wRSyS5mmAwJbv","Ray Conniff","spotify:album:0CpEaE3DXO0bUzyxwan0Xx","Rarity Music Pop, Vol. 304 (The Happy Beat)","spotify:artist:7LfRnzGM0wRSyS5mmAwJbv","Ray Conniff","2012-03-04","https://i.scdn.co/image/ab67616d0000b27354d0333d016cddb316dfae92","1","8","149185","","false","0","IT0371004425","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:6Iu93xqKoSaa4XOSJchAlD","Never On A Sunday","spotify:artist:2rYnPJc9TasdUkXoS5MloJ","Verskeie Kunstenaars","spotify:album:6oPh49d321oHzNMcUfPTpN","Instrumentele Malligheid Vol 1","spotify:artist:2rYnPJc9TasdUkXoS5MloJ","Verskeie Kunstenaars","2008-06-01","https://i.scdn.co/image/ab67616d0000b273f49ff4566413f6c11734f817","1","4","206546","https://p.scdn.co/mp3-preview/d62611d620b3055e4012d6910bb1142b2a18bef7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USA560953927","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:4nPRgrrYllKyRX1EkOmbEA","Never On a Sunday","spotify:artist:0jk6XHCa35mNKSDegu2NX2","The Tropicals","spotify:album:3RN97KHdgQPDu0SWsi6UKu","Liming On the Island","spotify:artist:0jk6XHCa35mNKSDegu2NX2","The Tropicals","2002","https://i.scdn.co/image/ab67616d0000b273f4cbcada0be8418f69408187","1","2","219898","","false","0","USHM90470059","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:0NaWBCcFuv5295jrllShut","Never On A Sunday","spotify:artist:0RApVWsazsKH8QZsLtffn9","Don Costa","spotify:album:3dXmUREyD54x2E8opXyy4v","Fifties Songs Vol 3","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-02-28","https://i.scdn.co/image/ab67616d0000b2731baba7739023f4287d26495f","1","15","177652","","false","0","USESK0608235","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:28eBtpFD2w1XJRNA7htfRz","Never On a Sunday","spotify:artist:7iRlYRinXkwFaUhJ3I2euO","Martin y Martinez","spotify:album:3qjDVPHKiqTkVHeDSsJkDm","Crossing the Border","spotify:artist:7iRlYRinXkwFaUhJ3I2euO","Martin y Martinez","2007-01-01","https://i.scdn.co/image/ab67616d0000b273a70f6ebf20c0bed95c226abc","1","10","357186","https://p.scdn.co/mp3-preview/996f4a89da18c4a74db6a0bf574e7e9907c2c0cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","usl4q0707694","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:4Ex70U2oVsrakrgCbxk8cO","Never On A Sunday","spotify:artist:1AUtHMCvC5WJJSKlosVHTH","The Golden Saxophone","spotify:album:4104vVOqK4QPDkBtE9q9bl","An Hour Of Golden Saxophones - 22 All Time Favourites","spotify:artist:0YLyW2CSDvCX2bEsc8WxLa","Golden Saxophones","2008-02-19","https://i.scdn.co/image/ab67616d0000b273d430e8595104f170b3be0529","1","18","175666","https://p.scdn.co/mp3-preview/8c868c89133d6964c00fe18cba902e43d17df822?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USKYW0703939","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:50KxCXmEQ6eOYVsTjAcWjS","Never On A Sunday","spotify:artist:10n4KkyM4UDt4pf9H4aDlS","Tito Rodriguez","spotify:album:3E6F61aQPJXuA1VKIo4m7q","Cha Cha Cha Et Cinema","spotify:artist:10n4KkyM4UDt4pf9H4aDlS","Tito Rodriguez","2011-09-08","https://i.scdn.co/image/ab67616d0000b2735cf4d7b256df7b89692dcf52","1","12","134036","","false","0","GBBXS1164050","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:6jPhjq3D9laXDTwmtcgNuE","Never on a Sunday","spotify:artist:6GdiA79qjpkxWv6BzsJLt2","Trevor Nasser","spotify:album:7bD3iIDoBiW5ttb7qkmJWu","Somewhere out There","spotify:artist:6GdiA79qjpkxWv6BzsJLt2","Trevor Nasser","2009-07-01","https://i.scdn.co/image/ab67616d0000b27377333e07eb64cfe423deb377","1","3","200560","https://p.scdn.co/mp3-preview/c88e6971d64b5b06bd8e584a8939072b5b1e331c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","USA370965672","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:2yLVJKyJPGBDwZqmMip7UI","Never On A Sunday","spotify:artist:5NUY2s7jYgYZ5HCmvyYQBv","Latino Beats","spotify:album:4OhQLfBPNkuZqUPfJPoA6a","Tango","spotify:artist:5NUY2s7jYgYZ5HCmvyYQBv","Latino Beats","2010-04-23","https://i.scdn.co/image/ab67616d0000b2736cf267ccfc866b58ce2626af","1","13","188453","https://p.scdn.co/mp3-preview/ee578ba0cdc73fde7e3832ed46bce6de84b195f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLG620427075","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:1SA12f1ePqftBQT1N3qPWQ","Never On A Sunday","spotify:artist:6JvgBQZb2bjz2NYRz4XKYI","Brandon Butler","spotify:album:3VnFsdoFN6D5ctoN91vkeb","Lucky Thumbs","spotify:artist:6JvgBQZb2bjz2NYRz4XKYI","Brandon Butler","2007-04-17","https://i.scdn.co/image/ab67616d0000b27378428a2aad292c7c2ea16d1b","1","4","388066","","false","0","USA2B0743804","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:1zBCkPOW44zyM4Kppmda2A","Never On A Sunday","spotify:artist:4WQWaPilfIIkwI4fkrFWeK","Freddy Gardner","spotify:album:3vVKRkBeKR5yqKSzicPVFa","Great Guitar Instrumentals","spotify:artist:4WQWaPilfIIkwI4fkrFWeK","Freddy Gardner","2005-09-15","https://i.scdn.co/image/ab67616d0000b27375366d01111bb6292485c29c","1","16","197853","","false","0","SEWDL0468716","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:0CVPEanB2vu0Nsuiwjsezb","Never On A Sunday","spotify:artist:45XRyzHfTYKmXgAhRgW1JS","Pan Jammers Steelband","spotify:album:6AUkVcu1Cuik9bosrWjgRJ","Santa Cruz Jam","spotify:artist:45XRyzHfTYKmXgAhRgW1JS","Pan Jammers Steelband","1997-01-15","https://i.scdn.co/image/ab67616d0000b2736a244d4dbb7fc68d27408bc6","1","16","189240","","false","0","DEZ650910042","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:6ut1T9U21kGqQGkAyZENYV","Never on a Sunday","spotify:artist:0SXxDEeokyIt2TiVeAHCS1","207737","spotify:album:69IPLXgbmEWgxVmBOVMIJd","The Messenger - DJ Spade: tha Specialist Mix","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-12-21","https://i.scdn.co/image/ab67616d0000b273c9dabb5ae6069ed27e4c0747","1","7","140146","","true","0","US-TEV-10-48787","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:3qCNstgZKK8m9fSUMhi6Od","Never On A Sunday","spotify:artist:3Stl5eXeLsfkAzhyYWzkcp","The Versatiles","spotify:album:5Jz2dXBAUSsdi1JqYyh5Ys","Unforgettable!","spotify:artist:3Stl5eXeLsfkAzhyYWzkcp","The Versatiles","2011-08-11","https://i.scdn.co/image/ab67616d0000b2734f34fdc51cf0174bbed4efd8","1","9","129000","https://p.scdn.co/mp3-preview/b2dc2f1e7e4c1bb13d2d35f47c16177418312d79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USKYW1122653","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:63xmtEq5Yf0b4mEUcIAf3d","Never On a Sunday","spotify:artist:6vD5a8thH3iqBVhiHRzmN2","Vincent Bell","spotify:album:01wdxP4Ytk3DwMmEnMDLHg","The Best Of","spotify:artist:6vD5a8thH3iqBVhiHRzmN2","Vincent Bell","2011-12-01","https://i.scdn.co/image/ab67616d0000b273a3ef618cddbbfc8f2b88427e","1","2","158053","","false","0","USA371574395","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:7ft5GutrHwIgROfuO974JG","Never On a Sunday","spotify:artist:4Ine6O8haqJ6AWUiychb1b","Fascinating Fred Burnett","spotify:album:1n2HUg9QuvAAgdDC18ojux","On Steel Drums","spotify:artist:4Ine6O8haqJ6AWUiychb1b","Fascinating Fred Burnett","2012-03-01","https://i.scdn.co/image/ab67616d0000b273c1a994f3ceb2833a053f3516","1","5","165920","","false","0","USA561072251","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:2o2DxFNr4UbQNOTt00reGD","Never on a Sunday","spotify:artist:1UWDUVMtdPUtNmRV8TpAUF","Granville Automatic","spotify:album:4bs6dQ2wTlompPftw5Yyoj","Granville Automatic","spotify:artist:1UWDUVMtdPUtNmRV8TpAUF","Granville Automatic","2012-05-01","https://i.scdn.co/image/ab67616d0000b2732460a7b98162a4d329d21187","1","9","200413","https://p.scdn.co/mp3-preview/29ada8c8693461f9b204696b9b73cdb07e55c12b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QMQBB1200009","spotify:user:","2012-10-23T10:46:18Z"
"spotify:track:3qam8M5QSm0PhSKYGcV5nh","Never On A Sunday","spotify:artist:14LCInS35JCn6SUbff3vET","Kathy Holly","spotify:album:1VxsmZ0vTZTThbX73ExGfi","Roundtrip","spotify:artist:14LCInS35JCn6SUbff3vET","Kathy Holly","2009-01-01","https://i.scdn.co/image/ab67616d0000b27344a6a58c6b5f0ccc05ee3624","1","9","204746","https://p.scdn.co/mp3-preview/fd40bed9ece53a0e6aefa7d78ef4a6142bc09ef2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","usx9p0915645","spotify:user:","2012-10-23T10:46:18Z"
