"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0xW2mOUr00euj1d3hxW0lM","Papa Chajes","spotify:artist:2vMBszTQ5H66LhDEM3mSvl","Amsterdam Klezmer Band","spotify:album:5B59wDL9L6PQxsWWnYtrk9","Katla","spotify:artist:2vMBszTQ5H66LhDEM3mSvl","Amsterdam Klezmer Band","2011-03-04","https://i.scdn.co/image/ab67616d0000b2730127a0299408a69483ce4e95","1","1","189732","https://p.scdn.co/mp3-preview/6d4ae92d17477c6fb97a6b6312769e7c5de8466c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","DEAZ21000498","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3aqCbTpIsIqIabso4CJ3El","La valse","spotify:artist:0baGqHSXVphCsotxWDv7NX","Les Négresses Vertes","spotify:album:4phKu4QfMgniJyW1dlmuUV","Mlah","spotify:artist:0baGqHSXVphCsotxWDv7NX","Les Négresses Vertes","1988","https://i.scdn.co/image/ab67616d0000b27313037484df7df492be1b2cdc","1","1","90293","https://p.scdn.co/mp3-preview/07c2b6704d4bc78cc9deecf315086fb6ba8118a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","FRY689100006","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6zEw4LtqQbRAurOU3oHdWp","Danse du sabre (Aram katchaturian)","spotify:artist:584IrVNe0vTWlEByT1vkqT","Les Yeux Noirs","spotify:album:6PzX7Vrt0k8jWlk6y8NcBv","Suites","spotify:artist:584IrVNe0vTWlEByT1vkqT","Les Yeux Noirs","1994","https://i.scdn.co/image/ab67616d0000b2736d06d096e759249b940d32bc","1","13","125840","https://p.scdn.co/mp3-preview/7ab3b33a4edeb72bd18a558d0d7e64cad40969fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","FR6V89400063","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7eOtKm3fNAeAhAoIZmJuEY","Moliendo Café","spotify:artist:40iJCAOCz6nhRs6CbsAtOg","Fanfare Ciocarlia","spotify:album:6zUrmT5eJIG2lNajO4AxJj","Iag Bari","spotify:artist:40iJCAOCz6nhRs6CbsAtOg","Fanfare Ciocarlia","2001-01-01","https://i.scdn.co/image/ab67616d0000b273ce0704c5c2d7cb69560c3c74","1","10","147093","https://p.scdn.co/mp3-preview/c82edee1eff4ca3057a3212c11639a13bb1b2d09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","DEL120107710","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6Ykb5OFF9edIunzSW2BgoG","Je veux faire ma Bar Mitsva","spotify:artist:19vmNxwnUie8YSQQWhdx1F, spotify:artist:1n1k5yFQxYhohOmSWVmTo6, spotify:artist:2vMBszTQ5H66LhDEM3mSvl","Olivier Daviaud, Enrico Macias, Amsterdam Klezmer Band","spotify:album:4fvXvNiAqgIKC3RTmL2V2x","Le Chat du Rabbin (Bande originale du film)","spotify:artist:19vmNxwnUie8YSQQWhdx1F","Olivier Daviaud","2011-05-30","https://i.scdn.co/image/ab67616d0000b273d16ef762ad18c560bee5266a","1","4","130360","https://p.scdn.co/mp3-preview/5e7a5ca29388404c0c8635cfff4b4257834106c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","FR9W11103951","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2X2qAEwKSYwZzoBoGPDjf6","Koud Binnen Warm Van Binnen","spotify:artist:2vMBszTQ5H66LhDEM3mSvl","Amsterdam Klezmer Band","spotify:album:4kYBkOii9W7DnCIzZoiorH","Benja","spotify:artist:2vMBszTQ5H66LhDEM3mSvl","Amsterdam Klezmer Band","2015-02-08","https://i.scdn.co/image/ab67616d0000b273c3120bbdc2f38ad14ad18b22","1","3","160978","https://p.scdn.co/mp3-preview/079e5e96c8421ceaa5e5fb6dbd6610a381ea6f95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","NLB4D1500004","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:55h3TMqWk8f2vBVOu9XmKj","Wedding-Cocek","spotify:artist:1iaVBbyS9GkmZRAS7EcJEp","Athens Symphony Orchestra","spotify:album:3teo373tDGhH1fzFYtefwv","Balkanica","spotify:artist:1iaVBbyS9GkmZRAS7EcJEp","Athens Symphony Orchestra","2000","https://i.scdn.co/image/ab67616d0000b273c90bbc928a9b2665c6273c26","1","7","194576","https://p.scdn.co/mp3-preview/e883962c8332f557530a9cd29ca0e52c3886dbfb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USA560440042","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0xoPdRHa9JTMR5fCcMbSpN","Bossa Dorado - Instrumental","spotify:artist:4xIooHvSmj2aWhQGrniJSu","The Rosenberg Trio","spotify:album:5lZQa55HvDazsrfPgzu5vm","Seresta","spotify:artist:4xIooHvSmj2aWhQGrniJSu","The Rosenberg Trio","1989-01-01","https://i.scdn.co/image/ab67616d0000b27399ba189ec76b03dd51d1d856","1","10","208600","https://p.scdn.co/mp3-preview/001c9cf5f2c8263ac445772c6b39c0815b4d4114?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","NLA318900121","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:06b7thySo5gEQ7lDMnRXen","Hora michika (Tzigane roumain)","spotify:artist:584IrVNe0vTWlEByT1vkqT","Les Yeux Noirs","spotify:album:6PzX7Vrt0k8jWlk6y8NcBv","Suites","spotify:artist:584IrVNe0vTWlEByT1vkqT","Les Yeux Noirs","1994","https://i.scdn.co/image/ab67616d0000b2736d06d096e759249b940d32bc","1","1","119440","https://p.scdn.co/mp3-preview/bd8fa7d27e936c61d0a0bf57924c22e2989429d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","FR6V89400051","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4sGTEtCCf43jR5QtvYY2Yf","La Revedere","spotify:artist:16LvTqpD4wlfFb4EBcW0x3, spotify:artist:2vMBszTQ5H66LhDEM3mSvl","[dunkelbunt], Amsterdam Klezmer Band","spotify:album:5yOdpBaqNL30wYZNaAa9bI","Morgenlandfahrt","spotify:artist:16LvTqpD4wlfFb4EBcW0x3","[dunkelbunt]","2007","https://i.scdn.co/image/ab67616d0000b2736e97b327f20346bf3123199f","1","2","256546","https://p.scdn.co/mp3-preview/7121db94dcf67d8baf01553d221f441e93eeb52e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","ATAH61513002","spotify:user:","1970-01-01T00:00:00Z"
