"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6AsSlG08FtjAhkuGn8DvO3","C'est l'heure de l'apéro","spotify:artist:3M0KUpAK3exffSiJzmcO5M","Christine Tassan et les Imposteures","spotify:album:03MGmKU6WinFpozHAbcr99","C'est l'heure de l'apéro","spotify:artist:3M0KUpAK3exffSiJzmcO5M","Christine Tassan et les Imposteures","2012-11-27","https://i.scdn.co/image/ab67616d0000b2738da3348ce17119e09bdf65b8","1","1","242960","","false","0","CAV621200001","spotify:user:gym377","2016-11-19T04:47:32Z"
"spotify:track:5iyntk5PFsOvy5Cl4hLgD3","La mauresque","spotify:artist:3M0KUpAK3exffSiJzmcO5M","Christine Tassan et les Imposteures","spotify:album:03MGmKU6WinFpozHAbcr99","C'est l'heure de l'apéro","spotify:artist:3M0KUpAK3exffSiJzmcO5M","Christine Tassan et les Imposteures","2012-11-27","https://i.scdn.co/image/ab67616d0000b2738da3348ce17119e09bdf65b8","1","12","230600","","false","0","CAV621200012","spotify:user:gym377","2016-11-19T04:50:07Z"
"spotify:track:43NCVOJ4GMuzbxQAcpPcXE","Venez donc chez moi","spotify:artist:3M0KUpAK3exffSiJzmcO5M","Christine Tassan et les Imposteures","spotify:album:4lpybSeSP31RR0nNVPZNFn","De bon matin","spotify:artist:3M0KUpAK3exffSiJzmcO5M","Christine Tassan et les Imposteures","2007-03-27","https://i.scdn.co/image/ab67616d0000b2738b05024ac56116360533dbe7","1","5","212946","","false","0","CAI370910161","spotify:user:gym377","2016-11-19T04:50:27Z"
"spotify:track:6r4fYjLZQB7OuQyTm1Z4Bs","Et j'aime bien","spotify:artist:4HRPJs11AWptq0SsH3f7PC","Presque Oui","spotify:album:0LKydjK679rdt67mreNV4X","Ma bande originale","spotify:artist:4HRPJs11AWptq0SsH3f7PC","Presque Oui","2010","https://i.scdn.co/image/ab67616d0000b273ae93c6346b795fde798dfb2f","1","1","194453","https://p.scdn.co/mp3-preview/01f51427defadce5908b1458096de1ef7c2eb992?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","FRP4M1000100","spotify:user:gym377","2016-11-19T04:52:37Z"
"spotify:track:0i1KkstzKrwFNvGeIphIuZ","L'ongle","spotify:artist:4HRPJs11AWptq0SsH3f7PC","Presque Oui","spotify:album:6JrtoKBt3LnomnwvmNv3nA","Sauvez les meubles","spotify:artist:4HRPJs11AWptq0SsH3f7PC","Presque Oui","2005-03-25","https://i.scdn.co/image/ab67616d0000b273a55d367b7e7e3a884102b2ee","1","3","182280","https://p.scdn.co/mp3-preview/49fc6e2fe347cf95b9f3ad8c42978b57d18d1525?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","FRP4M0500060","spotify:user:gym377","2016-11-19T04:53:09Z"
"spotify:track:2SHWuWZ4Dg7TwRSP7U0B6t","Les perroquets du Périgord","spotify:artist:4HRPJs11AWptq0SsH3f7PC","Presque Oui","spotify:album:6JrtoKBt3LnomnwvmNv3nA","Sauvez les meubles","spotify:artist:4HRPJs11AWptq0SsH3f7PC","Presque Oui","2005-03-25","https://i.scdn.co/image/ab67616d0000b273a55d367b7e7e3a884102b2ee","1","1","168640","https://p.scdn.co/mp3-preview/a82109aeb7c4e45a35dfdb3c62d82146460f7dd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","FRP4M0500110","spotify:user:gym377","2016-11-19T04:53:22Z"
"spotify:track:252y7cLUYBijSJo1Qd8Yap","On saura pas","spotify:artist:4HRPJs11AWptq0SsH3f7PC","Presque Oui","spotify:album:2ty5k58jL3R3ZZvhkDzSPt","De toute évidence","spotify:artist:4HRPJs11AWptq0SsH3f7PC","Presque Oui","2015-04-27","https://i.scdn.co/image/ab67616d0000b273c75b0463ef71d0fcbe7a500e","1","2","197693","https://p.scdn.co/mp3-preview/5378a3210a9e8bbbea98329441174316789cc849?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","FRP4M1400020","spotify:user:gym377","2016-11-19T04:53:49Z"
"spotify:track:4iQcMQVb6a92Uh5zF57irM","J'ai 18 Ans","spotify:artist:3VI6nyKdPVIBxorjS5rYNd","Rose","spotify:album:0poOfeN7tsjbpLzUjpYBau","Les Souvenirs Sous Ma Frange","spotify:artist:3VI6nyKdPVIBxorjS5rYNd","Rose","2009-10-16","https://i.scdn.co/image/ab67616d0000b273f2867ee4e643f0656738632b","1","9","185133","https://p.scdn.co/mp3-preview/747ca844f1070c07f6e59f029b5914fc9ece3419?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","FRZ110901263","spotify:user:gym377","2016-11-19T04:55:42Z"
"spotify:track:16ZnFPy1U1nd69DHIAlsAB","Doxology - Memory of Dick","spotify:artist:7b7KvDXQB2IrXx4Kw9cd8Z","Bobby Jaspar","spotify:album:6DUULHsoggnBmeMoUIYgMZ","Jeux","spotify:artist:7b7KvDXQB2IrXx4Kw9cd8Z","Bobby Jaspar","2013-07-19","https://i.scdn.co/image/ab67616d0000b2739fcaf35c7bfa1a0cf509b027","1","7","154800","","false","0","USA2P1324427","spotify:user:gym377","2016-11-19T04:58:30Z"
"spotify:track:2vPalVURlUvEwv4xsLGbEM","Vianne Sets Up Shop","spotify:artist:1joFZGTRER78nUsWtgHCHR","Rachel Portman","spotify:album:1fs5PH1L35fEbG2csJT3AD","Chocolat (Original Motion Picture Soundtrack)","spotify:artist:1joFZGTRER78nUsWtgHCHR","Rachel Portman","2001","https://i.scdn.co/image/ab67616d0000b2737da178c33fb4e7ade0a228bb","1","4","117666","https://p.scdn.co/mp3-preview/8f0dc91f9afcb1213c941ce3318f5169a90d2037?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USSM10019311","spotify:user:gym377","2016-11-19T05:13:07Z"
