"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6By5EZtl0GKQuRZBZbk1LU","La Vie en rose","spotify:artist:1WPcVNert9hn7mHsPKDn7j","Édith Piaf","spotify:album:6bpRFXyBlXgyvHZWc8KpeF","The Voice Of the Sparrow / The Very Best Of Edith Piaf (Domestic Only)","spotify:artist:1WPcVNert9hn7mHsPKDn7j","Édith Piaf","1987-10-31","https://i.scdn.co/image/ab67616d0000b273b8012b3bbb6828a4c89bfdc6","1","2","187733","https://p.scdn.co/mp3-preview/0c4a7f17f83d6cc164d8ccf843e94f0561e93adf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","FRZ114700100","spotify:user:jackie.sevier-us","2017-09-15T17:34:17Z"
"spotify:track:62OTPih8Fnsrv9LUPtdwLN","Begin the Beguine","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","spotify:album:1InnaQXEX8lx5kWY38CGUz","Greatest Hits","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","1996-04-04","https://i.scdn.co/image/ab67616d0000b2734c22902aa0661895d8c6abdb","1","1","193720","https://p.scdn.co/mp3-preview/966fb48f6799d5cc7da42491c6cbc1aafc135daf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USBB19700689","spotify:user:jackie.sevier-us","2017-09-15T17:36:38Z"
"spotify:track:6xGb3E1ctLSckfm0x8cmAO","Stardust","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","spotify:album:1InnaQXEX8lx5kWY38CGUz","Greatest Hits","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","1996-04-04","https://i.scdn.co/image/ab67616d0000b2734c22902aa0661895d8c6abdb","1","2","215706","https://p.scdn.co/mp3-preview/e3f7a58ea687872382062c69e8808b6d4d2e498b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USBB14001001","spotify:user:jackie.sevier-us","2017-09-15T17:36:51Z"
"spotify:track:40R1HJ8gH1DnMk07qbvfOo","I Cover The Waterfront (from the film ""I Cover The Waterfront"")","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","spotify:album:1InnaQXEX8lx5kWY38CGUz","Greatest Hits","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","1996-04-04","https://i.scdn.co/image/ab67616d0000b2734c22902aa0661895d8c6abdb","1","3","209000","https://p.scdn.co/mp3-preview/78b57d6cdf7135b518ac7004affcdeb92de6944b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USBB10100176","spotify:user:jackie.sevier-us","2017-09-15T17:37:19Z"
"spotify:track:1T5VLQXmFRM9ShzVUuMMWZ","Moonglow","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","spotify:album:1InnaQXEX8lx5kWY38CGUz","Greatest Hits","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","1996-04-04","https://i.scdn.co/image/ab67616d0000b2734c22902aa0661895d8c6abdb","1","6","206866","https://p.scdn.co/mp3-preview/8127c453aaf1846989c4fd932cef3bc01d24f688?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USBB14100682","spotify:user:jackie.sevier-us","2017-09-15T17:37:44Z"
"spotify:track:6ePfZSL65nQl1mhTd0YEt3","Into Each Life Some Rain Must Fall","spotify:artist:5V0MlUE1Bft0mbLlND7FJz, spotify:artist:5bOsFzuJ6QZMr86ezC4oXY","Ella Fitzgerald, The Ink Spots","spotify:album:0MgX1r8D5sEhpC3JPs6pLG","Ella & Friends","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","1996-01-01","https://i.scdn.co/image/ab67616d0000b273172183c766f475f06cf67a57","1","6","190093","","false","0","USMC14472370","spotify:user:jackie.sevier-us","2017-09-15T17:38:44Z"
"spotify:track:4IY76C5dZWMvQ542It1Ykl","If I Didn't Care","spotify:artist:5bOsFzuJ6QZMr86ezC4oXY","The Ink Spots","spotify:album:0Cl58AT1JaW7D8fM5awL7x","The Anthology","spotify:artist:5bOsFzuJ6QZMr86ezC4oXY","The Ink Spots","1998-01-01","https://i.scdn.co/image/ab67616d0000b273c70f8d71fbe46aee7d71a09f","1","3","181973","","false","0","USMC13947350","spotify:user:jackie.sevier-us","2017-09-15T17:38:51Z"
"spotify:track:5m6pbulByW25gIcxCpDvxE","I'm Beginning To See The Light","spotify:artist:5V0MlUE1Bft0mbLlND7FJz, spotify:artist:5bOsFzuJ6QZMr86ezC4oXY","Ella Fitzgerald, The Ink Spots","spotify:album:0MgX1r8D5sEhpC3JPs6pLG","Ella & Friends","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","1996-01-01","https://i.scdn.co/image/ab67616d0000b273172183c766f475f06cf67a57","1","8","165266","","false","0","USMC14472746","spotify:user:jackie.sevier-us","2017-09-15T17:38:57Z"
"spotify:track:4SfFKA89wG1ZibFLpkwFw7","Someone To Watch Over Me","spotify:artist:5bWApG9Vdshhd1J50UnNf6","BLOSSOM DEARIE","spotify:album:5D5eQmgvrCleIhNPOixTqh","My Gentleman Friend","spotify:artist:5bWApG9Vdshhd1J50UnNf6","BLOSSOM DEARIE","1960-05-01","https://i.scdn.co/image/ab67616d0000b2733144cdc2c227ca0371e817e8","1","10","357320","https://p.scdn.co/mp3-preview/78deed23106e6bb2171f2f9b8ba5918e4e568ca9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USPR35908018","spotify:user:jackie.sevier-us","2017-09-15T18:01:52Z"
"spotify:track:43bBYODzZFd9nOfBaBRrr6","Surrey With The Fringe On Top","spotify:artist:5bWApG9Vdshhd1J50UnNf6","BLOSSOM DEARIE","spotify:album:5pJeMvBDbvBnmDJsd0Up9n","Once Upon A Summertime","spotify:artist:5bWApG9Vdshhd1J50UnNf6","BLOSSOM DEARIE","1958-01-01","https://i.scdn.co/image/ab67616d0000b273e82c399e04265a1048cfb98c","1","2","260000","https://p.scdn.co/mp3-preview/dfe8209611d1e2ab613bada9d14c8088a8443e5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USWWW0201345","spotify:user:jackie.sevier-us","2017-09-15T18:05:04Z"
