"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:28Jug59ejZ3fQkEZvXKXXU","Partita in A Minor for Solo Flute, BWV 1013: I. Allemande","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6m9iSEulrcSYUYkhdmlVj9","Johann Sebastian Bach, Jörg Hähnlein","spotify:album:4nKjxj0n3ZhyZZwMdZduJT","60 Relaxing Flute Chillout Classics","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-06-23","https://i.scdn.co/image/ab67616d0000b2735e3a42f63565a5c57d56693d","1","4","193040","https://p.scdn.co/mp3-preview/92968b18751653e356d766365cfca3d2f1308537?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBQRF1342146","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7jHNbFhD9eMABbSrKzYVWJ","Thing 4","spotify:artist:3mrO7SrVK8JD8bldzKySiK","Uri Lipp","spotify:album:0Be6EpXAQ5Sv0a3iqDtO28","Instrument of a thousand faces","spotify:artist:3mrO7SrVK8JD8bldzKySiK","Uri Lipp","2022-11-29","https://i.scdn.co/image/ab67616d0000b273296bcb838d4a5d9ad82b8f29","1","9","49291","https://p.scdn.co/mp3-preview/acc6d63189b010a0304f0b42d123ccf36f887bed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","SE62M2269942","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:13zyfbzt2PiYo2RjjJMCsb","The Well-Tempered Clavier, Book 1, BWV 846-869: Prelude No. 1 in C major, BWV 846","spotify:artist:4NZRSSWL98NOusNDAzbfD3","Luc Beauséjour","spotify:album:4USlR6ZCJvWcTjJssA4ncU","Bach, J.S.: The Well-Tempered Clavier , Book I","spotify:artist:4NZRSSWL98NOusNDAzbfD3","Luc Beauséjour","2007-03-27","https://i.scdn.co/image/ab67616d0000b27339c45fd395983014f0bf1eab","1","1","117866","https://p.scdn.co/mp3-preview/081efa56f7fa6fbdee2b1c4b04ea7889cd4aa405?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","HKI190646601","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5Ri67A7cJbU6QNNbyfN98e","Orgelbüchlein (Little Organ Book): Christ lag in Todesbanden, BWV 625","spotify:artist:2MRvrzDJkNPMHGN72HeSoX","Otto Winter","spotify:album:1v43FsA1yuSE9KPLL2T5GO","Bach: Organ Music Selections","spotify:artist:2MRvrzDJkNPMHGN72HeSoX","Otto Winter","2010-12-28","https://i.scdn.co/image/ab67616d0000b273cbc3f3670b5a581d8d289e2a","1","9","77666","https://p.scdn.co/mp3-preview/266c3403387c79ecbbd11542e662daddf767d6a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","SEWDL0710509","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:18mhHyy5bcNMAzM2eH83ho","Toccata in E Minor","spotify:artist:62TD7509VQIxUe4WpwO0s3, spotify:artist:5w4SswA2oIU6HUuq0xreQj","Johann Pachelbel, Wolfgang Rübsam","spotify:album:1dvhvqkRVPqVIeZ42UoJpz","Pachelbel: Organ Works","spotify:artist:62TD7509VQIxUe4WpwO0s3","Johann Pachelbel","2000-02-09","https://i.scdn.co/image/ab67616d0000b273c0890c5d061a5e6922cbffbf","1","8","116013","https://p.scdn.co/mp3-preview/03102d8c07e33afd22010e9331cafe5f50cc152b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","HKI199833008","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6yI5ceLGyGjKjKrALsTwAn","Fragments Of Anna Magdalena's Notebook: Minuet in G Major, BWV Anh. 116","spotify:artist:6hoBgTZXqtXNPBoxZLVflR","MEDITONE963","spotify:album:0SVFZzH2O4qLiF0GednICw","Goldberg Variations","spotify:artist:6hoBgTZXqtXNPBoxZLVflR","MEDITONE963","2021-11-07","https://i.scdn.co/image/ab67616d0000b273ac7cd9de0575067f28fb1048","1","35","55978","https://p.scdn.co/mp3-preview/883282321fa62141b6023e9dff16c6b55882e931?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","TCJPQ2123279","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4ubWJ9FdmwBPborOIL0Cwm","Partita over folketonen 'Hvor er det godt å lande', Op. 36 (1971): VI. Koral","spotify:artist:5Pod14R8rXwlW13GpvTG6Q, spotify:artist:33IhndjjJIY0QOCjsCnwq8","Johan Kvandal, Arnfinn Tobiassen","spotify:album:4VS3jFEGhRtKss9l3dR9By","A Quiet Beauty - Works by Kvandal","spotify:artist:5Pod14R8rXwlW13GpvTG6Q, spotify:artist:0B8PIFTLscDQcS8uCKCpFA, spotify:artist:33IhndjjJIY0QOCjsCnwq8","Johan Kvandal, Lina Johnson, Arnfinn Tobiassen","2020-09-25","https://i.scdn.co/image/ab67616d0000b273deb9a9c5f09b381515a53a73","1","18","63386","https://p.scdn.co/mp3-preview/6572844d485f4b9039dd0d9265a148af32d2db50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","NOEHX2012180","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0qXPNae75AIzDyfqeLrdca","Prelude in D Minor, BWV 926","spotify:artist:4uCoU5ONuGovEbsJ2BbVy8","Diane Hidy","spotify:album:5xpd033lK7VG1rLDeuPcy3","J.S. Bach — Eighteen Little Preludes","spotify:artist:4uCoU5ONuGovEbsJ2BbVy8","Diane Hidy","1995-12-07","https://i.scdn.co/image/ab67616d0000b273f2672cc486514238199ee8ff","1","2","58360","https://p.scdn.co/mp3-preview/0c2c7202319d0ebcf0b2ce71b403a8f6ac8e3eda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","QMT2Q1200002","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4lJP4zoqaBVzZMHTK597Ya","Concerto in E Minor: II. Vivace","spotify:artist:7FHDVrGuUwn9FytNyMi189, spotify:artist:3f26hJvBDQnllvH0aP4OSb, spotify:artist:1CqIIrCkdFMduTzAdIaeZb","Benedetto Marcello, Concerto Italiano, Rinaldo Alessandrini","spotify:album:7jmiljOUef2YCFHRTChYHx","Concerti Italiani","spotify:artist:3f26hJvBDQnllvH0aP4OSb, spotify:artist:1CqIIrCkdFMduTzAdIaeZb","Concerto Italiano, Rinaldo Alessandrini","2004-05-18","https://i.scdn.co/image/ab67616d0000b273e30eb8b1006670ab00f55163","1","2","101920","https://p.scdn.co/mp3-preview/f77d3d3a4342fb3af5398a2c3d78d04c4f3827fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","FRX290201992","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6wvKsmMqvMLSIQz3u1oGru","Cantates françoises, Book 3, No. 1, Apollon: Ce n'est point pour servir (Arr. G. Tailleferre for Piano)","spotify:artist:3Gns4dI4DWVaDpSf1Ft8yc, spotify:artist:6EyYsJlQEb3uHINVS5EIsB","Louis-Nicolas Clérambault, Nicolas Horvath","spotify:album:21rW4W79eg3ATmrkIFNcSt","Tailleferre: Revived Piano Works, Vol. 1","spotify:artist:6EyYsJlQEb3uHINVS5EIsB","Nicolas Horvath","2022-04-08","https://i.scdn.co/image/ab67616d0000b27393a0a8f74f891e11f28e5853","1","29","46840","https://p.scdn.co/mp3-preview/2d7c27709ee124d8a71470eca69ca6bf9bb0cd50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","HKI192145929","spotify:user:","1970-01-01T00:00:00Z"
