"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5kapVb34raTBsynt0Zj6qw","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","1","282560","https://p.scdn.co/mp3-preview/428143544d324eec8a8fcb73ae3ab64a984876fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USBB16401013","spotify:user:rob.bednark","2021-05-19T21:36:38Z"
"spotify:track:14MH8dzkk4Cu9I0sjLGAvw","The Night Has a Thousand Eyes","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","2","308306","https://p.scdn.co/mp3-preview/304701beee27f60755f67787f8d564f05ef4d783?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USBB16401014","spotify:user:rob.bednark","2021-05-19T21:36:38Z"
"spotify:track:39eNnBUZYkxulVzf1NsAxH","O Gato","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","3","276466","https://p.scdn.co/mp3-preview/502c5f8017255faa5126c3c613469fabf52547f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USBB16401015","spotify:user:rob.bednark","2021-05-19T21:36:38Z"
"spotify:track:1tOaKNDYsx3YoWThbOCvVx","Samba Cantina","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","4","342026","https://p.scdn.co/mp3-preview/98abf9567e8c75de6baebc07a55ef2a65c3b98ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USBB16401007","spotify:user:rob.bednark","2021-05-19T21:36:38Z"
"spotify:track:2zaDlBIYKop2zWeegury2o","Curacao Doloroso","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","5","274640","https://p.scdn.co/mp3-preview/681b3ff9468ba65e53dde42f25b7f25cf856ad71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USBB16401008","spotify:user:rob.bednark","2021-05-19T21:36:38Z"
"spotify:track:0cAzO63ixihjrv2Fz04q0u","A Ship Without A Sail","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","6","382333","https://p.scdn.co/mp3-preview/30ad4d5563fd8750aab840da4586bc584ffb961e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USBB16401009","spotify:user:rob.bednark","2021-05-19T21:36:38Z"
"spotify:track:7msJgC10rV8965RmqjnbZH","Alianca","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","7","273493","https://p.scdn.co/mp3-preview/5899d08b18aef80255b05cf3041bece2f38fab0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USBB16401010","spotify:user:rob.bednark","2021-05-19T21:36:38Z"
"spotify:track:5UlKWFr7ydRfqXfn4y63Ol","The Girl from East 9th Street","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","8","376106","https://p.scdn.co/mp3-preview/9dce0e211aab348b74452d15dc8fc2ca3d6769b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USBB16401011","spotify:user:rob.bednark","2021-05-19T21:36:38Z"
"spotify:track:3uUcfkPd987CDioy79JkzG","The Night Has a Thousand Eyes - Alternate Take","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","9","453000","https://p.scdn.co/mp3-preview/ba01062af422512c84d4d0ef82f3166ccd6bff48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USBB16401018","spotify:user:rob.bednark","2021-05-19T21:36:38Z"
"spotify:track:5uUDxxrfYFhLCng4FANvEq","Samba Cepeda","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","10","309000","https://p.scdn.co/mp3-preview/b4a2bb2a78e2cbedf24533cc8fe30adf23829c2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USBB16401017","spotify:user:rob.bednark","2021-05-19T21:36:38Z"
