"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7aStPVBD5UXc1iNICrzwaG","Positive Thinking","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","1","208370","https://p.scdn.co/mp3-preview/1c7c0e81fe43b2b1a41edfeec641f515a36bc761?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","TCAAW1127747","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
"spotify:track:6AVdGnxKZs1Hage3wrnt6T","Clair De Lune","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","2","125155","https://p.scdn.co/mp3-preview/c0ec2fcba003236169859baa531c7fe664542b8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","TCAAW1127746","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
"spotify:track:7qx7nzR9yy0QEw0OvbDQz3","Fireflies","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","3","172041","https://p.scdn.co/mp3-preview/5d6ba866a63837c97054aec01cbf728cdfc96116?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","TCAAW1127748","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
"spotify:track:3ZTIVUQuiFDomwwPfA3uF3","Relaxing Piano Music","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","4","122404","https://p.scdn.co/mp3-preview/6a4c2b910ced46adbc8e40ca0e8f5980f8b372f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","TCAAW1127749","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
"spotify:track:6whxXYatCIDOoYpwBZHLPv","Fur Elise","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","5","184285","https://p.scdn.co/mp3-preview/e4fc343954865bdf4b9d1bdd0987aceced91dee7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","TCAAW1127750","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
"spotify:track:5TCOQJx35WeyhxdyGMDe0c","Piano Meditation","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","6","104437","https://p.scdn.co/mp3-preview/6b8bfd91c9e670af2aca958c7129048b2302af84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","TCAAW1127751","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
"spotify:track:04FxFAEHGmAWrNTQjmv138","Hope","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","7","119317","https://p.scdn.co/mp3-preview/1c90f63c2b2008139f973627634f8444e444283e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","TCAAW1127752","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
"spotify:track:7kxCfg4mfExrcXYrEDwvKF","Amazing Grace","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","8","82593","https://p.scdn.co/mp3-preview/510d8f125e6458ee8170130d7e2bcfd70d1b7bd6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","TCAAW1127745","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
"spotify:track:0Hmgcw8VVT5kkfj8xz7lKj","Mind, Body and Soul","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","9","182876","https://p.scdn.co/mp3-preview/482615e0b6e148be21bff758327c964dfb3b087b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","TCAAW1127753","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
"spotify:track:18vUEs66h8MX0puxhfC3mf","Calming Music","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","10","179906","https://p.scdn.co/mp3-preview/ef2a108e6def7df55891bafacecd78a3d3aa25d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","TCAAW1127754","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
"spotify:track:1wHjLrnhjgeK5eTu0sXX0d","Learn to Relax","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","11","129288","https://p.scdn.co/mp3-preview/6739d994dc00853b505604c93aff00f19fdaf6e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","TCAAW1127755","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
"spotify:track:0gORXjIoIywjS2Sr2JfFlC","Spiritual Healing","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","12","134764","https://p.scdn.co/mp3-preview/6e7d7dc53eafb8f5fbc22bfa8eba7497b63ddd58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","TCAAW1127756","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
"spotify:track:3yuPVOwoOAeNvvI9aIfkgw","Meditations","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","spotify:album:1pdcHhlYtMFU78WSQT8z3m","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga, Deep Sleep. Learn to Relax Weight Loss Program","spotify:artist:0prp2LyYzUd7hG3yqLcoF5","Positive Thinking: Music To Develop A Complete Meditation Mindset For Yoga\, Deep Sleep","2011-02-23","https://i.scdn.co/image/ab67616d0000b2736a7199c858b34b88fd11bad0","1","13","123005","https://p.scdn.co/mp3-preview/99c847055442ec86fe66dc9a416429c6b2f26671?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","TCAAW1127757","spotify:user:rob.bednark","2012-08-27T04:44:36Z"
