"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6KrAS01bPj0WiiOKysM8Ad","Raining in Osaka","spotify:artist:41e6Rrzj8r9fp2ngDHJbmA","Lofi Rain","spotify:album:4OvcVTbUoIPbu687gmwRNc","Rainy LoFi Music - Rain Ambience & Muffled Hip Hop Type Beat","spotify:artist:41e6Rrzj8r9fp2ngDHJbmA","Lofi Rain","2021-05-11","https://i.scdn.co/image/ab67616d0000b273b6ce903f837f1472c49c9779","1","7","166268","https://p.scdn.co/mp3-preview/2662f63c9a3afcd02b16dd84b5c46a525fa717a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","ITO102064377","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6Dut7WP95ULEUwb8t6yADk","LOFI chill evening","spotify:artist:3hLJtrWTfMJx6vjQL0UxNk","Duck","spotify:album:7nASxXo3JkjoECi7Sz9BPz","LOFI chill evening","spotify:artist:3hLJtrWTfMJx6vjQL0UxNk","Duck","2020-03-02","https://i.scdn.co/image/ab67616d0000b2736a5d6db7f13a8676702f8ebd","1","1","156174","https://p.scdn.co/mp3-preview/014117d9aef2d7801b46ddeea4a15dda2c1f4b25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBSMU7661212","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:34aRdpdzZPJdvzOtVtm2xv","Those Who Wait","spotify:artist:2GTlRggfRduWPhvhecVTYy","Ozias Kain","spotify:album:06m09zRYuDuTRvai22HRzS","Those Who Wait","spotify:artist:2GTlRggfRduWPhvhecVTYy","Ozias Kain","2023-01-01","https://i.scdn.co/image/ab67616d0000b273caf86de36980ec2156192daa","1","1","59999","https://p.scdn.co/mp3-preview/2edf0b1c64d61ad91d2816811aaa3f1ba531df9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","SE62M2212334","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4S2OxTYGDrmpkEnW934QQr","Euphory","spotify:artist:0xGCihj5ZY86VzIF3tt2M3, spotify:artist:41e6Rrzj8r9fp2ngDHJbmA, spotify:artist:7fL5NY6qw2Q1S2rL4fNNDl","Easy Listening Chilled Jazz, Lofi Rain, Relaxing Morning Coffee Jazz","spotify:album:0d5FFc0g3cMqrwL6mQDkxg","Late Night Groovy Rain","spotify:artist:0xGCihj5ZY86VzIF3tt2M3, spotify:artist:41e6Rrzj8r9fp2ngDHJbmA, spotify:artist:7fL5NY6qw2Q1S2rL4fNNDl","Easy Listening Chilled Jazz, Lofi Rain, Relaxing Morning Coffee Jazz","2022-11-14","https://i.scdn.co/image/ab67616d0000b2731c7c7be0759ee50fb8a43db2","1","1","120000","https://p.scdn.co/mp3-preview/9cab250cb9318c52e235bc4da838d3d6c7044a38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","QZWDD2243081","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6m8W61vksqTqM6q55pp3Nz","Sand Plucks","spotify:artist:1KoWOF8YZrSn4YDwzzxTd0","Lofiying","spotify:album:5jcBGYeuMWmWjptsM4q9dW","Powered By Dello","spotify:artist:1KoWOF8YZrSn4YDwzzxTd0","Lofiying","2022-07-24","https://i.scdn.co/image/ab67616d0000b27327916e0fd539cc893518ead3","1","5","64003","https://p.scdn.co/mp3-preview/afe909d5defd4c5364695abbde65f5354bc15a7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBWUL2219203","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2iNwnL16L6zjLGL5eqsBYM","rainy mood","spotify:artist:41e6Rrzj8r9fp2ngDHJbmA, spotify:artist:1rnbLVqGQLToVJNqRu0PlS, spotify:artist:7m0Q10yfAFIAyAmCsZvcjH","Lofi Rain, Lofi Sleep, Lofi Radiance","spotify:album:1Xf4K9Rv4m0ZgTEEjC5vj3","Lofi Rain","spotify:artist:41e6Rrzj8r9fp2ngDHJbmA, spotify:artist:1rnbLVqGQLToVJNqRu0PlS, spotify:artist:7m0Q10yfAFIAyAmCsZvcjH","Lofi Rain, Lofi Sleep, Lofi Radiance","2020-01-24","https://i.scdn.co/image/ab67616d0000b273bebeca26eea2540a9a0191b8","1","13","69198","https://p.scdn.co/mp3-preview/dcf4824831f916b99d2deca7e3d6461e13925b5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","GBWUL2000795","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4A82TzN3euSpkIJJo4UVDR","Good Morning","spotify:artist:0KJnonezjjjoFQZu8ZtR2k, spotify:artist:77jtcaEClrbLGPkjGXpnCu","instant era, Charmer & Klay","spotify:album:7gXtHoUf9Jn9H1dJUnZ5SS","Good Morning","spotify:artist:0KJnonezjjjoFQZu8ZtR2k, spotify:artist:77jtcaEClrbLGPkjGXpnCu","instant era, Charmer & Klay","2020-06-26","https://i.scdn.co/image/ab67616d0000b273603efed6386c10f41c23501d","1","1","110769","https://p.scdn.co/mp3-preview/3a8fffcf24dcd7eb5504ae903a389672645d7927?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","QZHN72020491","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:63oLkNwFosiZGxIZ1Ptics","Ambient Piano Lofi","spotify:artist:334kb7UACjmAH9TA1g3v3R","Zen.","spotify:album:65H2uVl7DUtyTByQgyTh3J","Ambient Piano Lofi","spotify:artist:334kb7UACjmAH9TA1g3v3R","Zen.","2022-06-27","https://i.scdn.co/image/ab67616d0000b2737718c9b982651c273eb19b72","1","1","61558","https://p.scdn.co/mp3-preview/84f509061eb46fb5c71c036d811da4e173a242da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QZK6J2249877","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:48dk0rqCdowPDhrOwZjs1I","Jazmine Brooks","spotify:artist:7l9RkHvHJUKEMIoYCZPm9B","Jayson Huxley","spotify:album:7w5PtHcKk6rV7xkC0m6HoP","Jazmine Brooks","spotify:artist:7l9RkHvHJUKEMIoYCZPm9B","Jayson Huxley","2022-11-18","https://i.scdn.co/image/ab67616d0000b273a0c5fde50c5018556085f89c","1","1","68571","https://p.scdn.co/mp3-preview/a3c49239e9d420247ae0b00b0a48c7aa1b8b796c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","QZSYP2295906","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1jxYSrO7JNfUYweprgne8s","All I Know","spotify:artist:0xGCihj5ZY86VzIF3tt2M3, spotify:artist:41e6Rrzj8r9fp2ngDHJbmA, spotify:artist:7fL5NY6qw2Q1S2rL4fNNDl","Easy Listening Chilled Jazz, Lofi Rain, Relaxing Morning Coffee Jazz","spotify:album:0d5FFc0g3cMqrwL6mQDkxg","Late Night Groovy Rain","spotify:artist:0xGCihj5ZY86VzIF3tt2M3, spotify:artist:41e6Rrzj8r9fp2ngDHJbmA, spotify:artist:7fL5NY6qw2Q1S2rL4fNNDl","Easy Listening Chilled Jazz, Lofi Rain, Relaxing Morning Coffee Jazz","2022-11-14","https://i.scdn.co/image/ab67616d0000b2731c7c7be0759ee50fb8a43db2","1","5","120000","https://p.scdn.co/mp3-preview/bab23c1ccb5fadc73160fc867e6ba70d38c9f983?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","QZWDD2243086","spotify:user:","1970-01-01T00:00:00Z"
