"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1Z6vzQHFSxqJcgJfqPz3aZ","Life in Space","spotify:artist:4vmN5DgVFk2GDBHDu1ZJeb","The Groove Trio","spotify:album:63Y51ZVDizFQyxA8znmmbn","Life in Space","spotify:artist:4vmN5DgVFk2GDBHDu1ZJeb","The Groove Trio","2022-11-20","https://i.scdn.co/image/ab67616d0000b2736abf1b888ce307bb6b15669c","1","3","167765","https://p.scdn.co/mp3-preview/050e8e43cb19385b6eabd75ae7907ba230d6b65b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QZAKB2208503","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:2s499EvGIk8gVUGLCyftFX","Still","spotify:artist:3YymwcoMkoY21jce0PLBaC","Reed Stricklers","spotify:album:48i2I8qyuyoqMahX05LWkq","Still","spotify:artist:3YymwcoMkoY21jce0PLBaC","Reed Stricklers","2023-01-06","https://i.scdn.co/image/ab67616d0000b2733499b4e696561953bfaa47aa","1","1","151542","https://p.scdn.co/mp3-preview/dba55e187b863991ce204a6b26aa4d6fb7c6fe77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","SE5IB2299780","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:6EjkHR4gYfNQjWwoyiCTbh","Miles and Miles","spotify:artist:0vlyMzroosYUjkAfHLx6kF","Pimm's Trio","spotify:album:1Gl5EDLgmZ5qFglvsJUCSX","Miles and Miles","spotify:artist:0vlyMzroosYUjkAfHLx6kF","Pimm's Trio","2022-09-16","https://i.scdn.co/image/ab67616d0000b273d055c801a6bd5927dc658320","1","1","271277","https://p.scdn.co/mp3-preview/7fe9c14ca4239d0f2b24165ef3d874df71eaa63b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","SE5W32203204","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:1BJmiWUEqMx2aqHqfIbeAQ","Últimamente","spotify:artist:4S1m9Gvs6oH0gHRnpkoAUT","Joanna Mason","spotify:album:0UlBxNwVwKvU30I3RHUlAr","Últimamente","spotify:artist:4S1m9Gvs6oH0gHRnpkoAUT","Joanna Mason","2022-12-09","https://i.scdn.co/image/ab67616d0000b2739428f618ce7a7ac9a3ff458a","1","1","184186","https://p.scdn.co/mp3-preview/e8eaa8e7356164590ff4157dcf315d443dbddee6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","SE5IB2299546","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:7GZMIDtN9DLqluOtFy1mUs","Brother Rabbit","spotify:artist:6raCh9DUKDTErUk5QmRYzX","Jacky Bonnet Group","spotify:album:0mO4xPzkwqsq9N9nvBGM18","Brother Rabbit","spotify:artist:6raCh9DUKDTErUk5QmRYzX","Jacky Bonnet Group","2022-12-30","https://i.scdn.co/image/ab67616d0000b273d388d0967caa27ada102d81b","1","1","177520","https://p.scdn.co/mp3-preview/2ae0a5e16558813acc9861bf63ca7c0abb798ff2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","SEXGF2203856","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:278NmaKNQjLEF3sNyEzcSN","Rise Again","spotify:artist:57U22BNH5ClRbVtpNjVAoG","Kevin Waters Group","spotify:album:7b4UPV5j802exbvqWNoSgq","Rise Again","spotify:artist:57U22BNH5ClRbVtpNjVAoG","Kevin Waters Group","2022-04-29","https://i.scdn.co/image/ab67616d0000b273423c8a7abe5c06309ef05a34","1","1","299264","https://p.scdn.co/mp3-preview/0e4d914a0d5b4368bf1ebf123f6093b295feeb21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","SE5W32201476","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:4jl1mBMyPdpDh0mYadTZhR","Anse Source d'Argent","spotify:artist:4EDpGeRNin742qDkiwBE1X","Jenny Jones","spotify:album:78HJ40CFyeOvdOhGy9LItG","Anse Source d'Argent","spotify:artist:4EDpGeRNin742qDkiwBE1X","Jenny Jones","2023-01-13","https://i.scdn.co/image/ab67616d0000b273273852546418eed4aef15877","1","1","238077","https://p.scdn.co/mp3-preview/fa40b15fc90f865ccd4d8cd38733582d2dedc907?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","SE5IB2300030","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:20idPJhwG1p86XbpNt5dAJ","Remembrance","spotify:artist:7zk65sKwJHv61CsjCr8PVw","Ben & Katsy","spotify:album:6dT2PVzDSBtjKXu4EhdezZ","Remembrance","spotify:artist:7zk65sKwJHv61CsjCr8PVw","Ben & Katsy","2022-08-19","https://i.scdn.co/image/ab67616d0000b27347393c3aa0c6961095d84d6e","1","1","244879","https://p.scdn.co/mp3-preview/a1bda322ff8a494f7fe344551ef3ea233d519ec8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","SE5IB2273041","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:7KwrcuwPG14xG8XZafQa4I","Margaret Dances","spotify:artist:2HaQQhL4YwnMEo6CHATOtx","Lachlan Wright Trio","spotify:album:7beQd9cOaKBuE8N4lVRhau","Margaret Dances","spotify:artist:2HaQQhL4YwnMEo6CHATOtx","Lachlan Wright Trio","2022-10-09","https://i.scdn.co/image/ab67616d0000b2730146ed1dc456857a40d54d33","1","1","210843","https://p.scdn.co/mp3-preview/0d5e4016d5b26e4fea983774bdc5e290a13366db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","QZAKB2200925","spotify:user:","2023-01-12T23:01:00Z"
"spotify:track:5xvW6Jx9hLAR6j0fkFFdws","He Said She Got It Going","spotify:artist:1S08oiBCDKPErHKaJ42YAG","Erik Moreau","spotify:album:16dT2u1PffX5zPK7US1hwS","He Said She Got It Going","spotify:artist:1S08oiBCDKPErHKaJ42YAG","Erik Moreau","2022-11-18","https://i.scdn.co/image/ab67616d0000b273b4706334cc6d416e8bf942eb","1","1","158075","https://p.scdn.co/mp3-preview/4fb699a526f07b7f0d36309a87fe38a6eaf7860a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","SEXGF2203068","spotify:user:","2023-01-12T23:01:00Z"
