"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0aqRkWPAL9BGCvvdSiXaE9","I Belong in Your Arms","spotify:artist:7hAolICGSgXJuM6DUpK5rp","Chairlift","spotify:album:4nYzn3xOXQsltWZ5AIQns7","Something","spotify:artist:7hAolICGSgXJuM6DUpK5rp","Chairlift","2012-01-24","https://i.scdn.co/image/ab67616d0000b27367a74f87b45b405940538848","1","3","207306","https://p.scdn.co/mp3-preview/616576374171c0423244f9ba4a85c24663063f6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USSM11104429","spotify:user:","2012-06-11T20:57:48Z"
"spotify:track:7selJ7EVnDpSxWhNETbE9s","Very Loud","spotify:artist:0UOrN3LNaKApiOSdvJiETl","Shout Out Louds","spotify:album:1jO9fwvlqWgjCazjIWvOl7","Howl Howl Gaff Gaff","spotify:artist:0UOrN3LNaKApiOSdvJiETl","Shout Out Louds","2005-01-01","https://i.scdn.co/image/ab67616d0000b273dfb939feb07587ed086c649f","1","2","245080","https://p.scdn.co/mp3-preview/1a6ae52f9e27e195a5479330d9a72b119de60b59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USCA20500002","spotify:user:","2012-06-13T00:26:17Z"
"spotify:track:7pgfJbK2S5qdZzWGzF4auK","Battery Kinzie","spotify:artist:4EVpmkEwrLYEg6jIsiPMIb","Fleet Foxes","spotify:album:3l7iMXJ0jqFnIYZRyCUewC","Helplessness Blues","spotify:artist:4EVpmkEwrLYEg6jIsiPMIb","Fleet Foxes","2011-05-03","https://i.scdn.co/image/ab67616d0000b273dfca7efbd362792dcfd8fd69","1","4","169000","","false","0","USSUB1188804","spotify:user:","2012-06-11T21:02:43Z"
"spotify:track:6GHYC5wFfCWKlZBNZ2t2ex","My Racing Thoughts","spotify:artist:42aeGx2I3uXINpGqC8L0LD","Jack's Mannequin","spotify:album:5NgurCKW23p3kT9YCpCXoB","People And Things (Deluxe)","spotify:artist:42aeGx2I3uXINpGqC8L0LD","Jack's Mannequin","2011-09-30","https://i.scdn.co/image/ab67616d0000b273301b096c9524886a12a4bd9c","1","1","259026","https://p.scdn.co/mp3-preview/f9e397d87969f36f56649c35861effc03ffd3523?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USWB11102133","spotify:user:","2012-06-11T20:58:32Z"
"spotify:track:5VyrEIlHcducyBA3H5mfCO","You Got Growin Up To Do (featuring Patty Griffin)","spotify:artist:7omzannyG2lfDqP5xyZo34","Joshua Radin","spotify:album:5MMbkmzqBqnMN3AsYhGBkz","Simple Times","spotify:artist:7omzannyG2lfDqP5xyZo34","Joshua Radin","2008-09-09","https://i.scdn.co/image/ab67616d0000b273a4b1afb3c314667620fcbcb8","1","9","171680","","false","0","USQE90800009","spotify:user:","2012-06-13T22:00:05Z"
"spotify:track:00N7tDjjkz1bMuXFsV1VCC","Angela Surf City","spotify:artist:6kFay2DQ5aZfeu5OsrF3Pw","The Walkmen","spotify:album:1OvxCp2JiapV5L2KXV7hzW","Lisbon","spotify:artist:6kFay2DQ5aZfeu5OsrF3Pw","The Walkmen","2010-09-14","https://i.scdn.co/image/ab67616d0000b2733b451704099cdb67a3d38ebd","1","2","203253","","false","0","USFP71022802","spotify:user:","2012-06-11T22:19:29Z"
"spotify:track:4T4ANVviR6KDvOz9YUfnf1","Passionseeker","spotify:artist:3gToxmSxuAo27Aa0wD8Yul","Friska Viljor","spotify:album:3E9ofVMgeZaAyDvwSMN3W5","The Beginning of the Beginning of the End","spotify:artist:3gToxmSxuAo27Aa0wD8Yul","Friska Viljor","2011-03-25","https://i.scdn.co/image/ab67616d0000b273d876977adc10c0f88a7f9564","1","7","246493","","false","0","SEVOH1100207","spotify:user:","2012-06-11T23:45:58Z"
"spotify:track:5NpPaAfu3tKLw5G2M9kA7r","Only The Horses","spotify:artist:3Y10boYzeuFCJ4Qgp53w6o","Scissor Sisters","spotify:album:73o48P8Ow0E6vuooYwkFuq","Only The Horses","spotify:artist:3Y10boYzeuFCJ4Qgp53w6o","Scissor Sisters","2012-01-01","https://i.scdn.co/image/ab67616d0000b2731f8611401ab32d04a3d5614e","1","1","222640","","false","0","GBUM71202238","spotify:user:","2012-06-12T22:07:37Z"
"spotify:track:5XE8c07vbpQBUriwybOHtd","Have You Ever Seen The Rain","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","spotify:album:03GKkfyog7hnllilFS3jIV","Chronicle: 20 Greatest Hits","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","1976-01-01","https://i.scdn.co/image/ab67616d0000b2735b18abb5facf12c82192bda7","1","17","160000","https://p.scdn.co/mp3-preview/c6fafb0e6210874c262873367179d52f9b85574a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USFI87000066","spotify:user:","2012-06-13T22:04:45Z"
"spotify:track:0rrelRb3XN06MiNNdGdKFU","Drive on, Driver","spotify:artist:6RWjTQqILL7a1tQ0VapyLK","The Magnetic Fields","spotify:album:3RIsDz6btgkkyhNIprVYYf","Distortion","spotify:artist:6RWjTQqILL7a1tQ0VapyLK","The Magnetic Fields","2008-01-11","https://i.scdn.co/image/ab67616d0000b27356d493d2746b09568838de77","1","7","169666","https://p.scdn.co/mp3-preview/10b348972fd8eceea94335fe6b9dfb6d61c70e94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USNO10750707","spotify:user:","2012-06-12T00:17:03Z"
"spotify:track:3Ah3dbdcJSnJFVT0IVkq9C","Internet Killed The Video Star","spotify:artist:2rKoD8HgdamRQpAtp4N4BA","The Limousines","spotify:album:4gwBtZVQkZkqHOGbQs7Bjt","Get Sharp","spotify:artist:2rKoD8HgdamRQpAtp4N4BA","The Limousines","2011-02-15","https://i.scdn.co/image/ab67616d0000b2737e6580f4660cbe4a67dccf22","1","3","233226","","true","0","USCUQ1000003","spotify:user:","2012-06-13T21:12:41Z"
"spotify:track:1vqtj4c5aNPKkLS2LXkd4E","If I Go, I'm Goin","spotify:artist:5sXaGoRLSpd7VeyZrLkKwt","Gregory Alan Isakov","spotify:album:06UoTVgpPiGnRPGjowrG3g","This Empty Northern Hemisphere","spotify:artist:5sXaGoRLSpd7VeyZrLkKwt","Gregory Alan Isakov","2009-01-01","https://i.scdn.co/image/ab67616d0000b27393a1519118102a6d78164713","1","12","267160","https://p.scdn.co/mp3-preview/dcce2c1a81e5a5c4834dc8490d38992ff51f2fed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","uscgj0988307","spotify:user:","2012-06-13T21:37:07Z"
"spotify:track:0JdREF3Mve08wQVpT9uT3E","I Have Loved You Wrong","spotify:artist:2buJppisWV2GWWBWgkK074","The Swell Season","spotify:album:5dA8EHydNLWo29675jA2cj","Strict Joy [Deluxe Edition]","spotify:artist:2buJppisWV2GWWBWgkK074","The Swell Season","2009-10-27","https://i.scdn.co/image/ab67616d0000b273f3634870512dda4818c0690b","1","9","304586","","false","0","IEABQ0900009","spotify:user:","2012-06-13T22:07:33Z"
"spotify:track:0FeCO85RKW8fDRytwXof2x","Go Your Own Way","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:63k57x0qOkUWEMR0dkMivh","Rumours","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b2735e66bc0df2bd18e746dbb823","1","5","218400","","false","0","USWB19900181","spotify:user:","2012-06-13T22:07:55Z"
"spotify:track:0P6HOIS1RHOEGQwetIoxcQ","Rise Up with Fists!!","spotify:artist:5cMVRrisBpDkXCVG48epED","Jenny Lewis","spotify:album:5VzO0z0mk2acLNxoLtl0E0","Rabbit Fur Coat","spotify:artist:5cMVRrisBpDkXCVG48epED","Jenny Lewis","2007-07-03","https://i.scdn.co/image/ab67616d0000b2735bd683305b6d6ca5b98b5881","1","3","216546","","false","0","US58B0500803","spotify:user:","2012-06-13T22:19:26Z"
"spotify:track:0YHMLFYBLOEVVQ1ns2pnw5","Wig In A Box","spotify:artist:6N8wx4up8tNTIulkyL6zHe","Stephen Trask","spotify:album:1nDUzE7LFkfVBRAf5ZSfbr","Hedwig And The Angry Inch (Original Cast Recording)","spotify:artist:6N8wx4up8tNTIulkyL6zHe","Stephen Trask","1999","https://i.scdn.co/image/ab67616d0000b27369bed1514334a1b8723cc1c4","1","6","325906","https://p.scdn.co/mp3-preview/0e6f5da67a2efda1b2e169482ae33205e2e5eb73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USAT29900076","spotify:user:","2012-06-13T22:06:12Z"
"spotify:track:41Z86N3KhVdJWLa3qkNTH6","Sex Beat","spotify:artist:3Un18X4NF1bpjgUk44lUzn","The Gun Club","spotify:album:3OrGW7wRB8dIZ8EYrAkkWW","Fire of Love","spotify:artist:3Un18X4NF1bpjgUk44lUzn","The Gun Club","1981","https://i.scdn.co/image/ab67616d0000b2739a393ea51e47995bc446fe1e","1","1","167200","","false","0","FR6V80000061","spotify:user:","2012-06-13T22:12:38Z"
