"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6MDTpYxPFL0wtFd0pjfKws","Rhythm Of Love","spotify:artist:1g1yxsNVPhMUl9GrMjEb2o","Plain White T's","spotify:album:4371FJEyPOmAcfcKlXurHW","Wonders Of The Younger","spotify:artist:1g1yxsNVPhMUl9GrMjEb2o","Plain White T's","2010-01-01","https://i.scdn.co/image/ab67616d0000b27382553135f696b573f09a9a7d","1","4","200200","https://p.scdn.co/mp3-preview/95fb9ed5d00cdb905b682839949ecbbfe09f2924?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USHR11031263","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:66fGXwB9WqvdDDf0IiDmuB","Be My Honeypie","spotify:artist:6pwHWKweuoCyx3OoFaD0Q5, spotify:artist:7tFFagB7kjwoCTP3QMlzJD, spotify:artist:6vvDymlJBME7J2SPsyY3td","The Weepies, Deb Talan, Steve Tannen","spotify:album:2gnifaY7SP8mHGLawS9gSf","Be My Thrill","spotify:artist:6pwHWKweuoCyx3OoFaD0Q5, spotify:artist:7tFFagB7kjwoCTP3QMlzJD, spotify:artist:6vvDymlJBME7J2SPsyY3td","The Weepies, Deb Talan, Steve Tannen","2010-08-31","https://i.scdn.co/image/ab67616d0000b2738536909868e68741426f65cc","1","8","130639","https://p.scdn.co/mp3-preview/e04b8531e88a13ede69f5c9a0c510197cd0d2e9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","CAN111000008","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4KqBoq7MoDJeVsvUHTjXCM","Sweet Pea","spotify:artist:0QrowybipCKUDnq5y10PD2","Amos Lee","spotify:album:7zAMTPQbo4MM4trmSpvsNo","Supply And Demand","spotify:artist:0QrowybipCKUDnq5y10PD2","Amos Lee","2006-01-01","https://i.scdn.co/image/ab67616d0000b273964d11137319657e9073c384","1","7","129626","https://p.scdn.co/mp3-preview/534b43aa4fc23b9a366a99d2bcdd0b12e8ce0463?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USBN20600451","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0W4Kpfp1w2xkY3PrV714B7","Ho Hey","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:6NWYmlHxAME5KXtxrTlUxW","The Lumineers","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2012-04-03","https://i.scdn.co/image/ab67616d0000b2734241433fb84b10663492c0e3","1","5","163133","https://p.scdn.co/mp3-preview/ebe83a0296135a5680bcec9d1164800bcd99be91?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USDMG1260805","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1mHoqHeQClLBp5UO3TbUac","The Show","spotify:artist:5g3uG8zZZANGT6YOssgjfC","Lenka","spotify:album:4RDt6hhOexGpinuMYkhpBE","Lenka (Expanded Edition)","spotify:artist:5g3uG8zZZANGT6YOssgjfC","Lenka","2008-09-23","https://i.scdn.co/image/ab67616d0000b27373828856d5bb812e8a5e66d5","1","1","235693","https://p.scdn.co/mp3-preview/9f5015d94d6df9232161c3a23f531230064462ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USSM10802201","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:34cHNtAxgzMiLRWhfUSgaF","I'm Home","spotify:artist:5nrKbDQoztn1qIZAwXvGUq","Matt White","spotify:album:6TMhTQcYxGm8m8EA6mMujQ","Sunday Social Club","spotify:artist:5nrKbDQoztn1qIZAwXvGUq","Matt White","2017-08-04","https://i.scdn.co/image/ab67616d0000b27348b8464fd485670977b913cc","1","1","113506","https://p.scdn.co/mp3-preview/ced6baf0b42cfae9eb50ab0d1308ca02abb163b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","TCADF1706924","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6Hvl7XMmmt2e9EGfJKgilT","All My Loving - From ""Across The Universe"" Soundtrack","spotify:artist:15cfE4nzURJUvrUyqsrMuF","Jim Sturgess","spotify:album:7FPMykszXPYE2a74RlLinr","Across The Universe","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739bfc4496ee5aa4caf45d2a7f","1","1","151426","https://p.scdn.co/mp3-preview/3aa92fa30f88446d8d6bfc4f877ef00e9423a787?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USBYQ0710003","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3vaIjd2OQSy1pFRFWmTlnl","A Boy Can Dream","spotify:artist:1UxNUybRFdtksz3l5HtCEG","Casey Abrams","spotify:album:6wq7YT3Nq1Qq5tB6DC8Ok7","Casey Abrams","spotify:artist:1UxNUybRFdtksz3l5HtCEG","Casey Abrams","2012-01-01","https://i.scdn.co/image/ab67616d0000b2735e445e2108c08017a61eaa58","1","9","197320","https://p.scdn.co/mp3-preview/ebb0e1dfe6603e549f903a57f3292924eee948a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USC4R1200967","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6NSlOEEtWlqvEFrjQsry77","World Spins Madly On","spotify:artist:6pwHWKweuoCyx3OoFaD0Q5, spotify:artist:7tFFagB7kjwoCTP3QMlzJD, spotify:artist:6vvDymlJBME7J2SPsyY3td","The Weepies, Deb Talan, Steve Tannen","spotify:album:17YOU9hgAgAOmjAFEimg1w","Say I Am You","spotify:artist:6pwHWKweuoCyx3OoFaD0Q5, spotify:artist:7tFFagB7kjwoCTP3QMlzJD, spotify:artist:6vvDymlJBME7J2SPsyY3td","The Weepies, Deb Talan, Steve Tannen","2005-12-20","https://i.scdn.co/image/ab67616d0000b273c28b60c055398ee16b899cc2","1","3","165133","https://p.scdn.co/mp3-preview/ee98d2cf9544d539aadf244799016bb0f7d428ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","CAN110501047","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1IFRVS4t1olI0XG9RBWdKH","The Girl","spotify:artist:74gcBzlQza1bSfob90yRhR","City and Colour","spotify:album:1GYDVFWPK1HFI3TRWmj7hr","Bring Me Your Love (Special Edition)","spotify:artist:74gcBzlQza1bSfob90yRhR","City and Colour","2007","https://i.scdn.co/image/ab67616d0000b2737015a5dfc1b46e0dee45e09c","1","10","360106","https://p.scdn.co/mp3-preview/62554a0bac15d8a959deffe5fa586a0f1d112df3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","CADE70700169","spotify:user:","1970-01-01T00:00:00Z"
