"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3wqmISVn02RtqrCFYZj2o7","Over The Rainbow","spotify:artist:6u17YlWtW4oqFF5Hn9UU79","Harry Connick\, Jr.","spotify:album:2E2ftZ9D2qj9V8mveQyVbP","Songs I Heard","spotify:artist:6u17YlWtW4oqFF5Hn9UU79","Harry Connick\, Jr.","2001-10-19","https://i.scdn.co/image/ab67616d0000b273d976eaca09469e87d37fe815","1","12","254600","https://p.scdn.co/mp3-preview/075f5b8ed193ddd170aed1e1a8079682d3d36ec0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USSM10109486","spotify:user:","2012-07-01T04:25:36Z"
"spotify:track:2Spa687CxXQP5Ll8dzeLZP","Love is blue","spotify:artist:5Oj26LEf8jdgR2woWEjlhi, spotify:artist:7FhixE55GL7MxjQpY4E4xD, spotify:artist:0BsbHRtvGE3HI4vdR4sobs","Paul Mauriat, A.Popp, P.Court","spotify:album:4rhcKC5XGn9sfJJ4xNgNE1","Love is Blue The very best of Paul Mauriat","spotify:artist:5Oj26LEf8jdgR2woWEjlhi","Paul Mauriat","2010-02-26","https://i.scdn.co/image/ab67616d0000b273d92a6e221210a1c83842354a","1","1","155866","","false","0","ES8071010854","spotify:user:","2012-07-01T04:28:35Z"
"spotify:track:7dSK5eDk7kkvRVEZVZbsrD","Love Is Blue","spotify:artist:4rbuIw9Fa3U8yCZuK2Ig1K","Ledward Kaapana","spotify:album:67VmVszGqynhJMBugwDeD1","""Kiho'alu"" Hawaiian Slack Key Guitar","spotify:artist:4rbuIw9Fa3U8yCZuK2Ig1K","Ledward Kaapana","2006-11-10","https://i.scdn.co/image/ab67616d0000b273e00c5518006c696f94e367ff","1","12","287133","https://p.scdn.co/mp3-preview/d6c33d2b502fef516c8d29925c7eb221677eb5ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","uscgj0670129","spotify:user:","2012-07-01T04:28:46Z"
"spotify:track:60R2v9lheAu3lwZwAFxMZK","White & Nerdy (Parody of ""Ridin'"" by Chamillionaire feat. Krayzie Bone)","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","spotify:album:5qNws4KuryY0VNrdtcDwkR","Straight Outta Lynwood","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","2006-09-26","https://i.scdn.co/image/ab67616d0000b2736a478f985efa39c7abfa235e","1","1","170640","https://p.scdn.co/mp3-preview/94560520ff3e323f69a68078828cd9ca6c6e01ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USVR10600081","spotify:user:","2012-07-01T04:29:06Z"
"spotify:track:3dTuAv5fc7dUffZkWja4AR","I Lost On Jeopardy","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","spotify:album:2WMY5Qm6ztMQsAubpumeb4","The Essential ""Weird Al"" Yankovic","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","2009","https://i.scdn.co/image/ab67616d0000b273e840912a60b4d50e0b75154b","1","4","207880","https://p.scdn.co/mp3-preview/aa2a8a68c8058b0ddf9bc1f5c4a4a2b4b6fc4705?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USVR10200035","spotify:user:","2012-07-01T04:29:22Z"
"spotify:track:0dgoXwibX8inebNrM85muT","Yoda","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","spotify:album:2WMY5Qm6ztMQsAubpumeb4","The Essential ""Weird Al"" Yankovic","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","2009","https://i.scdn.co/image/ab67616d0000b273e840912a60b4d50e0b75154b","1","5","236400","https://p.scdn.co/mp3-preview/9cef544bc5e273847cfc45625c1ed94b3dc5ea5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USVR18300001","spotify:user:","2012-07-01T04:29:25Z"
"spotify:track:1RLLZU8KLPbezWwPQU0aJg","The Night Santa Went Crazy","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","spotify:album:2WMY5Qm6ztMQsAubpumeb4","The Essential ""Weird Al"" Yankovic","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","2009","https://i.scdn.co/image/ab67616d0000b273e840912a60b4d50e0b75154b","2","5","241720","https://p.scdn.co/mp3-preview/b32aff2c5ee47f18d2a54868d222c6f694369c2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USVR10300140","spotify:user:","2012-07-01T04:29:39Z"
"spotify:track:0KeDuUqEX3P0cKzRD5pEom","If I Had $1,000,000","spotify:artist:0dEvJpkqhrcn64d3oI8v79","Barenaked Ladies","spotify:album:42U1vGhrWUN6TeM5mwN691","Gordon","spotify:artist:0dEvJpkqhrcn64d3oI8v79","Barenaked Ladies","1992-07-28","https://i.scdn.co/image/ab67616d0000b273cace8130d6570006b636d582","1","14","266733","https://p.scdn.co/mp3-preview/e26ecfadbf5eb87bccbd6f28e24161ee5195a3d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USRE19900117","spotify:user:","2012-07-01T04:54:48Z"
"spotify:track:7s91gb6uV5PPDq6muq6z9g","Big Bang Theory Theme","spotify:artist:0dEvJpkqhrcn64d3oI8v79","Barenaked Ladies","spotify:album:48O95P0igzEnLv1H9KDpdR","Big Bang Theory Theme","spotify:artist:0dEvJpkqhrcn64d3oI8v79","Barenaked Ladies","2010-10-11","https://i.scdn.co/image/ab67616d0000b273b677fc1f06202f9425be4fb5","1","1","105234","https://p.scdn.co/mp3-preview/f15383d9d563057a363775894510863f6b5e0b86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","TCAAS1024958","spotify:user:","2012-07-01T04:55:10Z"
"spotify:track:0KpfYajJVVGgQ32Dby7e9i","Hey, Soul Sister","spotify:artist:3FUY2gzHeIiaesXtOAdB7A","Train","spotify:album:5lTCUyQrKcSmcw5ULkt75O","Hey, Soul Sister","spotify:artist:3FUY2gzHeIiaesXtOAdB7A","Train","2009-08-06","https://i.scdn.co/image/ab67616d0000b273706a70e4bfb15d33b8ec74a1","1","1","216666","","false","0","USSM10904113","spotify:user:","2012-07-01T04:56:48Z"
"spotify:track:3YaG0LrzjVLhWOfZ7b9noC","Cast Your Fate To The Wind","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","spotify:album:2Nlf3aKGsbJpGaL9rU6O6F","Linus & Lucy - The Music Of Vince Guaraldi","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","1996-08-21","https://i.scdn.co/image/ab67616d0000b273378a5fa91aa178a1e7e8527b","1","1","384293","","false","0","USDC39600001","spotify:user:","2012-07-01T05:01:05Z"
"spotify:track:1mD1D8Y4BM4uDfMSo28wO0","Skating","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","spotify:album:2Nlf3aKGsbJpGaL9rU6O6F","Linus & Lucy - The Music Of Vince Guaraldi","spotify:artist:3jdODvx7rIdq0UGU7BOVR3","George Winston","1996-08-21","https://i.scdn.co/image/ab67616d0000b273378a5fa91aa178a1e7e8527b","1","2","181800","","false","0","USDC39600032","spotify:user:","2012-07-01T05:01:08Z"
"spotify:track:2BqIAzD5IAUAqd3f39Dz5V","Somewhere over the Rainbow (Radio Version)","spotify:artist:3FK8hdWirx3rELKVhMOsrH","Ismael Kamawool","spotify:album:30kVAd2O9hZl1dC41BLnZ0","Ab auf die Piste Hütten Party 2011","spotify:artist:1uVqGN1ZdMXEPNNyl6hxuC","Buddy\, Annina\, Schnitte u.v.m.","2010-11-17","https://i.scdn.co/image/ab67616d0000b273f615772d8562b952793ef383","1","2","208764","https://p.scdn.co/mp3-preview/25d3aa913b175c5dc33585e0cc706a51aaa6d1e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","DEZ921000282","spotify:user:","2012-07-01T05:08:50Z"
"spotify:track:63QMIO6X3YNcHkhDu1cdio","Mah Na Mah Na","spotify:artist:3IOTpMPf7vNzF5Jageuabq, spotify:artist:0CrrgNluX9jtv25arGRAFL","Mah Na Mah Na, Anything Muppets","spotify:album:5mSLmGuFUPTW1zBEQVX2Y4","Sesame Street: Jim Henson: A Sesame Street Celebration, Vol. 1","spotify:artist:50bY8HGxT0SuDgJX3AilTT","Sesame Street","2010-11-16","https://i.scdn.co/image/ab67616d0000b273719a4b65c4a76f1353df3e02","1","3","117075","","false","0","USSJE1000297","spotify:user:","2012-07-01T05:10:06Z"
"spotify:track:0ySCKk8pHb3vM8OhN3AbOo","Psych: Theme From Psych","spotify:artist:4qtXySh4WzqEPoeZ0tnyNj","Soundtrack & Theme Orchestra","spotify:album:0QMIscsdD8KMvR8QjvxWED","Your Favourite TV Themes","spotify:artist:4qtXySh4WzqEPoeZ0tnyNj","Soundtrack & Theme Orchestra","2008-04-07","https://i.scdn.co/image/ab67616d0000b2739dd06895fd5ebaea72d23937","1","23","72000","https://p.scdn.co/mp3-preview/1cdc478600f1e67d91ab3bdc17ed6bc3d5e8c082?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","CAM460703075","spotify:user:","2012-07-15T22:50:28Z"
"spotify:track:3tNHgWCOeiBY2qWYTDWBqg","How I Met Your Mother","spotify:artist:3izxIb8kNtirg63VhYPW8u","The TV Theme Players","spotify:album:35OKXTvXhCHRt8QIeJAUrO","Today's Best TV Themes","spotify:artist:3izxIb8kNtirg63VhYPW8u","The TV Theme Players","2008-10-01","https://i.scdn.co/image/ab67616d0000b273fe732ac9abd5ed59b58f76a1","1","19","72240","https://p.scdn.co/mp3-preview/8a1a8c962702dae2e5a35ad7eefad710040ba90b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USA560860240","spotify:user:","2012-07-15T22:53:06Z"
"spotify:track:0U5nbtNkT53aslTdEBjpkF","High Hopes","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","spotify:album:5loTE013A6bWbNM0kuET1r","Sinatra 80th: All The Best","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra","1995-01-01","https://i.scdn.co/image/ab67616d0000b2730d0eed536fac59181fe4796e","2","13","162426","https://p.scdn.co/mp3-preview/679238c19fc22060a51a4b02d6f7e8322d9efeb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USCA28800306","spotify:user:","2012-07-15T22:53:55Z"
"spotify:track:05wIrZSwuaVWhcv5FfqeH0","Walking On Sunshine","spotify:artist:2TzHIUhVpeeDxyJPpQfnV3","Katrina & The Waves","spotify:album:1UQG78YJjaBySRMh0A8Uw7","Katrina & The Waves","spotify:artist:2TzHIUhVpeeDxyJPpQfnV3","Katrina & The Waves","1985","https://i.scdn.co/image/ab67616d0000b273eafaf556eda644a745d0144d","1","6","238733","https://p.scdn.co/mp3-preview/6cb4a8d8d730ce7cab873b966ea778fd3279d027?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USCA28500452","spotify:user:","2012-07-20T22:45:03Z"
"spotify:track:7A8JjBYClKKywhV1bGaKGI","Three Is A Magic Number","spotify:artist:5vg8Gj3XHSpj4ELEh7nZAH","Bob Dorough","spotify:album:2VPpSrjSycAJciMuDunTvW","Blue Break Beats 4","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-06-24","https://i.scdn.co/image/ab67616d0000b273fbd51a5c9a9abda0ee8a3826","1","5","195573","","false","0","USCA27300006","spotify:user:","2012-08-05T04:04:53Z"
"spotify:track:5f28lzpxjiyLVY60yEtgE9","Pi","spotify:artist:6fuRR2sUP6SiTQdsEXFl0e","Hard 'n Phirm","spotify:album:07wMSKgVW9fCZzbfjJthUK","Horses And Grasses","spotify:artist:6fuRR2sUP6SiTQdsEXFl0e","Hard 'n Phirm","2005","https://i.scdn.co/image/ab67616d0000b273ee6a6266197a3b28bd78eb04","1","4","194106","","false","0","US85P0762004","spotify:user:","2012-08-05T04:21:30Z"
"spotify:track:4yshHBPp0MoVynV1sMCKV3","Send Me On My Way","spotify:artist:2M3vnW1p5w4uPRkLYTbvdB","Rusted Root","spotify:album:73dMmmMMWYjmCnGj1OgvIR","The Best Of / 20th Century Masters The Millennium Collection","spotify:artist:2M3vnW1p5w4uPRkLYTbvdB","Rusted Root","2005-01-01","https://i.scdn.co/image/ab67616d0000b27326c45c901451c5199606a8eb","1","2","261706","https://p.scdn.co/mp3-preview/d67ecd3df4b56aa7e2ecfd3d354446f2be6bf0d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USPR39402077","spotify:user:","2012-08-13T03:45:18Z"
"spotify:track:1bjYzPRj1iuPp3iR67JRY2","Sympathique","spotify:artist:6KyUat70qaniuiZq63HzFZ","Pink Martini","spotify:album:0dpCdm9wBQpehMIWTj4MDO","Hôtel Costes Best of","spotify:artist:0sKvyHIsuZMjaLWyHFX4RV","Hôtel Costes","1998","https://i.scdn.co/image/ab67616d0000b27308843fdf5f91ced949ee46dd","1","1","161920","https://p.scdn.co/mp3-preview/cbf35c8c6491e6fb8f25d4c8c91aa4f8a29f6388?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USHNZ0400003","spotify:user:","2012-08-16T05:06:42Z"
"spotify:track:7w87IxuO7BDcJ3YUqCyMTT","Pumped Up Kicks","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","Foster The People","spotify:album:7Kmmw7Z5D2UD5MVwdm10sT","Torches","spotify:artist:7gP3bB2nilZXLfPHJhMdvc","Foster The People","2011-05-23","https://i.scdn.co/image/ab67616d0000b273121d5f92cf90576907dfb1e5","1","2","239600","https://p.scdn.co/mp3-preview/1bc2c0a7e77201e3ed8131f58a7d5799333486c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USSM11002931","spotify:user:","2012-09-13T14:17:06Z"
"spotify:track:7smGngj7AE3uLjeyZDu8YR","Glad You Came","spotify:artist:2oF54D75QZDraNpmDvgjy1","The Sun Goes Down I'm Make You","spotify:album:0LSerZ21MvQqWmj9j3fGlu","Glad You Came - Single (Tribute to The Wanted)","spotify:artist:2oF54D75QZDraNpmDvgjy1","The Sun Goes Down I'm Make You","2012-04-04","https://i.scdn.co/image/ab67616d0000b2733baaba6721d5749bd98805b9","1","1","202792","","false","0","USCRP1200662","spotify:user:","2012-09-13T14:41:54Z"
"spotify:track:06wwFRoPvGCuKGHqPI9rHk","New Math","spotify:artist:5iNvbRVX9W8t1RpD2SHpAO","Tom Lehrer","spotify:album:25qcubcExKU0scB0LydObL","That Was The Year That Was","spotify:artist:5iNvbRVX9W8t1RpD2SHpAO","Tom Lehrer","1965","https://i.scdn.co/image/ab67616d0000b2738961bd9d85635b5111d6e9d6","1","10","268693","","false","0","USSE91031673","spotify:user:","2012-10-02T05:54:15Z"
"spotify:track:28mDNsS5UqugybN5xRp3FB","The Elements","spotify:artist:5iNvbRVX9W8t1RpD2SHpAO","Tom Lehrer","spotify:album:7FvPJx3tEqEFlBr2jGV0ty","An Evening Wasted With Tom Lehrer","spotify:artist:5iNvbRVX9W8t1RpD2SHpAO","Tom Lehrer","1959","https://i.scdn.co/image/ab67616d0000b2736c2ffb88dd2830c0a75665de","1","4","142479","","false","0","GBJUT0917416","spotify:user:","2012-10-02T05:54:20Z"
"spotify:track:6t6oULCRS6hnI7rm0h5gwl","Some Nights","spotify:artist:5nCi3BB41mBaMH9gfr6Su0","fun.","spotify:album:7iycyHwOW2plljYIK6I1Zo","Some Nights","spotify:artist:5nCi3BB41mBaMH9gfr6Su0","fun.","2012-02-21","https://i.scdn.co/image/ab67616d0000b27305fb4e9947c6edaf3836766e","1","2","277040","https://p.scdn.co/mp3-preview/ad945d63f38c7239a5fd8c8841b1ed58a0ff76d5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USAT21104050","spotify:user:rob.bednark","2013-01-10T04:49:38Z"
"spotify:track:4PZvyMc32DVXmvk75qPVHN","The Saga Begins (Lyrical Adaption of ""American Pie"")","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","spotify:album:2WMY5Qm6ztMQsAubpumeb4","The Essential ""Weird Al"" Yankovic","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","2009","https://i.scdn.co/image/ab67616d0000b273e840912a60b4d50e0b75154b","2","8","329453","https://p.scdn.co/mp3-preview/6e1b3860a1b3e5c4559705633aeb1dd3a8f9a0ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USVR19910850","spotify:user:rob.bednark","2013-03-17T02:30:47Z"
"spotify:track:3vMwCHwR1UlM6hAV6xQ4aX","The Pink Panther Theme - From the Mirisch-G & E Production ""The Pink Panther""","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:1EeC8QxfwrlFn7wtse5fiN","Ultimate Pink Panther","spotify:artist:3huVQoEWdqUTvlYpFVUHcF","Original Soundtrack","2004-04-01","https://i.scdn.co/image/ab67616d0000b2735e0ed20e3d61d5a65738a533","1","1","157266","https://p.scdn.co/mp3-preview/80083cadcc1007de7c1cd845102c9d514432bbfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USRC16302654","spotify:user:rob.bednark","2013-03-17T19:59:55Z"
"spotify:track:0R2Xy8mq2CwONVa5HjLY46","The Pink Panther Theme (McFerrin version)","spotify:artist:2FjkZT851ez950cyPjeYid","Bobby McFerrin","spotify:album:2sjn0apx6LKOa8DUEbfoj0","Son of the Pink Panther","spotify:artist:6ZCAzgsrWwc1rtzQ1MZDBC","Son of the Pink Panther","1993","https://i.scdn.co/image/ab67616d0000b27308e53380e9e6f71175539774","1","1","190013","","false","0","US5940510100","spotify:user:rob.bednark","2013-03-23T20:54:22Z"
"spotify:track:4zno0yXr6X7QUdYq4uC7BB","Charlie Brown","spotify:artist:3QZKZBEmr54lAVI5XvmjnM","The Coasters","spotify:album:5cDXjbFbgqPiny60uql62e","The Best of The Coasters","spotify:artist:3QZKZBEmr54lAVI5XvmjnM","The Coasters","2010-08-10","https://i.scdn.co/image/ab67616d0000b27305ad5e09ed180c11e127fe67","1","5","151220","","false","0","USB4T1000880","spotify:user:rob.bednark","2013-06-02T21:49:20Z"
"spotify:track:1vUWTSUbvLThJLvje6X04c","Snoopy Vs. The Red Baron - 1995 - Remastered","spotify:artist:2ltpcCK86foogli20z9raq","The Royal Guardsmen","spotify:album:2qcKBOGE4abRGE0LFxe5XU","Snoopy Vs. The Red Barron / Snoopy And His Friends","spotify:artist:2ltpcCK86foogli20z9raq","The Royal Guardsmen","2001","https://i.scdn.co/image/ab67616d0000b2731a819971ad2c5449104c4314","1","1","160680","","false","0","USLA19500002","spotify:user:rob.bednark","2013-06-02T21:49:54Z"
"spotify:track:7pxpABlfr2tYw6fngNyclo","Hair","spotify:artist:4ZSzroBNV7HzBDO9aohuF1","The Cowsills","spotify:album:2fjKpnNX36WuJJLIZTyGok","AM Gold - 60's: Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-12-21","https://i.scdn.co/image/ab67616d0000b2738b4a9855de4d7ab742b6f7a4","1","3","207786","","false","0","USDEI7903449","spotify:user:rob.bednark","2013-07-19T04:10:40Z"
"spotify:track:0BY9jQDU1je2kapR94VQ2u","Testing 1, 2, 3","spotify:artist:0dEvJpkqhrcn64d3oI8v79","Barenaked Ladies","spotify:album:4cSFHSFiqnMYR3vZvDaz8t","Everything to Everyone","spotify:artist:0dEvJpkqhrcn64d3oI8v79","Barenaked Ladies","2003-09-23","https://i.scdn.co/image/ab67616d0000b2736087231c90d139bb6069ced1","1","7","212093","https://p.scdn.co/mp3-preview/4d69aa08201794284d27f5a7d2cab8bd3125b722?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USRE10301160","spotify:user:rob.bednark","2013-09-25T10:58:57Z"
"spotify:track:431qZaQAJuIolwBrlDa6Yg","Woodland","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","spotify:album:5l8axHOB8sCsWqfK5XVtbF","Woodland - EP","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","2013-03-05","https://i.scdn.co/image/ab67616d0000b273fdf99e518793e96169b36948","1","1","231586","","false","1","TCAAY1166504","spotify:user:rob.bednark","2021-10-28T04:03:18Z"
"spotify:track:45p0MAVey0dnjZXo8kMUzh","Featherstone","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","spotify:album:5l8axHOB8sCsWqfK5XVtbF","Woodland - EP","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","2013-03-05","https://i.scdn.co/image/ab67616d0000b273fdf99e518793e96169b36948","1","2","229626","","false","0","TCAAY1166505","spotify:user:rob.bednark","2021-10-28T04:03:18Z"
"spotify:track:32tG8Q4LHgB9psZpClf4wF","Halcyon","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","spotify:album:5l8axHOB8sCsWqfK5XVtbF","Woodland - EP","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","2013-03-05","https://i.scdn.co/image/ab67616d0000b273fdf99e518793e96169b36948","1","3","239080","","false","0","TCAAY1166506","spotify:user:rob.bednark","2021-10-28T04:03:18Z"
"spotify:track:4HlnKACfroGiAhbNODw2bF","Willow Tree March","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","spotify:album:5l8axHOB8sCsWqfK5XVtbF","Woodland - EP","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","2013-03-05","https://i.scdn.co/image/ab67616d0000b273fdf99e518793e96169b36948","1","4","276813","","false","0","TCAAY1166507","spotify:user:rob.bednark","2021-10-28T04:03:18Z"
"spotify:track:6CKMWO6cSJ6P1C0t6z60QO","The Mortal Boy King","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","spotify:album:5l8axHOB8sCsWqfK5XVtbF","Woodland - EP","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","2013-03-05","https://i.scdn.co/image/ab67616d0000b273fdf99e518793e96169b36948","1","5","306333","","false","0","TCAAY1166508","spotify:user:rob.bednark","2021-10-28T04:03:18Z"
"spotify:track:41yIvlFgvGwxq8qTqAR7eG","Bloom - Bonus Track","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","spotify:album:5l8axHOB8sCsWqfK5XVtbF","Woodland - EP","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","2013-03-05","https://i.scdn.co/image/ab67616d0000b273fdf99e518793e96169b36948","1","6","210080","","false","4","TCAAZ1171906","spotify:user:rob.bednark","2021-10-28T04:03:18Z"
