"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1CCaratnF94HuFV5X3kGkO","Theme From ""A Summer Place""","spotify:artist:3llWEEOW2xNfiKsXXWjrwl, spotify:artist:24DQLSng7bKZD4GXLIaQbv","Max Steiner, Percy Faith & His Orchestra","spotify:album:4RQ5uJfZPSeerliWiK5CU6","Hearts in Atlantis - Motion Picture Soundtrack","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2001-01-01","https://i.scdn.co/image/ab67616d0000b273f91dca208abef1dae4a7ebe2","1","8","140866","https://p.scdn.co/mp3-preview/fb8e08a87ef28e0810f903bdbc8c32b47f1875c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USSM10401918","spotify:user:","2012-06-23T05:06:27Z"
"spotify:track:6BfXthgvACpWgWPESVDClX","Yellow Bird","spotify:artist:0InUwhs6Dkt2JHabJgCgMk","Southside Harmonics Steel Orchestra","spotify:album:3k9rjsHvsdFReqSTLKBBND","Jamaica Farewell: Best of Caribbean Steel Drums","spotify:artist:0InUwhs6Dkt2JHabJgCgMk","Southside Harmonics Steel Orchestra","2010-02-01","https://i.scdn.co/image/ab67616d0000b273f0e3aa975e197c5e3574df6a","1","1","177000","https://p.scdn.co/mp3-preview/2ce83a9250b793de8ac01d7b1f7b1be69823579b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","GBCKG0900695","spotify:user:","2012-06-23T05:06:54Z"
"spotify:track:0QJB2QSJHA8x0e214V7oMn","Theme From A Summer Place","spotify:artist:6FQRjLSuGHEAdioKxIGBdZ","The Lennon Sisters","spotify:album:6T58Ngoa42Y3H1ijNlLwy2","Yesterday And Today","spotify:artist:6FQRjLSuGHEAdioKxIGBdZ","The Lennon Sisters","1994-01-01","https://i.scdn.co/image/ab67616d0000b273dc222d554f591a5f7422e1ed","1","13","127999","","false","0","USRW49405616","spotify:user:","2012-06-23T05:07:36Z"
"spotify:track:3uIiZ7M4mLULKuYEIYs1Xr","Yellow Bird","spotify:artist:4dZrt8Ong5t7YYpvbfp0RU","Chet Atkins","spotify:album:2GSY4vEVeDtODIGurOgz3U","Guitar Magic","spotify:artist:4dZrt8Ong5t7YYpvbfp0RU","Chet Atkins","2011-10-01","https://i.scdn.co/image/ab67616d0000b2731f3947660ebb09865849f388","1","5","120240","","false","0","USA371463977","spotify:user:","2012-06-23T05:07:00Z"
"spotify:track:4utfMa5UFPdL9zFdDGtHWM","Yellow Bird","spotify:artist:2GMH35k5oLCjzYpn5HbaD8","Lawrence Welk","spotify:album:0p5XXqKTXPqt0DTVZ9vVyq","Blue Tango - Essential Masters","spotify:artist:2GMH35k5oLCjzYpn5HbaD8","Lawrence Welk","2012-02-01","https://i.scdn.co/image/ab67616d0000b273b5cfe52c2e027e4dbdc236b0","1","8","137186","","false","0","USA371653571","spotify:user:","2012-06-23T05:07:04Z"
"spotify:track:2yZz9kFOTdAsuJIKyl8Ilx","Sugar Mama","spotify:artist:28bLlI81wfpcHUSUPgktlx","Bitter:Sweet","spotify:album:6G09rCEmf6zNNZnmeKdsJm","Drama","spotify:artist:28bLlI81wfpcHUSUPgktlx","Bitter:Sweet","2008-06-03","https://i.scdn.co/image/ab67616d0000b273b2cb7fa7436965e8f9f7c5ed","1","8","181493","https://p.scdn.co/mp3-preview/08c6488d52c60e7e63262ad194be3029b1ff1900?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","USBBW0803008","spotify:user:","2012-06-23T05:07:09Z"
"spotify:track:3NGRraOplOqCV4tL5xLFf4","Never On A Sunday","spotify:artist:695gNCDVviH3s5ZYVs2VNK","Liberace","spotify:album:7De3bqjffisKbydSKUMOdQ","The Best Of Liberace","spotify:artist:695gNCDVviH3s5ZYVs2VNK","Liberace","1972-01-01","https://i.scdn.co/image/ab67616d0000b27331caf09c6d4b2805510e9611","1","8","140906","https://p.scdn.co/mp3-preview/44ba081ad20093d8872ae4cab3b4ff5d3e9dd0ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USMC16313254","spotify:user:","2012-06-23T05:07:22Z"
"spotify:track:6DfPLSh761t3IVbQe7o6RO","Theme From A Summer Place","spotify:artist:695gNCDVviH3s5ZYVs2VNK","Liberace","spotify:album:7De3bqjffisKbydSKUMOdQ","The Best Of Liberace","spotify:artist:695gNCDVviH3s5ZYVs2VNK","Liberace","1972-01-01","https://i.scdn.co/image/ab67616d0000b27331caf09c6d4b2805510e9611","1","4","146800","https://p.scdn.co/mp3-preview/2de1de7419fc20fa09c56b392148821a7fc0db23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USMC16313256","spotify:user:","2012-06-23T05:07:39Z"
"spotify:track:2Spa687CxXQP5Ll8dzeLZP","Love is blue","spotify:artist:5Oj26LEf8jdgR2woWEjlhi, spotify:artist:7FhixE55GL7MxjQpY4E4xD, spotify:artist:0BsbHRtvGE3HI4vdR4sobs","Paul Mauriat, A.Popp, P.Court","spotify:album:4rhcKC5XGn9sfJJ4xNgNE1","Love is Blue The very best of Paul Mauriat","spotify:artist:5Oj26LEf8jdgR2woWEjlhi","Paul Mauriat","2010-02-26","https://i.scdn.co/image/ab67616d0000b273d92a6e221210a1c83842354a","1","1","155866","","false","0","ES8071010854","spotify:user:","2012-06-23T05:07:43Z"
"spotify:track:1mfoUGAlwiFiHDa0rnjRN6","Cadillac","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:1pp4AJW680CWthKDcpwasy","I, Swinger","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1994-03-15","https://i.scdn.co/image/ab67616d0000b273cc9d32ce6411aaed7bb25723","1","1","99840","","false","0","USSUB0310392","spotify:user:","2012-06-23T05:09:06Z"
"spotify:track:1nlBY6Lnt1h2GGTkTMzNdx","Feels So Good","spotify:artist:2MMaIlHd8UvDW0mVRAncD6","Chuck Mangione","spotify:album:0jhb7fxZSylI2A7y6a5lio","Let's Go To Prison (Music From The Motion Picture)","spotify:artist:5PWq4Rbjlar7JG2uHacbKW","Alan Elliott Feat. Rahzel","2010-07-27","https://i.scdn.co/image/ab67616d0000b273ec33268bbde00d494da28a7f","1","24","207559","https://p.scdn.co/mp3-preview/964435125e2bf1795a9c4d72b082dc7cd7de20ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USGMP0600272","spotify:user:","2012-06-23T05:10:04Z"
