"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1buIIV2C0BCJ6splXhxaiX","Hallelujah","spotify:artist:6roo9MjIl9htSsX2Snnipb","Brian Crain","spotify:album:2n5foDaeUvthNg4hD8WTbi","Piano and Light (Bonus Track Version)","spotify:artist:6roo9MjIl9htSsX2Snnipb","Brian Crain","2011-05-18","https://i.scdn.co/image/ab67616d0000b273506012e70879fa47066fdfa8","1","12","251936","https://p.scdn.co/mp3-preview/b009dece1fe8f78c61c255d7f4a1748fede710b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","ushm21112742","spotify:user:","2012-07-01T04:12:55Z"
"spotify:track:71GvlH0VdeClloLIkHrAVu","Diamonds on the Soles of Her Shoes","spotify:artist:2CvCyf1gEVhI0mX6aFXmVI","Paul Simon","spotify:album:6WgGWYw6XXQyLTsWt7tXky","Graceland (25th Anniversary Deluxe Edition)","spotify:artist:2CvCyf1gEVhI0mX6aFXmVI","Paul Simon","1986-08-12","https://i.scdn.co/image/ab67616d0000b27309880a7b8636c5a0615dc0c8","1","5","349280","https://p.scdn.co/mp3-preview/68d43ba86a6b54e50d1d93519903f40d831b0c82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM11002273","spotify:user:","2012-07-01T04:13:32Z"
"spotify:track:51KKQAgYFoJHgVIuJWHdHb","Graceland","spotify:artist:2CvCyf1gEVhI0mX6aFXmVI","Paul Simon","spotify:album:6WgGWYw6XXQyLTsWt7tXky","Graceland (25th Anniversary Deluxe Edition)","spotify:artist:2CvCyf1gEVhI0mX6aFXmVI","Paul Simon","1986-08-12","https://i.scdn.co/image/ab67616d0000b27309880a7b8636c5a0615dc0c8","1","2","291200","https://p.scdn.co/mp3-preview/923ea6afc7b4ae887ace91fedd105d0529f4cc95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USSM11002255","spotify:user:","2012-07-01T04:14:02Z"
"spotify:track:6FBdtu4HJCY3pY9QXm5EaC","New Train","spotify:artist:0nJUwPwC9Ti4vvuJ0q3MfT","John Prine","spotify:album:2W4N5sTgM3qbYYPA2teW4e","Lost Dogs & Mixed Blessings","spotify:artist:0nJUwPwC9Ti4vvuJ0q3MfT","John Prine","1995-04-04","https://i.scdn.co/image/ab67616d0000b2733fc25fdf84a64c7d99a73a34","1","1","204093","","false","0","USA2A0301301","spotify:user:","2012-07-01T04:17:46Z"
"spotify:track:4hsO8nIInZ1YvCjpFvi8VX","The Song We Were Singing","spotify:artist:4STHEaNw4mPZ2tzheohgXB","Paul McCartney","spotify:album:0nkIi02ayVp1qVwZEgWRDO","Flaming Pie","spotify:artist:4STHEaNw4mPZ2tzheohgXB","Paul McCartney","1997-05-05","https://i.scdn.co/image/ab67616d0000b273932b31292131a415dcbff8dd","1","1","234600","","false","0","GBCCS0700553","spotify:user:","2012-07-01T04:21:29Z"
"spotify:track:744JGcoQfFR8SLWbcRHDBK","Can't Help Falling In Love With You","spotify:artist:6u17YlWtW4oqFF5Hn9UU79","Harry Connick\, Jr.","spotify:album:74MmrgGXDvEZepbjCDCi8r","Your Songs","spotify:artist:6u17YlWtW4oqFF5Hn9UU79","Harry Connick\, Jr.","2009-09-21","https://i.scdn.co/image/ab67616d0000b273aca693379ab1a76a5fbac026","1","3","195400","https://p.scdn.co/mp3-preview/819371fbd36bc62671fff9466ee831636f02abda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USSM10903644","spotify:user:","2012-07-01T04:22:45Z"
"spotify:track:3wqmISVn02RtqrCFYZj2o7","Over The Rainbow","spotify:artist:6u17YlWtW4oqFF5Hn9UU79","Harry Connick\, Jr.","spotify:album:2E2ftZ9D2qj9V8mveQyVbP","Songs I Heard","spotify:artist:6u17YlWtW4oqFF5Hn9UU79","Harry Connick\, Jr.","2001-10-19","https://i.scdn.co/image/ab67616d0000b273d976eaca09469e87d37fe815","1","12","254600","https://p.scdn.co/mp3-preview/075f5b8ed193ddd170aed1e1a8079682d3d36ec0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USSM10109486","spotify:user:","2012-07-01T04:25:20Z"
"spotify:track:4uYwlMp841PLJmj1gJJwIq","Lay, Lady, Lay","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:5WBx64FIN04CvM2T1MGrUN","Nashville Skyline","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","1969-04-09","https://i.scdn.co/image/ab67616d0000b27322debe1325cc21c9bb0c0b07","1","6","197093","https://p.scdn.co/mp3-preview/98cd7bc9e7d9a7e92e0eb75e367ab5eddb1f60a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USSM16900827","spotify:user:","2012-07-01T04:32:18Z"
"spotify:track:6VyJaIhHbPYLf5R24IUf3h","Come By Me","spotify:artist:6u17YlWtW4oqFF5Hn9UU79","Harry Connick\, Jr.","spotify:album:5uaSQDVrEMvXPOmish6KOE","Come By Me","spotify:artist:6u17YlWtW4oqFF5Hn9UU79","Harry Connick\, Jr.","1999-05-11","https://i.scdn.co/image/ab67616d0000b27350b3effd618675aca4ffde2c","1","2","240773","https://p.scdn.co/mp3-preview/9ea330c40449d0150ccfa646ab94354f20c96289?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USSM19805996","spotify:user:","2012-07-01T04:25:46Z"
"spotify:track:1xe4IvNW94G8R4KCHrLUt6","Recipe For Love","spotify:artist:6u17YlWtW4oqFF5Hn9UU79","Harry Connick\, Jr.","spotify:album:6Q2COpAGHfW1BeZrMIIY82","We Are In Love","spotify:artist:6u17YlWtW4oqFF5Hn9UU79","Harry Connick\, Jr.","1990-06-01","https://i.scdn.co/image/ab67616d0000b27311c6d9b2fe115ddd10ad6181","1","3","154906","https://p.scdn.co/mp3-preview/4bec24540279665aa32b6b6e54fa88ac03b94f0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USSM19000755","spotify:user:","2012-07-01T04:27:38Z"
