"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5eQoNnXQJKsLt1KkEb0abO","Black Horse and the Cherry Tree - Radio Version","spotify:artist:5zzrJD2jXrE9dZ1AklRFcL","KT Tunstall","spotify:album:5doFr6zZ80LEPSzLzLA5ga","Black Horse And The Cherry Tree","spotify:artist:5zzrJD2jXrE9dZ1AklRFcL","KT Tunstall","2005","https://i.scdn.co/image/ab67616d0000b273d3281255f8978ae47aa6fda8","1","1","174400","","false","0","GBGLM0400102","spotify:user:","2012-09-19T17:33:03Z"
"spotify:track:0KpfYajJVVGgQ32Dby7e9i","Hey, Soul Sister","spotify:artist:3FUY2gzHeIiaesXtOAdB7A","Train","spotify:album:5lTCUyQrKcSmcw5ULkt75O","Hey, Soul Sister","spotify:artist:3FUY2gzHeIiaesXtOAdB7A","Train","2009-08-06","https://i.scdn.co/image/ab67616d0000b273706a70e4bfb15d33b8ec74a1","1","1","216666","","false","0","USSM10904113","spotify:user:rob.bednark","2012-09-19T17:33:24Z"
"spotify:track:6VyJaIhHbPYLf5R24IUf3h","Come By Me","spotify:artist:6u17YlWtW4oqFF5Hn9UU79","Harry Connick\, Jr.","spotify:album:5uaSQDVrEMvXPOmish6KOE","Come By Me","spotify:artist:6u17YlWtW4oqFF5Hn9UU79","Harry Connick\, Jr.","1999-05-11","https://i.scdn.co/image/ab67616d0000b27350b3effd618675aca4ffde2c","1","2","240773","https://p.scdn.co/mp3-preview/9ea330c40449d0150ccfa646ab94354f20c96289?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USSM19805996","spotify:user:rob.bednark","2012-09-19T17:33:42Z"
"spotify:track:2LGAbm0xHNu7scBDVCkFwN","Hey Julie","spotify:artist:1pgtr4nhBQjp9oCUBPyYWh","Fountains Of Wayne","spotify:album:6TZp52tXShLQbq8yNMxqNT","Welcome Interstate Managers","spotify:artist:1pgtr4nhBQjp9oCUBPyYWh","Fountains Of Wayne","2003-01-01","https://i.scdn.co/image/ab67616d0000b273079e826265dffc3a8a26bac5","1","9","156933","https://p.scdn.co/mp3-preview/04c51da49ea497c93b508e28665a3f917b005824?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USESC0300008","spotify:user:","2012-09-19T17:34:05Z"
"spotify:track:0ySCKk8pHb3vM8OhN3AbOo","Psych: Theme From Psych","spotify:artist:4qtXySh4WzqEPoeZ0tnyNj","Soundtrack & Theme Orchestra","spotify:album:0QMIscsdD8KMvR8QjvxWED","Your Favourite TV Themes","spotify:artist:4qtXySh4WzqEPoeZ0tnyNj","Soundtrack & Theme Orchestra","2008-04-07","https://i.scdn.co/image/ab67616d0000b2739dd06895fd5ebaea72d23937","1","23","72000","https://p.scdn.co/mp3-preview/1cdc478600f1e67d91ab3bdc17ed6bc3d5e8c082?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","CAM460703075","spotify:user:","2012-09-19T17:34:27Z"
"spotify:track:1YER6GeCM2IBftKjbxAe1U","Little Lion Man","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","spotify:album:4EnpeGmIkEf8nAaBLLTBZn","Sigh No More","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","2009","https://i.scdn.co/image/ab67616d0000b273c30dd35086a80c5f19a6133a","1","7","245173","","false","0","GBUM70909097","spotify:user:","2012-09-19T17:34:34Z"
"spotify:track:67eQghapdcV7cmN63ZMEiu","Action Hero","spotify:artist:1pgtr4nhBQjp9oCUBPyYWh","Fountains Of Wayne","spotify:album:3oH4y26EHk1NSNCtkwm248","Sky Full of Holes","spotify:artist:1pgtr4nhBQjp9oCUBPyYWh","Fountains Of Wayne","2011-08-02","https://i.scdn.co/image/ab67616d0000b273ac8e942ae020cebb9dde3279","1","5","240066","","false","0","USY1R1124705","spotify:user:","2012-09-19T17:36:02Z"
"spotify:track:1lfjTOtTRUDkzcmahA4lcs","I'll Be There for You (Theme from ""Friends')","spotify:artist:0gDg7FEsF4Y1jWddJJgcn4","The Rembrandts","spotify:album:4CO85kzQhLUTWkVBoQ4OKu","I'll Be There For You (Theme From FRIENDS) / Snippets: Don't Hide Your Love / End Of The Beginning / Lovin' Me Insane / Drowning In Your Tears / This House Is Not A Home / What Will It Take [Digital 45]","spotify:artist:0gDg7FEsF4Y1jWddJJgcn4","The Rembrandts","1995","https://i.scdn.co/image/ab67616d0000b2735d49cfbc5b7e1d95569a9e06","1","1","187293","https://p.scdn.co/mp3-preview/2b5a39e994dbc1e863515ea566171283eaaffd66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USEE10900777","spotify:user:","2012-09-19T17:36:36Z"
"spotify:track:0KeDuUqEX3P0cKzRD5pEom","If I Had $1,000,000","spotify:artist:0dEvJpkqhrcn64d3oI8v79","Barenaked Ladies","spotify:album:42U1vGhrWUN6TeM5mwN691","Gordon","spotify:artist:0dEvJpkqhrcn64d3oI8v79","Barenaked Ladies","1992-07-28","https://i.scdn.co/image/ab67616d0000b273cace8130d6570006b636d582","1","14","266733","https://p.scdn.co/mp3-preview/e26ecfadbf5eb87bccbd6f28e24161ee5195a3d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USRE19900117","spotify:user:","2012-09-19T17:37:06Z"
"spotify:track:7s91gb6uV5PPDq6muq6z9g","Big Bang Theory Theme","spotify:artist:0dEvJpkqhrcn64d3oI8v79","Barenaked Ladies","spotify:album:48O95P0igzEnLv1H9KDpdR","Big Bang Theory Theme","spotify:artist:0dEvJpkqhrcn64d3oI8v79","Barenaked Ladies","2010-10-11","https://i.scdn.co/image/ab67616d0000b273b677fc1f06202f9425be4fb5","1","1","105234","https://p.scdn.co/mp3-preview/f15383d9d563057a363775894510863f6b5e0b86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","TCAAS1024958","spotify:user:","2012-09-19T17:37:10Z"
