"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0s9gDBw7wEwAoUZOGpZSmy","Savage Serenade","spotify:artist:5d1TErL619HO0t14nHxHuy, spotify:artist:7xxE4xHTegHta9eOmhiBMX","Adrian Rollini, Adrian Rollini's Orchestra","spotify:album:5XX3a3WJ5jJiet0VIJ3Ttc","Adrian Rollini 1929-1934","spotify:artist:5d1TErL619HO0t14nHxHuy","Adrian Rollini","2019-09-27","https://i.scdn.co/image/ab67616d0000b2738cbb9516ea10221e08fb1fa0","2","4","177106","https://p.scdn.co/mp3-preview/6824ee368e432d34533552979ee33bfe333b3b19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","GBBMR1985029","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6vzXIiwpCFerPfIlkI4U15","It Had To Be You","spotify:artist:0ObFsHKsujQRFXqEL6Q0Jc","Edmond Hall","spotify:album:2EojFqvzd0GKRG1j8j7Dkn","Jazz Foundations Vol. 25","spotify:artist:0ObFsHKsujQRFXqEL6Q0Jc","Edmond Hall","2008-01-01","https://i.scdn.co/image/ab67616d0000b273881262cdbba976d9ff44837a","1","15","181198","https://p.scdn.co/mp3-preview/946c55bc914b17dc5a900da12d642a9b3708cd4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","FR6V81013142","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2EYlsu2Dl8pViNXZX2foBK","Serenade In Blue","spotify:artist:7yJ74d8IUMgW1u8CHgxU6U","Members Of The Glenn Miller Orchestra","spotify:album:1hB6zi9XTmUDoxTOG6xyhn","The Big Band Era , Volume 8 - The Passing Of An Era","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1978","https://i.scdn.co/image/ab67616d0000b273804f5824b47ad4f3aa993de9","1","1","129840","https://p.scdn.co/mp3-preview/7dfc251986539d1024e3a4961994108d4a3b7d90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USA560974358","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5k5YHWTI6Kyo5WljQZTciL","New Moten Stomp","spotify:artist:1bm4KifyNLFa4pjZzulTQU","Bennie Moten","spotify:album:4fneZu0CXNh5XpWn0OGIl4","Presenting Bennie Moten","spotify:artist:1bm4KifyNLFa4pjZzulTQU","Bennie Moten","1924-05-06","https://i.scdn.co/image/ab67616d0000b273ba5805fe9b5dccf6f1a86e38","1","2","176960","https://p.scdn.co/mp3-preview/1eabfc124c378045a44062495a92f8a5928c2cf8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","DEXO22209165","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3PFuwQT2EXASCd4Dsyvtrs","That's My Desire","spotify:artist:0V05eHcONaDJC1HumT0img","Martha Tilton","spotify:album:2nMcv0IcyMimj5w6O2d3Sw","The Capitol Recordings","spotify:artist:0V05eHcONaDJC1HumT0img","Martha Tilton","2000-10-10","https://i.scdn.co/image/ab67616d0000b273372b2d17a4598882ade3e102","2","9","176133","https://p.scdn.co/mp3-preview/f57cc8ecf2da9151046ce922e741f114c74aa6f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USCA20001290","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:66Zrz4B7CPbzOAdHC2nq65","Squaty Roo - Remastered - 1995","spotify:artist:586u2f7H540oCefUIazflT","Johnny Hodges & His Orchestra","spotify:album:0cEagAIjchYFSvfuCoeW9Y","Passion Flower 1940-46","spotify:artist:7lRFrrINQTY35g8hq0kXY5","Johnny Hodges","1940","https://i.scdn.co/image/ab67616d0000b273ec139b8d38f2bbe5f15e1626","1","6","143666","https://p.scdn.co/mp3-preview/97feda1384272053d0806d077883e27c429024a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USBB14100314","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4LaWGvzm6a2bbS0fswpn2e","Sugar","spotify:artist:5d1TErL619HO0t14nHxHuy","Adrian Rollini","spotify:album:0jUwkg1H4cHZDXCCNLWfzU","1934-1938","spotify:artist:5d1TErL619HO0t14nHxHuy","Adrian Rollini","2007-05-30","https://i.scdn.co/image/ab67616d0000b2733d602e046145e070486cb304","1","2","174386","https://p.scdn.co/mp3-preview/26fa910c5e0349a19dfa521ad36845a28a26261d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","NLB150400119","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1QZwrM8vASyKv6VwJvXYsr","Melancholy","spotify:artist:5Epg9knob31gEXJGg9V5Sp","Johnny Dodds","spotify:album:57o9hxWZ0tvnb2sJjzsJKd","Stompin' In Chicago","spotify:artist:5Epg9knob31gEXJGg9V5Sp","Johnny Dodds","2021-04-16","https://i.scdn.co/image/ab67616d0000b2734c96f724a842c36f9e31555f","1","5","160092","https://p.scdn.co/mp3-preview/6c2d768286a3ba8512501f20b6fa8e6f12d8f8b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","NLHR52102107","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0qvnj3ddj5entjvoU4SMme","Stardust","spotify:artist:4v8G8fM1P0Nrn9nZZW0ziT","Ted Heath","spotify:album:6Di4tSDwT6B5qzmBiN67oK","The Lost Treasures Of Ted Heath (Vol. 3-4)","spotify:artist:4v8G8fM1P0Nrn9nZZW0ziT","Ted Heath","1998","https://i.scdn.co/image/ab67616d0000b27383e4d5dafd9a7bfe6f943fd8","2","21","162907","https://p.scdn.co/mp3-preview/2f801903d01f30b75df71e5b42f5b40a9296a7d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USA560576419","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4FhF7E5ghZ7DJwUxA2Lmyk","P.s. - I Love You","spotify:artist:0rEBOEWe1XZ9M1tKAOjvbj","Rudy Vallee and His Connecticut Yankees","spotify:album:66UPjjICe48xG6LfN0f9U3","Dancing in the Moonlight (1934 - 1937)","spotify:artist:0rEBOEWe1XZ9M1tKAOjvbj","Rudy Vallee and His Connecticut Yankees","2012","https://i.scdn.co/image/ab67616d0000b2731eff9774e283ebc22d4d578d","1","6","210466","https://p.scdn.co/mp3-preview/eee6175b572ee9c5b598773b1feea2718f674a29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","DEBL61298703","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1dU5qH8ThWeibudqo3UG3p","Margie","spotify:artist:5z49AOW1q5dtslkcj6wGsW","Jimmie Lunceford","spotify:album:1OEFOwyv3odN4DaxmosGlZ","The Decca Singles Vol. 3: 1937-1941","spotify:artist:5z49AOW1q5dtslkcj6wGsW","Jimmie Lunceford","2017-11-10","https://i.scdn.co/image/ab67616d0000b273348c83d0a9cc2f924191fb16","1","11","186002","https://p.scdn.co/mp3-preview/5f9eadae1f968417b8617594dfa976c2805c7506?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USUM71107583","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5zIibo4XFBGjQWxrmqKNlB","I’ll Get By","spotify:artist:0V05eHcONaDJC1HumT0img","Martha Tilton","spotify:album:4xFrf1UoTP06p1EA2Dkx97","Martha Tilton: The Complete Standard Transcriptions","spotify:artist:0V05eHcONaDJC1HumT0img","Martha Tilton","2004","https://i.scdn.co/image/ab67616d0000b2732ad1650a4c7ebee933ec1e56","1","3","110759","https://p.scdn.co/mp3-preview/a4c3a6a0662c666bb1f1246de71983fe1d6a136a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","US53D0419031","spotify:user:","1970-01-01T00:00:00Z"
