"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3wsPg2KrRYZFi0inIFa41x","Do Ya Think I'm Sexy","spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT","Rod Stewart","spotify:album:5A6h58VvAuMEhrWK7XxGdh","Do Ya Think I'm Sexy? / Scarred and Scared","spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT","Rod Stewart","1978","https://i.scdn.co/image/ab67616d0000b2739bace10a23170098eda975f5","1","1","325813","https://p.scdn.co/mp3-preview/5119f9e9fa061e22e99cb4b3ade96446dd7d1ebb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USWB10904530","spotify:user:f_carloto","2020-01-20T18:42:11Z"
"spotify:track:6vvmYYUvGXtZLU8msxKvzF","I Wanna Be Sedated - 2002 Remaster","spotify:artist:1co4F2pPNH8JjTutZkmgSm","Ramones","spotify:album:5QK35ea0XnSBt6Ly8gWLhE","Road to Ruin (Expanded 2005 Remaster)","spotify:artist:1co4F2pPNH8JjTutZkmgSm","Ramones","1978-09-22","https://i.scdn.co/image/ab67616d0000b273d8b51e7394e2c2c1aa6eb0cb","1","7","149466","https://p.scdn.co/mp3-preview/1464e797fef7cdc3befcae7f4ef17a67f114e60c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USWB10201817","spotify:user:f_carloto","2019-01-22T23:52:27Z"
"spotify:track:1prZ0pr6XoRCxcrC3MCL0M","Everywhere","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:0LfM3PGkXE6KvJEE1HkOnz","Greatest Hits","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1988-11-21","https://i.scdn.co/image/ab67616d0000b273813da91820fd194cbee5bdce","1","5","222733","https://p.scdn.co/mp3-preview/ffbd1fbbdacc266dc5adfd6f34e2423252d53b62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USWB19900202","spotify:user:f_carloto","2020-01-20T18:58:29Z"
"spotify:track:4UQLQJu3DNvVkMVglwElU2","The King of Wishful Thinking","spotify:artist:7bKupnlF7XOfR1En3K8oAL","Go West","spotify:album:3z3WKWIzEwKJ2T0YoOIGy4","Indian Summer","spotify:artist:7bKupnlF7XOfR1En3K8oAL","Go West","1992-11-14","https://i.scdn.co/image/ab67616d0000b273643c2cfd62afdf937351a504","1","6","241760","","false","9","GBAYK9000059","spotify:user:f_carloto","2019-01-22T23:52:27Z"
"spotify:track:6S7OQQ19MSi5Fo2PQ6LL1u","We Don't Have To Take Our Clothes Off","spotify:artist:7FAkzV0YOw0EIXFhmY4RE3","Jermaine Stewart","spotify:album:6NXNYQ0pjEeqwBEU3yaKSf","We Don't Have To Take Our Clothes Off","spotify:artist:7FAkzV0YOw0EIXFhmY4RE3","Jermaine Stewart","1986-01-01","https://i.scdn.co/image/ab67616d0000b273dc6131964f193372082ab4cb","1","2","245026","https://p.scdn.co/mp3-preview/bd41f096e27a2210b0c0b694ac72e19b54c55873?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAAA8500015","spotify:user:f_carloto","2020-01-20T18:56:46Z"
"spotify:track:5qyq1H5OPMlfuvZQ1wQNo7","(Your Love Keeps Lifting Me) Higher & Higher","spotify:artist:4VnomLtKTm9Ahe1tZfmZju","Jackie Wilson","spotify:album:4OgYmImCWz3VK7At9GTWHN","Higher And Higher","spotify:artist:4VnomLtKTm9Ahe1tZfmZju","Jackie Wilson","1967","https://i.scdn.co/image/ab67616d0000b273e7ba7ec8dbf10a6db596cfe7","1","1","179120","https://p.scdn.co/mp3-preview/810e1a98f0c67622b1d0faf6c0ff071551f15650?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USBWC0010022","spotify:user:f_carloto","2019-01-22T23:52:27Z"
"spotify:track:48p5E25cFPanxuwCTmTpuL","The Promise","spotify:artist:3jOO5nZ2XPmc232rNjzqJy","When In Rome","spotify:album:3kt903x5U5IWJlwHyE481x","When In Rome","spotify:artist:3jOO5nZ2XPmc232rNjzqJy","When In Rome","1988-01-01","https://i.scdn.co/image/ab67616d0000b273d12fd00a64529cff635a75f2","1","1","220960","https://p.scdn.co/mp3-preview/47acd73c14a126c96a821a78d04ac92b4fdd8f12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAAA8800494","spotify:user:f_carloto","2020-01-20T18:59:01Z"
"spotify:track:0UWv4uFMpj89xZqj2O5wHJ","Thousand Miles","spotify:artist:6VPgS9zrNpY0DjlMJIYOuk","Nathan Gray","spotify:album:68k2di6gwQjCPVRtd2BJdm","Thousand Miles","spotify:artist:6VPgS9zrNpY0DjlMJIYOuk","Nathan Gray","2019-01-12","https://i.scdn.co/image/ab67616d0000b2737ed4008df955b58ff2f4669e","1","1","141610","https://p.scdn.co/mp3-preview/247ac329fbd984e7052d4cb0c93d57b4721d19e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","uscgh1926988","spotify:user:f_carloto","2020-03-13T06:44:43Z"
"spotify:track:1DZr9xRtRZTGEUmJJcsKvO","The Queen of Hearts","spotify:artist:1uR7zoLrSRI8bSL43OZ0GY","Ezra Furman","spotify:album:75vRxrI9TSx3X0gKmh9JRu","The Year of No Returning","spotify:artist:1uR7zoLrSRI8bSL43OZ0GY","Ezra Furman","2012-11-02","https://i.scdn.co/image/ab67616d0000b273ac213c90cc37bbe1c6b25872","1","10","296000","","false","14","ATT801209010","spotify:user:f_carloto","2020-01-22T18:04:35Z"
"spotify:track:4Ur3Jvp3nl52s7oTU1yJVC","Vendetta","spotify:artist:6VS6UnMmEtkcyYumRHZUI1","Letters Sent Home","spotify:album:0ByENks5kDiP2Aglh3CLtZ","Vendetta","spotify:artist:6VS6UnMmEtkcyYumRHZUI1","Letters Sent Home","2020-03-13","https://i.scdn.co/image/ab67616d0000b273e17b63f72bdb84d649beca2e","1","1","185226","https://p.scdn.co/mp3-preview/c163c283566fa2f4d31c190c37f8340783ea209e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","DELJ82094390","spotify:user:f_carloto","2020-03-13T06:42:42Z"
"spotify:track:5TM2eqdzfWPHklI7YnBmsD","Blister in the Sun - 2002 Remastered Version","spotify:artist:0rpMdBzQXf7aYRnu5fDBJy","Violent Femmes","spotify:album:2G9onFLGqlMJd1ThYf0vIB","Violent Femmes","spotify:artist:0rpMdBzQXf7aYRnu5fDBJy","Violent Femmes","1983","https://i.scdn.co/image/ab67616d0000b273e189ca336471c85cf01d1635","1","1","144333","","false","0","USRH10900138","spotify:user:f_carloto","2019-01-22T23:52:27Z"
