"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5FWn20xrAQ1IdbA8Dml6pj","Si tu vois ma mère - Slow","spotify:artist:1RsmXc1ZqW3WBs9iwxiSwk, spotify:artist:7vyl7IFdeAHggtnfN0qU7w","Sidney Bechet, Claude Luter et son orchestre","spotify:album:6MSDPMpPCInQbgW8xHDilS","Les Années Bechet","spotify:artist:1RsmXc1ZqW3WBs9iwxiSwk","Sidney Bechet","1997-05-06","https://i.scdn.co/image/ab67616d0000b273cb6edc84074689288df09000","1","11","193573","https://p.scdn.co/mp3-preview/bc1a98a29229532e934bd29df83a4820cc1d5ee6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","FRZ198900010","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2KnRxl3tXxo8jCXqaW9OvI","Paris je t'aime","spotify:artist:7BvY63ZF56lrkYG8l95sMF","Gus Viseur","spotify:album:789flaED3YKzqXQ9xVaJas","Paris jazz accordéon","spotify:artist:7BvY63ZF56lrkYG8l95sMF","Gus Viseur","2015-02-02","https://i.scdn.co/image/ab67616d0000b273edeb23f072fd9819fdb65b8b","1","17","93293","https://p.scdn.co/mp3-preview/862ded5c258397d711bed0db394a3b5c8cf34cf4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","FRZ811412132","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5Cfz0DCrcFpISyvDHBWy9f","Les rues de Paris","spotify:artist:313G7P4CxkVyQGNFfxNOpC","Nicolas Godin","spotify:album:5YzTAHQK9iYORWevQrS3q5","Au service de la France","spotify:artist:313G7P4CxkVyQGNFfxNOpC","Nicolas Godin","2018-06-22","https://i.scdn.co/image/ab67616d0000b273796e4e8e2f8065f52b6c1658","1","3","149200","https://p.scdn.co/mp3-preview/23c552785a6655b12237a49cb659e8b832e1a333?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","FR7LG1800003","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1tx7llBKmFG4jCbfoc50YN","If I Had You","spotify:artist:33N6sGOKJwLGOnq31ZmEl1","Benny Goodman Sextet","spotify:album:2hcioj7Ylhau26ffRy9WE4","Small Groups: 1941-1945","spotify:artist:1pBuKaLHJlIlqYxQQaflve","Benny Goodman","1989-03-28","https://i.scdn.co/image/ab67616d0000b273df5b78cc30f28c52e64be2e9","1","1","181200","https://p.scdn.co/mp3-preview/dd91d6945bf079058396cb362e2061c1baa2b2a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USSM10025513","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:64UcuyRGoQGmNFySzLA3gq","Bedtime For Bix","spotify:artist:530l1HsYHzQuOYFBDUOHHo, spotify:artist:2G8zBVc6eri9jGSoylpXHk","Pearl Django, Lance Buller","spotify:album:7G6wPal3baolAICsInPUC6","New Metropolitan Swing","spotify:artist:530l1HsYHzQuOYFBDUOHHo","Pearl Django","1999","https://i.scdn.co/image/ab67616d0000b2730da8347f47b0c64a9b22aef3","1","14","259426","https://p.scdn.co/mp3-preview/1e17612df99437f2bfa3927f07956be9de871f27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","US3K50610056","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4ydgLmHjppmqQJ6kNPeMjy","Granada","spotify:artist:3H9W9Z5VnWABUUg9f7X7HE","Emilio de Benito","spotify:album:0vAlihPeKjQZ4NMJHHwiXY","Vicky Cristina Barcelona (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-08-12","https://i.scdn.co/image/ab67616d0000b2731353a8d4b2581bda5c5e712c","1","5","111960","https://p.scdn.co/mp3-preview/7d14e78bf20d4f5905f6393219499f57339ac14d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USTE10800101","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:14fOnd3ycVP4OM7K180XM3","En Bleu Marine","spotify:artist:7bAIYB0KGbYXlGbIjyFAcI","Paolo Conte","spotify:album:2LBsNC5KdNi28Gu8MSWE90","Amazing Game - Instrumental Music","spotify:artist:7bAIYB0KGbYXlGbIjyFAcI","Paolo Conte","2016-10-14","https://i.scdn.co/image/ab67616d0000b27338c96bd78e3f670bfb9b568f","1","3","92200","https://p.scdn.co/mp3-preview/c93ec54b3ca6a7b0e025145c6aa14eb2698f5392?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","ITR011600055","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2p46tDRZUM8zbdFtYomA2P","She's a Rainbow","spotify:artist:7yqjI4fVQVV3QD9K2KH5nL, spotify:artist:7cWpe7Y0u5EYEgP1jnH6nT","Jesse O'Mahoney, Theo Golding","spotify:album:54ZWQvMUlb9w2EyaBBtMxJ","Golden Age Radio: Vintage","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-04-13","https://i.scdn.co/image/ab67616d0000b27380bf5ff7871070006aa3080e","1","7","112677","https://p.scdn.co/mp3-preview/3ec7f2a032b1291a771b1f3c0b0af16a0ae5469a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USQY51578303","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2Z6EyJu9q72XuPjgG6ZSIu","No Moon At All - Remastered","spotify:artist:5u7FXbK7whWNTbgeicnbG9","Jonah Jones","spotify:album:7LUrssAM48grNDmYreSiXS","Jumpin' With Jonah","spotify:artist:5u7FXbK7whWNTbgeicnbG9","Jonah Jones","2000-01-01","https://i.scdn.co/image/ab67616d0000b273bc645defefb086153e7977fc","1","1","132626","https://p.scdn.co/mp3-preview/b2bf1b4f9a45bd57d372301d9d84d440863a87b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USCA20000102","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5kapVb34raTBsynt0Zj6qw","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","1","282560","https://p.scdn.co/mp3-preview/428143544d324eec8a8fcb73ae3ab64a984876fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USBB16401013","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5TjO0GOOon3R6YOnRFPwzk","Chicago","spotify:artist:1pBuKaLHJlIlqYxQQaflve","Benny Goodman","spotify:album:1I1E1ZUYFDK0Dn4DK5YmrH","The Best Of Benny Goodman","spotify:artist:1pBuKaLHJlIlqYxQQaflve","Benny Goodman","1997-01-01","https://i.scdn.co/image/ab67616d0000b273786965f18ad7960240020a43","1","8","179840","https://p.scdn.co/mp3-preview/2b620db2608e39833961c968a4c9dc35b1b9b303?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USCA29701307","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7fPHlQGsVtfOyVU3hQnrYU","Flambee Montalbanaise","spotify:artist:530l1HsYHzQuOYFBDUOHHo","Pearl Django","spotify:album:0ElHMJOjrO6zuCF076Eot2","Mystery Pacific","spotify:artist:530l1HsYHzQuOYFBDUOHHo","Pearl Django","1999-01-01","https://i.scdn.co/image/ab67616d0000b2732f7dbbede55842b1fe2ec36d","1","6","192946","https://p.scdn.co/mp3-preview/3e72e4e5b66eeb91c7e1bd21c964ff4ba7746044?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","US3K50610033","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:08T5wMbEnPN8ghT8o24KY6","Bistro Fada","spotify:artist:6YSLrvLUuyNoaL8Wuk6sZm","Stephane Wrembel","spotify:album:6lT35xJDhO7Ao5TOLfKsqZ","Bistro Fada","spotify:artist:6YSLrvLUuyNoaL8Wuk6sZm","Stephane Wrembel","2011-05-13","https://i.scdn.co/image/ab67616d0000b2736c4e1ea26e08b3be90b3c5a4","1","1","182933","https://p.scdn.co/mp3-preview/072ea4db14e8033b1f0c00257f7a5dc2b7382561?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","uscgj1179165","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0ZFortLKtHTKy7YtuJiubt","Fletcher's Song In Club","spotify:artist:2snm3HmsnDUDxbIChdl2Oj","Justin Hurwitz","spotify:album:1rwMhGTCp0D6CN2XKQjyQt","Whiplash (Original Motion Picture Soundtrack)","spotify:artist:2snm3HmsnDUDxbIChdl2Oj","Justin Hurwitz","2014-10-07","https://i.scdn.co/image/ab67616d0000b2736fce4a71d3973d3bbb12e8d7","1","5","89026","https://p.scdn.co/mp3-preview/bb62bb443af200e649f7c2758686a0683c47da08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","US3M51428605","spotify:user:","1970-01-01T00:00:00Z"
