"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5wKbeBGCMTScHh0M1EXd1O","All I Ask of You (Instrumental Version)","spotify:artist:4L50QaK7oyASERguV6DpYj, spotify:artist:22DRgQDjqcZUn59hzkqGZe, spotify:artist:0cylxW7HGdK9xMdubw2oYW","Elevator Music, Music On Hold, The O'Neill Brothers Group","spotify:album:1i1D79nOsW9FHMpfCRwcZY","Perfect Instrumentals for on Hold Music","spotify:artist:4L50QaK7oyASERguV6DpYj, spotify:artist:22DRgQDjqcZUn59hzkqGZe, spotify:artist:0cylxW7HGdK9xMdubw2oYW","Elevator Music, Music On Hold, The O'Neill Brothers Group","2016-05-13","https://i.scdn.co/image/ab67616d0000b273af72131a862e152139c98a34","1","5","284106","https://p.scdn.co/mp3-preview/c4954487f5b287421e47f77f574a178dcf174e8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","TCACO1652598","spotify:user:softbackgroundmusic","2022-06-10T16:56:32Z"
"spotify:track:2a5Pgoaesr9cHWhNvCo3mb","Hallelujah (Instrumental Version)","spotify:artist:4L50QaK7oyASERguV6DpYj, spotify:artist:22DRgQDjqcZUn59hzkqGZe, spotify:artist:0cylxW7HGdK9xMdubw2oYW","Elevator Music, Music On Hold, The O'Neill Brothers Group","spotify:album:1i1D79nOsW9FHMpfCRwcZY","Perfect Instrumentals for on Hold Music","spotify:artist:4L50QaK7oyASERguV6DpYj, spotify:artist:22DRgQDjqcZUn59hzkqGZe, spotify:artist:0cylxW7HGdK9xMdubw2oYW","Elevator Music, Music On Hold, The O'Neill Brothers Group","2016-05-13","https://i.scdn.co/image/ab67616d0000b273af72131a862e152139c98a34","1","6","237333","https://p.scdn.co/mp3-preview/bd5efb31b1f480e63fbc7f745154a318d1803392?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","TCACO1652600","spotify:user:softbackgroundmusic","2022-06-10T16:56:32Z"
"spotify:track:7GX9BivpaKECmIJVwXTw1d","Moon River (Instrumental Version)","spotify:artist:4L50QaK7oyASERguV6DpYj, spotify:artist:22DRgQDjqcZUn59hzkqGZe, spotify:artist:0cylxW7HGdK9xMdubw2oYW","Elevator Music, Music On Hold, The O'Neill Brothers Group","spotify:album:1i1D79nOsW9FHMpfCRwcZY","Perfect Instrumentals for on Hold Music","spotify:artist:4L50QaK7oyASERguV6DpYj, spotify:artist:22DRgQDjqcZUn59hzkqGZe, spotify:artist:0cylxW7HGdK9xMdubw2oYW","Elevator Music, Music On Hold, The O'Neill Brothers Group","2016-05-13","https://i.scdn.co/image/ab67616d0000b273af72131a862e152139c98a34","1","8","215040","https://p.scdn.co/mp3-preview/81e354d3f03b696a89b3d5b612237e5a32a79782?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","TCACO1652603","spotify:user:softbackgroundmusic","2022-06-10T16:56:32Z"
"spotify:track:7djisaW9NJH5n9wDBYgCQC","Liebestraum (Instrumental Version)","spotify:artist:4L50QaK7oyASERguV6DpYj, spotify:artist:22DRgQDjqcZUn59hzkqGZe, spotify:artist:0cylxW7HGdK9xMdubw2oYW","Elevator Music, Music On Hold, The O'Neill Brothers Group","spotify:album:1i1D79nOsW9FHMpfCRwcZY","Perfect Instrumentals for on Hold Music","spotify:artist:4L50QaK7oyASERguV6DpYj, spotify:artist:22DRgQDjqcZUn59hzkqGZe, spotify:artist:0cylxW7HGdK9xMdubw2oYW","Elevator Music, Music On Hold, The O'Neill Brothers Group","2016-05-13","https://i.scdn.co/image/ab67616d0000b273af72131a862e152139c98a34","1","2","285093","https://p.scdn.co/mp3-preview/559d3b1c61b7044c452d9f437928144f1d14cd14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","TCACO1652591","spotify:user:softbackgroundmusic","2022-06-10T16:56:32Z"
"spotify:track:0csePXfaXkd4CEwK7bXDGQ","Shallow (Instrumental Version)","spotify:artist:0cylxW7HGdK9xMdubw2oYW","The O'Neill Brothers Group","spotify:album:0UqscupIndGMHJFIOw9tJ8","Instrumental Versions of New Pop on Piano: Speechless","spotify:artist:0cylxW7HGdK9xMdubw2oYW","The O'Neill Brothers Group","2019-05-21","https://i.scdn.co/image/ab67616d0000b273490081e8d44487c89221a334","1","4","264000","https://p.scdn.co/mp3-preview/b6893d550777ae144d436169e79891e868394608?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","TCAEF1967632","spotify:user:softbackgroundmusic","2022-06-10T16:56:32Z"
"spotify:track:1KRI8LwMhJLPoHc7RtxuH5","Lights Down Low (Instrumental Version)","spotify:artist:0cylxW7HGdK9xMdubw2oYW","The O'Neill Brothers Group","spotify:album:1MEo72Hlawqgya0YlbsAOb","Acoustic Guitar Covers of Pop Hits","spotify:artist:0cylxW7HGdK9xMdubw2oYW","The O'Neill Brothers Group","2018-09-10","https://i.scdn.co/image/ab67616d0000b27309c8835abfd832e5edd6d035","1","1","218900","https://p.scdn.co/mp3-preview/552c60cf248b0f26b890f0c781e90dfa905627c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","TCADU1860346","spotify:user:softbackgroundmusic","2022-06-10T16:56:32Z"
"spotify:track:1XQJWEcPkjmruTvJHgXjXq","Scars to Your Beautiful (Instrumental Version)","spotify:artist:0cylxW7HGdK9xMdubw2oYW","The O'Neill Brothers Group","spotify:album:1MEo72Hlawqgya0YlbsAOb","Acoustic Guitar Covers of Pop Hits","spotify:artist:0cylxW7HGdK9xMdubw2oYW","The O'Neill Brothers Group","2018-09-10","https://i.scdn.co/image/ab67616d0000b27309c8835abfd832e5edd6d035","1","3","219016","https://p.scdn.co/mp3-preview/72d5286800656e28aa891780d4b607e92e50deee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","TCADU1860350","spotify:user:softbackgroundmusic","2022-06-10T16:56:32Z"
"spotify:track:7I9cGTmdpRAaLC4Mmljwjs","Death of a Bachelor (Instrumental Guitar)","spotify:artist:1TRZYAlP0bNz0dZCbWAjsI","Steve Petrunak","spotify:album:11Lk59RBB3GFQySRm02Ath","Death of a Bachelor (Instrumental Guitar)","spotify:artist:1TRZYAlP0bNz0dZCbWAjsI","Steve Petrunak","2021-06-30","https://i.scdn.co/image/ab67616d0000b273d3514187bf90700339cd3c67","1","1","200573","https://p.scdn.co/mp3-preview/96b449ffdc9850ee368a3e6895040a35dca37b83?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","TCAFQ2110390","spotify:user:softbackgroundmusic","2022-06-10T16:56:32Z"
"spotify:track:6KpicbkHWEeYFbVhjf0VIt","You Say (Instrumental Version)","spotify:artist:1TRZYAlP0bNz0dZCbWAjsI","Steve Petrunak","spotify:album:3GdJTpJxFyCEvOuuygzJGz","Most Popular Songs of Today: Instrumental Guitar","spotify:artist:1TRZYAlP0bNz0dZCbWAjsI","Steve Petrunak","2019-06-26","https://i.scdn.co/image/ab67616d0000b27381cbc47226532472744ac796","1","13","269254","https://p.scdn.co/mp3-preview/e1fd6171e4e87bb630edc37badc0cd766585aec5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","TCAEH1912508","spotify:user:softbackgroundmusic","2022-06-10T16:56:32Z"
"spotify:track:4AOzlzurXcIJc6dfk2r6mf","Fireflies - Acoustic Instrumental","spotify:artist:2lBxgKTiYd4kpfnAnFyI1P","Guus Dielissen","spotify:album:3QIQXD2qMFfmRR2fu7A5LT","Acoustic Guitar Covers, Vol. 4","spotify:artist:2lBxgKTiYd4kpfnAnFyI1P","Guus Dielissen","2021-08-13","https://i.scdn.co/image/ab67616d0000b273ec0930f3634ede241fd304ce","1","1","218403","https://p.scdn.co/mp3-preview/1e0378cb068f04cf16cce8f9ba76163c1e2e0287?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QZK6J2111119","spotify:user:softbackgroundmusic","2022-06-21T13:42:10Z"
"spotify:track:4lE2O3p94iK56qfDCIMSPZ","My Church (Instrumental Version)","spotify:artist:1TRZYAlP0bNz0dZCbWAjsI","Steve Petrunak","spotify:album:3GdJTpJxFyCEvOuuygzJGz","Most Popular Songs of Today: Instrumental Guitar","spotify:artist:1TRZYAlP0bNz0dZCbWAjsI","Steve Petrunak","2019-06-26","https://i.scdn.co/image/ab67616d0000b27381cbc47226532472744ac796","1","15","194560","https://p.scdn.co/mp3-preview/d971d3aabec736183cac90d7901c9121d279cb1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","TCAEH1912514","spotify:user:softbackgroundmusic","2022-06-10T16:56:32Z"
