"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:69O3FLsnM3zi5czOZGL70B","Spaceman","spotify:artist:3RTzAwFprBqiskp550eSJX","Harry Nilsson","spotify:album:522ynXVXJEFsiozNTy6rbt","Son Of Schmilsson","spotify:artist:3RTzAwFprBqiskp550eSJX","Harry Nilsson","1972-07-10","https://i.scdn.co/image/ab67616d0000b273f7e352f8a673be659ffe300a","1","6","214173","https://p.scdn.co/mp3-preview/43fd4948a23152fb723ee574e023462cedc04c08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USRC10600100","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3Xd39NB1rifow2RDNVgSFp","Sunshine (Go Away Today)","spotify:artist:7gyVuJLsatWofXCAw1SGxM","Jonathan Edwards","spotify:album:6v7ceaQydkdy8oQbZ8oYW0","Jonathan Edwards","spotify:artist:7gyVuJLsatWofXCAw1SGxM","Jonathan Edwards","1971","https://i.scdn.co/image/ab67616d0000b273abf1d297fa7f1f15c5b2df1d","1","7","138733","https://p.scdn.co/mp3-preview/b6abc6231311573f8f244133353b77fe68bc8559?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USEW20100301","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2r5seNRSheLITyH4cevy2O","Let The Sunshine In (Reprise) - Remastered 2000","spotify:artist:1UUYAQ9LiRsZF0ZukQNWXM","The 5th Dimension","spotify:album:1kVipwgtVNAaHM7Py341Ch","The Age Of Aquarius","spotify:artist:1UUYAQ9LiRsZF0ZukQNWXM","The 5th Dimension","1969","https://i.scdn.co/image/ab67616d0000b273ea38fd37178bbcb6d57269f3","1","12","87800","https://p.scdn.co/mp3-preview/95e031dd86f2220445b6a92f397a1ea94273e0bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USAR10001758","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7kv7zBjMtVf0eIJle2VZxn","Southern Nights","spotify:artist:59hLmB5DrdihCYtNeFeW1U","Glen Campbell","spotify:album:0R7Uw1tUUbWlV53BGKfjQ4","Southern Nights","spotify:artist:59hLmB5DrdihCYtNeFeW1U","Glen Campbell","1977-01-01","https://i.scdn.co/image/ab67616d0000b273461762c15f05e141fe6f3097","1","1","180026","https://p.scdn.co/mp3-preview/2243c874eb6bdbef186bf09720e2222ac52517d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USCN17600069","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5uRkew0DtfAQmv0oEYNwFF","I Saw the Light - 2015 Remaster","spotify:artist:0Lpr5wXzWLtDWm1SjNbpPb","Todd Rundgren","spotify:album:3zNPrWuTPDQeqdj2Y8UjO1","Something / Anything?","spotify:artist:0Lpr5wXzWLtDWm1SjNbpPb","Todd Rundgren","1972","https://i.scdn.co/image/ab67616d0000b273572add334f45441a292ed9fb","1","1","180280","https://p.scdn.co/mp3-preview/46ff8a21cee5da9edafb92a951809db169cd322f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USRH11509516","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6RJK553YhstRzyKA4mug09","The Letter","spotify:artist:3KGQvnOoqUHi3KxKQMZtXr","The Box Tops","spotify:album:08mPxuP35Db56jUUgRvGFs","The Letter/Neon Rainbow","spotify:artist:3KGQvnOoqUHi3KxKQMZtXr","The Box Tops","1967","https://i.scdn.co/image/ab67616d0000b2735f4604aff952dc7b0a8e511e","1","1","112800","https://p.scdn.co/mp3-preview/1d716413c65342f7119c1c488311c34bf4f45251?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USAR17200009","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6sMvUUXZSh4Ii3N0cFB6Zd","Smokies","spotify:artist:4FC6XIiULAVlbmfrrPXsZy","Barefoot Jerry","spotify:album:69OytdILaMW8zJVK5KXAXV","Southern Delight/Barefoot Jerry","spotify:artist:4FC6XIiULAVlbmfrrPXsZy","Barefoot Jerry","2010-03-29","https://i.scdn.co/image/ab67616d0000b273facd3e1aee8183f9dccaccae","1","3","136266","https://p.scdn.co/mp3-preview/0e559584682c6eb9e5f95af3335c5052312e60c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","uscgj1005094","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:24hTWZvRrl74dwKPzqVNYf","Bring a Little Lovin'","spotify:artist:7ewJCECkpkh56w0Y4VWzSY","Los Bravos","spotify:album:43XMUfnp2QBpiTzB433EQI","Dame un Poco de Amor","spotify:artist:7ewJCECkpkh56w0Y4VWzSY","Los Bravos","1968","https://i.scdn.co/image/ab67616d0000b2734d8f84343dafe189e0c52ae5","1","6","141426","https://p.scdn.co/mp3-preview/5d8d3cacd4a20288daacc0d4350d3bc5ceb6c762?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","ES5020100306","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6scUEism6pBnY0IXYr8fw3","The Swimming Song","spotify:artist:3loACRmkzdtOMNJEaB6j8L","Loudon Wainwright III","spotify:album:1AG8ibJ2nQF7iEMpu84LSM","Attempted Mustache","spotify:artist:3loACRmkzdtOMNJEaB6j8L","Loudon Wainwright III","1973","https://i.scdn.co/image/ab67616d0000b2732748826b8d9975e0f5823d5d","1","1","147466","https://p.scdn.co/mp3-preview/4a59c694892d14260d69bef03f45eab1543aafeb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USSM17300491","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3c8JemHol1XwFFruXQxjCO","Everybody's Talkin'","spotify:artist:3RTzAwFprBqiskp550eSJX","Harry Nilsson","spotify:album:4si97m2YFhhUxllFaZxbST","Midnight Cowboy","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1985-01-01","https://i.scdn.co/image/ab67616d0000b2730e5ac4baebfb187adfc1c43d","1","1","152226","https://p.scdn.co/mp3-preview/66d5422e8a04f35f4eebbf6528f1279f5f34fc86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USEM36900044","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3Vby4nGmtbDo7HDJamOWkT","Stuck In The Middle With You","spotify:artist:7bPU7cvfoD20ixGD9Qnqki","Stealers Wheel","spotify:album:5ApN9lqru1t3Xh1IaEGTll","Stealers Wheel","spotify:artist:7bPU7cvfoD20ixGD9Qnqki","Stealers Wheel","1972-01-01","https://i.scdn.co/image/ab67616d0000b273a5ce236c22035a02cf87d4de","1","2","208946","https://p.scdn.co/mp3-preview/b6aec4b728d43e96744a903152d6c6305db4ec67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBAAM7200002","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4wBi9ogKThsbFUvVJxjhK2","Chicago","spotify:artist:2E6Roj0oQnJIm2BeXwDica","Graham Nash","spotify:album:3Lh1KbeS801PtOeojquUPk","Songs For Beginners","spotify:artist:2E6Roj0oQnJIm2BeXwDica","Graham Nash","1971","https://i.scdn.co/image/ab67616d0000b2733f986eddf721780bc3dd95d7","1","10","171440","https://p.scdn.co/mp3-preview/14c439f49982ab57adcbe2806053304990494c2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USAT20000364","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:560OsnDa7tpsK2B0krVlOP","This Will Be Our Year","spotify:artist:2jgPkn6LuUazBoBk6vvjh5","The Zombies","spotify:album:6XqM4NINcx3oc7NhOUKxXp","Odessey and Oracle","spotify:artist:2jgPkn6LuUazBoBk6vvjh5","The Zombies","1968","https://i.scdn.co/image/ab67616d0000b2738b9b76a1f9a06cebe9c81b3c","1","9","127733","https://p.scdn.co/mp3-preview/bb02eecbbdea527256d0277e52d04f7b61a1e48c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBCBS6732267","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5coTcHT7K8O3G97y9T4LOU","Lonely People","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","spotify:album:4jOItHaJyNyXJxz8toGytx","Holiday","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","1974","https://i.scdn.co/image/ab67616d0000b273b413611fad88fc58ba8be137","1","4","150226","https://p.scdn.co/mp3-preview/3524008cbfa85d6d080b876ba9671a4a3a3fae71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USWB19901800","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:32ssNweOtmacNBEC2kHzA8","Never My Love - Remastered Version","spotify:artist:2kuNswDC82PL9xRbfaZJaS","The Association","spotify:album:1VsmbYW4XCdWje8ii0Yuta","Insight Out","spotify:artist:2kuNswDC82PL9xRbfaZJaS","The Association","1967","https://i.scdn.co/image/ab67616d0000b273ca641c0426924cbf33160c3c","1","7","187693","https://p.scdn.co/mp3-preview/9ad8502f58f39cf3fff9a94f57f70da6b3a02e62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USWB10300948","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:30V02AmDYMRvrHE4L8cZAo","Play With Fire - Mono Version","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:2Q5MwpTmtjscaS34mJFXQQ","Out Of Our Heads","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","1965-07-30","https://i.scdn.co/image/ab67616d0000b27305c5be85b64eaff732f7cb0b","1","10","133320","https://p.scdn.co/mp3-preview/409cc8ed2268061b89eb9c57754e59be3da00dfb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USA176510190","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Wrc3Jz4POj0ibPj5iuq0r","Just Dropped In (To See What Condition My Condition Was In)","spotify:artist:5XDSGEZV9xG35PRLJ0O3hx","The First Edition","spotify:album:6LZ7MMxdYNUA56kBnqQ6h6","The First Edition","spotify:artist:5XDSGEZV9xG35PRLJ0O3hx","The First Edition","1967-01-01","https://i.scdn.co/image/ab67616d0000b27391a87b5bd84eecfd0eddb1ed","1","2","201213","https://p.scdn.co/mp3-preview/816fc2b45256192d5173359442f19efb4ea02e19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USMC16850396","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2dq2J24oIF67Uvttut4dv7","Treat Her Right","spotify:artist:30rTY7YT6tAoAUoGJXQBqQ","Roy Head And The Traits","spotify:album:1pY5yYIU9DNm9GTFhCyMTt","The Best Of Roy Head","spotify:artist:5wKpYtFnMb1OgGxuJsmrPY","Roy Head","2009-01-01","https://i.scdn.co/image/ab67616d0000b2734e2fff1bdd18e7e7fc6e8a3e","1","1","125893","https://p.scdn.co/mp3-preview/5e600939fccf94af2bc03c1897920ec642f4a0a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USMC16519931","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4rG7GtTipquzXDBHUcJQw1","Cumberland Gap","spotify:artist:01XgbvLicKQELx7NqHgi5G","David Rawlings","spotify:album:2yohVBNjsgx36AC03RGyxM","Poor David's Almanack","spotify:artist:01XgbvLicKQELx7NqHgi5G","David Rawlings","2017-08-11","https://i.scdn.co/image/ab67616d0000b27339a2438719a044797db65eec","1","3","175973","https://p.scdn.co/mp3-preview/cc498422943c2c94a1b5d993b4005f9f06bb254f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","US2AR1771303","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2gjT2xEPhum7Ro6gETJJvM","Free Me","spotify:artist:1I41xgLiwTZvdFsOSgGMvs","Paul Jones","spotify:album:0wz8ehfNVnrZehhkQMVXqb","My Way (Rarities)","spotify:artist:1I41xgLiwTZvdFsOSgGMvs","Paul Jones","2017-03-24","https://i.scdn.co/image/ab67616d0000b2737b3cf87f4e885d25a4f2a3b6","1","2","167933","https://p.scdn.co/mp3-preview/4ae46a2d79e8a41eb292ca508ac9fc6cc4036948?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBCDM1710013","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7gtrXOGETM9OkerNjNXeie","Waiting Around to Die","spotify:artist:3ZWab2LEVkNKiBPIClTwof","Townes Van Zandt","spotify:album:6KFVwdp9yZczVIVv4glWue","Townes Van Zandt","spotify:artist:3ZWab2LEVkNKiBPIClTwof","Townes Van Zandt","1969-09","https://i.scdn.co/image/ab67616d0000b2733c883be3287c02f857e91c06","1","3","165186","https://p.scdn.co/mp3-preview/7e200d406da9debd2a024f90662245e40e63c2e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USFP70708303","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0iOZM63lendWRTTeKhZBSC","Mrs. Robinson - From ""The Graduate"" Soundtrack","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:3bzgbgiytguTDnwzflAZr2","Bookends","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","1968-04-03","https://i.scdn.co/image/ab67616d0000b273d8fb5b4308dc27f210064ef4","1","10","244026","https://p.scdn.co/mp3-preview/3d71ed8e956bc66f0287158f69262f57692a9deb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM16800379","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:67oyFnjJnn78fZP9KjeZx0","Goodbye Stranger - 2010 Remastered","spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx","Supertramp","spotify:album:1zcm3UvHNHpseYOUfd0pna","Breakfast In America (Deluxe Edition)","spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx","Supertramp","1979-03-29","https://i.scdn.co/image/ab67616d0000b2735405ef9e393f5f1e53b4b42e","1","3","350573","https://p.scdn.co/mp3-preview/d3b0acc304ac08b32a9bcaf0623b1fc7203573fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USUM71021482","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1qTfHUVPsZTnrmvwQrAQdW","Crimson & Clover - Single Version; Mono","spotify:artist:01hRNr3yF5bYnPq4wZ88iI","Tommy James & The Shondells","spotify:album:7D5t5lcmEzFyZcr8a1avmL","Crimson & Clover / Some Kind of Love","spotify:artist:01hRNr3yF5bYnPq4wZ88iI","Tommy James & The Shondells","1969","https://i.scdn.co/image/ab67616d0000b273f48f93ba03722e50ca276263","1","1","208666","https://p.scdn.co/mp3-preview/6e95142e10c7e4d3572361dabfa2a94c9868ebeb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USRH10903230","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1udKn1oNKYQSQ9OmiIWCMu","Do You Believe in Magic?","spotify:artist:7CCn4PFRRRZF127jtCBAUe","The Lovin' Spoonful","spotify:album:5bx2ZHa0KUDMD5T0r9V030","Do you Believe In Magic","spotify:artist:7CCn4PFRRRZF127jtCBAUe","The Lovin' Spoonful","1965-11","https://i.scdn.co/image/ab67616d0000b2730b6b12fd915f73fce8082de3","1","1","125826","https://p.scdn.co/mp3-preview/a53199488d1a3cd1fa6de55c5e42bf9f27716897?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USBR16600004","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:443sErTxKXGiISwjsEBA9u","This Eve of Parting","spotify:artist:0NAr5zThPfMx26ISgooQK6","John Hartford","spotify:album:1TVD6SClfjSXVc88vF1aGM","The Love Album","spotify:artist:0NAr5zThPfMx26ISgooQK6","John Hartford","1968","https://i.scdn.co/image/ab67616d0000b27325bf2f7a61952846bd68b35b","1","5","152666","https://p.scdn.co/mp3-preview/1bf1e949a66527e35ca738cb14214d7136ea9b8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USRN10100443","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5n75DZ9SzhWasHetj08JKy","Little Bit of Rain","spotify:artist:3xmUdkZUQbtMM62XP4nnb6","Fred Neil","spotify:album:0udQYUvwWS8PC6XGaVAMi0","Bleecker And McDougal (US Release)","spotify:artist:3xmUdkZUQbtMM62XP4nnb6","Fred Neil","1965","https://i.scdn.co/image/ab67616d0000b2737d4d4dad863a6dedb812f8ca","1","4","143160","https://p.scdn.co/mp3-preview/7263d681a6ce96b713b48c829d282defd1aa022a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USEE10182353","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:16GUMo6u3D2qo9a19AkYct","Movin' Out (Anthony's Song)","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:1Mhn9VosyjtWn4dMPFlna6","The Stranger (Legacy Edition)","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","1977","https://i.scdn.co/image/ab67616d0000b2736ce61113662ecf693b605ee5","1","1","210760","https://p.scdn.co/mp3-preview/b63305e74da15eb30871e8585e1343987e2ff0d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM17700369","spotify:user:","1970-01-01T00:00:00Z"
