"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4Keh41jYFaVPP5C82DxmTG","Fleurette Africaine (African Flower) - Remastered","spotify:artist:4F7Q5NV6h5TSwCainz8S5A","Duke Ellington","spotify:album:5I3aoewqDpP4TglIl9O7su","Money Jungle","spotify:artist:4F7Q5NV6h5TSwCainz8S5A","Duke Ellington","2002-01-01","https://i.scdn.co/image/ab67616d0000b27341d5fea33ccb77ef523e86fc","1","2","216333","https://p.scdn.co/mp3-preview/a7a4f531c14bb81fd716cd8a403094a141ea5ee6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USBN20200154","spotify:user:susanhchoi","2015-12-22T03:34:56Z"
"spotify:track:7L1Hx9cepxbmTg2hJTgBuz","Just Squeeze Me","spotify:artist:71Ur25Abq58vksqJINpGdx","Miles Davis Quintet","spotify:album:16tp27Rkux65G8xHoSGxtU","The New Miles Davis Quintet","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1956-04","https://i.scdn.co/image/ab67616d0000b27359376a9a87fd74b5baa2a859","1","1","446733","","false","0","USFI85600048","spotify:user:susanhchoi","2015-12-22T03:55:12Z"
"spotify:track:3tdMdPN9NA04KjyrR8jiJ1","Lands End","spotify:artist:1HJHwWck1EY096ea2iPAHO, spotify:artist:6ynifrh6ZrWXHAywnUlNV3","Clifford Brown, Max Roach Quintet","spotify:album:2BpAy5GfHM0An9M0TOprBq","Study In Brown","spotify:artist:1HJHwWck1EY096ea2iPAHO, spotify:artist:6jrlNnS5B830kpi40j3S6g","Clifford Brown, Max Roach","1989-06-20","https://i.scdn.co/image/ab67616d0000b273c05eaee56c42df879931dd3e","1","4","297866","","false","0","USWWW0200691","spotify:user:susanhchoi","2015-12-22T03:47:39Z"
"spotify:track:3FXZ7WtCRpqEpnZCaHOhTY","Out Of The Blue","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4, spotify:artist:1VEzN9lxvG6KPR3QQGsebR","Miles Davis, Sonny Rollins","spotify:album:1WM4FY3k9QFGTX3wI0lo6z","Dig (Remastered)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1956","https://i.scdn.co/image/ab67616d0000b273607dfaf4ce3c124f675f22c9","1","5","376200","","false","0","USFI85200009","spotify:user:susanhchoi","2015-12-22T13:51:23Z"
"spotify:track:70Wstrh5lQW5f7nmL7t4jW","Confirmation","spotify:artist:5GBe2GMfPm3IFagD5XuKKs","Charlie Parker Quartet","spotify:album:2NjT6LHz08PG1frRnOqcXn","The Essential Charlie Parker","spotify:artist:4Ww5mwS7BWYjoZTUIrMHfC","Charlie Parker","1992-01-01","https://i.scdn.co/image/ab67616d0000b273f9fabd096e5c2f078340016e","1","6","181200","","false","0","USPR35300011","spotify:user:susanhchoi","2015-12-22T03:43:05Z"
"spotify:track:2xQLaX3QWBs2c3kQ04WYSz","Bouncin' With Bud - Rudy Van Gelder Edition / Remastered 1998","spotify:artist:570vCzcespB48HIQyTbDO6","Bud Powell","spotify:album:4JZpydaQoCZY03mYcPgsaS","The Amazing Bud Powell: Vol. 1 (The Rudy Van Gelder Edition)","spotify:artist:570vCzcespB48HIQyTbDO6","Bud Powell","2001-01-01","https://i.scdn.co/image/ab67616d0000b273dec3273dd0dee206b2b304bc","1","1","184533","https://p.scdn.co/mp3-preview/a984b30e37c40f39097888b2746dce244be430c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USBN29800305","spotify:user:susanhchoi","2015-12-22T03:36:05Z"
"spotify:track:2EWWskAu8DsHaAkaFJegEt","I'll Remember April - Instrumental","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","spotify:album:5b3phfGxBRseZcAXlnA0Is","Chet In Paris Vol 2","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","1988-01-01","https://i.scdn.co/image/ab67616d0000b27303c9dca20c944d5754859790","1","8","351666","","false","0","FRZ015500560","spotify:user:susanhchoi","2015-12-23T17:32:02Z"
"spotify:track:312sPUr4rRnn47MXno3DJx","Au Privave - Take 2","spotify:artist:0EgftqHXtk840HVLdydk5V","Charlie Parker Quintet","spotify:album:1AYBoAV0uVBwCAtuQRPGGO","Swedish Schnapps + The Great Quintet Sessions 1949-51 Vol. 5","spotify:artist:0EgftqHXtk840HVLdydk5V","Charlie Parker Quintet","1991-01-01","https://i.scdn.co/image/ab67616d0000b27361c8b457a1a6cb6e719b97b5","1","8","158200","","false","0","USGR10200476","spotify:user:susanhchoi","2015-12-22T17:00:09Z"
"spotify:track:3X3p3u03P8eFL8WTH0oaaU","Fair Weather - Remastered","spotify:artist:4L9xEztn5PKQIO5WnI5W3u","Art Farmer","spotify:album:35GC6fz2v6ZoXcVlKf6BA6","Modern Art","spotify:artist:4L9xEztn5PKQIO5WnI5W3u","Art Farmer","1958","https://i.scdn.co/image/ab67616d0000b273700593085bffa82c66a4be3f","1","2","344066","https://p.scdn.co/mp3-preview/bbc27e93e486d45d8e83ed19d2ace291f4aa8c7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USBN29100147","spotify:user:susanhchoi","2015-12-23T17:23:24Z"
"spotify:track:4PxsIgoUrpyiIG4Lkfjd5M","April In Paris - Live At The Blackhawk","spotify:artist:0BqALs1lInR9TTOulUADH7","Ahmad Jamal Trio","spotify:album:2wJLgwyZcyIrPRrjQE2Dfy","Cross Country Tour: 1958-1961","spotify:artist:0BqALs1lInR9TTOulUADH7","Ahmad Jamal Trio","1998-01-01","https://i.scdn.co/image/ab67616d0000b273f6f7e82ed081a0cc8640f30d","2","12","249000","","false","0","USMC16111749","spotify:user:susanhchoi","2015-12-23T17:31:32Z"
"spotify:track:2dC71mbRBTewkyeHTXPzGz","Lady Bird (Live) - Live At Cafe Bohemia, NY/1955 / Rudy Van Gelder Edition/2001","spotify:artist:6ykfXAed2KOLOMI3R0TZdz","Art Blakey & The Jazz Messengers","spotify:album:6aUQ6zb8XRvxfoa2Zhx8yj","At The Cafe Bohemia (Vol. 1/The Rudy Van Gelder Edition)","spotify:artist:6ykfXAed2KOLOMI3R0TZdz","Art Blakey & The Jazz Messengers","2001-01-01","https://i.scdn.co/image/ab67616d0000b273e80e683dc5b6d510090fbada","1","7","450360","https://p.scdn.co/mp3-preview/379a32db6599ffc6e5a5ba2f1f2fcd9e32f13883?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USBN20100399","spotify:user:susanhchoi","2015-12-22T13:59:26Z"
"spotify:track:3hC0YDVQICezAWyMjzaQSK","Boplicity - 2000 Digital Remaster","spotify:artist:6OrjG6ogIrMK33VqWKDF30","Miles Davis' Nonet","spotify:album:3wG8DcAJVgr7sbWNvKanzS","Birth Of The Cool (Rudy Van Gelder Edition)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1957","https://i.scdn.co/image/ab67616d0000b273e2a82765cfc873ccfc4e27a8","1","8","182560","","false","0","USCA20000985","spotify:user:susanhchoi","2015-12-22T13:53:20Z"
"spotify:track:3d1hz2pz9trHIw1gAcjL18","Meandering","spotify:artist:4Ww5mwS7BWYjoZTUIrMHfC","Charlie Parker","spotify:album:6e54inFU6cz98TeTDiUSqa","The Complete Savoy & Dial Master Takes","spotify:artist:4Ww5mwS7BWYjoZTUIrMHfC","Charlie Parker","2002","https://i.scdn.co/image/ab67616d0000b273e5313a1ecd9fccb4e81ec362","1","9","196493","","false","0","USSJ10000736","spotify:user:susanhchoi","2015-12-22T04:13:19Z"
"spotify:track:3Cx9inYYVQw4VEUrwKgPuX","How Deep Is The Ocean","spotify:artist:3VEG6gxFIMfl4Cdog26avS","Bill Evans Trio","spotify:album:3PGsNODk3bl8GYvAtgbBBw","Explorations [Original Jazz Classics Remasters]","spotify:artist:3VEG6gxFIMfl4Cdog26avS","Bill Evans Trio","1961","https://i.scdn.co/image/ab67616d0000b273c9c0b0eb630bc09ac89ad51d","1","6","213720","https://p.scdn.co/mp3-preview/1725f1cd9b057f1608fec3c36650eac0c6342c35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USC4R1116927","spotify:user:susanhchoi","2015-12-22T04:34:58Z"
"spotify:track:3dUML7ng4ScVmf3jqpaWsb","In Your Own Sweet Way - Rudy Van Gelder Remaster","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","spotify:album:7ala9fiogyYeZkXLvTZO9r","Collectors' Items (RVG Remaster)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1956","https://i.scdn.co/image/ab67616d0000b273741199422df8722098b2deb9","1","7","277066","https://p.scdn.co/mp3-preview/e3704eccde5f9cd7caf314ac260e9ccba0005faf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USC4R0818797","spotify:user:susanhchoi","2015-12-22T13:52:00Z"
"spotify:track:1l5FjyFdQaJlo2ZW7uT6xx","Poinciana","spotify:artist:6gc6oo3u2f7SqTd4mhe81O","Ahmad Jamal","spotify:album:7nJWOHYnniRNaMu8Cxz7jN","At The Pershing-But Not For Me","spotify:artist:6gc6oo3u2f7SqTd4mhe81O","Ahmad Jamal","1958-05-23","https://i.scdn.co/image/ab67616d0000b27340cd8e6cf0afdac322c2fdbe","1","6","487201","","false","0","USMC15846772","spotify:user:susanhchoi","2015-12-22T03:45:40Z"
"spotify:track:34awem0NGNdHpLkTt3t1vI","All Or Nothing At All","spotify:artist:67PZTxaHKMZBFRUh8wIzCy","John Coltrane Quartet","spotify:album:0Ydakb7npXmyTwFLvKc5qt","Ballads (Deluxe Edition - Rudy Van Gelder Remaster)","spotify:artist:67PZTxaHKMZBFRUh8wIzCy","John Coltrane Quartet","1963","https://i.scdn.co/image/ab67616d0000b273a3d4884d3433efed2c4a0563","1","4","215040","https://p.scdn.co/mp3-preview/277ec0ee2f66698533e39ce39202759190a57865?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USMC16253798","spotify:user:susanhchoi","2015-12-22T14:05:41Z"
"spotify:track:53Mm5D9o995WYVvukayBjr","I Could Have Danced All Night","spotify:artist:0tIODqvzGUoEaK26rK4pvX","Sun Ra","spotify:album:6nDrZysLu9jZdRntZhGUym","Sound Sun Pleasure","spotify:artist:0tIODqvzGUoEaK26rK4pvX","Sun Ra","1959","https://i.scdn.co/image/ab67616d0000b273333e11b7e1bbc15e5446a535","1","6","189420","","false","0","USCXG1400146","spotify:user:susanhchoi","2015-12-22T03:46:55Z"
