"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2oTDOIAdsxPTE7yAp4YOcv","Jump Around","spotify:artist:0AuW7OCyKfFrsMbtHrYgIV","House Of Pain","spotify:album:6aQe8pwmbv89DodASvyuSq","House Of Pain","spotify:artist:0AuW7OCyKfFrsMbtHrYgIV","House Of Pain","1992","https://i.scdn.co/image/ab67616d0000b273348ca7b868944b4b35bf485d","1","2","214946","","false","0","USTB10300119","spotify:user:21ghk56vxizyw3yzxy74bn3eq","2017-06-16T15:49:08Z"
"spotify:track:0nyrltZrQGAJMBZc1bYvuQ","Get Up Offa That Thing","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","spotify:album:6MjOv3BeIjmht2ymtRih3s","20 All-Time Greatest Hits!","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","1991","https://i.scdn.co/image/ab67616d0000b27312b16cbb525e11bcbfd50d82","1","19","250200","","false","0","USF067625010","spotify:user:21ghk56vxizyw3yzxy74bn3eq","2017-06-16T15:49:40Z"
"spotify:track:27AHAtAirQapVldIm4c9ZX","Jump","spotify:artist:2zrZfs23sjuHDv4E6YRmNf","Kris Kross","spotify:album:5bGumbB29JBPlv4ECVURka","Totally Krossed Out","spotify:artist:2zrZfs23sjuHDv4E6YRmNf","Kris Kross","1992-03-17","https://i.scdn.co/image/ab67616d0000b2731ffe5d4aa25c7bd1b1fc4847","1","2","195106","https://p.scdn.co/mp3-preview/21523a78ff9b230e3c248b8b00ca536abb5a5ed9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM19200533","spotify:user:21ghk56vxizyw3yzxy74bn3eq","2017-06-16T15:52:37Z"
"spotify:track:4vuJuTLFomqItDrn482nzV","Move","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","spotify:album:43URJ507cdoIRy3GJdfxjs","saintmotelevision","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","2016-10-21","https://i.scdn.co/image/ab67616d0000b27325dd1a3969c0912291b6fc7b","1","1","187893","https://p.scdn.co/mp3-preview/e0e762d27a92ba1d3158833d5a943ae22d79dd60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USAT21601952","spotify:user:21ghk56vxizyw3yzxy74bn3eq","2017-06-19T06:05:21Z"
"spotify:track:5G0vAvojJAb8np3INdsISs","Come Out and Play","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","spotify:album:1o2LY3O2uyPvdwq7uTpgOa","Smash [Remastered]","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","1994-04-08","https://i.scdn.co/image/ab67616d0000b2736e30efe058cc7a7cfe8bc9b0","1","7","197800","","false","0","USEP40710207","spotify:user:21ghk56vxizyw3yzxy74bn3eq","2017-06-23T22:45:04Z"
"spotify:track:0E1MfZDJRLMFhebTjDGKN0","Extreme Ways (Jason Bourne)","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","spotify:album:0uLTW8dxA0zvgg041Sq1WO","Extreme Ways (Jason Bourne)","spotify:artist:3OsRAKCvk37zwYcnzRf5XF","Moby","2016-07-22","https://i.scdn.co/image/ab67616d0000b27323a2aee8ffd345172df917b3","1","1","297560","","false","0","GB3AD1600050","spotify:user:21ghk56vxizyw3yzxy74bn3eq","2017-07-14T14:44:45Z"
"spotify:track:1B75hgRqe7A4fwee3g3Wmu","U Can't Touch This","spotify:artist:2rblp9fJo16ZPTcKDtlmKW","MC Hammer","spotify:album:4r1WecJyt5FOhglysp9zhN","Please Hammer Don't Hurt 'Em","spotify:artist:2rblp9fJo16ZPTcKDtlmKW","MC Hammer","1990-02-20","https://i.scdn.co/image/ab67616d0000b273f5e5babccf665ef8c912b190","1","2","257360","https://p.scdn.co/mp3-preview/7abefa3ca8c174f4d20b563c0ff8461711349539?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USCA29000294","spotify:user:21ghk56vxizyw3yzxy74bn3eq","2017-12-07T16:49:28Z"
"spotify:track:2xF0GzAiDMEugLYqLZFWLr","Push It","spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ","Salt-N-Pepa","spotify:album:5dDxTFSOhUp6Y7PtlcflVZ","Hot, Cool & Vicious","spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ","Salt-N-Pepa","1986-12-08","https://i.scdn.co/image/ab67616d0000b273b7f02a720d3e76036440820b","1","1","272133","","false","0","USIR20180482","spotify:user:21ghk56vxizyw3yzxy74bn3eq","2017-12-07T16:49:32Z"
"spotify:track:2Y8i6ntDzXIhCO4UJPl5Qv","Superstition - Single Version","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:7fjiLZzAXNUXUazn89VBMc","The Definitive Collection","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","2002","https://i.scdn.co/image/ab67616d0000b27362ca35eb62bb4a3743b2b405","1","9","245493","","false","0","USMO10000310","spotify:user:21ghk56vxizyw3yzxy74bn3eq","2017-12-07T16:49:33Z"
"spotify:track:08mG3Y1vljYA6bvDt4Wqkj","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:6mUdeDZCsExyJLMdAfDuwh","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1980-07-25","https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae","1","6","255493","https://p.scdn.co/mp3-preview/41f8586f16bc642b45122e52041143789a8e00c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","AUAP08000046","spotify:user:21ghk56vxizyw3yzxy74bn3eq","2017-12-07T16:49:52Z"
