"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2o913EGUFcJT9mON171x4j","My Blue Heaven","spotify:artist:7AWGEBFLCdSRMCbe7TeCJG","Dustin Hanusch","spotify:album:7lbMtBYwL8Lbb0Vvud4Tqg","My Blue Heaven","spotify:artist:7AWGEBFLCdSRMCbe7TeCJG","Dustin Hanusch","2021-08-06","https://i.scdn.co/image/ab67616d0000b273a2f1195612ce63e4801c0bbb","1","1","143595","https://p.scdn.co/mp3-preview/58addf346dc58c86c1d29dd723b9306de75a891c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","QZK6L2138757","spotify:user:aycaderenozkan","2021-08-11T07:36:27Z"
"spotify:track:0lCYkzwtt3UtU5GQ3VWZOi","Tempo For Two","spotify:artist:4deqeDqrpm99qDUjgT6VXF","Ahmad Jamal Quintet","spotify:album:1Fj3jsTJnBjh3CTGuyNKh9","Listen To The Ahmad Jamal Quintet","spotify:artist:4deqeDqrpm99qDUjgT6VXF","Ahmad Jamal Quintet","1961-10-22","https://i.scdn.co/image/ab67616d0000b273440a3561263b24c2cecd847b","1","4","207786","","false","0","USMC16010366","spotify:user:aycaderenozkan","2018-01-16T15:21:26Z"
"spotify:track:5dIvbV5t3zSKYp1W1kr77v","Volare","spotify:artist:0ldU0QJm31y0d6f57R1G2A","Oscar Peterson Trio","spotify:album:3gPOWmWT0q7Ygp95Xiuw1v","Night Train (Expanded Edition)","spotify:artist:0ldU0QJm31y0d6f57R1G2A","Oscar Peterson Trio","1963-01-01","https://i.scdn.co/image/ab67616d0000b273947b5cc535d76394a2d98e37","1","13","166440","https://p.scdn.co/mp3-preview/5d18a9a6cb38553549272509e8bb12ef17570c38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USPR36260044","spotify:user:aycaderenozkan","2018-01-16T15:28:01Z"
"spotify:track:2tsyleeekAWA285QjfVg7L","Stella By Starlight - Live At The Alhambra","spotify:artist:0BqALs1lInR9TTOulUADH7","Ahmad Jamal Trio","spotify:album:4M1keKpiWiVMpfRyn94zZo","The Complete Ahmad Jamal Trio Argo Sessions 1956-62","spotify:artist:6gc6oo3u2f7SqTd4mhe81O","Ahmad Jamal","2010-01-01","https://i.scdn.co/image/ab67616d0000b27379be8b7242922d01216c66b5","7","10","334240","","false","0","USUM71015237","spotify:user:aycaderenozkan","2018-01-16T15:28:14Z"
"spotify:track:0RIQBKhveHc4LA4BhtkstS","Easy Does It","spotify:artist:0ldU0QJm31y0d6f57R1G2A","Oscar Peterson Trio","spotify:album:3gPOWmWT0q7Ygp95Xiuw1v","Night Train (Expanded Edition)","spotify:artist:0ldU0QJm31y0d6f57R1G2A","Oscar Peterson Trio","1963-01-01","https://i.scdn.co/image/ab67616d0000b273947b5cc535d76394a2d98e37","1","6","163026","https://p.scdn.co/mp3-preview/01219052149c12321d917a83a48d4e7ee3f829b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USF096300350","spotify:user:aycaderenozkan","2018-01-16T15:39:18Z"
"spotify:track:36rYUBMIeElA5hlQ3kYbcm","I Didn't Know What Time It Was - Live At The Spotlight Club/1958","spotify:artist:6gc6oo3u2f7SqTd4mhe81O","Ahmad Jamal","spotify:album:4M1keKpiWiVMpfRyn94zZo","The Complete Ahmad Jamal Trio Argo Sessions 1956-62","spotify:artist:6gc6oo3u2f7SqTd4mhe81O","Ahmad Jamal","2010-01-01","https://i.scdn.co/image/ab67616d0000b27379be8b7242922d01216c66b5","4","4","275800","","false","0","USUM71015112","spotify:user:aycaderenozkan","2018-01-16T15:44:09Z"
"spotify:track:02Zw3eYYQUO8uBT5gm9D06","Love For Sale - Live At The Alhambra/1961","spotify:artist:6gc6oo3u2f7SqTd4mhe81O","Ahmad Jamal","spotify:album:4M1keKpiWiVMpfRyn94zZo","The Complete Ahmad Jamal Trio Argo Sessions 1956-62","spotify:artist:6gc6oo3u2f7SqTd4mhe81O","Ahmad Jamal","2010-01-01","https://i.scdn.co/image/ab67616d0000b27379be8b7242922d01216c66b5","6","7","242573","","false","0","USUM71015208","spotify:user:aycaderenozkan","2018-01-16T15:49:22Z"
"spotify:track:2qZCwVIsKn6PyV1XhpTkFh","The Night Has A Thousand Eyes - Live At The Sopotlight Club","spotify:artist:0BqALs1lInR9TTOulUADH7","Ahmad Jamal Trio","spotify:album:4M1keKpiWiVMpfRyn94zZo","The Complete Ahmad Jamal Trio Argo Sessions 1956-62","spotify:artist:6gc6oo3u2f7SqTd4mhe81O","Ahmad Jamal","2010-01-01","https://i.scdn.co/image/ab67616d0000b27379be8b7242922d01216c66b5","4","9","212466","","false","0","USUM71015123","spotify:user:aycaderenozkan","2018-01-16T16:11:48Z"
"spotify:track:0qKZG39nyzBnFNHGVFnYPN","You Don't Know What Love Is - Live At The Spotlight Club","spotify:artist:6gc6oo3u2f7SqTd4mhe81O","Ahmad Jamal","spotify:album:4M1keKpiWiVMpfRyn94zZo","The Complete Ahmad Jamal Trio Argo Sessions 1956-62","spotify:artist:6gc6oo3u2f7SqTd4mhe81O","Ahmad Jamal","2010-01-01","https://i.scdn.co/image/ab67616d0000b27379be8b7242922d01216c66b5","4","3","210573","","false","0","USMC15809053","spotify:user:aycaderenozkan","2018-01-16T16:26:35Z"
"spotify:track:6oe1fFGG7FiKHEfpQHsIku","Splendid","spotify:artist:6ykfXAed2KOLOMI3R0TZdz","Art Blakey & The Jazz Messengers","spotify:album:3oFlqocFQLrC2SX8QpNKsA","By Popular Demand - Art Blakey & The Jazz Messengers","spotify:artist:6ykfXAed2KOLOMI3R0TZdz","Art Blakey & The Jazz Messengers","2015-03-23","https://i.scdn.co/image/ab67616d0000b27349ead964c7bc333a636b135b","1","14","473466","","false","0","USBN29800765","spotify:user:aycaderenozkan","2018-01-16T16:51:18Z"
