"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0gEVQdEMLAaSOyBom3Suo1","Lazyness","spotify:artist:53xwq54syWZgXoordzYUnA","Nothingtosay","spotify:album:3GcwcpRiFB4crF50gz1t26","Introspective","spotify:artist:53xwq54syWZgXoordzYUnA","Nothingtosay","2020-07-15","https://i.scdn.co/image/ab67616d0000b273bf95251fe8aa2d6682f1336a","1","7","161804","https://p.scdn.co/mp3-preview/fbccb7c8a860218aab58ed2336af29fba12962c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","TCAEZ2043190","spotify:user:chilledcow","2023-01-15T20:24:19Z"
"spotify:track:6t0X8rvX14ol3wLW6MAJSs","Shadows","spotify:artist:5p2HHGakKOJCICf9fnfnQ9","Dosi","spotify:album:4sQeDULPTiCjsCRe5acC24","Haunted Castle","spotify:artist:5p2HHGakKOJCICf9fnfnQ9","Dosi","2022-12-01","https://i.scdn.co/image/ab67616d0000b273c3a7d0347ef428bc168892a0","1","6","157500","https://p.scdn.co/mp3-preview/b7156746c231a1adf6916f772846164e718308c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBLV62207560","spotify:user:chilledcow","2023-01-15T20:24:19Z"
"spotify:track:38Pso6ZIxwM1PsJaHFrRLf","Towards The Mountains","spotify:artist:0xC8LfT2owfXVS57Bcz6sH","Plant Guy","spotify:album:5iJB8gwP7A2qoIR0igOx9h","In Harmony With Nature","spotify:artist:0xC8LfT2owfXVS57Bcz6sH","Plant Guy","2022-02-28","https://i.scdn.co/image/ab67616d0000b273c4a453d6c35d39f4453d3f78","1","4","123684","https://p.scdn.co/mp3-preview/1972e9311f1344273ca72d50e6d121e75ba0cde9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBKQU2219762","spotify:user:chilledcow","2023-01-15T20:24:19Z"
"spotify:track:183pRNbPK6fd1J1YkHdsW3","Avalanche","spotify:artist:46RYzJ2442SuhtOTl281nz, spotify:artist:6jlKK6jwCQOcdsNlNfKlMq, spotify:artist:3ARvFGBfNt9K1SIDM9yMwu","Dimension 32, Dinis, Cosmic Koala","spotify:album:3P6e5gBKNbXkVSlqpdydew","Lonely Days","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2022-11-21","https://i.scdn.co/image/ab67616d0000b27316cc80e6e04ad5788a46d749","1","22","168750","https://p.scdn.co/mp3-preview/39041d92910fad17f5d215a09c1bdad1c30eecdd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBLV62204921","spotify:user:chilledcow","2023-01-15T20:24:19Z"
"spotify:track:51WA59C7zIFAKm4CoJHfDA","Mystical Night","spotify:artist:0wcen0V8FgQu6xYupnZMbB, spotify:artist:3z3HY7B1UqsrP5un2WXe2h","softy, Wishes and Dreams","spotify:album:3P6e5gBKNbXkVSlqpdydew","Lonely Days","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2022-11-21","https://i.scdn.co/image/ab67616d0000b27316cc80e6e04ad5788a46d749","1","9","169411","https://p.scdn.co/mp3-preview/f981bac1835d24f5e2df43552ca1ca71f7e70946?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBLV62204908","spotify:user:chilledcow","2023-01-15T20:24:19Z"
"spotify:track:3JApKVX8l502UYfcw9Mcsv","watercrystals","spotify:artist:0Q6S7QIOyuvDYzbhpvM5FO, spotify:artist:0EocooOvTYLsjqSSQdqiyi, spotify:artist:3VgENonfFPkQVjUprmdpWW","Kanisan, Dario Lessing, Claudia Lessing","spotify:album:4dfgVdUKi74BOqS1xWFGmP","Edda","spotify:artist:0Q6S7QIOyuvDYzbhpvM5FO, spotify:artist:0EocooOvTYLsjqSSQdqiyi, spotify:artist:3VgENonfFPkQVjUprmdpWW","Kanisan, Dario Lessing, Claudia Lessing","2022-11-28","https://i.scdn.co/image/ab67616d0000b27307b1a7c38ccb01eae58df69c","1","3","115208","https://p.scdn.co/mp3-preview/2502cfde6c6a2ef90a8b367533de90c6de2766dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBLV62203043","spotify:user:chilledcow","2023-01-15T20:24:19Z"
"spotify:track:1kDsRv0ucydqrC9lkJpa4z","Crush","spotify:artist:7LWdcPFBFcRaamGjIJbPV7","Laffey","spotify:album:5wCAThWeoU6kXjKeB9xFWB","Summer Nights","spotify:artist:7LWdcPFBFcRaamGjIJbPV7","Laffey","2020-07-11","https://i.scdn.co/image/ab67616d0000b2733e08e5fdd5696a19929de67d","1","3","130760","https://p.scdn.co/mp3-preview/8b19a7bbb04493dab4ad461787d7e16a7ff790e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","TCAEZ2021468","spotify:user:chilledcow","2023-01-15T20:24:19Z"
"spotify:track:1xirsAldkAT2snzbVTyCx5","Fading","spotify:artist:7sRau6OFIdLc2jMdzZRt81, spotify:artist:5l1oiy2VufzI1tbdpiaoQi","Two Scents, Lucid Keys","spotify:album:7zyCaloYUjJUAw5ewu74hc","Lately","spotify:artist:7sRau6OFIdLc2jMdzZRt81","Two Scents","2022-12-26","https://i.scdn.co/image/ab67616d0000b273265e0ff683df9d4db76214fd","1","7","149750","https://p.scdn.co/mp3-preview/e3d28c2a47b92a5d0ae592a5b963c0a007b299f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBLV62214956","spotify:user:chilledcow","2023-01-15T20:24:19Z"
"spotify:track:4zd7dN2wYV8ZfxiqJAqNLt","Brigit","spotify:artist:3ARvFGBfNt9K1SIDM9yMwu, spotify:artist:5l1oiy2VufzI1tbdpiaoQi","Cosmic Koala, Lucid Keys","spotify:album:2Qo48yrUTOKzbxuXYiI5zQ","The Tale of the Druids","spotify:artist:3ARvFGBfNt9K1SIDM9yMwu, spotify:artist:5l1oiy2VufzI1tbdpiaoQi","Cosmic Koala, Lucid Keys","2022-12-05","https://i.scdn.co/image/ab67616d0000b27316dba20e62646be0fd7c568f","1","11","166553","https://p.scdn.co/mp3-preview/aa16dec682f15550c19db0f3c80ba1b8b34d74f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBLV62207440","spotify:user:chilledcow","2023-01-15T20:24:19Z"
"spotify:track:6cbivyO0rZoGq8xWbdXPY9","The Dawn","spotify:artist:53xwq54syWZgXoordzYUnA","Nothingtosay","spotify:album:6j9efsz6v7I0WkDaHDrWfW","Cold Thoughts","spotify:artist:53xwq54syWZgXoordzYUnA","Nothingtosay","2022-08-01","https://i.scdn.co/image/ab67616d0000b273106faeae26f01c97a40b04fa","1","3","146675","https://p.scdn.co/mp3-preview/15fc1431021152fda6731cdf3e02737ea15bcf1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBKQU2271263","spotify:user:chilledcow","2023-01-15T20:24:19Z"
