"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0OvmDL6jiAksoqs01EAq9A","Ted Lasso Theme","spotify:artist:3bYcjbVAN3rAuU3TMzw2mB, spotify:artist:5784JqAJvI24V2Kr3xhoX6","Marcus Mumford, Tom Howe","spotify:album:5USNWnvRSYMdG7CUVhG1B0","Ted Lasso: Season 1 (Apple TV+ Original Series Soundtrack)","spotify:artist:3bYcjbVAN3rAuU3TMzw2mB, spotify:artist:5784JqAJvI24V2Kr3xhoX6","Marcus Mumford, Tom Howe","2020-10-02","https://i.scdn.co/image/ab67616d0000b273d69b7f192ae12043282aadac","1","1","136918","https://p.scdn.co/mp3-preview/b270caf7d421fc9a236edd098abc8db656db9663?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USNLR2000802","spotify:user:stormhound33","2021-01-17T07:16:40Z"
"spotify:track:6ui6l3ZNvlrGQZArwo8195","God Save the Queen","spotify:artist:1u7kkVrr14iBvrpYnZILJR","Sex Pistols","spotify:album:5fxYu3rqjCNTSPKN8mtEl2","Never Mind The Bollocks, Here's The Sex Pistols","spotify:artist:1u7kkVrr14iBvrpYnZILJR","Sex Pistols","1977-10-27","https://i.scdn.co/image/ab67616d0000b273d0f19de33459c832e50d6ecd","1","6","200080","https://p.scdn.co/mp3-preview/f9e94c38ceac965808c4c35efd8752f357daec24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USWB17700045","spotify:user:stormhound33","2021-07-22T02:35:17Z"
"spotify:track:0BoypJFFJNUpFuJswxBCea","Rainbow Chaser","spotify:artist:7dIxU1XgxBIa3KJAWzaFAC","Nirvana","spotify:album:4oH8UkVVPrYZufkrUQY6iN","Rainbow Chaser: The 60s Recordings (The Island Years)","spotify:artist:7dIxU1XgxBIa3KJAWzaFAC","Nirvana","2018-05-18","https://i.scdn.co/image/ab67616d0000b273542603584965a4c43a8d6598","2","1","158360","https://p.scdn.co/mp3-preview/9c090395bdae0db43fb5992df53e94721058f75d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBAAN6800050","spotify:user:stormhound33","2021-07-22T02:32:27Z"
"spotify:track:2BhTBPetKWrHtvAa2AGzCZ","Simplify","spotify:artist:22L3FsvrXWoLLEUApoNfpr","Los Coast","spotify:album:4j4sraUnAw67ViP0SQbDMY","Samsara","spotify:artist:22L3FsvrXWoLLEUApoNfpr","Los Coast","2019-06-14","https://i.scdn.co/image/ab67616d0000b273226380a1dcaf62dd650a7e79","1","3","211240","https://p.scdn.co/mp3-preview/ee47136569b66fa9f9b0fc73b53391e8cf764026?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","US27Q1942303","spotify:user:stormhound33","2021-01-19T05:05:04Z"
"spotify:track:7j1XcKeoJh0yzJ88W6btyd","Opus 26","spotify:artist:6UEYawMcp2M4JFoXVOtZEq","Dustin O'Halloran","spotify:album:4ptXbWijlr47UVw4jiXNtF","Piano Solos, Vol 2","spotify:artist:6UEYawMcp2M4JFoXVOtZEq","Dustin O'Halloran","2004-09-13","https://i.scdn.co/image/ab67616d0000b273d93626d0131e720db2fa78f1","1","5","196040","https://p.scdn.co/mp3-preview/27348523727344d6a00b5e7f12bc7b1559e4631b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TCABX1432017","spotify:user:stormhound33","2021-01-21T06:47:43Z"
"spotify:track:1Sboz1oluTkhOLAYgc0ccM","Make the Music with Your Mouth, Biz (Best Of)","spotify:artist:22282KfMxDo2PMjnBc82I4","Biz Markie","spotify:album:2OKf5WlgqFgszrDsxMq07t","Biz's Baddest Beats: The Best of Biz Markie","spotify:artist:22282KfMxDo2PMjnBc82I4","Biz Markie","1994-08-07","https://i.scdn.co/image/ab67616d0000b2731960be23ca49f8e0639000ca","1","2","304200","https://p.scdn.co/mp3-preview/1878019988db76592b4af0c670f7243e8d45173c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USRH10902668","spotify:user:stormhound33","2021-07-22T02:33:22Z"
"spotify:track:0k664IuFwVP557Gnx7RhIl","Juice","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","spotify:album:6dFFcYQ8VhifgdKgYY5LYL","Cuz I Love You","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","2019-04-19","https://i.scdn.co/image/ab67616d0000b27306af802e2ea241b6ba1ce0f2","1","3","195144","https://p.scdn.co/mp3-preview/b387a43a85546d5a70f751025209f63065186b20?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USAT21813044","spotify:user:stormhound33","2021-07-22T02:35:22Z"
"spotify:track:0gdmDP6xy3ZV7JNoHWAN9k","Town Called Malice","spotify:artist:2P560DaOMNDUACoH8ZhOCR","The Jam","spotify:album:71OyKSCFX7DGsJc6qAhhQG","The Gift","spotify:artist:2P560DaOMNDUACoH8ZhOCR","The Jam","1982-03-12","https://i.scdn.co/image/ab67616d0000b2733cb7b96b66eeb42c6a74ebb3","1","10","173320","https://p.scdn.co/mp3-preview/716f5df9c46809a4456b1bcc0e6b1e7e5385c50f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAKW8201004","spotify:user:stormhound33","2021-07-22T02:35:25Z"
"spotify:track:5YTM7OgQDt9EJAYcfHLniJ","Award Tour","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:4v5x3Oo3UjQ9YmF3hRAip5","Midnight Marauders","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1993-11-09","https://i.scdn.co/image/ab67616d0000b27381db9bf27bf2a04a1298eadb","1","3","226440","https://p.scdn.co/mp3-preview/1804f969a3b939ebbb46eec0d766a5503911a326?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USJI10300405","spotify:user:stormhound33","2021-07-22T02:35:29Z"
"spotify:track:0W2mz7mvaBaEsC4rmoRNPn","Slam","spotify:artist:10Khz9BDdDT2mzm3330Cvu","Onyx","spotify:album:5lUgtggG1KroP0qHkpxQ4K","Bacdafucup","spotify:artist:10Khz9BDdDT2mzm3330Cvu","Onyx","1993-03-30","https://i.scdn.co/image/ab67616d0000b2731dae2182751db2665015905d","1","12","218333","https://p.scdn.co/mp3-preview/a8b11142fdf1c9f2867dac72a2fc35afbe3f1e09?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USRL19300012","spotify:user:stormhound33","2021-07-22T02:37:38Z"
