"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4aX3n1Pn6jiCbvqBL8eqyP","Love Me Do - Mono / Remastered","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7vEJAtP3KgKSpOHVgwm3Eh","1 (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2000-11-13","https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf","1","1","140173","https://p.scdn.co/mp3-preview/ca28af15777daec80f515a64f48b57ef5d73c793?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBUM71505907","spotify:user:rob.bednark","2016-05-17T01:48:47Z"
"spotify:track:1euKWJfJSfPhgSendPrcXb","From Me To You - Mono / Remastered","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7vEJAtP3KgKSpOHVgwm3Eh","1 (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2000-11-13","https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf","1","2","116160","https://p.scdn.co/mp3-preview/e5b8d46e364576b872625c5a4ff8eb5cab320c9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBUM71505896","spotify:user:rob.bednark","2016-05-17T01:48:47Z"
"spotify:track:6nEkxYIEnrbYH7h1hJ8Xn6","She Loves You - Mono / Remastered","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7vEJAtP3KgKSpOHVgwm3Eh","1 (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2000-11-13","https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf","1","3","140920","https://p.scdn.co/mp3-preview/c73dd89a337942a5dda94610fdd76949c955b5fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBUM71505910","spotify:user:rob.bednark","2016-05-17T01:48:47Z"
"spotify:track:4pbG9SUmWIvsROVLF0zF9s","I Want To Hold Your Hand - Remastered 2015","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7vEJAtP3KgKSpOHVgwm3Eh","1 (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2000-11-13","https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf","1","4","145746","https://p.scdn.co/mp3-preview/d73eb9bf93d17de0a815f1661df2836e480b2772?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBUM71505904","spotify:user:rob.bednark","2016-05-17T01:48:47Z"
"spotify:track:38Vb1J5W5LOs0i7SAF76pa","Can't Buy Me Love - Remastered 2015","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7vEJAtP3KgKSpOHVgwm3Eh","1 (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2000-11-13","https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf","1","5","131213","https://p.scdn.co/mp3-preview/f9380d0ee92deed9300047a2c5194ad26ef1048a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBUM71505890","spotify:user:rob.bednark","2016-05-17T01:48:47Z"
"spotify:track:1pctwlBtIcKIjQMzsVcGHB","A Hard Day's Night - Remastered 2015","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7vEJAtP3KgKSpOHVgwm3Eh","1 (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2000-11-13","https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf","1","6","152920","https://p.scdn.co/mp3-preview/9f9d1764d8a4ab284aca69f7c2a349af48079e1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBUM71505887","spotify:user:rob.bednark","2016-05-17T01:48:47Z"
"spotify:track:5hhF25sWnZvXhimOHLjTRE","I Feel Fine - Remastered 2015","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7vEJAtP3KgKSpOHVgwm3Eh","1 (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2000-11-13","https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf","1","7","139346","https://p.scdn.co/mp3-preview/280508b22648ffa64ed8ad551a2a22aaea4209f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBUM71505903","spotify:user:rob.bednark","2016-05-17T01:48:47Z"
"spotify:track:5ylLypaOksxWd75YrGtx2N","Eight Days A Week - Remastered 2015","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7vEJAtP3KgKSpOHVgwm3Eh","1 (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2000-11-13","https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf","1","8","163320","https://p.scdn.co/mp3-preview/7fb387b096b5f4f1d17b9f782820223faf238246?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBUM71505893","spotify:user:rob.bednark","2016-05-17T01:48:47Z"
"spotify:track:7nhrlsT1P4qsslp28UA1BI","Ticket To Ride - Remastered 2015","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7vEJAtP3KgKSpOHVgwm3Eh","1 (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2000-11-13","https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf","1","9","190120","https://p.scdn.co/mp3-preview/0492fa5536f851628cfd0d6675b2673dab7a4e93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBUM71505914","spotify:user:rob.bednark","2016-05-17T01:48:47Z"
"spotify:track:3Smida2eCUsLzDcmZqXEZ3","Help! - Remastered 2015","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7vEJAtP3KgKSpOHVgwm3Eh","1 (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2000-11-13","https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf","1","10","139240","https://p.scdn.co/mp3-preview/236bdce683113548d5ecee98c457eb325b45d970?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBUM71505900","spotify:user:rob.bednark","2016-05-17T01:48:47Z"
"spotify:track:4E5rL7YL0hVUPqeMSpjEF2","Yesterday - Remastered 2015","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7vEJAtP3KgKSpOHVgwm3Eh","1 (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2000-11-13","https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf","1","11","125320","https://p.scdn.co/mp3-preview/958927d6e79359e19f336e63ccd51b485710cbe8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBUM71505917","spotify:user:rob.bednark","2016-05-17T01:48:47Z"
"spotify:track:29b2b96jozyD9GPCkOrVLs","Day Tripper - Remastered 2015","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7vEJAtP3KgKSpOHVgwm3Eh","1 (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","2000-11-13","https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf","1","12","169000","https://p.scdn.co/mp3-preview/e17dabdd85adb597eb8130a34bdcc86a9879fd3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBUM71505892","spotify:user:rob.bednark","2016-05-17T01:48:47Z"
