"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0hfnBxg5ZMVDhOXapZpcyg","Lollipop","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:2tuet4U7zKRmCTrDyqotZX","The Chordettes Greatest Hits","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","2010-12-19","https://i.scdn.co/image/ab67616d0000b273fe8cdf3caa9d659f4e265bf8","1","1","129000","","false","0","GBGQH0410022","spotify:user:rob.bednark","2012-11-01T19:13:02Z"
"spotify:track:1Zhi1Vd51qrxD4mqMvixYc","Mister Sandman","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:2tuet4U7zKRmCTrDyqotZX","The Chordettes Greatest Hits","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","2010-12-19","https://i.scdn.co/image/ab67616d0000b273fe8cdf3caa9d659f4e265bf8","1","2","143973","","false","0","GBGQH0410023","spotify:user:rob.bednark","2012-11-01T19:13:02Z"
"spotify:track:4WOdpkPy6Tc8tFsydVLugf","To Know Him is to Love Him","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:2tuet4U7zKRmCTrDyqotZX","The Chordettes Greatest Hits","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","2010-12-19","https://i.scdn.co/image/ab67616d0000b273fe8cdf3caa9d659f4e265bf8","1","3","144121","","false","0","GBGQH0410024","spotify:user:rob.bednark","2012-11-01T19:13:02Z"
"spotify:track:7iJYwQvrr1D5RbQ7YhxaCc","No Other Arms No Other Lips","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:2tuet4U7zKRmCTrDyqotZX","The Chordettes Greatest Hits","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","2010-12-19","https://i.scdn.co/image/ab67616d0000b273fe8cdf3caa9d659f4e265bf8","1","4","152586","","false","0","GBGQH0410025","spotify:user:rob.bednark","2012-11-01T19:13:02Z"
"spotify:track:507YjzjFLYsOuYugO8S1Bj","Eddie My Love","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:2tuet4U7zKRmCTrDyqotZX","The Chordettes Greatest Hits","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","2010-12-19","https://i.scdn.co/image/ab67616d0000b273fe8cdf3caa9d659f4e265bf8","1","5","134960","","false","0","GBGQH0410026","spotify:user:rob.bednark","2012-11-01T19:13:02Z"
"spotify:track:46zZPBUG9cCjziO9xIoFoJ","Lay Down Your Arms","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:2tuet4U7zKRmCTrDyqotZX","The Chordettes Greatest Hits","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","2010-12-19","https://i.scdn.co/image/ab67616d0000b273fe8cdf3caa9d659f4e265bf8","1","6","148266","","false","0","GBGQH0410027","spotify:user:rob.bednark","2012-11-01T19:13:02Z"
"spotify:track:1ovdyNAZGyQVI8LIfiYIyq","Born To Be With You","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:2tuet4U7zKRmCTrDyqotZX","The Chordettes Greatest Hits","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","2010-12-19","https://i.scdn.co/image/ab67616d0000b273fe8cdf3caa9d659f4e265bf8","1","7","169200","","false","0","GBGQH0410028","spotify:user:rob.bednark","2012-11-01T19:13:02Z"
"spotify:track:3XAKIYYvQ3Ig5kjIHpqjlm","Never On A Sunday","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:2tuet4U7zKRmCTrDyqotZX","The Chordettes Greatest Hits","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","2010-12-19","https://i.scdn.co/image/ab67616d0000b273fe8cdf3caa9d659f4e265bf8","1","8","162664","","false","0","GBGQH0410029","spotify:user:rob.bednark","2012-11-01T19:13:02Z"
"spotify:track:5PwrWyTsvHFcy9sdWcAVZi","Humming Bird","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:2tuet4U7zKRmCTrDyqotZX","The Chordettes Greatest Hits","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","2010-12-19","https://i.scdn.co/image/ab67616d0000b273fe8cdf3caa9d659f4e265bf8","1","9","135920","","false","0","GBGQH0410030","spotify:user:rob.bednark","2012-11-01T19:13:02Z"
"spotify:track:3Nd5WIZ9cBZOivEy514RO0","Teenage Goodnight","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:2tuet4U7zKRmCTrDyqotZX","The Chordettes Greatest Hits","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","2010-12-19","https://i.scdn.co/image/ab67616d0000b273fe8cdf3caa9d659f4e265bf8","1","10","136600","","false","0","GBGQH0410031","spotify:user:rob.bednark","2012-11-01T19:13:02Z"
