"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7GIewdUJdc0sUsq92lnUVZ","Basin Street Blues","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","1","116063","https://p.scdn.co/mp3-preview/89987d50ced5a1503588063ef0ebf35ef9968f16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138647","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:5rQkNF0gjIjaAMMQ2ME8Qx","The Sweetheart Of Sigma Chi","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","2","141932","https://p.scdn.co/mp3-preview/5a3e7c1793061631eee04d48f5a47579d682e973?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138648","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:13MElGwRIZu9jRR8uNL9Mk","Floatin' Down To Cotton Town","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","3","115327","https://p.scdn.co/mp3-preview/1c700291ea9b18350232041f9c2f15b7c3e2cee1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138649","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:0Ww1kUL6LcTMEutBI8QSCF","Ballin' Jack","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","4","153406","https://p.scdn.co/mp3-preview/4d16d4d18a513c6438e84bd641050f84f25669ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138650","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:3Plv0IiwVbEmqQZoFWoyzI","When You Where Sweet Sixteen","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","5","199955","https://p.scdn.co/mp3-preview/067d675929cbfd33b2d82c1b56037b0a0bc7b12f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138651","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:4zb4Gjq7nbL9xyyMZ0zHY3","Sentimental Journey","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","6","122455","https://p.scdn.co/mp3-preview/e1e5083b6b074b15b6b56d2b3c166d144850087b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138652","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:3N0xDCFkoPyX2ZDvrDMyRU","Kentucky Babe","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","7","129923","https://p.scdn.co/mp3-preview/77fe3fafbcdf5bfa6f481fdc3fef52cceeb630e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138653","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:6mPoUHvSEdmPvx6kDkr6sE","S' Posin'","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","8","105929","https://p.scdn.co/mp3-preview/7948cca1c6c289f62f1838a19e1bbb6aa89b1b0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138654","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:1b27RiivrUSQpd2ONYhx70","The Aniversary Waltz","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","9","112377","https://p.scdn.co/mp3-preview/ee960f98ce488277bb548bedbeeb137f47447ce4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138655","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:5dH8QV39NhGnHHQfliLwMH","Carolina Moon","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","10","134642","https://p.scdn.co/mp3-preview/4aed30066bc822666d7bb1f95566dce915e32f55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138656","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:4lvWdyB2aeBZocZZup9M34","Drifting And Dreaming","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","11","97262","https://p.scdn.co/mp3-preview/630495da8b3c8fc12893500e6df2756a62cbd3ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138657","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:6FnoMoUDw28MZFbFk1UfXi","A Little Street Where Old Friends Meet","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","12","132863","https://p.scdn.co/mp3-preview/4924d8a21fd4739332894950ea42276b4bd81c6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138658","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:46Ig2sSG2ybY7C1yvd9Uo4","Garden In The Rain","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","13","103690","https://p.scdn.co/mp3-preview/e7a5ad96a5cb498768bb623635e68c297cb372a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138659","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:6Po6jwReZTVtoReGOrdYX2","I'm Drifting Back To Dreamland","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","14","132024","https://p.scdn.co/mp3-preview/589e5abd3688005c29058150e50ae2d15ee83062?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138660","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
"spotify:track:6T3ly95cdHhVN6sktHUbfK","When Day Is Done","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:07rhgfo1HAzHXIfQRy9yJf","Vintage Vocal Jazz / Swing No. 154 - LP: The Chordettes A Capella","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1951-09-21","https://i.scdn.co/image/ab67616d0000b2734876f0f691fc356a623f7ab5","1","15","151180","https://p.scdn.co/mp3-preview/baa415ff3fa1c6b69a33f4e614048193977869d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA371138661","spotify:user:rob.bednark","2012-11-01T19:12:32Z"
