"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1V261xoGqF3DZR5nRFAkSM","Oh, Miss Hanah (Recorded 1925)","spotify:artist:2KjhsMd1N86siaQrC4AjjF","The Revelers","spotify:album:0bdwaP2nA4vIQbJlr1uEtm","1920's Male Quartets (Encore 1) [Recorded 1925 -1930]","spotify:artist:2KjhsMd1N86siaQrC4AjjF","The Revelers","2015-02-05","https://i.scdn.co/image/ab67616d0000b273a667dd8398f2a374e0d7b98a","1","4","141139","https://p.scdn.co/mp3-preview/b4b1609ca3da2f24db5c8c962f515de72f51ac97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USDHM1504248","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:18w92chtedbdchN9unstaC","Brotherly Love","spotify:artist:6dpBuQU6XAlph0tVtZ85th","The Charleston Chasers","spotify:album:3ZWUqehaq0Z150w02VP1o4","Just Imagine","spotify:artist:6dpBuQU6XAlph0tVtZ85th","The Charleston Chasers","2013","https://i.scdn.co/image/ab67616d0000b2737160132c6a84baedcc607332","1","19","155920","https://p.scdn.co/mp3-preview/df9361fea9e4d46e4cfff02dfbef4061426d1964?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","GBBAD0900268","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2GzcF2yzPbho8JHQzkPL90","Yes She Do (No She Doesn't)","spotify:artist:58QmjBTIOwXVHD2oWzNkQF","California Ramblers","spotify:album:4YUK7tayeaHbrsRYDxxIkJ","Roaring Twenties","spotify:artist:58QmjBTIOwXVHD2oWzNkQF","California Ramblers","2020-10-29","https://i.scdn.co/image/ab67616d0000b273b56486825c37e695fadbe5f1","1","15","163133","https://p.scdn.co/mp3-preview/ddd672a1097fa8540e3dda303682f0307a1a98f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","AUXN22094322","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5k5YHWTI6Kyo5WljQZTciL","New Moten Stomp","spotify:artist:1bm4KifyNLFa4pjZzulTQU","Bennie Moten","spotify:album:4fneZu0CXNh5XpWn0OGIl4","Presenting Bennie Moten","spotify:artist:1bm4KifyNLFa4pjZzulTQU","Bennie Moten","1924-05-06","https://i.scdn.co/image/ab67616d0000b273ba5805fe9b5dccf6f1a86e38","1","2","176960","https://p.scdn.co/mp3-preview/1eabfc124c378045a44062495a92f8a5928c2cf8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","DEXO22209165","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0woE0dUaUbPbGtqFYDJ6G2","Washin' the Blues from My Soul","spotify:artist:46Zxq2wQhRKm3AUKKbGzC0","Russell Brown And His Orchestra","spotify:album:7AYzb6p5PBI2EczuO6xqHV","The Big Broadcast, Vol. 3: Jazz and Popular Music of the 1920s and 1930s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007","https://i.scdn.co/image/ab67616d0000b273c2f98c62d1623090dcc9b295","1","8","186120","https://p.scdn.co/mp3-preview/7597fe9c740b3dd5efda8f42c724d26dbfe9679a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","US6R21320857","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4RlMNxCvWwFeSRdSfnbUVG","Palesteena (1920)","spotify:artist:112yP6AwAT6QG34fiGGpmh","Original Dixieland Jazz Band","spotify:album:0jG45TXuXYhtcNxdbtrJrS","One-Step - Early Jazz Recordings","spotify:artist:112yP6AwAT6QG34fiGGpmh","Original Dixieland Jazz Band","2021-04-30","https://i.scdn.co/image/ab67616d0000b2731838eadab2d8de81bdfa8a0c","1","19","167226","https://p.scdn.co/mp3-preview/8dfdbf4f5c70985b158f951ab031f0454403c9bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","AUXN22150526","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6nN5EUhSd1RLWWhJ5vA4ig","Jo Scott","spotify:artist:7k8b9KwXEScnxxeVPLXOIS","Billy Murray","spotify:album:1c1cNAIb0xx8v5o4Pb5oMM","Jo Scott","spotify:artist:7k8b9KwXEScnxxeVPLXOIS","Billy Murray","2022-06-06","https://i.scdn.co/image/ab67616d0000b273b1f16dac65b8c44a6b9a7e45","1","1","65184","https://p.scdn.co/mp3-preview/180b3b75985b2b13b877df187ae601d3d4643ff6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","PLH492258017","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3LEs0zPnOp4CZgAEt91PZN","Dipper Mouth Blues, Pt. 1","spotify:artist:24PJRbYtu3Cq5CuF24c1QZ","King Oliver","spotify:album:1Wm62MSrZXoI36qy12rHMJ","The Complete Joseph King Oliver, Vol.1","spotify:artist:24PJRbYtu3Cq5CuF24c1QZ","King Oliver","2013-02-06","https://i.scdn.co/image/ab67616d0000b273456ecdfbe33185cf528f8acb","1","7","150400","https://p.scdn.co/mp3-preview/69698b072c8d444a33268228de0d24957e7e8f3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","ITD561200237","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2qFqAmhOKhwZurx7VJriR4","Crazy Words - Crazy Tune (Vo-Do-De-O)","spotify:artist:0wu8tyvMCOGjBM72P3zd9w","Irving Aaronson and His Commanders","spotify:album:2Zigm3Eq6THFWI12aowawx","Let's Misbehave: 1926-1928","spotify:artist:0wu8tyvMCOGjBM72P3zd9w","Irving Aaronson and His Commanders","2011","https://i.scdn.co/image/ab67616d0000b273a063b235c1ca9ddf5ad0ace4","1","22","170973","https://p.scdn.co/mp3-preview/943ff4dfc6d0b98a9c973644d252901f61cbafc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USV351326114","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1RMt2IJ73eUW06nTqHjEgS","Say It Isn't So","spotify:artist:0rEBOEWe1XZ9M1tKAOjvbj","Rudy Vallee and His Connecticut Yankees","spotify:album:6PiZzTyHDSS6GlI2NGao1I","Old Man Harlem (1931 - 1933)","spotify:artist:0rEBOEWe1XZ9M1tKAOjvbj","Rudy Vallee and His Connecticut Yankees","2012","https://i.scdn.co/image/ab67616d0000b273072f534eba92564e61b40ffe","1","5","219986","https://p.scdn.co/mp3-preview/ebb87f4ba8c58476f24c522a50e462373f9a1547?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","DEBL61298718","spotify:user:","1970-01-01T00:00:00Z"
