"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7fHZYrMfkuIx8SBrkZGMcX","It Had To Be You","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","spotify:album:22j6P1Uwky141vdWj3ozKf","The Essential Artie Shaw","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","2005-06-28","https://i.scdn.co/image/ab67616d0000b2731685f0950824f75a2d394c6c","2","4","148906","https://p.scdn.co/mp3-preview/13955acede58c611b72a8bcd1c5820fe60bcac5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USBB14101069","spotify:user:bulbospongiosus","2021-02-14T13:49:08Z"
"spotify:track:6541Gi1p2P8BKY0novtDGv","Remember","spotify:artist:5n4K5xzvkyGTJKirueEjmG","Larry Clinton","spotify:album:7wBn6l5eQNtndpg1kmTLOX","Dipsy Doodle","spotify:artist:5n4K5xzvkyGTJKirueEjmG","Larry Clinton","2010-07-01","https://i.scdn.co/image/ab67616d0000b27375396607c35e333370a17306","1","11","169133","","false","0","GBLGL0959462","spotify:user:bulbospongiosus","2021-02-14T13:49:08Z"
"spotify:track:7ory2QJYyMGYZvlTe6NdFQ","New Moten Stomp (10 - 30 - 30)","spotify:artist:1bm4KifyNLFa4pjZzulTQU","Bennie Moten","spotify:album:7Ev3u7ez1CqWY1tKFBK9XN","Complete Jazz Series 1930 - 1932","spotify:artist:1bm4KifyNLFa4pjZzulTQU","Bennie Moten","2009-04-27","https://i.scdn.co/image/ab67616d0000b273bb1e6aad457e2ae2709f8690","1","6","174840","https://p.scdn.co/mp3-preview/1eabfc124c378045a44062495a92f8a5928c2cf8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USA560932598","spotify:user:bulbospongiosus","2021-02-14T13:49:08Z"
"spotify:track:1uf3rbxR5xmCK2WYlWazyq","Let's Have A Jubilee","spotify:artist:140K78ooLk7HfhlWiTc9dM","Mills Blue Rhythm Band","spotify:album:49rJhKtkFinjvs4aIYhtvR","Mills Blue Rhythm Band: 1933-1936","spotify:artist:140K78ooLk7HfhlWiTc9dM","Mills Blue Rhythm Band","2007-06-04","https://i.scdn.co/image/ab67616d0000b2737cfe66e2776d1fe1512c3bfe","1","7","172840","https://p.scdn.co/mp3-preview/b0fd7ddd3e3b48fee698129a54dc339741bdf2ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","NLB150550074","spotify:user:bulbospongiosus","2021-02-14T13:49:08Z"
"spotify:track:3NblLmFCmIFTueELe7Ued7","What Is This Thing Called Love?","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","spotify:album:5aYAtYHNMoXexgu9OlFLRS","Big Band Classics, Volume 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-09-15","https://i.scdn.co/image/ab67616d0000b273ee93f6615b830065054bdb81","1","12","199720","","false","0","SEWDL0478412","spotify:user:bulbospongiosus","2021-02-14T13:49:08Z"
"spotify:track:6fZF9E4U4hFDSiz8iDUHgw","True Confession","spotify:artist:5n4K5xzvkyGTJKirueEjmG","Larry Clinton","spotify:album:2tsbaeL10mTDhLjkByxOdm","Shades Of Hades","spotify:artist:5n4K5xzvkyGTJKirueEjmG","Larry Clinton","2005-01-01","https://i.scdn.co/image/ab67616d0000b2731ee58dfb4e6ac219fd0bc6b0","1","6","179000","","false","0","GBAHC9910847","spotify:user:bulbospongiosus","2021-02-14T13:49:08Z"
"spotify:track:1QH7M6tU55l7E9TLKzgCic","Tallahassee","spotify:artist:140K78ooLk7HfhlWiTc9dM","Mills Blue Rhythm Band","spotify:album:49rJhKtkFinjvs4aIYhtvR","Mills Blue Rhythm Band: 1933-1936","spotify:artist:140K78ooLk7HfhlWiTc9dM","Mills Blue Rhythm Band","2007-06-04","https://i.scdn.co/image/ab67616d0000b2737cfe66e2776d1fe1512c3bfe","1","26","154853","https://p.scdn.co/mp3-preview/ce7bfd9f7949597a3a26122b8a190b8ab46c8983?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","NLB150550093","spotify:user:bulbospongiosus","2021-02-14T13:49:08Z"
"spotify:track:3HDx6FAwC7ycapzd9oR8DX","Glen Island Hop","spotify:artist:5n4K5xzvkyGTJKirueEjmG","Larry Clinton","spotify:album:0ZBkltdKzPi6PQgUDVFksO","Larry Clinton & His Orchestra 1937-38","spotify:artist:5n4K5xzvkyGTJKirueEjmG","Larry Clinton","1977-01-01","https://i.scdn.co/image/ab67616d0000b27308ea6b6448ebb34fb142c569","1","2","193573","https://p.scdn.co/mp3-preview/7b4cfc8f1a9d6d5dbd5442494f56e1e07b049df5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USL5W0710902","spotify:user:bulbospongiosus","2021-02-14T13:49:08Z"
"spotify:track:7DWOhqyKlBnJWhpJ58smQK","Spitfire","spotify:artist:140K78ooLk7HfhlWiTc9dM","Mills Blue Rhythm Band","spotify:album:49rJhKtkFinjvs4aIYhtvR","Mills Blue Rhythm Band: 1933-1936","spotify:artist:140K78ooLk7HfhlWiTc9dM","Mills Blue Rhythm Band","2007-06-04","https://i.scdn.co/image/ab67616d0000b2737cfe66e2776d1fe1512c3bfe","1","19","181040","https://p.scdn.co/mp3-preview/8283b98e4288a2affaada0f122c3f21ed37e58b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","NLB150550086","spotify:user:bulbospongiosus","2021-02-14T13:49:08Z"
"spotify:track:3QXlnf26S059eAiYyQjSKa","Marianne","spotify:artist:0lKHVrznMIh4noTdNQJ1qw, spotify:artist:34bZ00WyRCgvz7iASWGjWD, spotify:artist:2aAHdB5HweT3mFcRzm0swc, spotify:artist:3xPpQCRiTBxgmL4PD8J5ek, spotify:artist:0PfGU1eY8FXJ3AubrxuXKA, spotify:artist:19xMtSo3nibhm87bpYVSDg","Red Nichols, Tommy Thunen, Glenn Miller, Jimmy Dorsey, Irving Brodsky, Dave Tough","spotify:album:1FUmH2ErUQwWgi2yfOWtj6","Red Nichols : Original 1929 Recordings","spotify:artist:0lKHVrznMIh4noTdNQJ1qw","Red Nichols","2011-05-03","https://i.scdn.co/image/ab67616d0000b27353dd302bb8601c42bbdb4708","1","19","155666","https://p.scdn.co/mp3-preview/c174ce260900003d434225a7ba90a9f541b6f605?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","SE2IL9100819","spotify:user:bulbospongiosus","2021-02-14T13:49:08Z"
"spotify:track:3cCO9qC1ijWCRMOiapXAlR","I'm Stepping Out With a Memory Tonight","spotify:artist:3xPpQCRiTBxgmL4PD8J5ek","Jimmy Dorsey","spotify:album:6VWSMMY1WxxfB9J3E9QJC6","Jimmy Dorsey - Best Recordings","spotify:artist:3xPpQCRiTBxgmL4PD8J5ek","Jimmy Dorsey","2015-01-14","https://i.scdn.co/image/ab67616d0000b27395a6990304d484709a6da743","1","22","164702","https://p.scdn.co/mp3-preview/372f0f183251d7a48f92f0d7a47f8d06f12c8b0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USJ3V1321786","spotify:user:bulbospongiosus","2021-02-14T13:49:33Z"
"spotify:track:32k2xoLDdZclvQO3cjb2mc","Aint She Sweet?","spotify:artist:5mzFDFweHwx7BZFmMtdll7","Bunny Berigan","spotify:album:2NmA4Z9HRViLfbcEnQsHay","Let's Do It!","spotify:artist:5mzFDFweHwx7BZFmMtdll7","Bunny Berigan","2003","https://i.scdn.co/image/ab67616d0000b2730650126485f927f0ed634c6b","1","20","159466","","false","0","USA560536295","spotify:user:bulbospongiosus","2021-02-14T13:49:33Z"
"spotify:track:3XDharvL8vEyxdQwOQKmww","On the Sunny Side of the Street (From ""Is Everybody Happy?"")","spotify:artist:4WoGga7UeRcmjD4ufif4nG","Tommy Dorsey","spotify:album:6TR1Y1qDb1bdZUcDtSvZgw","The Sentimental Gentleman Of Swing - The Tommy Dorsey Centennial Collection","spotify:artist:4WoGga7UeRcmjD4ufif4nG","Tommy Dorsey","1925","https://i.scdn.co/image/ab67616d0000b273672f86dd8f00de980c46030c","2","17","194320","https://p.scdn.co/mp3-preview/330cd6d2c25e6bcc2690d3602d257adba087d487?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USBB14401016","spotify:user:bulbospongiosus","2021-02-14T13:49:33Z"
"spotify:track:5h4vDxeA6Ore7jfuth6m8k","Dickie's Dream (Take 2)","spotify:artist:05E3NBxNMdnrPtxF9oraJm, spotify:artist:1QtWvH9OsUFTBrjNETbGuD","Lester Young, Count Basie & Kansas City Seven","spotify:album:3bVVlxXSxcIErvdUza8ijZ","The Alternative Lester","spotify:artist:05E3NBxNMdnrPtxF9oraJm","Lester Young","2011-05-03","https://i.scdn.co/image/ab67616d0000b273fe63e1754cd12eeb1a82267f","1","17","167133","https://p.scdn.co/mp3-preview/585ae2f1377cd515649997c6ffe3af41a827406a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","SE2IL9100917","spotify:user:bulbospongiosus","2021-02-14T13:49:33Z"
"spotify:track:5d43oNMNkWScb3SdOAkI8Y","Wichita Windstorm","spotify:artist:4rBAk0XNC7XnH08pOWq7aU","Charlie Barnet & His Orchestra","spotify:album:0UkzOoJGHy5vdOXM4PrNTn","1942","spotify:artist:4rBAk0XNC7XnH08pOWq7aU","Charlie Barnet & His Orchestra","1984","https://i.scdn.co/image/ab67616d0000b273584f148d2c71111b6c01f491","1","3","160493","https://p.scdn.co/mp3-preview/98fc00f4eba469c3ea26c60a368909dfa9031dff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","USC9R8411203","spotify:user:bulbospongiosus","2021-02-14T16:03:18Z"
"spotify:track:28clWdFXnm1gLdhwsrdQ42","Dry Bones","spotify:artist:1eOE35R4NC60yvasrSxOED","Tommy Dorsey Orchestra","spotify:album:0CADmwHRoALafVzoQ5vwS6","Tommy Dorsey: The Complete Standard Transcriptions","spotify:artist:4WoGga7UeRcmjD4ufif4nG","Tommy Dorsey","2004","https://i.scdn.co/image/ab67616d0000b273fb7847cffb1b96300c42c53b","1","8","217133","https://p.scdn.co/mp3-preview/a698487333c8550ac45317a55dd0706a8c45c8ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","US53D0415091","spotify:user:bulbospongiosus","2021-02-14T16:03:26Z"
