"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:40WeBggpxELJkpjujVdoWO","Theme From ""A Summer Place""","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","spotify:album:3r0xLnJsUVZM6dI2aHzo2R","Never On Sunday (Songs From Movies)","spotify:artist:62GnBjssWSXBlKvQohT2Bk","The Chordettes","1962","https://i.scdn.co/image/ab67616d0000b273b07beeb67a7d7dc88062d631","1","12","142640","https://p.scdn.co/mp3-preview/02526871f1ebe018f2a03a9ca023bc010754f2b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","USZZM0710400","spotify:user:","2012-05-28T20:17:49Z"
"spotify:track:2sjBV9xLjZg88a69Ka4d90","Theme from ""A Summer Place""","spotify:artist:1I5Cu7bqjkRg85idwYsD91","Duane Eddy","spotify:album:5Q1rt5amRpPHzxAQnJkmd0","Twangin' The Golden Hits","spotify:artist:1I5Cu7bqjkRg85idwYsD91","Duane Eddy","1965-03-04","https://i.scdn.co/image/ab67616d0000b2734e69a1c9afb1872310fc7e9f","1","6","160960","https://p.scdn.co/mp3-preview/72f0e37ddea8c72f9cacf80b2a6094657ec8f1b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USRC16406334","spotify:user:","2012-05-28T20:17:49Z"
"spotify:track:3AZ0OBK3dbxSTjygUXcSaq","Theme From 'A Summer Place'","spotify:artist:6ZzOIAEw7joAghyA80c6D0","Billy Vaughn","spotify:album:4fUZurVDhuHOfrHdzSFhk1","The Hustle","spotify:artist:6ZzOIAEw7joAghyA80c6D0","Billy Vaughn","2010-12-14","https://i.scdn.co/image/ab67616d0000b2739679df178f6489ac380c6b1b","1","4","155518","https://p.scdn.co/mp3-preview/fc25eefc3ac402cb7412057b2de5d22493bbaa9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","USA371140334","spotify:user:","2012-05-28T20:17:49Z"
"spotify:track:0QJB2QSJHA8x0e214V7oMn","Theme From A Summer Place","spotify:artist:6FQRjLSuGHEAdioKxIGBdZ","The Lennon Sisters","spotify:album:6T58Ngoa42Y3H1ijNlLwy2","Yesterday And Today","spotify:artist:6FQRjLSuGHEAdioKxIGBdZ","The Lennon Sisters","1994-01-01","https://i.scdn.co/image/ab67616d0000b273dc222d554f591a5f7422e1ed","1","13","127999","","false","0","USRW49405616","spotify:user:","2012-05-28T20:17:49Z"
"spotify:track:71kwIDWJ0xClRjxvIey6D0","A Summer Place","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","spotify:album:1RLfn8e4cQvC0WsYJM6rh2","Moon River And Other Great Movie Themes","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","1962","https://i.scdn.co/image/ab67616d0000b2736b51b2bd0ca77a53eb4cd14c","1","2","154866","https://p.scdn.co/mp3-preview/d902eed35f3622dfcfb524364ca04e2111c3a78e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USSM19911983","spotify:user:","2012-11-01T18:45:11Z"
"spotify:track:4VWHM8uOmKh9bfdK8QEF5l","A Summer Place","spotify:artist:0MvSBMGRQJY3mRwIbJsqF1","Royal Philharmonic Orchestra","spotify:album:56xjCpSyf0TqZH9kiQ0yz0","The Greatest Film Score Composers Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-05-05","https://i.scdn.co/image/ab67616d0000b27398bccbb5bfb0c3c161671278","1","13","193706","","false","0","GBSWE0705349","spotify:user:","2012-11-01T18:45:11Z"
"spotify:track:0ZcfRYXhqBbUA1wCMKGVSU","A Summer Place","spotify:artist:63OTxIlptWU4lh6St8Ly69, spotify:artist:4AtsFTnOG7Xqi9umYfuf5M","Fausto Papetti, Papetti Project","spotify:album:2b5sIhUtoy7SgXEillmJlK","Enchanting Sax Collection (Memory. My Heart Will Go On, My Way, Love Story.....)","spotify:artist:63OTxIlptWU4lh6St8Ly69","Fausto Papetti","2012-04-19","https://i.scdn.co/image/ab67616d0000b2737e2e21dddc2c67e031674981","1","7","253040","","false","0","ITS040900354","spotify:user:","2012-11-01T18:45:11Z"
"spotify:track:3qRMTQTRSmMw6GtC9tSTa5","A Summer Place","spotify:artist:4m1i53DaEliWzSkSFwqv5W","L'Orchestra Cinematique","spotify:album:5Bgbz926aoj3Fx2YwtGgDO","Absolutely Movie Soundtracks","spotify:artist:23BiSNXm5UaRFuusoWisYO","BBC Symphony Orchestra","2011-02-14","https://i.scdn.co/image/ab67616d0000b27381059b658b7aeaad53daca98","2","8","184733","","false","0","GBSWE0813173","spotify:user:","2012-11-01T18:45:11Z"
"spotify:track:3T9Qp2YAy26PwXcnj9sa0E","A Summer Place","spotify:artist:4hGjngc0tPOBwTgTPci3IK","Santo & Johnny","spotify:album:0t3trxLZvgCI1KcOIeHnt3","A Summer Place","spotify:artist:4hGjngc0tPOBwTgTPci3IK","Santo & Johnny","2002","https://i.scdn.co/image/ab67616d0000b273f88f38c1cfaf956b35ebbb92","1","1","130400","https://p.scdn.co/mp3-preview/bab74ce97897bbc67c025a5f4a4c82ba36adbd98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USA370536906","spotify:user:","2012-11-01T18:45:11Z"
"spotify:track:5dJdPIKjG1V13K4zWhNA2X","A Summer Place","spotify:artist:4W9CuqPOk3XWnLpwT0mOTI","Geoff Love & His Orchestra","spotify:album:5Ce8ZZ2bSC3QFYaODJD9hv","The Very Best Of Geoff Love And Manuel And The Music Of The Mountains","spotify:artist:4wbyH1WM1o8gzIyCWJke4J, spotify:artist:63jNJ6txlnRE4leSfFoSu3","Geoff Love, Manuel & The Music Of The Mountains","2006-01-09","https://i.scdn.co/image/ab67616d0000b273f172fb872ad1125f3ca3e900","1","19","168586","https://p.scdn.co/mp3-preview/144cdbe586082085854c19e7a6d6cf740a03e4eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","GBAYE7100533","spotify:user:","2012-11-01T18:45:11Z"
"spotify:track:0pJ0fHuBm3BIugcivbMkop","A Summer Place","spotify:artist:23BiSNXm5UaRFuusoWisYO","BBC Symphony Orchestra","spotify:album:74wbRlB6FxTyb7pqcTn1g7","The Greatest Film Scores","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-12-16","https://i.scdn.co/image/ab67616d0000b273e7f395c3ec7bdad3e2d68610","1","29","182666","","false","0","DEB790620916","spotify:user:","2012-11-01T18:45:11Z"
"spotify:track:0GusbIQIl3q1Z8c4isGUSk","A Summer Place","spotify:artist:45r01LM4mAxVdQGdE3YNt9, spotify:artist:1xOCzN0vNLPS8DQPVKCFPh, spotify:artist:04qLma4TvriHyGJ0YlK6XI, spotify:artist:1WzO7UUZqltZL2xpXuapr6","Piano Trio, Bobby Durham, Massimo Faraò, Lorenzo Conte","spotify:album:2ondpNHFruPzQmBwhF0MKA","Relaxin' Jazz: Romantic Melody, Vol. 4 (Piano Trio, Stardust)","spotify:artist:45r01LM4mAxVdQGdE3YNt9, spotify:artist:1xOCzN0vNLPS8DQPVKCFPh, spotify:artist:04qLma4TvriHyGJ0YlK6XI","Piano Trio, Bobby Durham, Massimo Faraò","2012-05-09","https://i.scdn.co/image/ab67616d0000b27350f8e09611df2bccaa26f36c","1","6","299253","https://p.scdn.co/mp3-preview/3408d412171958f0eedaa9d5b52876e8aa93914e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","ITS040300153","spotify:user:","2012-11-01T18:45:11Z"
"spotify:track:15bo7TrRuybfAUo1Jw8xfW","A Summer Place","spotify:artist:64baCdgpf27l5Dy86yTwHd","Rob Steiner","spotify:album:3AuLH44Ahw1tgLZh6Gpwto","Pure Cinema Romance","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-06-28","https://i.scdn.co/image/ab67616d0000b2738dd5c446b0eb7d2f04689598","1","13","194159","","false","0","GBGVZ0721021","spotify:user:","2012-11-01T18:45:11Z"
"spotify:track:4bGdnSI240igESBqGIGR0y","A Summer Place","spotify:artist:2jG70npG3HKYl7iGyO6lAS","BBC Film Orchestra","spotify:album:6RGdpkDSWwPZs7AXkz2uWt","Critically Acclaimed Film Scores","spotify:artist:2jG70npG3HKYl7iGyO6lAS","BBC Film Orchestra","2008-08-01","https://i.scdn.co/image/ab67616d0000b273ad04fced5ab6f59b0cb0e555","1","15","189906","https://p.scdn.co/mp3-preview/d4d7fedf0f9a14fd0f7e430c883d8f104f5821fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USA370914451","spotify:user:","2012-11-01T18:45:11Z"
