"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1CCaratnF94HuFV5X3kGkO","Theme From ""A Summer Place""","spotify:artist:3llWEEOW2xNfiKsXXWjrwl, spotify:artist:24DQLSng7bKZD4GXLIaQbv","Max Steiner, Percy Faith & His Orchestra","spotify:album:4RQ5uJfZPSeerliWiK5CU6","Hearts in Atlantis - Motion Picture Soundtrack","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2001-01-01","https://i.scdn.co/image/ab67616d0000b273f91dca208abef1dae4a7ebe2","1","8","140866","https://p.scdn.co/mp3-preview/fb8e08a87ef28e0810f903bdbc8c32b47f1875c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USSM10401918","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1SJcsMgecJWfRAuL1En5Vo","Spanish Eyes","spotify:artist:0TGsWvnbtExsbGUSWtXENE","Al Hirt","spotify:album:7j4FDnGUG1YV0Rw0Lj3HRh","Plays Bert Kaempfert","spotify:artist:0TGsWvnbtExsbGUSWtXENE","Al Hirt","1968","https://i.scdn.co/image/ab67616d0000b273ef99da9767acff9bc67cb5a6","1","3","158106","https://p.scdn.co/mp3-preview/c2ef79058670b274b20448f9e34edd73e8aff072?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USRC16703220","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1gNXLwhKaQCfoRi1MsjJ9j","What The World Needs Now Is Love","spotify:artist:5WVQxyLSWuV7XpjDlgNY53","Hugo Winterhalter","spotify:album:75C2nKf5frcYnRI8tSqXOM","28 Big Ones","spotify:artist:5WVQxyLSWuV7XpjDlgNY53","Hugo Winterhalter","2005","https://i.scdn.co/image/ab67616d0000b2738ba710847308c283a1db9916","1","7","117440","https://p.scdn.co/mp3-preview/12455e8384d8db214adc91b69fc9aa7b1da2039e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USACU0511993","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7BIj2EumM3JA6NmxPcF6C5","上を向いて歩こう","spotify:artist:3WKkjW8B7x5UZmfC9pnDmN","Kyu Sakamoto","spotify:album:51VPN0fGRllJBCpi449czB","ベスト9!","spotify:artist:3WKkjW8B7x5UZmfC9pnDmN","Kyu Sakamoto","2009-09-09","https://i.scdn.co/image/ab67616d0000b2735ca640a51c19062c680cd829","1","1","188960","https://p.scdn.co/mp3-preview/ca0b9d439fdd76464b00ee63d4abd5d72a31a6d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","JPTO07614700","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3c8JemHol1XwFFruXQxjCO","Everybody's Talkin'","spotify:artist:3RTzAwFprBqiskp550eSJX","Harry Nilsson","spotify:album:4si97m2YFhhUxllFaZxbST","Midnight Cowboy","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1985-01-01","https://i.scdn.co/image/ab67616d0000b2730e5ac4baebfb187adfc1c43d","1","1","152226","https://p.scdn.co/mp3-preview/66d5422e8a04f35f4eebbf6528f1279f5f34fc86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USEM36900044","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:36JolOfhgRcjujpMuH37Fj","Star Dust","spotify:artist:1TKifb1r4wnGbY5CYIwjGb","Los Indios Tabajaras","spotify:album:6d4jnq3ziyFtQWgUSW2X6y","Colección de Éxitos","spotify:artist:1TKifb1r4wnGbY5CYIwjGb","Los Indios Tabajaras","2017-07-07","https://i.scdn.co/image/ab67616d0000b27358142650e6eca29feb3bc195","1","42","157010","https://p.scdn.co/mp3-preview/bcd3bf618414018b2ca46684b511ed2c815aeba3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","FRP621531260","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0sQ0BzLHZfX9TLXvNROcjh","You'll Never Know - Instrumental","spotify:artist:0I8ekdWabNnWyuOtVuW2DL","Hugo Winterhalter And His Orchestra","spotify:album:7ls79FDjgrXlt424cIP1SE","I Only Have Eyes for You","spotify:artist:0I8ekdWabNnWyuOtVuW2DL","Hugo Winterhalter And His Orchestra","1964","https://i.scdn.co/image/ab67616d0000b273e54cfc898205a560f707e1c7","1","7","160320","https://p.scdn.co/mp3-preview/c22dcfb421248d2a646df0d1c6241085a5dd8e4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USRC11400236","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5KoYGd11C4KmmikVsp4G4I","Manhattan Spiritual","spotify:artist:4VWBkqFNNC306ULM9kyMod, spotify:artist:7CMO7nR8rRU5mqJWmSX2qD","Billy Maxted, Reg Owen","spotify:album:1TT6Ha4vXMLtWX2GPVlQUR","Panamá Patrol","spotify:artist:7CMO7nR8rRU5mqJWmSX2qD","Reg Owen","2019-11-08","https://i.scdn.co/image/ab67616d0000b27377dd7614d0d4ebf6a6020027","1","15","165000","https://p.scdn.co/mp3-preview/614c50b0fdfe884f0b5fd148d2506840e2725739?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","CA5KR1963163","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0AeI5up4B9HvKRiczfMF7o","Strangers In The Night","spotify:artist:5WVQxyLSWuV7XpjDlgNY53","Hugo Winterhalter","spotify:album:75C2nKf5frcYnRI8tSqXOM","28 Big Ones","spotify:artist:5WVQxyLSWuV7XpjDlgNY53","Hugo Winterhalter","2005","https://i.scdn.co/image/ab67616d0000b2738ba710847308c283a1db9916","1","1","134480","https://p.scdn.co/mp3-preview/ff77f785e13bee5b17f69a8c73329ac07265462b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USACU0511987","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1YQWosTIljIvxAgHWTp7KP","Take Five","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","spotify:album:0nTTEAhCZsbbeplyDMIFuA","Time Out","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","1959-12-14","https://i.scdn.co/image/ab67616d0000b27300ace5d3c5bffc123ef1eb51","1","3","324133","https://p.scdn.co/mp3-preview/8f8fbddda11b8aa78b3fd15323d9e1c7521f6585?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM15900108","spotify:user:","1970-01-01T00:00:00Z"
