"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1GZD0TZJHmdQaZsucHBmWT","Besame Mucho","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","spotify:album:5LiPzuR79DTTmyROUm2luC","On Time","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","2001-04-02","https://i.scdn.co/image/ab67616d0000b273c0f74b53d4cf4b14f7f5d41a","1","8","354573","https://p.scdn.co/mp3-preview/3a9872545ec7deb3a5bc33d5c995a697a71a5e59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USSM16700391","spotify:user:","2023-01-15T14:44:46Z"
"spotify:track:3jqbNKYAxTIYGO22RzhK4K","Over The Rainbow","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","spotify:album:3hq11SFFr5N1GiPUkx4xWZ","Lullabies","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","2020-11-06","https://i.scdn.co/image/ab67616d0000b273971b6898af2c700eb2ab58e1","1","3","180399","https://p.scdn.co/mp3-preview/79686c529019bbdba073ef4d9fd6083818e4daf1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USUG12003194","spotify:user:","2023-01-15T14:44:46Z"
"spotify:track:4uDOJaEKr2MoeuIjgXM5kf","Bossa Nova U.S.A.","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","spotify:album:2B0aj8t5forzWzPqt0EzQs","Time Signatures: A Career Retrospective","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","1992","https://i.scdn.co/image/ab67616d0000b273b26174bf1564b225996dc2f2","3","12","144160","https://p.scdn.co/mp3-preview/198247260e4dd62ead2f4bd8375a12a81f1a0be8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USSM16201345","spotify:user:","2023-01-15T14:44:46Z"
"spotify:track:5I3dI6HaVLW34JxNYxB7sn","Autumn in Washington Square","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","spotify:album:595TGZHxJLd3Zwu1Rlz5RH","Jazz Impressions Of New York","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","1964","https://i.scdn.co/image/ab67616d0000b273f14ec2aade0ef46f9c74ab16","1","3","328066","https://p.scdn.co/mp3-preview/390b3aee9972cef3bb7cbf59b3f95b73361e714c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USSM10111488","spotify:user:","2023-01-15T14:44:46Z"
"spotify:track:5p6me2mwQrGfH30eExHn6v","Take Five","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","spotify:album:5LiPzuR79DTTmyROUm2luC","On Time","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","2001-04-02","https://i.scdn.co/image/ab67616d0000b273c0f74b53d4cf4b14f7f5d41a","1","1","323066","https://p.scdn.co/mp3-preview/0365b2df0dc7042650497ac24a0dbacd98f0454e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USSM16600282","spotify:user:","2023-01-15T14:44:46Z"
"spotify:track:73GLwlOrimPn0JNq4t555r","Summer Song","spotify:artist:68l2i6GeNtwQlhKS59u5bu, spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Paul Desmond, Dave Brubeck","spotify:album:644LClglFDwadSeJOWtsXL","1975: The Duets","spotify:artist:68l2i6GeNtwQlhKS59u5bu, spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Paul Desmond, Dave Brubeck","1975-01-01","https://i.scdn.co/image/ab67616d0000b27340d445d661985932ca615708","1","7","198533","https://p.scdn.co/mp3-preview/76efc1a7ffa9e586cc3e649c4bf3a6bf207a6378?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USGR10200031","spotify:user:","2023-01-15T14:44:46Z"
"spotify:track:2WzSx8Ns1IoGiGy9WHDACI","Brahms Lullaby - Reprise","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","spotify:album:3hq11SFFr5N1GiPUkx4xWZ","Lullabies","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","2020-11-06","https://i.scdn.co/image/ab67616d0000b273971b6898af2c700eb2ab58e1","1","15","63506","https://p.scdn.co/mp3-preview/8017b5eab652758fdbe3e0a86487692523261b96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USUG12003206","spotify:user:","2023-01-15T14:44:46Z"
"spotify:track:3DkdldkTR0pbVYKMg5eXJO","I'm in a Dancing Mood","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","spotify:album:425dVE44lkA2a0FBI7MGLE","Dave Brubeck's Greatest Hits","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","1966","https://i.scdn.co/image/ab67616d0000b2736ca90aff3927a8b212258770","1","2","179333","https://p.scdn.co/mp3-preview/2ba9515921bc466fe30292d16d7fd4f2f9dcf285?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USSM16600283","spotify:user:","2023-01-15T14:44:46Z"
"spotify:track:5UMb3v7N65qkSNZVxtIaAI","Look For The Silver Lining","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E, spotify:artist:68l2i6GeNtwQlhKS59u5bu","Dave Brubeck, Paul Desmond","spotify:album:0AvwcTbn5qkcniAQtQnkR7","Essential Standards","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","2009-01-01","https://i.scdn.co/image/ab67616d0000b273416ca5227615634031faae29","1","3","224226","https://p.scdn.co/mp3-preview/0b2e180a33bc537db6693caeb5d764c9e00adb9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USFI85400231","spotify:user:","2023-01-15T14:44:46Z"
"spotify:track:2KXYEZUVOOXsa1jMdWTmPI","Balcony Rock","spotify:artist:68l2i6GeNtwQlhKS59u5bu, spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Paul Desmond, Dave Brubeck","spotify:album:644LClglFDwadSeJOWtsXL","1975: The Duets","spotify:artist:68l2i6GeNtwQlhKS59u5bu, spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Paul Desmond, Dave Brubeck","1975-01-01","https://i.scdn.co/image/ab67616d0000b27340d445d661985932ca615708","1","6","136533","https://p.scdn.co/mp3-preview/b9ecb3af4ddeb807c3530e32aca1e54ae2a46748?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USGR10200133","spotify:user:","2023-01-15T14:44:46Z"
