"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0f8DS6g7JIPQMzaONezO4g","Crystal Bowl Dream","spotify:artist:3DjpvRyhGuXg5ICJqwng4z","iD8","spotify:album:6Bo4QllINweqhoOyn90NtA","Crystal Bowl Dream","spotify:artist:3DjpvRyhGuXg5ICJqwng4z","iD8","2022-05-29","https://i.scdn.co/image/ab67616d0000b2735a2365b569d7218aceae5ac4","1","1","135000","https://p.scdn.co/mp3-preview/ed536bfbfaee70a0b58fa0ef283e348ed5813595?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","SE5IB2263121","spotify:user:","2022-09-06T14:47:18Z"
"spotify:track:4dGYytZBGnFHEzJUqMyxdn","Right Here","spotify:artist:6VFekblOut967g4jD8w46E","Larrek","spotify:album:2tnkj3KcWroc1xF6h56X4V","Be Love Now","spotify:artist:6VFekblOut967g4jD8w46E","Larrek","2022-09-04","https://i.scdn.co/image/ab67616d0000b2733c27c5a489818726c108e65e","1","2","143179","https://p.scdn.co/mp3-preview/ab0189bbc57a9f0572c6778bfc1c91c8f1f51519?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","QZAKB2173273","spotify:user:","2022-09-06T14:47:18Z"
"spotify:track:6fOHkDRcx1Wm7Akrx4f3cp","Sound Bath Escape","spotify:artist:4gZYpXjnmCFu1Qzxz947v9","The Tibetan Singing Bowls","spotify:album:3rL8zuwDNsmKcOBCRgaXCb","Sound Bath Escape","spotify:artist:4gZYpXjnmCFu1Qzxz947v9","The Tibetan Singing Bowls","2022-02-17","https://i.scdn.co/image/ab67616d0000b2732925d872fe934147cd16419a","1","1","144960","https://p.scdn.co/mp3-preview/6de21149df692dab4df7d6edf5622d3e0b0071cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QZJDZ2101526","spotify:user:","2022-09-06T14:47:18Z"
"spotify:track:77E3mdW9Yyw2SoSxod4UgG","432 Hz Crystal Bowl","spotify:artist:2w4slIer7XY7fDEehJLONJ","Tibetanian","spotify:album:4swun98t4e747mTtz4qkxg","432 Hz Crystal Bowl","spotify:artist:2w4slIer7XY7fDEehJLONJ","Tibetanian","2022-05-29","https://i.scdn.co/image/ab67616d0000b2732e46d3f5877baced6047081c","1","1","174250","https://p.scdn.co/mp3-preview/d5f4d3f746c54ea8b1d2fab9876caea85d375450?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","SE5IB2263153","spotify:user:","2022-09-06T14:47:18Z"
"spotify:track:7yb3y3PY6fxWwH4IJaBDBv","Spiritual Bowls","spotify:artist:2OWl1TNy7Drnvhb2Gso2CV","Mantratown","spotify:album:5K2boNHVqwPsO7IdovXZdt","Spiritual Bowls","spotify:artist:2OWl1TNy7Drnvhb2Gso2CV","Mantratown","2022-05-06","https://i.scdn.co/image/ab67616d0000b273f17ef87bdac4937fa40f4f94","1","1","228727","https://p.scdn.co/mp3-preview/20e2462e34ae17f8ee997a63f8393739db69b655?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","SEXGF2200944","spotify:user:","2022-09-06T14:47:18Z"
"spotify:track:6EbrUXsMQwQbtPdW9uCDlC","संस्कृतम्","spotify:artist:6BncFvDvMh4Z9JZ04ujVpa","Elof Sunflower","spotify:album:14NggUSq5mr6Zyo8Wovpw6","Mindful Meditation","spotify:artist:6BncFvDvMh4Z9JZ04ujVpa","Elof Sunflower","2018-12-12","https://i.scdn.co/image/ab67616d0000b2736f1ef1245a8e66e64043edd6","1","2","214285","https://p.scdn.co/mp3-preview/eb26001f8fc3efe4eb3554da781d1ac814b734d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","SE5IB1801159","spotify:user:","2022-09-06T14:47:18Z"
"spotify:track:26mUDTAcPtiLeAiUKBNcEz","I Am Alive","spotify:artist:7GBcK0tbzmq32W05O4V3gA","Meditación Trascendental","spotify:album:1nF9MGNCyfkYPqUnTcUn7Y","I Am Alive","spotify:artist:7GBcK0tbzmq32W05O4V3gA","Meditación Trascendental","2022-08-04","https://i.scdn.co/image/ab67616d0000b27304d20dfa7e7b47b407f4ac77","1","1","180705","https://p.scdn.co/mp3-preview/245dc797109387b4788d9744a156d9967dddcfa0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GX4R52240293","spotify:user:","2022-09-06T14:47:18Z"
"spotify:track:5erkedXCeiXSOfm6wEY08i","Spiritual Sounds","spotify:artist:7cFbIyFpJivCMZjpiy3yBb","Kayce Laine","spotify:album:7v9NZZBD7LTDNygTnTIgkT","Spiritual Sounds","spotify:artist:7cFbIyFpJivCMZjpiy3yBb","Kayce Laine","2022-08-21","https://i.scdn.co/image/ab67616d0000b2732785290fcfacfd29e3b6a6fc","1","1","260902","https://p.scdn.co/mp3-preview/157e1365391bb807849b46dd73504b689564e26e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QZAKB2172851","spotify:user:","2022-09-06T14:47:18Z"
"spotify:track:6YnrlA0CTrkrjLVToXK0Eq","Immortal Grounds (Tibetan Bowls)","spotify:artist:7eWhSlk1SPRRFkt9l6QE7R","Relaxing Tibetan Singing Bowls","spotify:album:7mNJ2OhKnOiIuOAa61YzAb","Immortal Grounds (Tibetan Bowls)","spotify:artist:7eWhSlk1SPRRFkt9l6QE7R","Relaxing Tibetan Singing Bowls","2022-05-18","https://i.scdn.co/image/ab67616d0000b27397a6f43492b00b455b02910e","1","1","173610","https://p.scdn.co/mp3-preview/8f3db8aa5cf82f7da01339c87d536e6ba8916554?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QZJDZ2101917","spotify:user:","2022-09-06T14:47:18Z"
"spotify:track:4jgvF7VdROvGudjZCFsQv7","Sati Bowl","spotify:artist:0UFdIjW2UB80v8wuOMUrYC","Dhyāna One","spotify:album:4aJArtbJHKy4F88Wy2pMn9","Dhyāna","spotify:artist:0UFdIjW2UB80v8wuOMUrYC","Dhyāna One","2018-12-12","https://i.scdn.co/image/ab67616d0000b273c1775bd7c539942844f169bf","1","2","233334","https://p.scdn.co/mp3-preview/61ba824a330ee06b6d69fc9775a433a5af99e0a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","SE5IB1801167","spotify:user:","2022-09-06T14:47:18Z"
