"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2vLgPIAJj1Z7fd69QoFxqK","Tijuana Taxi","spotify:artist:09L3cUdx0hq6qn5bKuJJ4I","Herb Alpert & The Tijuana Brass","spotify:album:3y7ArxHNtZoTVWSwR4lkQT","!!Going Places!!","spotify:artist:09L3cUdx0hq6qn5bKuJJ4I","Herb Alpert & The Tijuana Brass","1965-10-01","https://i.scdn.co/image/ab67616d0000b2733c893f419757910dca22bb74","1","1","125920","https://p.scdn.co/mp3-preview/0d9099ca6430cf4911c32263e89839e42401f6ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QM4221500162","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1gNXLwhKaQCfoRi1MsjJ9j","What The World Needs Now Is Love","spotify:artist:5WVQxyLSWuV7XpjDlgNY53","Hugo Winterhalter","spotify:album:75C2nKf5frcYnRI8tSqXOM","28 Big Ones","spotify:artist:5WVQxyLSWuV7XpjDlgNY53","Hugo Winterhalter","2005","https://i.scdn.co/image/ab67616d0000b2738ba710847308c283a1db9916","1","7","117440","https://p.scdn.co/mp3-preview/12455e8384d8db214adc91b69fc9aa7b1da2039e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USACU0511993","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4uFABlW8ueTNcFGPFjHX0l","The Odd Couple Theme - Instrumental Demo","spotify:artist:3IjVHk8Mo8GBMKyHnwmth8","Neal Hefti","spotify:album:2gxIewLS7nz4Hp5K6h4ZcU","Barefoot In The Park / The Odd Couple (Music From The Motion Pictures)","spotify:artist:3IjVHk8Mo8GBMKyHnwmth8","Neal Hefti","2017-04-07","https://i.scdn.co/image/ab67616d0000b273b05f4a2c4f044c5425e44c1e","1","29","72333","https://p.scdn.co/mp3-preview/9c3473b5bfe0b6a04ea633c35aca0e017c557456?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","US3M51620729","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4anUinKv803lyDD1vaSXhU","Wipe Out - Hit Version / Extended Ending","spotify:artist:6gZVflqhSHhG3MjYrf1dOv","The Surfaris","spotify:album:1ROIPdrYZPf0SYpVhu1co9","The Best Of The Surfaris","spotify:artist:6gZVflqhSHhG3MjYrf1dOv","The Surfaris","2008-01-01","https://i.scdn.co/image/ab67616d0000b2739c332107383e06a3f281e758","1","1","157760","https://p.scdn.co/mp3-preview/58157f943b719a6052025a13ac96cbf730eb09fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USMC16319991","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7BIj2EumM3JA6NmxPcF6C5","上を向いて歩こう","spotify:artist:3WKkjW8B7x5UZmfC9pnDmN","Kyu Sakamoto","spotify:album:51VPN0fGRllJBCpi449czB","ベスト9!","spotify:artist:3WKkjW8B7x5UZmfC9pnDmN","Kyu Sakamoto","2009-09-09","https://i.scdn.co/image/ab67616d0000b2735ca640a51c19062c680cd829","1","1","188960","https://p.scdn.co/mp3-preview/ca0b9d439fdd76464b00ee63d4abd5d72a31a6d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","JPTO07614700","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2pSRXkk8gdoePrCaNHT8rX","Hii Lawe","spotify:artist:4UAjW7ABQfMm5F88xCtQln","Arthur Lyman","spotify:album:61l4XfiMZCVWGdCwLxj6Mg","Hawaiian Sunset","spotify:artist:4UAjW7ABQfMm5F88xCtQln","Arthur Lyman","1958","https://i.scdn.co/image/ab67616d0000b273d4f212060f0c60150493db06","1","7","71266","https://p.scdn.co/mp3-preview/b506fa4acef600e03091fec68d634f112eb21f3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QM4TW1637384","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1Aya25QA35mfejbY8n0ORG","Java","spotify:artist:0TGsWvnbtExsbGUSWtXENE","Al Hirt","spotify:album:0IIX2QFWqEIvlEtVhuaurZ","Honey In The Horn","spotify:artist:0TGsWvnbtExsbGUSWtXENE","Al Hirt","1963","https://i.scdn.co/image/ab67616d0000b273c1aff64c332f4568f8b228f8","1","2","116840","https://p.scdn.co/mp3-preview/236c13e28ce3af2e51989ea661049dcb60521fe9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USBB16201003","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1N1ev4dk3kZv7mBy6Hd4WD","The Riviera Affair","spotify:artist:7EkKwcqYPySE4sq6H4wjae","Neil Richardson","spotify:album:4yzoa9DAyLsMXnlfzHZMO7","The Sixties","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1993-05-22","https://i.scdn.co/image/ab67616d0000b273a4e47d413ad4a36f9e3acb53","1","36","94893","https://p.scdn.co/mp3-preview/57cf8018b7c5b9670c0cdd377a69adcce5507749?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBBGL9300687","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1b39F2Q4sNP8R9PwGK8G5D","Woodpecker Song","spotify:artist:5qByAjccmQRznP524QB0wy","Tony Mottola y Su Orquesta","spotify:album:5XPpYqZJ3zdJv4qAI0NBYl","Tony Mottola y Su Orquesta","spotify:artist:5qByAjccmQRznP524QB0wy","Tony Mottola y Su Orquesta","2016-07-13","https://i.scdn.co/image/ab67616d0000b2738b9ee4743fa45532483196b8","1","11","113880","https://p.scdn.co/mp3-preview/4ee954c6b413512b250676d0bd5bf74ddc33e8ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QM4TW1648136","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1YQWosTIljIvxAgHWTp7KP","Take Five","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","spotify:album:0nTTEAhCZsbbeplyDMIFuA","Time Out","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","1959-12-14","https://i.scdn.co/image/ab67616d0000b27300ace5d3c5bffc123ef1eb51","1","3","324133","https://p.scdn.co/mp3-preview/8f8fbddda11b8aa78b3fd15323d9e1c7521f6585?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM15900108","spotify:user:","1970-01-01T00:00:00Z"
