"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0GrS6KRdqUa5PuARC8FURt","Nwahulwana","spotify:artist:6Lwh7TVOLyefH4psz80TjE, spotify:artist:1G7bajkfqNryA9IeP2wfnN","Wazimbo, Orchestra Marrabenta Star de Moçambique","spotify:album:3RS98uzgJ4BG3Bvdy2nGIE","Nwahulwana","spotify:artist:6Lwh7TVOLyefH4psz80TjE, spotify:artist:1G7bajkfqNryA9IeP2wfnN","Wazimbo, Orchestra Marrabenta Star de Moçambique","2001-05-18","https://i.scdn.co/image/ab67616d0000b2736281a5f1366c21503ee57124","1","1","409320","https://p.scdn.co/mp3-preview/e6f32ecd22e1a5dddfac40341b689a7537107aba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","DEL120107201","spotify:user:bluetuke","2022-02-08T21:29:51Z"
"spotify:track:52E0DiN8Fn29YzXPXahjFg","Anima","spotify:artist:7gtKRiL82EXFWzIfg9fUaD","Les Nouvelles Polyphonies Corses","spotify:album:7vroXpsfESZtVx4XoyLOzy","Les Nouvelles Polyphonies Corses","spotify:artist:7gtKRiL82EXFWzIfg9fUaD","Les Nouvelles Polyphonies Corses","1991-01-01","https://i.scdn.co/image/ab67616d0000b2739f9e66ee44c5b414d90f755e","1","9","260360","https://p.scdn.co/mp3-preview/4e3653779450674793f481d40b0ce731940eb201?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","FRZ039002800","spotify:user:bluetuke","2022-02-08T21:32:29Z"
"spotify:track:7BjmVSau5aZTkgMeJOKU7V","Balinese Fantasy","spotify:artist:6DDCjHWtL6jTl1B5wG8tF6, spotify:artist:6ZNiKkCIGJqrJIkcyWGyiB, spotify:artist:4eh3NWjKDBI81nFl9uhWtU, spotify:artist:5133gOOsLNGTDEdRBf8OvJ, spotify:artist:30iufXAcbiAyoV3CgunYNg, spotify:artist:6eHtMIbxdeGtNFVQuPVXk8, spotify:artist:4SxNRoFulwosvUXRmsBPQs","Zakir Hussain, Dana Pandey, Mickey Hart, Syed Arshad, Vince Delgado, Aushim Chaudhuri, Anthony Hindson","spotify:album:0LCssF479VnWWKUhtShU1s","Zakir Hussain and The Rhythm Experience","spotify:artist:6DDCjHWtL6jTl1B5wG8tF6","Zakir Hussain","1991-01-01","https://i.scdn.co/image/ab67616d0000b27301eb79a7c94684fb356732c1","1","1","232533","https://p.scdn.co/mp3-preview/05892e6ffa5614b3ec64979153680c43a0e8adda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USQMP9100014","spotify:user:bluetuke","2022-02-08T21:32:58Z"
"spotify:track:632zRUQzebFtQ3Oro9FgSy","The Game","spotify:artist:5HcunTidTUrOaf8V0iJcvl","Nusrat Fateh Ali Khan","spotify:album:57ObW7qW6CN1CWLXV5DOGb","Mustt Mustt (Real World Gold)","spotify:artist:5HcunTidTUrOaf8V0iJcvl","Nusrat Fateh Ali Khan","1990","https://i.scdn.co/image/ab67616d0000b2737096466879391c0cc0d83eda","1","4","302466","https://p.scdn.co/mp3-preview/58a77842b7c8e8f1e487ed1b12265a827bf93d3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","GBCPA9000060","spotify:user:bluetuke","2022-02-08T21:35:19Z"
"spotify:track:5k7jc0TCYc5GKDXKSvQS0W","Two Lovers (Mand)","spotify:artist:2GUxWjR8cNgljddVLEp72u","Ali Akbar Khan","spotify:album:09BcIIcBD1KvoMq9Fm2tVl","Garden of Dreams","spotify:artist:2GUxWjR8cNgljddVLEp72u","Ali Akbar Khan","2002-05-21","https://i.scdn.co/image/ab67616d0000b273f03ddbdd07157535fa102bac","1","1","307026","https://p.scdn.co/mp3-preview/a3ec6e7e4dea3d7b1c0c8e1fe1c04cd17e259f35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USAR50412300","spotify:user:bluetuke","2022-02-08T21:35:53Z"
"spotify:track:051JxEsIpOUYXJxRS48jf6","Petition to Ram","spotify:artist:00DkRCKgM6Ku90WtOfoYlw","Jai Uttal","spotify:album:7DBvrp283wP023SKKpm02g","Monkey","spotify:artist:00DkRCKgM6Ku90WtOfoYlw","Jai Uttal","2007-05-22","https://i.scdn.co/image/ab67616d0000b27386ab28b31a0c23c41efd1bcb","1","9","423531","","false","0","US3E40700538","spotify:user:bluetuke","2022-02-08T21:36:17Z"
"spotify:track:7xzMrUmlooPa1Fmp88hlYc","Sodade","spotify:artist:0Nks3cFWU2a7rooAlFQYgn","Cesária Evora","spotify:album:5JDeqzJVs53ZJT1KCjO6Jp","Miss Perfumado","spotify:artist:0Nks3cFWU2a7rooAlFQYgn","Cesária Evora","1992-10-21","https://i.scdn.co/image/ab67616d0000b273f9d5f297a65f0b2a90ac7fd6","1","1","293640","https://p.scdn.co/mp3-preview/3380b8b769210900b0e41a581ff2af490b6a949c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","FRX629224010","spotify:user:bluetuke","2022-02-08T21:37:01Z"
"spotify:track:5wuMgzTz4CEypdWabWjkLp","Nissim","spotify:artist:5dVua2HdrY1VlbPh6OM9KZ, spotify:artist:14us1FW9Y4HvqtT6lhiNIG","The Gaslamp Killer, Amir Yaghmai","spotify:album:0C6Axf37EzoQtUFEldhc6n","Breakthrough","spotify:artist:5dVua2HdrY1VlbPh6OM9KZ","The Gaslamp Killer","2012-09-18","https://i.scdn.co/image/ab67616d0000b27332b9596e9335a61596a15600","1","14","271822","https://p.scdn.co/mp3-preview/4dd8cbf539dbadbbb1cc7de7c0fa6356b9b1c52b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","US25X1084065","spotify:user:bluetuke","2022-05-20T18:23:12Z"
"spotify:track:4QYv1VRd9CWNxZAUaKLI9j","Lovery - Slow Cuban Vibe","spotify:artist:6EIy9BdHGGzEPbasqwMabi, spotify:artist:1NZAlPHtdhiK1HzHrQClTj, spotify:artist:22lWHddFgTsrAph2t9GFYy","Tuccillo, Kiko Navarro, Amor","spotify:album:6V8dzC6dlEcEoeHreowsbM","Lovery (All Mixes)","spotify:artist:6EIy9BdHGGzEPbasqwMabi, spotify:artist:1NZAlPHtdhiK1HzHrQClTj","Tuccillo, Kiko Navarro","2012-02-20","https://i.scdn.co/image/ab67616d0000b2734df3135b68ee7c4a913e1140","1","5","421938","https://p.scdn.co/mp3-preview/a1923743d69e5dc2c8a19614c36a6bd7a38f3e23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USA671200061","spotify:user:bluetuke","2022-05-20T18:27:13Z"
"spotify:track:1WmRNq13XPvbmIRcZljM3D","Diaraby (with Ry Cooder)","spotify:artist:3mNygoyrEKLgo6sx0MzwOL, spotify:artist:1CPwHx5lgVxv0rfcp7UXLx","Ali Farka Touré, Ry Cooder","spotify:album:2MSgPFGGgIn5EqLezjLpt9","Talking Timbuktu (with Ry Cooder)","spotify:artist:3mNygoyrEKLgo6sx0MzwOL","Ali Farka Touré","1994-03-28","https://i.scdn.co/image/ab67616d0000b2734209569110ce50ca88e1dc46","1","10","446826","https://p.scdn.co/mp3-preview/39b62983fcf2893f180835ecf3d5c957fea0757f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBBGU0640010","spotify:user:bluetuke","2022-05-20T18:28:08Z"
