"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4PZ9JyUx1KKaRkWGkbvfjQ","Si tu vois ma mère - From ''Midnight In Paris''","spotify:artist:1RsmXc1ZqW3WBs9iwxiSwk","Sidney Bechet","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","1","195733","","false","0","FR6V80464808","spotify:user:","2012-05-27T19:46:04Z"
"spotify:track:0UCDsN8RCZ6ID6DJrYULIX","La Conga Blicoti - From ''Midnight In Paris''","spotify:artist:2RXsHRCnva6BsZ12SSAzcz","Joséphine Baker","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","2","144773","","false","0","FR6V80464809","spotify:user:","2012-05-27T19:46:04Z"
"spotify:track:6ZYYYHHs9cwwYosQ2fzFBi","If I Didn't Care - From ''Radio Days''","spotify:artist:5bOsFzuJ6QZMr86ezC4oXY","The Ink Spots","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","3","187133","","false","0","FR6V80464810","spotify:user:","2012-05-27T19:46:04Z"
"spotify:track:0WA97XBRE0prlsBDHnmhb5","Mairzy Doats - From ''Radio Days''","spotify:artist:1GdTErb29TNkiEGWrNGAeH","The Merry Macs","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","4","164600","","false","0","FR6V80464811","spotify:user:","2012-05-27T19:46:04Z"
"spotify:track:15HaBoEls8S62UUpzTrBGd","In the Mood - From ''Radio Days''","spotify:artist:2aAHdB5HweT3mFcRzm0swc","Glenn Miller","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","5","214360","","false","0","FR6V80464812","spotify:user:","2012-05-27T19:46:04Z"
"spotify:track:6aiLnU3vyxAJosq1hGmFGH","Moonglow - From ''Annie Hall''","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","6","207213","","false","0","FR6V80464813","spotify:user:","2012-05-27T19:46:04Z"
"spotify:track:2YUoLbGHNULBi7JMsj53Fa","If Dreams Come True - From ""Stardust Memories""","spotify:artist:7AgtFmxbJL1wDbp7yYrzQb","Chick Webb","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","7","202226","","false","0","FR6V80464814","spotify:user:","2012-05-27T19:46:04Z"
"spotify:track:2dmXX61gcRxvK5iET0lhAw","I've Never Heard That Song Before - From ''Hannah and Her Sisters''","spotify:artist:5MpELOfAiq7aIBTij30phD, spotify:artist:5SguMzNsojVk03s64Ggzad","Harry James, Helen Forrest","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","8","179253","","false","0","FR6V80464815","spotify:user:","2012-05-27T19:46:04Z"
"spotify:track:1Wn9LNcgAdkhfb1Hv9XJ0T","You Made Me Love You - From ''Hannah and Her Sisters''","spotify:artist:5MpELOfAiq7aIBTij30phD","Harry James","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","9","187880","","false","0","FR6V80464816","spotify:user:","2012-05-27T19:46:04Z"
"spotify:track:113xJ5ZAtvQyXNxvptDbhx","Cheek to Cheek - From ""Purple Rose of Cairo""","spotify:artist:4BtDAwCZhR6nPrJtbVgQNX","Fred Astaire","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","10","201933","","false","0","FR6V80464817","spotify:user:","2012-05-27T19:46:04Z"
"spotify:track:4ErKrQqP4AVx6iARhpzrbk","Keepin' Out of Mischeif Now - From ""Interiors""","spotify:artist:4WoGga7UeRcmjD4ufif4nG","Tommy Dorsey","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","11","166040","","false","0","FR6V80464818","spotify:user:","2012-05-27T19:46:04Z"
"spotify:track:5xH4qmRCq1CHsEbS8PZejC","As Time Goes By - From ""Play It Again Sam''","spotify:artist:16X8T4VdzB9sHrYSSpIEVB","Dooley Wilson","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","12","164760","","false","0","FR6V80464819","spotify:user:","2012-05-27T19:46:04Z"
"spotify:track:1uQtvbqKRoNkydorVJBfME","Sunrise Serenade - From ""Curse of the Jade Scorpion""","spotify:artist:2aAHdB5HweT3mFcRzm0swc","Glenn Miller","spotify:album:61oA3W3AJ638cJIxbkOsnw","Songs from Woody Allen' Films","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-09-01","https://i.scdn.co/image/ab67616d0000b273a2501c29fdced82da7c87399","1","13","205933","","false","0","FR6V80464820","spotify:user:","2012-05-27T19:46:04Z"
