"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Arkansas+Traveler:99","Arkansas Traveler","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","99000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Back+Up+and+Push:47","Back Up and Push","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","47000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:The+Blarney+Pilgrim:69","The Blarney Pilgrim","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","69000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Beaumont+Rag:75","Beaumont Rag","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","75000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Bill+Cheatham:50","Bill Cheatham","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","50000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Billy+in+the+Lowground:52","Billy in the Lowground","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","52000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Blackberry+Blossom:100","Blackberry Blossom","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","100000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Bonaparte%27s+Retreat:53","Bonaparte's Retreat","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","53000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Cottoneyed+Joe+%231:41","Cottoneyed Joe #1","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","41000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Cottoneyed+Joe+%232:30","Cottoneyed Joe #2","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","30000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Cripple+Creek:51","Cripple Creek","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","51000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Down+Yonder:60","Down Yonder","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","60000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Dill+Pickle+Rag:95","Dill Pickle Rag","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","95000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Drowsy+Maggie:41","Drowsy Maggie","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","41000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Durham%27s+Bull:52","Durham's Bull","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","52000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Eighth+of+January:52","Eighth of January","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","52000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Fisher%27s+Hornpipe:72","Fisher's Hornpipe","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","72000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Fire+on+the+Mtn.:45","Fire on the Mtn.","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","45000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Garry+Owen:49","Garry Owen","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","49000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Haste+to+the+Wedding:47","Haste to the Wedding","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","47000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Jolie+Blond:69","Jolie Blond","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","69000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Maidens+Prayer:131","Maidens Prayer","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","131000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Merrily+Kiss+the+Quaker:69","Merrily Kiss the Quaker","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","69000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Monaghan+Jigl:89","Monaghan Jigl","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","89000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Miss+McLeod%27s+Reel:54","Miss McLeod's Reel","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","54000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Morrison%27s+Jig:49","Morrison's Jig","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","49000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Mississippi+Sawyer:87","Mississippi Sawyer","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","87000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Old+Joe+Clark:48","Old Joe Clark","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","48000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Ookpik%2FCanadian+Waltz:142","Ookpik/Canadian Waltz","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","142000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Ragtime+Annie:112","Ragtime Annie","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","112000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Red+Wing:50","Red Wing","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","50000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Roxanna+Waltz:136","Roxanna Waltz","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","136000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:St.+Anne%27s+Reel:53","St. Anne's Reel","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","53000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Sally+Ann+or+Sail+Away+Ladies:41","Sally Ann or Sail Away Ladies","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","41000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Sally+Goodin:133","Sally Goodin","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","133000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Sally+Johnson:114","Sally Johnson","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","114000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Salt+Creek:51","Salt Creek","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","51000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Smash+the+Windows:50","Smash the Windows","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","50000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Soldier%27s+Joy:93","Soldier's Joy","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","93000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Swallowtail+Jig:47","Swallowtail Jig","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","47000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Star+of+County+Down:124","Star of County Down","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","124000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Temperance+Reel:52","Temperance Reel","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","52000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Turkey+in+the+Straw:52","Turkey in the Straw","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","52000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Westphalia+Waltz:111","Westphalia Waltz","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","111000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+1:90","Track 1","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","90000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Red+Wing+%5Bfiddle%5D:82","Red Wing [fiddle]","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","82000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+3:77","Track 3","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","77000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+4:97","Track 4","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","97000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+5:73","Track 5","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","73000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+6:135","Track 6","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","135000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+7:181","Track 7","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","181000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+8:79","Track 8","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","79000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+9:150","Track 9","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","150000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+10:76","Track 10","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","76000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+11:79","Track 11","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","79000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+12:100","Track 12","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","100000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+13:112","Track 13","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","112000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Track+14:91","Track 14","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","91000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
