"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3Ak468oNke3qdgglyIbxvx","Walk Like A Pygmy","spotify:artist:4LP3PcvbW3pbsrhdNNa9bQ","Mo Boma","spotify:album:2DxIJEcvS0oUAzeZU40Pta","Myths Of The Near Future: Part One","spotify:artist:4LP3PcvbW3pbsrhdNNa9bQ","Mo Boma","1994-02-27","https://i.scdn.co/image/9aa2337019f221c8f8c03e5091eea9fdf2155e6e","1","2","246133","https://p.scdn.co/mp3-preview/6b8f9a50c5ec094ddc81ee1d7d9381b13e001c79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","AUEX00602025","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6x0j1faMu9WZwfwDxIp0B4","aguu","spotify:artist:1aeStgJapx8maDQaLqvDQk","PONPON","spotify:album:5xK9fX0zSZcKLQBR1fAEyk","bisket","spotify:artist:1aeStgJapx8maDQaLqvDQk","PONPON","2021-12-01","https://i.scdn.co/image/ab67616d0000b273c1cead83eb516f994cb47444","1","12","64000","https://p.scdn.co/mp3-preview/81120cd74d7f7f82d0c595cca6a8d0a5f3780c25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","TCJPQ2146182","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4vTca7Yg8s7gKGJPiNsoBL","Metarhythm Ambiance : Phase Shifted And Superimposed Synths","spotify:artist:6J2gOCYOlcJbmlBLOYIcLS","Space Cat Radio","spotify:album:7I1LLuUetXqPC14dbqUpQ7","Space Cat Wandering","spotify:artist:6J2gOCYOlcJbmlBLOYIcLS","Space Cat Radio","2022-10-03","https://i.scdn.co/image/ab67616d0000b2736e706b3bf6c75836baab7b64","1","3","81777","https://p.scdn.co/mp3-preview/47aa9026cc1dc8a9e8661a61d59482000bd5f5bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","SE6XX2293212","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Sy4StbMbzQgTyCoIitCBt","White Bird","spotify:artist:615aT4UKAuj5e7tcsGuPg4","June11","spotify:album:187zWJ91K3S3MHWQuKQ0L8","11000 Dreams","spotify:artist:615aT4UKAuj5e7tcsGuPg4, spotify:artist:5g4vYpxRlQ0PAglBI3XW12, spotify:artist:5hMAzp9gvM0IgsL0Pbuzqc","June11, Absent Music, The Misz","2017","https://i.scdn.co/image/ab67616d0000b2732d39e4c6fcf95be253cd2940","1","1","224793","https://p.scdn.co/mp3-preview/4f500753da5cf674de54433ad3cf73bb4a0b98ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","UK6821805651","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7B9B6aKOqgsASaa1CXzvro","Low Ground","spotify:artist:19vq7LMy6FjaShMgV6CuOt","Platania & Del Pra","spotify:album:2M4L9WBLKqjMdP2NwIraKs","Sounds Good, Vol.164","spotify:artist:19vq7LMy6FjaShMgV6CuOt","Platania & Del Pra","2021-03-19","https://i.scdn.co/image/ab67616d0000b27339ff2ea09ed9de7b8c432dbe","1","8","62484","https://p.scdn.co/mp3-preview/9c1769b884eac925593be2ddf8491d59be6b5c5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","USLZJ2117166","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2kfUwUevQM04aZ07xlOMTA","Camlants Atoll","spotify:artist:06geXkqqxuVH9jRHyBKJFW","Lesley Hamilton","spotify:album:1WnFQPnDNYu2Yd8mjFx3pz","Camlants Atoll","spotify:artist:06geXkqqxuVH9jRHyBKJFW","Lesley Hamilton","2022-01-07","https://i.scdn.co/image/ab67616d0000b273091e3814466796ed826f11f7","1","1","60000","https://p.scdn.co/mp3-preview/a6b6bb09acdfd250d1799df3dd7b9b60bbc46cc6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QZTLA2277501","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0Bytr4h0YpG7ivBvy7E2Mn","Calmness of Za Zen Wave part Eighteen","spotify:artist:5EWVHw7MCCTBDFulWYRB3G","Bathing Gong Man","spotify:album:0iadNZ23EBocSzmC1ZY4or","Quiet Your Mind part 1 of 5: Sound of the cymbals accompanied by the sound of the sea wraps around you to help you quiet down your minde and meditate for Inner Peace","spotify:artist:5EWVHw7MCCTBDFulWYRB3G","Bathing Gong Man","2022-12-11","https://i.scdn.co/image/ab67616d0000b27357bc1e46dc70f82be56ef04b","1","18","62110","https://p.scdn.co/mp3-preview/2e89d1ec1e9f8156969c250049514294c7c65105?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","QZTB32294507","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3LA4GFbgZVXPK4y1oRv5G0","Nonthinking","spotify:artist:40ePaI0HnhJ3KxRnyFgkP4","Jamu Naraan","spotify:album:3mPjB0lOzetF45a5J03lWz","Assana Sea","spotify:artist:40ePaI0HnhJ3KxRnyFgkP4","Jamu Naraan","2022-07-22","https://i.scdn.co/image/ab67616d0000b273e55e55e3f7442ba9f8115923","1","16","55649","https://p.scdn.co/mp3-preview/2faea150684a267efceff49c11398c578a11aaaf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","SE6SA2297277","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2LNM7xB5cTB8UrHXuxwp4G","Martians Don't Care (Like You Did)","spotify:artist:0a81BkPkciptB9eOXPSnux","Moving to Mars","spotify:album:056soGWc6gPGtdT3UEnVH8","Gallactika","spotify:artist:0a81BkPkciptB9eOXPSnux","Moving to Mars","2018-08-27","https://i.scdn.co/image/ab67616d0000b273fc15caa4b5bc07fa335c2d21","1","10","76501","https://p.scdn.co/mp3-preview/942f3de359fb8db3d4743a33ff21ac2448c79996?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","QZDA81883324","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6tCM1jwVgBIKdsgZXwjoL7","The Slipping Beauty","spotify:artist:2Fw1Rh841fgdcKEmA3UdtN","Vangelis Katsoulis","spotify:album:3UPMnWqWaekDbARyDNeUIS","The Slipping Beauty","spotify:artist:2Fw1Rh841fgdcKEmA3UdtN","Vangelis Katsoulis","1989","https://i.scdn.co/image/ab67616d0000b273f67be78b894229e3cdd63e32","1","3","185866","https://p.scdn.co/mp3-preview/eacc5349b603cb044650dd92567ada5083fda32b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","FR6V82330404","spotify:user:","1970-01-01T00:00:00Z"
