"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2PPrYpbUi9HLZOuowY0x2Q","The Raiders March - From ""Raiders Of The Lost Ark""","spotify:artist:3dRfiJ2650SZu6GbydcHNb, spotify:artist:5yxyJsFanEAuwSM5kOuZKc, spotify:artist:3TaTCYiv3QcamWjvRCcz6Q","John Williams, London Symphony Orchestra, Gavin Greenaway","spotify:album:6qhYCCFVOQKNFq5QbYpje8","John Williams: A Life In Music","spotify:artist:3dRfiJ2650SZu6GbydcHNb, spotify:artist:5yxyJsFanEAuwSM5kOuZKc, spotify:artist:3TaTCYiv3QcamWjvRCcz6Q","John Williams, London Symphony Orchestra, Gavin Greenaway","2018-05-04","https://i.scdn.co/image/ab67616d0000b2734d0162ccc7c248c7b1975bb8","1","4","340613","https://p.scdn.co/mp3-preview/4281296c6f5ecc3c8210a9a9524ffa1b968bc7b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","GBUM71706584","spotify:user:wctracyjr","2019-08-18T20:51:21Z"
"spotify:track:1XnzC28Z5QSglwHBDvGTtN","Mission: Impossible - From ""Music From Mission: Impossible"" Original Television Soundtrack","spotify:artist:39iHRO9MH9To3gjW7wqaW1","Lalo Schifrin","spotify:album:4sZtIILXRNy1AvNlBcb85w","Mission: Impossible And Other Thrilling Themes","spotify:artist:39iHRO9MH9To3gjW7wqaW1","Lalo Schifrin","2008-01-01","https://i.scdn.co/image/ab67616d0000b273fbacac5e7aa82b32e236dff8","1","1","150813","https://p.scdn.co/mp3-preview/e09dd9d2b86200e7cc082c431a2fdb6ad6fffe94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USMC16846967","spotify:user:wctracyjr","2019-08-18T20:51:52Z"
"spotify:track:4tABZngfyleLXr5wxHgRxZ","Theme from Superman - Concert Version","spotify:artist:3dRfiJ2650SZu6GbydcHNb","John Williams","spotify:album:7Hlfql6zSPcQGyZZ6TY5jO","Superman: The Movie (Original Motion Picture Soundtrack)","spotify:artist:3dRfiJ2650SZu6GbydcHNb","John Williams","2005-03-15","https://i.scdn.co/image/ab67616d0000b27314b01732077ced86294ed8a6","1","35","264293","https://p.scdn.co/mp3-preview/1d45307961c3ad62662248032140c9c7c1a8d64e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USWB10203667","spotify:user:wctracyjr","2019-08-18T20:52:03Z"
"spotify:track:3HjDvnmiTLKaDalq4u2Hem","The Throne Room and End Title","spotify:artist:3dRfiJ2650SZu6GbydcHNb, spotify:artist:5yxyJsFanEAuwSM5kOuZKc","John Williams, London Symphony Orchestra","spotify:album:55gMu4AvAKCbCaGv3GIXgy","Star Wars: A New Hope (Original Motion Picture Soundtrack)","spotify:artist:3dRfiJ2650SZu6GbydcHNb","John Williams","1977-01-01","https://i.scdn.co/image/ab67616d0000b273a9916ac15c83a9f0438216cf","1","16","334426","https://p.scdn.co/mp3-preview/b25a608fc3efe09b5f28f7467983a1f4a484be0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USWD11785419","spotify:user:wctracyjr","2019-08-18T20:52:20Z"
"spotify:track:5FsLUCMxZs6C7s0nRIDOoP","Fun Zone","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","spotify:album:65hW4JLei0jX9lTbzVMiBx","UHF: ""Weird Al"" Yankovic","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","1989-07-18","https://i.scdn.co/image/ab67616d0000b27392b3070eefff7345671f5c4b","1","11","105546","https://p.scdn.co/mp3-preview/4717ef326419932652bb0d5179c95827e87173a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USVR10400233","spotify:user:wctracyjr","2019-06-09T02:31:49Z"
"spotify:track:3dTuAv5fc7dUffZkWja4AR","I Lost On Jeopardy","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","spotify:album:2WMY5Qm6ztMQsAubpumeb4","The Essential ""Weird Al"" Yankovic","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","2009","https://i.scdn.co/image/ab67616d0000b273e840912a60b4d50e0b75154b","1","4","207880","https://p.scdn.co/mp3-preview/aa2a8a68c8058b0ddf9bc1f5c4a4a2b4b6fc4705?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USVR10200035","spotify:user:wctracyjr","2019-06-09T02:32:03Z"
"spotify:track:6tBzYurAiGkaGopgYPdNo7","I Love Rocky Road","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","spotify:album:1gnhuWdl30liEUM2jy9lxl","""Weird Al"" Yankovic","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","1983","https://i.scdn.co/image/ab67616d0000b273e4fb9de71f82f15b470f4583","1","3","156360","https://p.scdn.co/mp3-preview/2c746ad9d718ee662074a2e626aedace9f1b76eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USVR10400213","spotify:user:wctracyjr","2019-06-09T02:32:16Z"
"spotify:track:3XhyafaTVD6ViaRFIL4bNo","Like a Surgeon","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","spotify:album:2WMY5Qm6ztMQsAubpumeb4","The Essential ""Weird Al"" Yankovic","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","2009","https://i.scdn.co/image/ab67616d0000b273e840912a60b4d50e0b75154b","1","7","210626","https://p.scdn.co/mp3-preview/c8e3c1e8617045c95aabb48a2dcebbd469414689?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USVR10200029","spotify:user:wctracyjr","2019-06-09T02:32:30Z"
"spotify:track:3i3HEXZRAQ4d7SQeB0098V","The Biggest Ball of Twine In Minnesota","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","spotify:album:65hW4JLei0jX9lTbzVMiBx","UHF: ""Weird Al"" Yankovic","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","1989-07-18","https://i.scdn.co/image/ab67616d0000b27392b3070eefff7345671f5c4b","1","13","408013","https://p.scdn.co/mp3-preview/3929da4453da0128dca1efb348f87fbd1c2f34d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USVR10400216","spotify:user:wctracyjr","2019-06-09T02:32:42Z"
"spotify:track:4JqQWAr47pGEoaMArpA7Z3","Word Crimes","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","spotify:album:36jlZKG1sNZQA2HbWdYveV","Mandatory Fun","spotify:artist:1bDWGdIC2hardyt55nlQgG","""Weird Al"" Yankovic","2014-07-15","https://i.scdn.co/image/ab67616d0000b27377dd64257131e476a6d32e4f","1","5","223120","https://p.scdn.co/mp3-preview/5a24799ac8d23cdbc5828c3d73a4e5437feb39d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USRC11401406","spotify:user:wctracyjr","2019-06-09T02:32:55Z"
